"NUMERO","ID","GENERO","TIPO_COLEGIO","LOCALIDAD_COLEGIO","CALENDARIO","MUNICIPIO","DEPARTAMENTO","PG_ICFES","CON_MAT_ICFES","APT_MAT_ICFES","FISICA_ICFES","QUIMICA_ICFES","APT_VERB_ICFES","LITERATURA_ICFES","BIOLOGIA_ICFES","SOCIALES_ICFES","FILOSOFIA_ICFES","IDIOMA_ICFES","LOCALIDAD","INSCRIPCION","ESTRATO","ANO_INGRESO","CORTE_INGRESO","ESTADO_FINAL","NOTA_DIFERENCIAL","VECES_DIFERENCIAL","CREDITOS_DIFERENCIAL","NOTA_DIBUJO","VECES_DIBUJO","CREDITOS_DIBUJO","NOTA_QUIMICA","VECES_QUIMICA","CREDITOS_QUIMICA","NOTA_CFJC","VECES_CFJC","CREDITOS_CFJC","NOTA_TEXTOS","VECES_TEXTOS","CREDITOS_TEXTOS","NOTA_SEMINARIO","VECES_SEMINARIO","CREDITOS_SEMINARIO","NOTA_EE_UNO","VECES_EE_UNO","CREDITOS_EE_UNO","NOTA_ALGEBRA","VECES_ALGEBRA","CREDITOS_ALGEBRA","NOTA_INTEGRAL","VECES_INTEGRAL","CREDITOS_INTEGRAL","NOTA_FISICA_UNO","VECES_FISICA_UNO","CREDITOS_FISICA_UNO","NOTA_MATERIALES","VECES_MATERIALES","CREDITOS_MATERIALES","NOTA_DEMOCRACIA","VECES_DEMOCRACIA","CREDITOS_DEMOCRACIA","NOTA_PBASICA","VECES_PBASICA","CREDITOS_PBASICA","NOTA_EE_DOS","VECES_EE_DOS","CREDITOS_EE_DOS","NOTA_MULTIVARIADO","VECES_MULTIVARIADO","CREDITOS_MULTIVARIADO","NOTA_ESTADISTICA_UNO","VECES_ESTADISTICA_UNO","CREDITOS_ESTADISTICA_UNO","NOTA_TERMODINAMICA","VECES_TERMODINAMICA","CREDITOS_TERMODINAMICA","NOTA_TGS","VECES_TGS","CREDITOS_TGS","NOTA_ETICA","VECES_ETICA","CREDITOS_ETICA","NOTA_PORIENTADA","VECES_PORIENTADA","CREDITOS_PORIENTADA","NOTA_EE_TRES","VECES_EE_TRES","CREDITOS_EE_TRES","NOTA_ECONOMIA_UNO","VECES_ECONOMIA_UNO","CREDITOS_ECONOMIA_UNO","NOTA_ECUACIONES","VECES_ECUACIONES","CREDITOS_ECUACIONES","NOTA_ESTADISTICA_DOS","VECES_ESTADISTICA_DOS","CREDITOS_ESTADISTICA_DOS","NOTA_FISICA_DOS","VECES_FISICA_DOS","CREDITOS_FISICA_DOS","NOTA_MECANICA","VECES_MECANICA","CREDITOS_MECANICA","NOTA_PROCESOSQ","VECES_PROCESOSQ","CREDITOS_PROCESOSQ","NOTA_EE_CUATRO","VECES_EE_CUATRO","CREDITOS_EE_CUATRO","NOTA_METODOLOGIA","VECES_METODOLOGIA","CREDITOS_METODOLOGIA","NOTA_FISICA_TRES","VECES_FISICA_TRES","CREDITOS_FISICA_TRES","NOTA_CONTABILIDAD","VECES_CONTABILIDAD","CREDITOS_CONTABILIDAD","NOTA_PROCESOSM","VECES_PROCESOSM","CREDITOS_PROCESOSM","NOTA_ADMINISTRACION","VECES_ADMINISTRACION","CREDITOS_ADMINISTRACION","NOTA_LENGUA_UNO","VECES_LENGUA_UNO","CREDITOS_LENGUA_UNO","NOTA_EI_UNO","VECES_EI_UNO","CREDITOS_EI_UNO","NOTA_EI_DOS","VECES_EI_DOS","CREDITOS_EI_DOS","NOTA_ECONOMIA_DOS","VECES_ECONOMIA_DOS","CREDITOS_ECONOMIA_DOS","NOTA_PLINEAL","VECES_PLINEAL","CREDITOS_PLINEAL","NOTA_DERECHO","VECES_DERECHO","CREDITOS_DERECHO","NOTA_IECONOMICA","VECES_IECONOMICA","CREDITOS_IECONOMICA","NOTA_DISENO","VECES_DISENO","CREDITOS_DISENO","NOTA_METODOS","VECES_METODOS","CREDITOS_METODOS","NOTA_SEGURIDAD","VECES_SEGURIDAD","CREDITOS_SEGURIDAD","NOTA_EI_TRES","VECES_EI_TRES","CREDITOS_EI_TRES","NOTA_EMPRENDIMIENTO","VECES_EMPRENDIMIENTO","CREDITOS_EMPRENDIMIENTO","NOTA_GRAFOS","VECES_GRAFOS","CREDITOS_GRAFOS","NOTA_CALIDAD_UNO","VECES_CALIDAD_UNO","CREDITOS_CALIDAD_UNO","NOTA_MERCADOTECNIA","VECES_MERCADOTECNIA","CREDITOS_MERCADOTECNIA","NOTA_ERGONOMIA","VECES_ERGONOMIA","CREDITOS_ERGONOMIA","NOTA_HOMBRE","VECES_HOMBRE","CREDITOS_HOMBRE","NOTA_EI_CUATRO","VECES_EI_CUATRO","CREDITOS_EI_CUATRO","NOTA_EI_CINCO","VECES_EI_CINCO","CREDITOS_EI_CINCO","NOTA_LOG_UNO","VECES_LOG_UNO","CREDITOS_LOG_UNO","NOTA_GOPERACIONES","VECES_GOPERACIONES","CREDITOS_GOPERACIONES","NOTA_CALIDAD_DOS","VECES_CALIDAD_DOS","CREDITOS_CALIDAD_DOS","NOTA_GAMBIENTAL","VECES_GAMBIENTAL","CREDITOS_GAMBIENTAL","NOTA_LENGUA_DOS","VECES_LENGUA_DOS","CREDITOS_LENGUA_DOS","NOTA_CONTEXTO","VECES_CONTEXTO","CREDITOS_CONTEXTO","NOTA_EI_SEIS","VECES_EI_SEIS","CREDITOS_EI_SEIS","NOTA_EI_SIETE","VECES_EI_SIETE","CREDITOS_EI_SIETE","NOTA_GRADO_UNO","VECES_GRADO_UNO","CREDITOS_GRADO_UNO","NOTA_LOG_DOS","VECES_LOG_DOS","CREDITOS_LOG_DOS","NOTA_DECISION","VECES_DECISION","CREDITOS_DECISION","NOTA_PRODUCCION","VECES_PRODUCCION","CREDITOS_PRODUCCION","NOTA_FINANZAS","VECES_FINANZAS","CREDITOS_FINANZAS","NOTA_GIT","VECES_GIT","CREDITOS_GIT","NOTA_GTH","VECES_GTH","CREDITOS_GTH","NOTA_HISTORIA","VECES_HISTORIA","CREDITOS_HISTORIA","NOTA_GRADO_DOS","VECES_GRADO_DOS","CREDITOS_GRADO_DOS","NOTA_LOG_TRES","VECES_LOG_TRES","CREDITOS_LOG_TRES","NOTA_SIMULACION","VECES_SIMULACION","CREDITOS_SIMULACION","NOTA_FORMULACION","VECES_FORMULACION","CREDITOS_FORMULACION","NOTA_GERENCIA","VECES_GERENCIA","CREDITOS_GERENCIA","NOTA_LENGUA_TRES","VECES_LENGUA_TRES","CREDITOS_LENGUA_TRES","NOTA_EI_OCHO","VECES_EI_OCHO","CREDITOS_EI_OCHO","NOTA_EI_NUEVE","VECES_EI_NUEVE","CREDITOS_EI_NUEVE"
"1","3.1779537106413E+19","MASCULINO","NO OFICIAL","FUERA DE BOGOTA","A","COTA","CUNDINAMARCA","472.22","65.25","65.25","63.43","57.31","51.38","51.38","59.24","0","60.49","62.81","KENNEDY","NORMAL","3","2008","1","ABANDONO","35","1","4","0","0","2","45","1","3","40","1","1","0","0","2","40","1","1","0","0","2","0","0","3","0","0","3","0","0","3","0","0","0","0","0","0","15","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","3.1779537107995E+19","MASCULINO","NO OFICIAL","NO REGISTRA","A","BOGOTA","BOGOTA","478.78","62.84","62.84","58.68","65.03","53.3","53.3","59.24","0","60.49","53.56","KENNEDY","NORMAL","2","2008","1","EGRESADO","22.5","2","4","30","1","2","40","1","3","35","1","1","30","1","2","40","1","1","36","1","2","22.5","2","3","30","1","3","35","1","3","30","1","2","0","0","0","40","1","3","32","1","2","35","1","3","40","1","3","0","0","0","35","1","2","38","1","2","40","1","3","39","1","2","22.5","2","2","35","1","3","30","1","3","30","1","3","35","1","2","27.5","2","3","30","1","2","35","1","1","30","3","3","35","1","2","40","1","3","27.5","2","2","42.5","2","2","45","1","2","0","0","0","30","1","2","30","1","3","42","1","1","40","1","2","30","1","2","30","1","3","32","2","2","0","0","0","0","0","0","41","1","2","31","1","2","33","1","2","30","1","2","35","1","1","0","0","0","0","0","0","28.5","2","2","25.666666666667","3","3","29","2","2","39","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","1","2","32","2","2","32","1","3","30","1","2","40","1","2","41","1","2","0","0","0","0","0","0","46","1","3","37","1","3","0","0","0","42","1","2","0","0","0","0","0","0","0","0","0"
"3","3.1779537109578E+19","MASCULINO","NO OFICIAL","FUERA DE BOGOTA","A","NEIVA","HUILA","465.59","78.22","78.22","66.74","63.27","64.21","64.21","49.87","0","46.04","88.67","CIUDAD BOLIVAR","NORMAL","2","2008","1","APLAZO","30","1","4","23.75","4","2","35","1","3","40","1","1","15","1","2","40","1","1","40","1","2","25","2","3","20","4","3","25","2","3","0","0","0","30","1","1","35","1","3","0","0","0","35","1","3","35","1","3","0","0","0","40","1","2","0","0","0","30","1","3","0","0","0","30","2","2","15","1","3","4","1","3","0","0","0","0","0","0","21.25","4","3","0","0","0","27.5","2","1","0","0","0","0","0","0","0","0","0","30","1","2","0","0","0","40","1","2","0","0","0","18","1","2","0","0","0","0","0","0","0","0","0","0","0","0","3","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","1","2","0","0","0","0","0","0","0","0","0","0","0","0"
"4","3.1779537111161E+19","MASCULINO","NO OFICIAL","ENGATIVA","A","BOGOTA","BOGOTA","491.36","72.55","72.55","56.51","55.7","55.25","55.25","65","0","48.41","53.32","ENGATIVA","NORMAL","3","2008","1","NO SUP. PRUEBA ACAD.","20","3","4","40","1","2","35","1","3","40","1","1","30","1","2","40","1","1","0","0","2","30","1","3","0","0","3","30","1","3","0","0","0","0","0","0","40","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","1","2","0","0","0","0","0","0","0","0","0","0","0","0"
"5","3.1779537112743E+19","MASCULINO","NO OFICIAL","FUERA DE BOGOTA","A","CHIA","CUNDINAMARCA","464.62","67.54","67.54","64","63.27","61.76","61.76","62.54","0","41.05","53.32","FUERA DE BOGOTA","NORMAL","3","2008","1","EGRESADO","30","1","4","35","1","2","40","1","3","40","1","1","35","1","2","35","1","1","45","1","2","35","1","3","32.5","2","3","35","1","3","35","1","2","0","0","0","35","1","3","37","1","2","35","1","3","45","1","3","0","0","0","40","1","2","40","1","2","35","1","3","25","2","2","30","1","2","40","1","3","35","1","3","40","1","3","35","1","2","40","1","3","45","1","2","30","1","1","35","1","3","35","1","2","30","1","3","35","1","2","0","0","0","0","0","0","0","0","0","35","1","2","25","3","3","47","1","1","40","1","2","45","1","2","30","1","3","40","1","2","0","0","0","0","0","0","46","1","2","35","1","2","35","1","2","35","1","2","30","1","1","0","0","0","0","0","0","40","1","2","36","1","3","33","1","2","44","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","1","2","40","1","2","38","1","3","31","2","2","31","1","2","40","1","2","0","0","0","0","0","0","45","1","3","44","1","3","37","1","2","42","1","2","0","0","0","0","0","0","0","0","0"
"6","3.1779537114326E+19","FEMENINO","NO OFICIAL","ANTONIO NARINO","A","BOGOTA","BOGOTA","465.73","75.27","75.27","58.93","48.97","70.06","70.06","55.99","0","48.41","65.86","PUENTE ARANDA","NORMAL","3","2008","1","EGRESADO","30","1","4","40","1","2","30","2","3","35","1","1","40","1","2","45","1","1","40","1","2","30","1","3","30","1","3","40","1","3","35","1","2","0","0","0","40","1","3","35","1","2","35","1","3","40","1","3","0","0","0","40","1","2","43","1","2","40","1","3","50","1","2","35","1","2","40","1","3","35","1","3","30","1","3","40","1","2","35","1","3","44","1","2","35","1","1","40","1","3","45","1","2","45","1","3","40","1","2","0","0","0","0","0","0","0","0","0","35","1","2","30","1","3","47","1","1","40","1","2","40","1","2","40","1","3","45","1","2","0","0","0","0","0","0","50","1","2","35","1","2","35","1","2","40","1","2","35","1","1","0","0","0","0","0","0","45","1","2","36","1","3","39","1","2","45","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","1","2","42","1","2","40","1","3","35","1","2","37","1","2","45","1","2","0","0","0","0","0","0","40","1","3","37","1","3","0","0","0","45","1","2","0","0","0","0","0","0","0","0","0"
"7","3.1779537115908E+19","MASCULINO","NO REGISTRA","TUNJUELITO","NO REGISTRA","NO REGISTRA","NO REGISTRA","555.13","89.86","89.86","81.3","68.28","66.94","66.94","58.09","0","57.9","45.98","USME","NORMAL","2","2008","1","ABANDONO","15","3","4","15","1","2","30","1","3","35","1","1","30","1","2","35","1","1","0","0","2","0","0","3","0","0","3","30","1","3","0","0","0","0","0","0","30","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","1","3","0","0","0","15","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","1","2","0","0","0","0","0","0","0","0","0","0","0","0"
"8","3.1779537117491E+19","MASCULINO","NO OFICIAL","FONTIBON","A","BOGOTA","BOGOTA","491.66","89.86","89.86","54.12","57.44","61.76","61.76","65","0","35.44","53.32","FONTIBON","NORMAL","3","2008","1","ABANDONO","45","1","4","30","1","2","35","1","3","40","1","1","35","1","2","40","1","1","0","0","2","30","1","3","35","1","3","35","1","3","0","0","0","0","0","0","45","1","3","0","0","0","30","1","3","40","1","3","0","0","0","0","0","0","0","0","0","45","1","3","0","0","0","35","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","1","2","0","0","0","0","0","0","0","0","0","0","0","0"
"9","3.1779537119073E+19","FEMENINO","NO OFICIAL","ANTONIO NARINO","A","BOGOTA","BOGOTA","478.1","72.55","72.55","56.51","61.18","64.21","64.21","53.95","0","46.04","69.48","USME","NORMAL","2","2008","1","EGRESADO","30","2","4","40","1","2","40","1","3","40","1","1","40","1","2","40","1","1","50","1","2","35","1","3","30","1","3","35","1","3","35","1","2","0","0","0","35","1","3","37","1","2","35","1","3","45","1","3","0","0","0","45","1","2","43","1","2","35","1","3","45","1","2","35","1","2","35","1","3","35","1","3","35","1","3","35","1","2","40","1","3","40","1","2","40","1","1","35","1","3","40","1","2","30","1","3","30","1","2","42.5","2","2","0","0","0","0","0","0","40","1","2","35","1","3","35","1","1","30","2","2","35","1","2","40","1","3","37","1","2","0","0","0","0","0","0","45","1","2","45","1","2","33","1","2","35","1","2","45","1","1","0","0","0","0","0","0","40","1","2","33","1","3","38","1","2","40","1","2","40","1","2","0","0","0","0","0","0","0","0","0","0","0","0","34.5","2","2","42","1","2","44","1","3","27.5","2","2","45","1","2","45","1","2","0","0","0","0","0","0","32","1","3","36","1","3","43","1","2","39","1","2","0","0","0","0","0","0","0","0","0"
"10","3.1779537120656E+19","FEMENINO","NO OFICIAL","ANTONIO NARINO","A","BOGOTA","BOGOTA","465.69","67.54","67.54","56.51","57.44","66.94","66.94","58.09","0","43.59","62.69","RAFAEL URIBE URIBE","NORMAL","2","2008","1","EGRESADO","22.5","2","4","40","1","2","35","1","3","40","1","1","35","1","2","40","1","1","40","1","2","35","1","3","30","1","3","35","1","3","28.5","2","2","0","0","0","40","1","3","38","1","2","35","1","3","30","1","3","0","0","0","40","1","2","44","1","2","40","1","3","40","1","2","40","1","2","30","1","3","45","1","3","35","1","3","30","1","2","30","2","3","43","1","2","35","1","1","27.5","2","3","30","1","2","40","1","3","35","1","2","0","0","0","0","0","0","0","0","0","35","1","2","30","1","3","46","1","1","30","1","2","35","1","2","40","1","3","32","1","2","0","0","0","0","0","0","40","1","2","45","1","2","30","1","2","40","1","2","45","1","1","0","0","0","0","0","0","32","1","2","38","1","3","42","1","2","43","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","1","2","26","3","2","46","1","3","30","2","2","40","1","2","39","1","2","0","0","0","0","0","0","42","1","3","37","1","3","0","0","0","44","1","2","0","0","0","0","0","0","0","0","0"
