NOTA_SUELOS;NOTAS_SISC;NOTA_TOP;NOTA_GEOGEO;NOTA_POO;VECES_BD;NOTA_ME;NOTA_ECUA;CAR_CINCO;NOTA_PROGB;NOTA_FOTO;NOTA_CARTO;LITERATURA_ICFES;VECES_CARTO;NOTA_CFJC;VECES_SISC;NCA_CUATRO;NOTA_PROB;NOTA_AGEO;NOTA_BD;NOTA_PRII;NOTA_ECO_UNO;VECES_ME;VECES_EST;NAC_CINCO;NCA_CINCO;NCC_CINCO;EPA_CINCO;EPA_CUATRO;NAP_CINCO;NAA_CINCO;VECES_ECO_UNO;VECES_AGEO;NOTA_EST;NCP_CINCO;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_TRES;PROMEDIO_CUATRO;PROMEDIO_CINCO;CREDITOS_ECO_UNO;CREDITOS_EST;CREDITOS_BD;CREDITOS_AGEO;CREDITOS_ME;CREDITOS_SISC;CREDITOS_CARTO;RENDIMIENTO_SEIS;PROMEDIO_SEIS
30;38;30;32;45;1;34;35;1;50;35;43;62.59;1;45;2;17.0;40;40;30;38;36;1;1;7;18.0;18.0;2;2;0;7;1;1;35;0.0;36.1764705882353;36.0;34.72222222222222;36.88235294117647;36.833333333333336;2;2;3;3;2;3;3;2.0;38.13333333333333
35;46;35;40;40;1;30;30;1;30;35;39;63.33;1;45;1;17.0;38;33;42;37;34;2;1;7;18.0;18.0;2;2;0;7;1;1;44;0.0;35.1764705882353;36.0;35.55555555555556;37.23529411764706;38.666666666666664;2;2;3;3;2;3;3;2.0;35.6
0;0;36;0;0;0;0;0;0;0;0;0;48.95;0;38;0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;1;1;0;0;0;0;0;0.0;29.642857142857142;34.0;3.1666666666666665;0.0;0.0;2;2;3;3;2;3;3;4.0;50.0
30;39;40;40;40;1;31;35;2;30;35;44;53.3;1;45;1;17.0;35;38;39;38;37;2;1;7;18.0;18.0;2;2;0;7;1;2;41;0.0;32.94117647058823;37.666666666666664;33.888888888888886;38.76470588235294;38.77777777777778;2;2;3;3;2;3;3;3.0;41.0
35;40;35;31;40;1;30;40;2;30;35;41;57.65;1;45;1;17.0;43;30;30;41;32;1;1;7;18.0;18.0;2;2;0;7;2;2;40;0.0;32.35294117647059;34.666666666666664;36.55555555555556;37.529411764705884;34.833333333333336;2;2;3;3;2;3;3;2.0;39.0
30;35;30;37;35;1;38;40;1;50;35;40;49.19;1;40;1;17.0;30;30;30;35;33;2;1;7;18.0;18.0;2;2;0;7;1;1;42;0.0;33.529411764705884;35.666666666666664;34.44444444444444;34.94117647058823;35.05555555555556;2;2;3;3;2;3;3;3.0;40.4
35;35;35;35;35;1;32;35;1;30;40;33;53.24;1;50;1;17.0;35;35;39;30;32;1;1;7;18.0;18.0;2;2;0;7;1;2;46;0.0;32.35294117647059;38.0;36.388888888888886;34.94117647058823;35.888888888888886;2;2;3;3;2;3;3;2.0;39.266666666666666
35;33;30;36;30;1;32;30;2;43;37;39;62.71;1;30;1;17.0;30;37;46;38;34;1;1;7;18.0;18.0;2;2;0;7;3;2;35;0.0;34.11764705882353;36.333333333333336;32.111111111111114;34.64705882352941;37.05555555555556;2;2;3;3;2;3;3;2.0;37.8
36;0;39;0;0;0;0;0;0;0;41;0;57.57;0;0;0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;1;1;0;0;0;0;0;0.0;31.0;32.46666666666667;38.0;0.0;0.0;2;2;3;3;2;3;3;2.0;39.0
30;41;30;36;35;1;37;32;0;50;35;41;50.87;1;45;1;17.0;30;31;33;41;30;1;1;7;18.0;18.0;2;2;0;7;1;1;45;0.0;34.11764705882353;36.333333333333336;32.55555555555556;38.0;36.77777777777778;2;2;3;3;2;3;3;2.0;38.2
35;43;40;30;35;2;30;40;1;30;35;35;55.21;1;45;1;17.0;40;32;37;40;30;1;1;7;18.0;18.0;2;2;0;7;1;1;42;0.0;33.529411764705884;37.333333333333336;34.72222222222222;38.8235294117647;35.833333333333336;2;2;3;3;2;3;3;3.0;40.06666666666667
35;40;35;38;30;1;31;30;3;45;45;32;53.24;1;40;2;17.0;37;32;31;44;33;2;1;7;18.0;18.0;2;2;0;7;2;1;45;0.0;34.705882352941174;35.0;33.05555555555556;38.0;34.611111111111114;2;2;3;3;2;3;3;2.0;39.0
30;30;35;30;50;1;42;34;1;45;31;39;52.77;1;45;1;17.0;38;37;35;41;37;1;1;7;18.0;18.0;2;2;0;7;2;1;37;0.0;35.588235294117645;35.0;35.94444444444444;36.76470588235294;36.388888888888886;2;2;3;3;2;3;3;2.0;37.13333333333333
