CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;ANO_INGRESO;FILOSOFIA_ICFES;APT_VERB_ICFES;FISICA_ICFES;MUNICIPIO;GENERO;APT_MAT_ICFES;LOCALIDAD;DEPARTAMENTO;SOCIALES_ICFES;ESTRATO;CALENDARIO;TIPO_COLEGIO;DISTANCIA;INSCRIPCION;CORTE_INGRESO;RENDIMIENTO_UNO;PROMEDIO_UNO
60.91;52.08;16;63.2;69.14;448.47;59.4;2011;63.68;59.4;69.98;20;0;60.91;16;5;0;3;1;1;2;10;1;2.0;35.11764705882353
66.17;66.95;12;68.87;69.14;450.27;65.03;2011;54.95;65.03;73.09;20;0;66.17;11;5;0;2;1;2;5;10;1;2.0;34.411764705882355
75.41;50.87;6;63.99;49.44;429.72;59.4;2011;51.89;59.4;69.72;20;0;75.41;18;5;0;2;1;1;3;10;1;2.0;35.705882352941174
63.5;45.84;21;72.69;61.96;445.15;59.4;2011;37.03;59.4;75.93;0;0;63.5;8;0;0;2;0;0;3;10;1;1.0;17.058823529411764
82.87;48.42;9;57.8;59.0;439.63;62.11;2011;59.66;62.11;66.93;20;0;82.87;9;5;0;3;1;1;4;10;1;2.0;34.705882352941174
89.92;60.44;1;60.48;69.14;460.0;62.21;2011;60.81;62.21;57.57;20;0;89.92;11;5;0;3;1;1;5;10;1;2.0;40.0
75.41;59.21;8;65.98;63.93;451.49;67.92;2011;60.81;67.92;57.57;20;1;75.41;8;5;0;3;1;2;3;10;1;2.0;40.0
99.48;77.13;10;79.57;75.48;539.63;65.03;2011;75.71;65.03;69.72;20;0;99.48;16;5;0;3;1;2;2;10;1;2.0;34.11764705882353
75.41;77.13;17;68.87;75.02;470.71;59.4;2011;63.68;59.4;50.75;20;0;75.41;10;5;0;3;1;2;3;10;1;2.0;32.529411764705884
78.36;73.24;20;66.77;78.83;509.82;67.8;2011;77.27;67.8;75.93;121;0;78.36;13;18;0;1;1;2;1;10;1;1.0;23.823529411764707
63.02;56.09;18;52.34;56.56;439.21;64.91;2011;59.66;64.91;73.09;20;0;63.02;18;5;0;3;1;2;3;10;1;2.0;37.35294117647059
71.35;69.93;10;61.28;75.48;453.44;62.11;2011;50.93;62.11;69.72;20;0;71.35;10;5;0;3;1;1;3;10;1;2.0;32.05882352941177
63.5;94.41;15;83.7;66.99;482.15;67.92;2011;69.52;67.92;63.65;20;0;63.5;15;5;0;3;1;2;3;10;1;2.0;34.76470588235294
71.35;56.82;11;69.65;61.96;453.41;62.11;2011;68.09;62.11;66.68;20;0;71.35;11;5;0;3;1;2;5;10;1;2.0;32.64705882352941
69.01;61.66;8;57.8;75.02;461.49;73.98;2011;54.95;73.98;63.86;20;0;69.01;8;5;0;3;1;1;3;10;1;2.0;31.705882352941178
68.39;62.94;8;69.65;61.96;456.99;67.8;2011;65.24;67.8;63.65;20;0;68.39;16;5;0;3;1;1;2;10;1;2.0;35.0
72.05;53.27;7;60.48;71.97;469.07;73.98;2011;63.68;73.98;57.57;20;0;72.05;7;5;0;2;1;1;5;10;1;2.0;35.588235294117645
88.79;71.53;7;63.99;103.04;504.37;59.27;2011;53.93;59.27;72.78;20;0;88.79;8;5;0;2;1;2;3;10;1;2.0;37.470588235294116
66.17;49.66;10;63.2;61.43;451.14;73.98;2011;54.95;73.98;66.93;20;0;66.17;10;5;0;3;1;2;3;10;1;2.0;36.23529411764706
82.87;48.42;20;72.69;66.99;481.47;59.27;2011;59.66;59.27;72.78;103;0;82.87;20;30;0;2;1;1;6;10;1;2.0;38.705882352941174
60.91;75.1;20;63.99;72.45;489.4;77.28;2011;75.71;77.28;69.72;121;1;60.91;20;18;0;2;1;2;6;10;1;2.0;36.470588235294116
68.39;85.05;11;66.77;75.48;461.74;64.91;2011;53.93;64.91;57.4;20;0;68.39;11;5;0;2;1;1;5;6;1;2.0;39.11764705882353
66.17;55.62;20;72.69;66.99;443.5;59.4;2011;48.66;59.4;69.72;235;0;66.17;9;34;0;2;1;1;4;10;1;2.0;36.470588235294116
63.5;62.94;20;63.2;69.14;466.97;73.98;2011;69.52;73.98;60.76;0;0;63.5;20;0;0;3;0;0;6;10;1;2.0;39.94117647058823
74.62;52.08;16;63.99;72.45;463.18;59.27;2011;68.09;59.27;66.68;20;0;74.62;16;5;0;3;1;1;2;10;1;2.0;37.94117647058823
