RENDIMIENTO_DOS;NOTA_POO;NOTA_INT;NOTA_FIS_DOS;NOTA_EYB;NOTA_DEM;NOTA_CIR_UNO;NOTA_HCI;VECES_INT;VECES_FIS_DOS;PROMEDIO_UNO;PG_ICFES;NCA_UNO;EPA_UNO;NAP_UNO;NCP_UNO;IDIOMA_ICFES;VECES_POO;NAA_UNO;VECES_CIR_UNO;VECES_EYB;VECES_DEM;CAR_UNO;QUIMICA_ICFES;ANO_INGRESO;GENERO;NCC_UNO;VECES_HCI;BIOLOGIA_ICFES;NAC_UNO;APT_VERB_ICFES;PROMEDIO_DOS;FILOSOFIA_ICFES;FISICA_ICFES;CREDITOS_HCI
2.0;50;35;35;35;50;35;45;1;1;42.35294117647059;441.97;17.0;2;0;0.0;76.45;1;7;1;1;1;0;52.16;2009;0;17.0;1;57.84;7;56.79;39.375;48.98;50.98;1
2.0;50;30;35;40;50;35;45;1;2;41.470588235294116;447.84;17.0;2;0;0.0;80.55;1;7;1;1;1;0;52.59;2009;0;17.0;1;53.85;7;60.56;39.0625;49.38;52.53;1
2.0;35;30;30;35;40;25;45;2;2;38.333333333333336;426.22;15.0;2;0;0.0;37.51;1;6;4;1;1;2;49.3;2009;0;15.0;2;48.23;6;54.66;32.1875;51.65;54.91;1
1.0;40;15;25;20;15;15;20;1;1;34.333333333333336;433.27;15.0;2;0;0.0;55.84;1;6;1;1;1;0;56.05;2009;0;15.0;1;62.35;6;65.04;22.5;44.72;52.53;1
2.0;30;35;35;40;50;35;30;1;2;33.529411764705884;477.09;17.0;2;0;0.0;69.48;1;7;2;1;1;1;59.94;2009;0;17.0;1;76.52;7;60.56;35.3125;46.69;50.09;1
2.0;30;30;30;40;50;30;35;3;2;36.1764705882353;394.21;17.0;2;0;0.0;39.16;1;7;1;1;1;2;48.36;2009;0;17.0;1;56.94;7;46.83;32.8125;46.43;60.98;1
2.0;50;35;30;35;50;35;45;1;2;37.35294117647059;450.91;17.0;2;0;0.0;54.57;1;7;1;1;1;1;57.92;2009;1;17.0;1;55.8;7;67.62;38.4375;58.18;50.09;1
2.0;45;35;30;40;45;35;35;2;1;34.11764705882353;441.38;17.0;2;0;0.0;43.48;1;7;1;1;1;2;52.59;2009;0;17.0;1;51.96;7;48.95;37.1875;51.65;50.09;1
2.0;50;35;30;40;50;40;45;1;1;40.88235294117647;467.51;17.0;2;0;0.0;57.27;1;7;1;1;1;0;60.21;2009;1;17.0;1;48.64;7;53.57;40.0;56.96;54.33;1
1.0;15;15;15;0;40;15;15;1;2;32.86666666666667;444.35;15.0;2;0;0.0;58.45;1;6;1;0;1;2;57.92;2009;0;15.0;1;51.96;6;48.95;16.785714285714285;47.08;54.91;1
3.0;50;40;30;45;50;35;40;2;1;37.64705882352941;456.84;17.0;2;0;0.0;52.09;1;7;2;1;1;0;56.05;2009;1;17.0;1;53.85;7;58.52;40.3125;53.92;54.91;1
3.0;50;40;35;40;50;35;45;1;1;41.470588235294116;450.67;17.0;2;0;0.0;49.51;1;7;1;1;1;0;47.37;2009;0;17.0;1;45.62;7;62.18;40.9375;62.45;54.31;1
3.0;50;50;35;45;50;40;45;1;1;46.0;427.27;15.0;2;0;0.0;62.81;1;6;1;1;1;0;59.03;2009;0;15.0;1;68.0;6;53.3;44.375;39.6;58.68;1
