NOTA_ASD;NOTA_CEM;NOTA_IO_UNO;NOTA_INSE;NOTA_IYM;NOTA_EE_UNO;NOTA_GENH;VECES_CEM;NOTA_EL_DOS;VECES_IYM;VECES_INSE;PROMEDIO_CUATRO;NOTA_MPI;VECES_EE_UNO;VECES_ASD;NAA_CUATRO;NOTA_GEE;NOTA_ME;NCC_CUATRO;NOTA_PYE;NCA_CUATRO;NOTA_CIR_TRES;NOTA_ELD;VECES_GENH;NCP_CUATRO;VECES_EL_DOS;VECES_IO_UNO;VECES_ME;CAR_CUATRO;NAP_CUATRO;NAC_CUATRO;EPA_CUATRO;VECES_PYE;CREDITOS_ASD;CREDITOS_IYM;CREDITOS_IO_UNO;CREDITOS_INSE;CREDITOS_GENH;CREDITOS_EE_UNO;CREDITOS_CEM;RENDIMIENTO_CINCO;PROMEDIO_CINCO
42;35;35;35;40;46;50;1;35;1;1;38.23529411764706;40;1;1;7;35;45;17.0;35;17.0;35;40;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;40.411764705882355
43;35;45;40;40;50;50;1;35;1;1;39.411764705882355;45;1;1;7;35;45;17.0;40;17.0;35;40;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;43.0
0;0;0;0;0;35;0;0;0;0;0;30.0;30;1;0;1;0;0;2.0;0;2.0;0;0;0;0.0;0;0;0;0;0;1;2;0;2;3;2;2;2;3;3;2.0;35.0
36;32;40;30;45;41;30;4;33;1;1;35.05882352941177;30;1;1;7;32;33;17.0;30;17.0;44;42;1;0.0;1;1;2;3;0;7;2;1;2;3;2;2;2;3;3;2.0;36.8235294117647
0;0;0;0;30;0;0;0;34;1;0;26.384615384615383;35;0;0;4;0;5;13.0;30;10.0;0;32;0;3.0;1;0;1;0;1;5;1;1;2;3;2;2;2;3;3;1.0;30.0
40;31;30;39;42;41;32;1;30;1;1;35.35294117647059;40;1;1;7;31;35;17.0;35;17.0;37;40;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;36.705882352941174
36;20;35;43;50;0;33;3;35;1;1;34.23529411764706;30;0;1;7;37;36;17.0;30;17.0;32;37;1;0.0;2;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;36.0
44;35;45;45;45;50;50;1;35;1;1;37.94117647058823;45;1;1;7;30;35;17.0;40;17.0;35;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;44.588235294117645
45;30;31;44;43;45;50;1;30;1;1;34.411764705882355;40;1;1;7;30;35;17.0;30;17.0;35;40;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;40.8235294117647
43;45;45;40;45;49;50;1;30;1;1;36.64705882352941;40;1;1;7;35;41;17.0;35;17.0;35;40;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;4.0;45.470588235294116
34;33;32;33;32;45;30;2;36;1;1;35.470588235294116;33;1;1;7;30;39;17.0;31;17.0;35;40;1;0.0;1;1;2;2;0;7;2;3;2;3;2;2;2;3;3;2.0;34.588235294117645
31;33;39;32;42;40;33;2;30;1;1;35.470588235294116;30;1;1;7;39;33;17.0;33;17.0;48;38;1;0.0;1;1;1;2;0;7;2;2;2;3;2;2;2;3;3;2.0;36.1764705882353
43;35;45;45;45;41;50;1;35;1;1;40.88235294117647;40;1;1;7;40;45;17.0;45;17.0;35;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;42.88235294117647
0;16;0;0;0;42;0;2;0;0;0;32.6;35;1;0;3;0;35;10.0;35;7.0;0;27;0;3.0;0;0;1;0;1;4;2;1;2;3;2;2;2;3;3;1.0;29.0
35;30;35;30;44;36;34;3;39;1;1;35.8235294117647;35;1;1;7;30;34;17.0;30;17.0;37;42;1;0.0;1;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;35.1764705882353
38;35;30;33;40;40;30;3;41;1;1;33.88235294117647;35;1;1;7;30;33;17.0;30;17.0;37;30;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;35.705882352941174
39;30;33;32;33;40;40;1;32;1;1;40.529411764705884;40;1;1;7;37;40;17.0;45;17.0;47;45;1;0.0;1;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;35.11764705882353
43;27;33;35;40;42;32;5;34;1;1;36.35294117647059;30;1;2;7;50;32;17.0;30;17.0;40;40;1;0.0;2;1;2;3;0;7;2;2;2;3;2;2;2;3;3;2.0;36.05882352941177
34;32;39;40;47;42;32;4;38;1;1;35.64705882352941;30;1;1;7;33;32;17.0;30;17.0;33;48;1;0.0;2;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;38.411764705882355
46;45;50;40;45;40;50;1;40;1;1;43.23529411764706;40;1;1;7;40;50;17.0;45;17.0;40;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;44.8235294117647
42;30;37;35;41;37;35;2;32;1;1;38.0;35;1;1;7;37;35;17.0;38;17.0;48;43;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;36.588235294117645
43;45;45;35;40;43;50;1;35;1;1;40.88235294117647;45;1;1;7;35;50;17.0;40;17.0;40;40;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;42.94117647058823
43;35;48;40;40;50;42;1;40;1;1;41.76470588235294;40;1;1;7;40;50;17.0;45;17.0;35;40;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;42.411764705882355
20;0;0;0;0;0;0;0;27;0;0;34.84615384615385;35;0;1;4;0;35;13.0;31;10.0;0;45;0;3.0;3;0;1;2;1;5;2;2;2;3;2;2;2;3;3;1.0;20.0
42;30;45;43;44;42;31;1;38;1;1;39.76470588235294;40;1;1;7;50;35;17.0;35;17.0;36;45;1;0.0;2;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;39.411764705882355
40;34;34;30;36;43;34;3;35;1;1;35.705882352941174;40;1;2;7;30;31;17.0;33;17.0;46;37;1;0.0;2;1;1;3;0;7;2;2;2;3;2;2;2;3;3;2.0;36.1764705882353
32;30;36;34;45;44;32;4;32;1;1;32.76470588235294;35;1;1;7;30;30;17.0;40;17.0;34;31;1;0.0;2;1;3;4;0;7;2;1;2;3;2;2;2;3;3;2.0;36.76470588235294
0;29;37;33;32;0;33;3;34;1;1;28.933333333333334;35;0;0;5;31;31;15.0;34;12.0;0;13;1;3.0;1;1;1;1;1;6;1;1;2;3;2;2;2;3;3;2.0;32.416666666666664
40;30;38;37;39;40;32;3;34;1;1;37.529411764705884;40;1;1;7;33;37;17.0;40;17.0;44;37;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;36.529411764705884
44;33;35;41;47;50;34;2;34;1;1;37.8235294117647;40;1;1;7;30;35;17.0;35;17.0;44;46;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;41.05882352941177
36;30;42;38;42;40;36;3;30;1;1;35.23529411764706;40;1;1;7;31;34;17.0;33;17.0;35;43;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;37.64705882352941
34;32;39;40;34;40;35;1;31;1;1;36.11764705882353;35;1;1;7;31;35;17.0;34;17.0;42;44;1;0.0;2;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;36.11764705882353
35;40;37;44;48;50;50;1;30;1;1;40.76470588235294;40;1;1;7;50;40;17.0;40;17.0;44;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;43.88235294117647
40;30;32;43;46;40;50;1;35;1;1;41.588235294117645;35;1;1;7;50;50;17.0;40;17.0;41;40;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;39.88235294117647
43;30;42;45;45;50;50;1;30;1;1;39.411764705882355;40;1;1;7;50;45;17.0;30;17.0;35;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;43.23529411764706
39;32;41;36;50;50;50;2;30;1;1;36.294117647058826;35;1;1;7;50;34;17.0;35;17.0;34;39;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;3.0;42.8235294117647
45;30;35;39;43;50;30;1;30;1;1;36.294117647058826;40;1;1;7;30;35;17.0;40;17.0;41;40;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;39.23529411764706
43;31;41;38;41;39;31;1;36;1;1;37.529411764705884;30;1;1;7;37;35;17.0;40;17.0;47;39;1;0.0;2;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;37.588235294117645
45;35;35;40;40;37;50;1;30;1;1;35.88235294117647;40;1;1;7;35;35;17.0;30;17.0;35;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;39.76470588235294
39;30;43;43;43;44;41;2;34;1;1;39.294117647058826;35;1;1;7;32;42;17.0;45;17.0;45;42;1;0.0;1;1;1;1;0;7;2;2;2;3;2;2;2;3;3;3.0;40.1764705882353
37;42;34;34;38;43;34;3;38;1;1;34.1764705882353;40;1;2;7;30;31;17.0;38;17.0;34;30;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;38.05882352941177
43;30;33;37;45;40;31;2;35;1;1;37.76470588235294;40;1;1;7;32;30;17.0;40;17.0;44;45;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;37.23529411764706
45;35;45;40;40;0;50;1;30;1;1;37.35294117647059;40;0;1;7;35;40;17.0;35;17.0;35;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;41.785714285714285
