NOTA_FGEP;NOTA_HIST;NOTA_CCON;NOTA_L_DOS;NOTA_AIELEC;NOTA_SUBEL;VECES_SUBEL;VECES_FGEP;VECES_L_DOS;VECES_HIST;NOTA_L_UNO;PROMEDIO_SIETE;VECES_CCON;NOTA_EI_DOS;NOTA_ELECPOT;NAC_CINCO;NCC_SIETE;NAA_SIETE;EPA_SIETE;NOTA_AUTO;NOTA_MAQEL;VECES_AIELEC;VECES_ECO;NOTA_ECO;NOTA_ASP;NAP_SIETE;NAC_SIETE;NCA_SIETE;VECES_ASP;CAR_SIETE;NCP_SIETE;VECES_EI_DOS;CREDITOS_EI_DOS;CREDITOS_AIELEC;CREDITOS_SUBEL;CREDITOS_L_DOS;CREDITOS_HIST;CREDITOS_FGEP;CREDITOS_CCON;RENDIMIENTO_OCHO;PROMEDIO_OCHO
42;43;45;47;34;31;1;1;1;1;44;34.0;1;31;30;7;18.0;7;2;33;31;1;1;31;41;0;7;18.0;2;2;0.0;1;3;2;3;2;2;2;1;2.0;37.53333333333333
45;45;45;46;35;36;1;1;1;1;46;36.05555555555556;1;40;30;7;18.0;7;2;36;31;1;2;31;37;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;3.0;41.0
41;48;43;44;42;32;2;1;1;2;46;38.94444444444444;1;35;33;7;18.0;7;2;33;42;1;1;42;38;0;7;18.0;4;3;0.0;1;3;2;3;2;2;2;1;2.0;39.6
0;34;0;0;0;0;0;0;0;1;0;0.0;0;0;0;1;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;3;2;3;2;2;2;1;2.0;34.0
32;42;47;44;38;32;1;1;1;1;46;38.05555555555556;1;41;35;7;18.0;7;2;31;42;1;1;42;41;0;7;18.0;2;3;0.0;1;3;2;3;2;2;2;1;2.0;38.53333333333333
43;44;48;45;32;36;1;1;1;1;42;34.833333333333336;1;39;33;7;18.0;7;2;30;33;1;1;33;30;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;3.0;40.06666666666667
42;48;39;42;37;35;1;1;1;1;42;32.611111111111114;1;35;36;7;18.0;7;2;31;30;1;1;30;30;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;2.0;39.13333333333333
32;48;47;47;36;38;1;1;1;1;35;34.111111111111114;1;41;32;7;18.0;7;2;37;31;1;1;31;30;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;3.0;40.666666666666664
34;44;50;37;34;33;2;1;1;1;43;37.27777777777778;1;36;35;7;18.0;7;2;32;40;1;1;40;34;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;2.0;37.0
0;0;0;41;0;0;0;0;1;0;0;0.0;0;0;0;0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;3;2;3;2;2;2;1;3.0;41.0
44;46;45;34;38;30;2;1;1;1;46;34.611111111111114;1;37;31;7;18.0;7;2;33;33;2;1;33;34;0;7;18.0;4;3;0.0;1;3;2;3;2;2;2;1;2.0;38.0
44;46;46;45;35;38;1;1;1;1;41;37.72222222222222;1;30;30;7;18.0;7;2;30;42;1;1;42;35;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;2.0;39.333333333333336
34;47;45;42;42;30;1;1;1;1;49;35.5;1;45;30;7;18.0;7;2;38;36;1;1;36;33;0;7;18.0;3;2;0.0;1;3;2;3;2;2;2;1;2.0;40.0
33;47;45;35;36;30;1;1;1;1;34;36.111111111111114;1;38;34;7;18.0;7;2;42;30;1;1;30;43;0;7;18.0;1;3;0.0;1;3;2;3;2;2;2;1;2.0;36.733333333333334
37;45;46;39;33;38;3;1;1;1;43;37.111111111111114;1;38;30;7;18.0;7;2;33;42;1;1;42;32;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;2.0;38.8
44;42;46;42;35;31;1;1;1;1;44;38.05555555555556;1;35;32;7;18.0;7;2;33;45;1;1;45;32;0;7;18.0;1;2;0.0;1;3;2;3;2;2;2;1;2.0;38.0
40;48;38;44;41;41;1;1;1;1;46;41.72222222222222;1;45;46;7;18.0;7;2;36;43;1;1;43;42;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;3.0;42.8
48;46;43;41;34;36;1;1;1;1;44;33.05555555555556;1;39;31;7;18.0;7;2;31;32;1;1;32;30;0;7;18.0;2;3;0.0;1;3;2;3;2;2;2;1;3.0;40.4
39;44;47;42;39;34;1;1;1;1;47;36.888888888888886;1;30;34;7;18.0;7;2;32;34;1;1;34;34;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;2.0;37.8
44;42;42;36;38;41;1;1;1;1;40;38.833333333333336;1;43;44;7;18.0;7;2;30;41;1;1;41;42;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;3.0;40.93333333333333
40;43;44;45;39;34;1;1;1;1;46;38.888888888888886;1;44;43;7;18.0;7;2;35;32;1;1;32;38;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;3.0;40.8
36;33;45;41;34;33;2;1;1;1;45;35.27777777777778;1;42;30;7;18.0;7;2;37;36;2;2;36;30;0;7;18.0;2;4;0.0;1;3;2;3;2;2;2;1;2.0;37.2
30;37;47;40;36;30;2;1;1;1;36;38.22222222222222;1;39;33;7;18.0;7;2;31;49;1;1;49;32;0;7;18.0;1;0;0.0;1;3;2;3;2;2;2;1;2.0;36.0
35;48;44;47;32;33;2;1;1;1;47;34.333333333333336;1;38;30;7;18.0;7;2;31;30;1;1;30;35;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;2.0;38.733333333333334
45;45;44;46;34;34;1;1;1;1;48;34.77777777777778;1;42;32;7;18.0;7;2;40;33;1;1;33;31;0;7;18.0;1;1;0.0;1;3;2;3;2;2;2;1;3.0;40.8
39;42;44;38;33;34;1;1;1;1;35;34.55555555555556;1;41;35;7;18.0;7;2;36;36;1;1;36;30;0;7;18.0;1;2;0.0;1;3;2;3;2;2;2;1;2.0;38.2
