RENDIMIENTO_TRES;IDIOMA_ICFES;PG_ICFES;FISICA_ICFES;ANO_INGRESO;APT_VERB_ICFES;QUIMICA_ICFES;FILOSOFIA_ICFES;GENERO;BIOLOGIA_ICFES;PROMEDIO_UNO;NOTA_POO;NOTA_INT;NOTA_FIS_DOS;NOTA_EYB;NOTA_DEM;NOTA_CIR_UNO;NOTA_HCI;VECES_INT;VECES_FIS_DOS;PROMEDIO_TRES
2.0;76.45;441.97;50.98;2009;56.79;52.16;48.98;0;57.84;42.35294117647059;50;35;35;35;50;35;45;1;1;35.833333333333336
2.0;80.55;447.84;52.53;2009;60.56;52.59;49.38;0;53.85;41.470588235294116;50;30;35;40;50;35;45;1;2;38.333333333333336
1.0;37.51;426.22;54.91;2009;54.66;49.3;51.65;0;48.23;38.333333333333336;35;30;30;35;40;25;45;2;2;15.5
1.0;55.84;433.27;52.53;2009;65.04;56.05;44.72;0;62.35;34.333333333333336;40;15;25;20;15;15;20;1;1;25.0
2.0;69.48;477.09;50.09;2009;60.56;59.94;46.69;0;76.52;33.529411764705884;30;35;35;40;50;35;30;1;2;32.5
2.0;39.16;394.21;60.98;2009;46.83;48.36;46.43;0;56.94;36.1764705882353;30;30;30;40;50;30;35;3;2;36.166666666666664
2.0;54.57;450.91;50.09;2009;67.62;57.92;58.18;1;55.8;37.35294117647059;50;35;30;35;50;35;45;1;2;32.5
2.0;43.48;441.38;50.09;2009;48.95;52.59;51.65;0;51.96;34.11764705882353;45;35;30;40;45;35;35;2;1;37.5
2.0;57.27;467.51;54.33;2009;53.57;60.21;56.96;1;48.64;40.88235294117647;50;35;30;40;50;40;45;1;1;36.666666666666664
1.0;58.45;444.35;54.91;2009;48.95;57.92;47.08;0;51.96;32.86666666666667;15;15;15;0;40;15;15;1;2;15.0
2.0;52.09;456.84;54.91;2009;58.52;56.05;53.92;1;53.85;37.64705882352941;50;40;30;45;50;35;40;2;1;35.0
2.0;49.51;450.67;54.31;2009;62.18;47.37;62.45;0;45.62;41.470588235294116;50;40;35;40;50;35;45;1;1;35.0
2.0;62.81;427.27;58.68;2009;53.3;59.03;39.6;0;68.0;46.0;50;50;35;45;50;40;45;1;1;35.0
2.0;54.57;447.11;44.84;2009;62.71;59.94;46.69;1;57.84;36.470588235294116;40;35;35;30;45;34;35;1;3;33.666666666666664
1.0;53.32;451.18;50.98;2009;52.97;57.36;51.65;0;51.94;34.333333333333336;0;15;25;30;30;15;20;2;3;25.0
1.0;65.86;451.79;52.53;2009;52.77;50.94;48.98;0;64.97;34.333333333333336;15;20;30;40;40;15;15;2;1;30.0
2.0;45.98;451.07;58.23;2009;54.87;50.5;48.98;0;55.79;37.94117647058823;35;30;30;40;50;30;45;2;2;33.0
2.0;56.01;432.44;63.26;2009;51.43;55.96;46.43;0;53.42;43.64705882352941;50;45;30;35;45;40;45;1;1;33.333333333333336
2.0;53.32;412.7;56.51;2009;64.21;55.7;43.59;0;40.94;32.666666666666664;45;30;30;40;40;30;35;2;2;32.6
1.0;53.32;459.33;61.99;2009;56.57;59.94;61.02;1;55.8;30.333333333333332;30;0;15;35;15;0;25;0;1;15.0
2.0;52.09;417.11;59.61;2009;50.87;44.28;39.64;0;55.8;35.88235294117647;40;30;30;45;40;30;50;3;2;32.666666666666664
2.0;44.74;417.0;53.45;2009;51.08;47.13;39.26;0;50.07;37.0;40;0;35;35;45;0;35;0;1;35.0
2.0;39.11;435.05;50.98;2009;60.8;50.5;49.38;1;55.79;36.470588235294116;45;30;30;45;50;30;45;1;1;35.0
2.0;35.21;448.97;50.98;2009;47.18;50.5;53.92;1;55.79;37.64705882352941;40;30;30;45;50;40;35;1;1;35.0
2.0;54.19;445.29;60.98;2009;44.61;52.03;48.67;0;60.55;38.23529411764706;50;40;30;40;45;30;50;2;1;30.833333333333332
2.0;39.58;433.8;53.97;2009;57.14;52.46;53.94;0;55.53;37.64705882352941;45;30;30;45;50;45;45;2;2;33.0
2.0;65.86;470.01;58.23;2009;52.97;63.57;53.52;0;62.36;42.35294117647059;45;40;30;45;50;30;40;1;1;36.666666666666664
2.0;81.05;457.44;48.41;2009;47.18;61.3;60.63;0;51.94;34.11764705882353;40;30;30;35;50;30;35;1;3;35.5
2.0;47.21;424.63;55.85;2009;52.97;50.5;33.32;0;46.32;42.35294117647059;50;40;35;40;45;35;45;1;1;39.166666666666664
1.0;40.89;439.27;48.41;2009;54.87;55.57;48.98;0;53.84;36.0;35;0;20;40;45;0;25;0;2;20.0
2.0;47.21;446.58;54.91;2009;52.77;54.29;48.98;0;62.35;36.470588235294116;45;45;35;40;45;35;30;2;1;39.166666666666664
1.0;58.45;458.19;53.45;2009;58.76;52.16;49.38;0;53.84;35.666666666666664;35;25;25;45;40;15;40;2;3;25.0
2.0;44.34;430.06;49.33;2009;62.45;50.24;49.2;0;46.57;37.05882352941177;45;30;30;45;50;35;45;2;2;34.166666666666664
2.0;59.81;438.14;64.43;2009;56.57;59.94;39.64;0;50.09;41.76470588235294;45;30;30;40;50;40;45;1;1;34.166666666666664
2.0;57.84;426.71;51.55;2009;61.16;50.87;44.92;0;63.27;38.529411764705884;40;30;35;35;39;35;35;1;3;32.166666666666664
2.0;48.43;430.57;50.09;2009;46.97;54.29;49.38;0;60.0;34.11764705882353;45;30;30;40;40;30;30;2;1;31.5
2.0;44.74;440.0;55.85;2009;60.8;53.84;47.08;0;50.07;34.411764705882355;45;30;30;35;45;30;50;1;2;34.5
2.0;62.81;444.12;58.68;2009;51.38;52.46;58.26;0;61.19;37.05882352941177;40;30;30;45;50;40;35;1;1;36.666666666666664
2.0;88.67;475.1;52.53;2009;74.19;56.05;51.25;0;62.35;36.470588235294116;30;30;35;40;40;40;35;1;1;36.666666666666664
1.0;58.45;448.54;50.98;2009;52.97;53.84;48.98;0;55.79;29.333333333333332;0;15;25;20;40;15;35;1;2;25.0
1.0;39.11;439.55;47.54;2009;54.66;40.58;39.26;0;64.97;33.666666666666664;45;30;40;40;45;40;45;2;3;26.25
1.0;53.32;442.43;50.09;2009;50.87;54.29;53.92;0;64.97;37.0;30;30;20;30;50;30;30;1;2;20.0
2.0;51.56;442.56;58.68;2009;57.14;54.05;51.78;0;59.24;36.470588235294116;40;30;35;45;50;40;45;1;1;36.666666666666664
2.0;47.66;421.76;56.34;2009;53.3;42.03;60.49;0;63.27;35.0;35;30;40;45;45;35;40;1;2;32.5
2.0;39.54;396.86;54.12;2009;61.76;39.03;41.05;1;55.99;36.1764705882353;30;34;30;42;50;24;30;3;3;36.5
2.0;49.6;435.72;51.55;2009;57.14;55.66;44.92;0;55.53;39.11764705882353;50;30;30;50;50;30;50;1;1;38.333333333333336
2.0;43.48;410.59;54.31;2009;59.82;47.37;37.86;0;35.42;38.8235294117647;45;35;30;45;45;30;30;1;1;35.833333333333336
2.0;53.32;431.93;55.85;2009;52.97;57.36;48.98;0;51.94;40.0;45;30;35;45;50;30;50;1;1;35.833333333333336
