IDIOMA_ICFES;PG_ICFES;FISICA_ICFES;ANO_INGRESO;APT_VERB_ICFES;QUIMICA_ICFES;FILOSOFIA_ICFES;GENERO;BIOLOGIA_ICFES;PROMEDIO_UNO;NOTA_POO;NOTA_INT;NOTA_FIS_DOS;NOTA_EYB;NOTA_DEM;NOTA_CIR_UNO;NOTA_HCI;VECES_INT;VECES_FIS_DOS;PROMEDIO_DOS;NOTA_ECUA;NOTA_TERMO;NOTA_CIR_DOS;NOTA_EL_UNO;VECES_ECUA;NOTA_FIS_TRES;NOTA_MULTI;NCP_DOS;NCA_DOS;VECES_TERMO;NOTA_EL_DOS;NOTA_MPI;NOTA_ME;NOTA_PYE;NOTA_ELD;VECES_ME;VECES_EL_DOS;NOTA_GEE;NOTA_CIR_TRES;VECES_PYE;PROMEDIO_CINCO;RENDIMIENTO_CINCO
76.45;441.97;50.98;2009;56.79;52.16;48.98;0;57.84;42.35294117647059;50;35;35;35;50;35;45;1;1;39.375;40;35;35;35;1;35;35;0.0;16.0;1;35;40;45;35;40;1;1;35;35;1;40.411764705882355;3.0
80.55;447.84;52.53;2009;60.56;52.59;49.38;0;53.85;41.470588235294116;50;30;35;40;50;35;45;1;2;39.0625;50;40;35;30;1;35;40;0.0;16.0;1;35;45;45;40;40;1;1;35;35;1;43.0;3.0
37.51;426.22;54.91;2009;54.66;49.3;51.65;0;48.23;38.333333333333336;35;30;30;35;40;25;45;2;2;32.1875;0;0;0;0;0;30;1;3.0;13.0;0;0;30;0;0;0;0;0;0;0;0;35.0;2.0
69.48;477.09;50.09;2009;60.56;59.94;46.69;0;76.52;33.529411764705884;30;35;35;40;50;35;30;1;2;35.3125;30;30;30;35;3;35;35;0.0;16.0;1;33;30;33;30;42;2;1;32;44;1;36.8235294117647;2.0
39.16;394.21;60.98;2009;46.83;48.36;46.43;0;56.94;36.1764705882353;30;30;30;40;50;30;35;3;2;32.8125;39;50;29;38;1;30;31;0.0;16.0;1;34;35;5;30;32;1;1;0;0;1;30.0;1.0
54.57;450.91;50.09;2009;67.62;57.92;58.18;1;55.8;37.35294117647059;50;35;30;35;50;35;45;1;2;38.4375;35;30;35;35;1;30;30;0.0;16.0;1;30;40;35;35;40;1;1;31;37;1;36.705882352941174;2.0
43.48;441.38;50.09;2009;48.95;52.59;51.65;0;51.96;34.11764705882353;45;35;30;40;45;35;35;2;1;37.1875;33;50;35;40;1;30;37;0.0;16.0;1;35;30;36;30;37;1;2;37;32;1;36.0;2.0
57.27;467.51;54.33;2009;53.57;60.21;56.96;1;48.64;40.88235294117647;50;35;30;40;50;40;45;1;1;40.0;45;40;35;35;1;30;35;0.0;16.0;1;35;45;35;40;45;1;1;30;35;1;44.588235294117645;3.0
52.09;456.84;54.91;2009;58.52;56.05;53.92;1;53.85;37.64705882352941;50;40;30;45;50;35;40;2;1;40.3125;35;35;30;35;1;30;45;0.0;16.0;1;30;40;35;30;40;1;1;30;35;1;40.8235294117647;3.0
49.51;450.67;54.31;2009;62.18;47.37;62.45;0;45.62;41.470588235294116;50;40;35;40;50;35;45;1;1;40.9375;35;35;35;30;1;35;40;0.0;16.0;1;30;40;41;35;40;1;1;35;35;1;45.470588235294116;4.0
54.57;447.11;44.84;2009;62.71;59.94;46.69;1;57.84;36.470588235294116;40;35;35;30;45;34;35;1;3;35.75;31;30;38;33;1;35;35;0.0;16.0;1;36;33;39;31;40;2;1;30;35;3;34.588235294117645;2.0
45.98;451.07;58.23;2009;54.87;50.5;48.98;0;55.79;37.94117647058823;35;30;30;40;50;30;45;2;2;34.375;37;36;33;32;1;30;30;0.0;16.0;2;30;30;33;33;38;1;1;39;48;2;36.1764705882353;2.0
56.01;432.44;63.26;2009;51.43;55.96;46.43;0;53.42;43.64705882352941;50;45;30;35;45;40;45;1;1;40.9375;35;35;35;30;1;30;35;0.0;16.0;1;35;40;45;45;45;1;1;40;35;1;42.88235294117647;3.0
53.32;412.7;56.51;2009;64.21;55.7;43.59;0;40.94;32.666666666666664;45;30;30;40;40;30;35;2;2;35.0;30;0;26;42;2;30;35;0.0;16.0;0;0;35;35;35;27;1;0;0;0;1;29.0;1.0
52.09;417.11;59.61;2009;50.87;44.28;39.64;0;55.8;35.88235294117647;40;30;30;45;40;30;50;3;2;35.625;34;30;33;35;1;30;34;0.0;16.0;1;39;35;34;30;42;1;1;30;37;1;35.1764705882353;2.0
39.11;435.05;50.98;2009;60.8;50.5;49.38;1;55.79;36.470588235294116;45;30;30;45;50;30;45;1;1;36.875;30;50;30;40;1;30;30;0.0;16.0;1;41;35;33;30;30;1;1;30;37;1;35.705882352941174;2.0
35.21;448.97;50.98;2009;47.18;50.5;53.92;1;55.79;37.64705882352941;40;30;30;45;50;40;35;1;1;37.1875;35;50;30;30;1;30;35;0.0;16.0;1;32;40;40;45;45;1;1;37;47;1;35.11764705882353;2.0
54.19;445.29;60.98;2009;44.61;52.03;48.67;0;60.55;38.23529411764706;50;40;30;40;45;30;50;2;1;39.0625;30;30;30;30;1;30;35;0.0;16.0;1;34;30;32;30;40;2;2;50;40;2;36.05882352941177;2.0
39.58;433.8;53.97;2009;57.14;52.46;53.94;0;55.53;37.64705882352941;45;30;30;45;50;45;45;2;2;39.6875;30;30;33;45;3;30;30;0.0;16.0;1;38;30;32;30;48;1;2;33;33;1;38.411764705882355;2.0
65.86;470.01;58.23;2009;52.97;63.57;53.52;0;62.36;42.35294117647059;45;40;30;45;50;30;40;1;1;38.4375;45;35;35;35;1;30;40;0.0;16.0;1;40;40;50;45;45;1;1;40;40;1;44.8235294117647;3.0
81.05;457.44;48.41;2009;47.18;61.3;60.63;0;51.94;34.11764705882353;40;30;30;35;50;30;35;1;3;34.0625;34;45;44;30;2;30;30;0.0;16.0;1;32;35;35;38;43;1;1;37;48;1;36.588235294117645;2.0
47.21;424.63;55.85;2009;52.97;50.5;33.32;0;46.32;42.35294117647059;50;40;35;40;45;35;45;1;1;40.625;35;40;40;40;1;35;45;0.0;16.0;1;35;45;50;40;40;1;1;35;40;1;42.94117647058823;3.0
47.21;446.58;54.91;2009;52.77;54.29;48.98;0;62.35;36.470588235294116;45;45;35;40;45;35;30;2;1;39.6875;40;50;35;30;1;35;45;0.0;16.0;1;40;40;50;45;40;1;1;40;35;1;42.411764705882355;3.0
44.34;430.06;49.33;2009;62.45;50.24;49.2;0;46.57;37.05882352941177;45;30;30;45;50;35;45;2;2;37.8125;30;50;25;40;1;30;30;0.0;16.0;1;27;35;35;31;45;1;3;0;0;2;20.0;1.0
59.81;438.14;64.43;2009;56.57;59.94;39.64;0;50.09;41.76470588235294;45;30;30;40;50;40;45;1;1;38.125;35;30;35;40;1;30;35;0.0;16.0;1;38;40;35;35;45;1;2;50;36;1;39.411764705882355;2.0
57.84;426.71;51.55;2009;61.16;50.87;44.92;0;63.27;38.529411764705884;40;30;35;35;39;35;35;1;3;35.25;30;33;30;35;1;35;30;0.0;16.0;1;35;40;31;33;37;1;2;30;46;2;36.1764705882353;2.0
48.43;430.57;50.09;2009;46.97;54.29;49.38;0;60.0;34.11764705882353;45;30;30;40;40;30;30;2;1;34.6875;30;30;39;30;2;30;30;0.0;16.0;1;32;35;30;40;31;3;2;30;34;1;36.76470588235294;2.0
