CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;ANO_INGRESO;FILOSOFIA_ICFES;APT_VERB_ICFES;FISICA_ICFES;MUNICIPIO;GENERO;APT_MAT_ICFES;LOCALIDAD;DEPARTAMENTO;SOCIALES_ICFES;ESTRATO;CALENDARIO;TIPO_COLEGIO;DISTANCIA;INSCRIPCION;CORTE_INGRESO;RENDIMIENTO_UNO;PROMEDIO_UNO
88.79;88.85;11;69.65;87.29;529.18;70.74;2011;65.24;70.74;69.72;20;0;88.79;20;5;0;3;1;2;2;10;1;2.0;35.0
99.48;89.24;9;66.77;69.64;509.71;59.4;2011;66.58;59.4;75.93;20;1;99.48;8;5;0;3;1;2;3;10;1;2.0;39.285714285714285
69.01;58.47;20;63.99;61.96;480.0;70.87;2011;72.54;70.87;69.72;168;0;69.01;20;29;0;1;1;1;6;10;1;2.0;35.0
66.17;71.98;18;68.87;86.89;484.84;59.4;2011;57.9;59.4;76.27;20;0;66.17;8;5;0;2;1;1;3;10;1;2.0;36.42857142857143
74.62;94.05;16;83.7;72.45;509.44;70.74;2011;71.0;70.74;69.72;20;1;74.62;13;5;0;3;1;1;2;10;1;2.0;37.857142857142854
75.41;79.81;6;75.95;64.44;488.94;70.87;2011;63.68;70.87;66.68;20;0;75.41;20;5;0;2;1;1;5;10;1;2.0;35.357142857142854
74.62;68.41;11;72.69;82.67;466.67;50.45;2011;47.74;50.45;75.93;0;0;74.62;4;0;0;2;0;0;5;10;1;1.0;26.428571428571427
79.26;60.44;6;72.69;64.44;478.89;77.28;2011;57.9;77.28;69.72;20;0;79.26;20;5;0;2;1;2;5;10;1;2.0;33.142857143571426
69.01;88.85;16;72.69;78.83;505.79;67.92;2011;75.71;67.92;69.72;20;0;69.01;8;5;0;3;1;2;2;10;1;1.0;29.714285714285715
66.17;71.98;14;78.77;78.39;507.21;65.03;2011;75.71;65.03;76.27;20;0;66.17;20;5;0;2;1;2;4;10;1;2.0;35.357142857142854
68.39;75.1;21;71.9;63.93;477.23;62.11;2011;62.46;62.11;76.27;20;0;68.39;15;5;0;3;1;1;3;10;1;2.0;36.07142857142857
78.36;69.93;20;95.26;66.99;535.95;73.83;2011;74.04;73.83;69.72;1;0;78.36;8;21;0;2;1;1;6;10;1;2.0;37.5
75.41;75.1;17;69.65;78.83;493.92;65.03;2011;63.68;65.03;66.68;20;0;75.41;7;5;0;2;3;2;4;10;1;2.0;31.428571428571427
71.35;58.01;18;65.98;71.97;478.36;77.1;2011;62.46;77.1;66.93;20;0;71.35;16;5;0;2;1;2;5;10;1;2.0;39.285714285714285
66.17;58.01;10;79.57;82.67;516.49;65.03;2011;72.54;65.03;69.72;20;0;66.17;8;5;0;3;1;2;3;10;1;2.0;32.92857142928572
