NOTA_STG;PROMEDIO_SEIS;NOTA_C_UNO;NOTA_FDS;PROMEDIO_OCHO;NOTA_ELECPOT;NOTA_INSIND;NOTA_SISDIN;NAP_OCHO;NOTA_INGECO;NOTA_TFM;NOTA_EI_IA;VECES_EI_IA;CREDITOS_EI_IA;NOTA_EI_IIA;VECES_EI_IIA;CREDITOS_EI_IIA;NOTA_EI_IIIA;VECES_EI_IIIA;CREDITOS_EI_IIIA;NOTA_TRABGRAD;VECES_TRABGRAD;CREDITOS_TRABGRAD;NOTA_TV;VECES_TV;CREDITOS_TV;NOTA_FGEP;VECES_FGEP;CREDITOS_FGEP;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
42.0;39.42857142857143;29.33333333;34.0;34.94444444388889;31.0;30.0;30.0;1;35.0;43.0;42.0;2;3;43.0;1;3;41.0;2;3;35.0;3;3;45.0;2;3;30.0;1;2;39.88235294117647;4;17.0;17.0;0.0;6;6;0;2;2.0;35.93333333333333
45.0;27.392857142857142;25.0;35.0;32.861111111111114;33.0;19.5;30.0;2;43.0;44.0;37.0;2;3;44.0;1;3;49.0;2;3;45.0;3;3;34.0;1;3;44.0;2;2;42.05882352941177;4;17.0;17.0;0.0;6;6;0;2;2.0;37.4
40.0;34.285714285714285;29.0;30.0;41.05555555555556;40.0;42.0;40.0;1;48.0;48.0;48.0;1;3;37.0;1;3;39.0;3;3;40.0;2;3;38.0;1;3;44.0;1;2;40.8235294117647;2;17.0;17.0;0.0;6;6;0;2;2.0;37.266666666666666
47.0;32.857142857142854;40.0;25.0;41.44444444444444;30.0;37.0;40.0;0;43.0;49.0;49.0;3;3;40.0;0;3;49.0;2;3;47.0;2;3;43.0;1;3;50.0;2;2;47.42857142857143;4;14.0;17.0;3.0;5;6;1;2;2.0;38.75
44.0;34.285714285714285;30.0;46.0;39.833333333333336;35.0;42.0;30.0;0;43.0;43.0;46.0;2;3;43.0;1;3;35.0;2;3;44.0;2;3;30.0;1;3;44.0;1;2;40.11764705882353;3;17.0;17.0;0.0;6;6;0;2;2.0;34.86666666666667
0.0;26.681818181818183;0.0;0.0;48.0;0.0;0.0;20.0;0;0.0;0.0;43.0;1;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;43.0;0;3.0;3.0;0.0;1;1;0;2;1.0;18.666666666666668
32.0;29.392857142857142;22.75;25.5;31.59722222222222;25.5;32.5;27.5;2;30.0;40.0;43.0;3;3;40.0;1;3;41.0;3;3;32.0;2;3;33.0;1;3;48.0;2;2;39.0;4;17.0;17.0;0.0;6;6;0;2;2.0;31.633333333333333
45.0;41.785714285714285;37.0;34.0;44.0;40.0;48.0;40.0;0;43.0;49.0;49.0;3;3;37.0;0;3;45.0;2;3;45.0;3;3;42.0;2;3;45.0;1;2;45.214285714285715;4;14.0;17.0;3.0;5;6;1;2;2.0;38.333333333333336
36.0;38.142857142857146;35.0;30.0;35.94444444444444;32.0;33.0;30.0;0;43.0;42.0;45.0;2;3;42.0;1;3;35.0;2;3;36.0;3;3;37.0;1;3;44.0;1;2;39.588235294117645;3;17.0;17.0;0.0;6;6;0;2;2.0;38.2
48.0;32.142857142857146;40.0;35.0;40.44444444444444;48.0;41.0;30.0;0;40.0;42.0;48.0;2;3;42.0;1;3;40.0;2;3;48.0;2;3;41.0;1;3;43.0;1;2;43.705882352941174;3;17.0;17.0;0.0;6;6;0;2;2.0;37.8
43.0;31.071428571428573;35.0;23.0;39.55555555555556;40.0;43.0;30.0;0;40.0;46.0;46.0;2;3;37.0;0;3;35.0;1;3;43.0;3;3;25.5;1;3;50.0;1;2;39.17857142857143;2;14.0;14.0;0.0;5;5;0;2;2.0;32.111111111111114
44.0;30.142857142857142;17.5;30.0;34.416666666666664;33.0;33.0;40.0;1;43.0;41.0;41.0;1;3;41.0;1;3;46.0;1;3;44.0;2;3;44.0;1;3;44.0;1;2;43.294117647058826;1;17.0;17.0;0.0;6;6;0;2;1.0;30.0
44.0;40.714285714285715;36.0;50.0;44.166666666666664;33.0;47.0;30.0;0;43.0;48.0;48.0;2;3;40.0;0;3;39.0;3;3;44.0;2;3;37.0;1;3;48.0;1;2;42.857142857142854;3;14.0;17.0;3.0;5;6;1;2;2.0;38.25
0.0;26.357142857142858;13.5;15.5;33.041666666666664;13.0;0.0;22.5;1;37.0;0.0;13.0;0;3;0.0;1;3;0.0;0;3;0.0;3;3;0.0;0;3;0.0;0;2;0.0;1;6.0;0.0;6.0;2;0;2;1;1.0;27.333333333333332
49.0;33.214285714285715;45.0;35.0;43.111111111111114;35.0;34.0;30.0;0;43.0;49.0;47.0;4;3;49.0;1;3;38.0;2;3;49.0;2;3;40.0;1;3;45.0;1;2;44.64705882352941;3;17.0;17.0;0.0;6;6;0;2;3.0;41.13333333333333
45.0;28.928571428571427;26.66666667;30.0;37.611111111666666;47.0;32.0;40.0;1;43.0;45.0;45.0;2;3;33.0;2;3;45.0;1;3;45.0;2;3;31.0;1;3;36.0;1;2;39.35294117647059;3;17.0;17.0;0.0;6;6;0;2;2.0;35.458333333333336
38.0;34.857142857142854;35.0;30.5;36.06666666666667;12.33333333;0.0;30.0;0;42.0;42.0;42.0;4;3;35.0;0;3;44.0;3;3;38.0;3;3;0.0;1;3;0.0;0;2;31.0;3;12.0;12.0;0.0;4;4;0;2;1.0;17.5
43.0;35.07142857142857;22.5;35.0;33.94444444444444;35.0;32.5;30.0;1;33.0;44.0;50.0;2;3;44.0;1;3;46.0;2;3;43.0;2;3;37.0;2;3;45.0;2;2;44.11764705882353;5;17.0;17.0;0.0;6;6;0;2;2.0;38.6
