PROMEDIO_DOS;PG_ICFES;BIOLOGIA_ICFES;NAA_DOS;FISICA_ICFES;NOTA_INT;PROMEDIO_UNO;VECES_INT;NCA_DOS;NOTA_FIS_DOS;CON_MAT_ICFES;CAR_DOS;VECES_CIR_UNO;NOTA_HIST;NOTA_FIS_UNO;NOTA_DIF;NOTA_CIR_UNO;NCP_UNO;LITERATURA_ICFES;EPA_DOS;NAP_UNO;NAP_DOS;NOTA_ALGEBRA;NOTA_CFJC;NOTA_TEXTOS;NCC_DOS;VECES_FIS_DOS;NOTA_PROGB;VECES_HIST;VECES_ALGEBRA;NOTA_POO;EPA_UNO;IDIOMA_ICFES;NAC_DOS;NCP_DOS;VECES_POO;CREDITOS_POO;CREDITOS_INT;CREDITOS_HIST;CREDITOS_FIS_DOS;CREDITOS_CIR_UNO;CREDITOS_ALGEBRA;RENDIMIENTO_TRES;PROMEDIO_TRES
34.85294117647059;469.67;74.35;5;63.43;25.0;28.75;3;14.0;35.0;60.48;2;1;45.0;30.0;22.5;30.0;4.0;59.11;2;1;1;32.5;40.0;0.0;17.0;1;30.0;1;2;45.0;1;49.6;6;3.0;1;3;3;2;3;3;3;2.0;32.22222222222222
33.088235294117645;468.77;62.54;5;58.93;30.0;35.0;1;14.0;35.0;62.82;1;2;30.0;35.0;32.5;27.5;0.0;64.21;2;0;1;35.0;40.0;0.0;17.0;1;35.0;1;1;40.0;2;61.22;6;3.0;1;3;3;2;3;3;3;2.0;31.0
33.6764705882353;486.59;62.54;6;58.93;35.0;33.18181818181818;1;17.0;35.0;78.22;1;1;35.0;35.0;30.0;35.0;0.0;59.48;2;0;0;30.0;35.0;0.0;17.0;1;35.0;1;1;32.5;2;59.81;6;0.0;2;3;3;2;3;3;3;2.0;30.97222222222222
25.88235294117647;462.85;49.87;2;51.73;25.0;35.0;1;6.0;35.0;81.5;0;1;25.0;40.0;30.0;20.0;0.0;53.22;1;0;4;30.0;40.0;0.0;17.0;1;35.0;1;1;20.0;2;58.45;6;11.0;1;3;3;2;3;3;3;2.0;40.0
37.64705882352941;469.95;62.54;6;54.12;40.0;33.75;1;17.0;40.0;72.55;1;1;35.0;40.0;30.0;35.0;0.0;59.48;2;0;0;35.0;35.0;0.0;17.0;1;30.0;2;1;40.0;2;54.57;6;0.0;1;3;3;2;3;3;3;2.0;37.833333333333336
33.088235294117645;482.95;60.25;5;61.41;27.5;32.50000000083333;2;14.0;30.0;67.54;4;2;45.0;35.0;35.0;30.0;3.0;57.32;2;1;1;30.0;35.0;0.0;17.0;2;21.66666667;1;2;40.0;2;62.69;6;3.0;1;3;3;2;3;3;3;1.0;26.59090909090909
17.0;422.02;51.92;0;64.0;0.0;23.136363637272726;0;0.0;12.5;47.67;3;2;0.0;20.66666667;18.0;18.0;10.0;53.22;1;3;3;20.5;35.0;0.0;9.0;2;28.5;0;6;0.0;1;39.54;3;9.0;0;3;3;2;3;3;3;2.0;38.666666666666664
36.1764705882353;477.39;62.54;6;64.0;30.0;36.666666666666664;1;17.0;40.0;60.49;0;1;30.0;30.0;40.0;30.0;0.0;59.48;2;0;0;35.0;40.0;0.0;17.0;1;35.0;1;1;50.0;2;62.69;6;0.0;1;3;3;2;3;3;3;2.0;35.588235294117645
32.5;463.42;65.0;5;66.74;22.5;33.75;2;14.0;30.0;65.16;3;1;32.5;30.0;32.5;35.0;0.0;66.94;2;0;1;35.0;40.0;0.0;17.0;1;35.0;2;2;40.0;2;76.45;6;3.0;1;3;3;2;3;3;3;2.0;32.69444444444444
32.50000000058824;472.02;59.24;4;56.34;26.66666667;35.833333333333336;3;11.0;27.5;67.77;2;1;45.0;30.0;40.0;30.0;0.0;57.14;2;0;2;30.0;40.0;0.0;17.0;2;35.0;1;1;40.0;2;53.56;6;6.0;1;3;3;2;3;3;3;2.0;30.5
32.20588235352941;475.59;58.09;3;54.12;27.5;31.25;2;9.0;35.0;72.55;3;3;27.5;30.0;25.0;26.66666667;4.0;61.76;1;1;3;30.0;35.0;0.0;17.0;1;35.0;2;1;45.0;2;44.74;6;8.0;1;3;3;2;3;3;3;2.0;32.638888888888886
41.1764705882353;488.96;62.54;6;64.0;45.0;39.166666666666664;1;17.0;40.0;78.22;0;1;35.0;35.0;40.0;40.0;0.0;61.76;2;0;0;40.0;40.0;0.0;17.0;1;40.0;1;1;45.0;2;64.23;6;0.0;1;3;3;2;3;3;3;3.0;40.88235294117647
30.441176470588236;495.09;65.0;4;61.41;25.0;33.75;2;11.0;30.0;67.54;2;2;45.0;30.0;32.5;22.5;0.0;55.25;2;0;2;30.0;35.0;0.0;17.0;1;35.0;1;1;35.0;2;97.34;6;6.0;1;3;3;2;3;3;3;2.0;31.38888888888889
32.64705882352941;471.3;47.79;6;61.41;30.0;37.083333333333336;1;17.0;35.0;75.27;0;1;30.0;40.0;40.0;30.0;0.0;64.21;2;0;0;30.0;35.0;0.0;17.0;1;30.0;1;1;40.0;2;57.13;6;0.0;1;3;3;2;3;3;3;2.0;35.44117647058823
15.0;460.37;55.99;0;58.93;0.0;15.0;0;0.0;0.0;72.55;0;0;0.0;15.0;15.0;0.0;11.0;55.25;1;4;1;15.0;15.0;0.0;3.0;0;15.0;0;1;0.0;1;47.21;1;3.0;0;3;3;2;3;3;3;1.0;10.0
33.970588235294116;474.45;62.54;5;61.41;27.5;33.333333333333336;2;14.0;35.0;69.99;2;2;30.0;30.0;30.0;35.0;0.0;66.94;2;0;1;30.0;40.0;0.0;17.0;1;35.0;1;1;45.0;2;58.45;6;3.0;1;3;3;2;3;3;3;2.0;36.470588235294116
20.0;465.56;53.95;0;72.97;0.0;18.181818181818183;0;0.0;0.0;78.22;0;0;0.0;15.0;20.0;0.0;11.0;61.76;1;4;1;20.0;15.0;0.0;3.0;0;20.0;0;1;0.0;1;88.67;1;3.0;0;3;3;2;3;3;3;1.0;10.0
23.636363636363637;460.6;55.99;2;61.41;15.0;26.363636363636363;1;5.0;15.0;67.54;0;0;40.0;30.0;30.0;0.0;3.0;55.25;1;1;2;30.0;35.0;0.0;11.0;1;15.0;1;1;0.0;1;58.45;4;6.0;0;3;3;2;3;3;3;1.0;30.0
35.0;463.88;51.92;6;51.73;35.0;33.333333333333336;1;17.0;40.0;81.5;0;1;35.0;30.0;30.0;35.0;0.0;59.48;2;0;0;30.0;40.0;0.0;17.0;1;35.0;1;1;35.0;2;57.13;6;0.0;1;3;3;2;3;3;3;2.0;33.05555555555556
38.8235294117647;489.88;58.09;6;72.97;40.0;40.0;1;17.0;40.0;72.55;0;1;30.0;40.0;45.0;35.0;0.0;57.32;2;0;0;40.0;40.0;0.0;17.0;1;35.0;1;1;45.0;2;44.74;6;0.0;1;3;3;2;3;3;3;2.0;35.588235294117645
32.94117647058823;487.35;74.54;5;64.0;30.0;33.75;1;15.0;35.0;78.22;1;1;25.0;40.0;30.0;30.0;1.0;53.22;2;1;1;30.0;35.0;0.0;17.0;1;35.0;2;1;45.0;2;55.84;6;2.0;1;3;3;2;3;3;3;2.0;33.05555555555556
30.0;513.66;58.09;4;72.97;22.5;34.166666666666664;2;11.0;30.0;89.86;2;2;45.0;35.0;40.0;22.5;1.0;55.25;2;1;2;30.0;25.0;0.0;17.0;1;30.0;1;1;35.0;2;97.34;6;6.0;1;3;3;2;3;3;3;1.0;24.70588235352941
24.852941176470587;391.91;47.79;3;46.84;17.5;26.319444444166667;2;8.0;30.0;50.54;4;3;35.0;22.5;23.33333333;15.0;8.0;55.25;1;3;3;25.0;35.0;0.0;17.0;1;31.66666667;2;2;30.0;1;43.48;6;9.0;1;3;3;2;3;3;3;1.0;15.0
40.294117647058826;493.94;58.09;6;64.0;45.0;44.583333333333336;1;17.0;40.0;75.27;0;1;35.0;40.0;50.0;35.0;0.0;59.48;2;0;0;35.0;40.0;0.0;17.0;1;45.0;1;1;50.0;2;50.87;6;0.0;1;3;3;2;3;3;3;2.0;36.470588235294116
32.205882352941174;509.82;59.24;5;74.2;27.5;34.583333333333336;2;14.0;35.0;70.42;1;1;30.0;40.0;30.0;35.0;0.0;61.16;2;0;1;30.0;35.0;0.0;17.0;1;35.0;1;1;35.0;2;69.4;6;3.0;1;3;3;2;3;3;3;1.0;24.944444445000002
36.1764705882353;499.0;53.95;6;66.74;30.0;35.416666666666664;1;17.0;40.0;105.63;1;1;30.0;40.0;30.0;35.0;0.0;61.76;2;0;0;35.0;40.0;0.0;17.0;1;35.0;2;1;45.0;2;76.45;6;0.0;1;3;3;2;3;3;3;1.0;29.264705882941175
15.0;461.1;60.25;0;66.74;0.0;25.454545454545453;0;0.0;0.0;62.82;0;0;0.0;25.0;20.0;0.0;7.0;49.19;1;2;1;15.0;35.0;0.0;3.0;0;30.0;0;1;0.0;1;67.6;1;3.0;0;3;3;2;3;3;3;1.0;15.0
30.735294118235295;476.19;51.92;3;66.74;30.0;29.375;1;8.0;45.0;69.99;3;2;45.0;32.5;22.5;22.5;4.0;55.25;1;1;3;20.0;35.0;0.0;17.0;1;30.0;1;3;26.66666667;1;67.6;6;9.0;3;3;3;2;3;3;3;1.0;23.529411764705884
37.05882352941177;507.55;58.09;6;58.93;30.0;39.166666666666664;1;17.0;40.0;85.28;0;1;30.0;40.0;35.0;40.0;0.0;64.21;2;0;0;40.0;40.0;0.0;17.0;1;40.0;1;1;40.0;2;79.55;6;0.0;1;3;3;2;3;3;3;2.0;35.138888888888886
15.0;473.52;58.09;0;64.0;0.0;15.909090909090908;0;0.0;0.0;65.16;0;0;0.0;15.0;15.0;0.0;11.0;57.32;1;4;1;15.0;25.0;0.0;3.0;0;15.0;0;1;0.0;1;49.65;1;3.0;0;3;3;2;3;3;3;1.0;15.0
33.529411764705884;477.41;58.09;5;58.93;25.0;35.416666666666664;2;14.0;35.0;78.22;2;2;30.0;35.0;30.0;30.0;0.0;61.76;2;0;1;35.0;40.0;0.0;17.0;1;40.0;1;1;45.0;2;69.48;6;3.0;1;3;3;2;3;3;3;2.0;33.611111111111114
34.411764705882355;489.84;62.46;6;73.07;40.0;36.25;1;17.0;35.0;75.91;1;2;30.0;35.0;40.0;30.0;0.0;66.67;2;0;0;30.0;40.0;0.0;17.0;1;30.0;1;1;40.0;2;52.42;6;0.0;1;3;3;2;3;3;3;2.0;30.970588235294116
30.0;461.67;55.99;1;61.41;0.0;28.636363636363637;0;3.0;0.0;75.27;0;0;0.0;30.0;20.0;0.0;4.0;57.32;2;1;0;30.0;40.0;0.0;3.0;0;35.0;0;1;0.0;1;61.22;1;0.0;0;3;3;2;3;3;3;1.0;15.0
34.85294117647059;530.42;67.71;6;58.93;40.0;39.166666666666664;1;17.0;35.0;81.5;1;2;30.0;40.0;40.0;32.5;0.0;70.06;2;0;0;35.0;40.0;0.0;17.0;1;35.0;1;1;35.0;2;71.53;6;0.0;1;3;3;2;3;3;3;2.0;33.970588235294116
31.764705882352942;470.95;62.54;6;61.41;30.0;32.916666666666664;1;17.0;35.0;60.49;0;1;30.0;30.0;30.0;30.0;0.0;66.94;2;0;0;30.0;35.0;0.0;17.0;1;35.0;1;1;35.0;2;65.86;6;0.0;1;3;3;2;3;3;3;2.0;31.11111111111111
38.529411764705884;514.21;58.09;6;81.3;35.0;37.916666666666664;1;17.0;35.0;81.5;0;1;35.0;40.0;40.0;35.0;0.0;66.94;2;0;0;40.0;40.0;0.0;17.0;1;30.0;1;1;50.0;2;79.55;6;0.0;1;3;3;2;3;3;3;2.0;33.23529411764706
33.82352941235294;479.19;55.99;6;64.0;31.66666667;31.25;3;17.0;40.0;60.49;1;1;30.0;30.0;30.0;30.0;0.0;64.21;2;0;0;35.0;40.0;0.0;17.0;1;30.0;1;1;35.0;2;48.43;6;0.0;1;3;3;2;3;3;3;1.0;29.02777777777778
32.205882352941174;454.65;55.99;5;56.51;27.5;34.166666666666664;2;14.0;35.0;81.5;1;1;30.0;35.0;30.0;30.0;0.0;53.22;2;0;1;35.0;40.0;0.0;17.0;1;35.0;1;1;35.0;2;67.6;6;3.0;1;3;3;2;3;3;3;2.0;32.205882352941174
36.1764705882353;478.74;58.09;6;64.0;30.0;35.416666666666664;1;17.0;35.0;72.55;0;1;30.0;35.0;30.0;40.0;0.0;53.22;2;0;0;30.0;40.0;0.0;17.0;1;40.0;1;1;50.0;2;71.53;6;0.0;1;3;3;2;3;3;3;2.0;35.138888888888886
25.0;455.25;58.09;0;64.0;0.0;23.181818181818183;0;0.0;0.0;72.55;1;0;0.0;20.0;17.5;0.0;7.0;53.22;1;2;1;25.0;35.0;0.0;3.0;0;30.0;0;2;0.0;1;61.22;1;3.0;0;3;3;2;3;3;3;2.0;40.0
26.000000002;450.12;58.09;1;66.74;0.0;19.09090909;0;2.0;0.0;72.55;1;0;40.0;18.33333333;15.0;0.0;10.0;53.22;1;3;1;16.66666667;35.0;0.0;5.0;0;20.0;1;3;0.0;1;64.23;2;3.0;0;3;3;2;3;3;3;1.0;15.0
32.35294117647059;450.22;53.95;6;66.74;35.0;35.416666666666664;1;17.0;30.0;72.55;0;1;35.0;35.0;35.0;35.0;0.0;57.32;2;0;0;30.0;35.0;0.0;17.0;1;35.0;1;1;30.0;2;53.32;6;0.0;1;3;3;2;3;3;3;2.0;31.61764705882353
15.0;466.72;60.25;0;64.0;0.0;15.681818181818182;0;0.0;0.0;67.54;1;0;15.0;17.5;15.0;0.0;11.0;59.48;1;4;2;15.0;15.0;0.0;5.0;0;15.0;1;2;0.0;1;76.45;2;5.0;0;3;3;2;3;3;3;1.0;10.0
32.64705882352941;447.85;62.54;6;72.97;30.0;35.0;2;17.0;35.0;67.54;2;1;37.5;40.0;30.0;30.0;0.0;55.25;2;0;0;30.0;35.0;0.0;17.0;1;35.0;2;1;35.0;2;69.48;6;0.0;1;3;3;2;3;3;3;2.0;34.94117647058823
34.705882352941174;454.59;53.95;6;64.0;30.0;35.208333333333336;1;17.0;30.0;67.54;2;1;32.5;32.5;30.0;40.0;0.0;53.22;2;0;0;35.0;40.0;0.0;17.0;1;40.0;2;2;40.0;2;50.87;6;0.0;1;3;3;2;3;3;3;2.0;35.55555555555556
33.382352940588234;486.27;62.54;5;66.74;23.33333333;32.916666666666664;3;14.0;30.0;72.55;2;2;35.0;30.0;35.0;32.5;0.0;59.48;2;0;1;40.0;35.0;0.0;17.0;1;30.0;1;1;40.0;2;73.83;6;3.0;1;3;3;2;3;3;3;1.0;23.928571428571427
33.529411764705884;485.28;67.71;6;61.41;30.0;33.333333333333336;1;17.0;35.0;60.49;1;1;45.0;30.0;27.5;30.0;4.0;64.21;2;1;0;35.0;35.0;0.0;17.0;1;40.0;1;2;30.0;2;71.53;6;0.0;1;3;3;2;3;3;3;2.0;38.05555555555556
19.264705882352942;490.19;60.25;1;61.41;15.0;30.454545454545453;1;2.0;15.0;81.5;1;1;40.0;30.0;30.0;15.0;0.0;64.21;1;0;5;22.5;35.0;0.0;17.0;1;30.0;1;2;15.0;2;111.94;6;15.0;1;3;3;2;3;3;3;2.0;40.0
30.441176470588236;470.9;55.99;4;76.74;30.0;33.333333333333336;1;11.0;35.0;67.54;2;4;45.0;30.0;30.0;25.0;0.0;55.25;2;0;2;22.5;35.0;0.0;17.0;1;40.0;1;2;30.0;2;52.09;6;6.0;1;3;3;2;3;3;3;1.0;22.867647058235292
32.205882352941174;442.26;58.09;5;61.41;30.0;29.791666665833333;1;14.0;40.0;75.27;1;2;45.0;27.5;30.0;22.5;6.0;55.25;2;2;1;30.0;40.0;0.0;17.0;1;28.33333333;1;1;30.0;1;67.6;6;3.0;1;3;3;2;3;3;3;1.0;18.681818181818183
28.235294117647058;461.1;53.95;4;58.93;27.5;35.0;2;11.0;30.0;75.27;2;2;30.0;30.0;30.0;22.5;0.0;57.32;1;0;2;30.0;40.0;0.0;17.0;1;45.0;1;1;30.0;2;43.48;6;6.0;1;3;3;2;3;3;3;1.0;29.72222222222222
34.411764705882355;497.25;70.81;6;69.69;30.0;38.75;1;17.0;35.0;67.54;1;2;30.0;35.0;40.0;30.0;0.0;61.76;2;0;0;35.0;40.0;0.0;17.0;1;40.0;1;1;45.0;2;111.94;6;0.0;1;3;3;2;3;3;3;2.0;35.294117647058826
33.970588235294116;499.7;62.54;5;64.0;30.0;35.0;2;14.0;35.0;72.55;2;2;30.0;35.0;30.0;22.5;0.0;66.94;2;0;1;35.0;35.0;0.0;17.0;1;40.0;1;1;50.0;2;64.23;6;3.0;1;3;3;2;3;3;3;2.0;32.638888888888886
34.85294117647059;472.03;58.09;5;64.0;27.5;40.416666666666664;2;14.0;35.0;72.55;2;2;30.0;35.0;35.0;30.0;0.0;64.21;2;0;1;35.0;40.0;0.0;17.0;1;50.0;1;1;50.0;2;88.67;6;3.0;1;3;3;2;3;3;3;2.0;34.705882352941174
15.0;508.98;62.54;0;58.93;0.0;25.454545454545453;0;0.0;0.0;78.22;0;0;0.0;15.0;15.0;0.0;8.0;66.94;1;3;1;15.0;25.0;0.0;3.0;0;50.0;0;1;0.0;1;69.48;1;3.0;0;3;3;2;3;3;3;1.0;16.666666666666668
34.11764705882353;520.07;65.0;6;58.93;35.0;35.833333333333336;1;17.0;35.0;89.86;1;2;35.0;30.0;35.0;30.0;0.0;64.21;2;0;0;30.0;40.0;0.0;17.0;1;40.0;1;1;40.0;2;64.23;6;0.0;1;3;3;2;3;3;3;2.0;33.77777777777778
35.294117647058826;482.55;60.25;6;56.51;30.0;36.666666666666664;1;17.0;35.0;69.99;0;1;30.0;30.0;30.0;35.0;0.0;59.48;2;0;0;30.0;40.0;0.0;17.0;1;50.0;1;1;50.0;2;71.53;6;0.0;1;3;3;2;3;3;3;2.0;38.333333333333336
35.0;499.31;67.71;1;64.0;0.0;39.54545454545455;0;3.0;0.0;78.22;0;0;0.0;35.0;35.0;0.0;0.0;64.21;2;0;0;35.0;40.0;0.0;3.0;0;50.0;0;1;0.0;2;71.53;1;0.0;0;3;3;2;3;3;3;2.0;40.0
25.0;443.65;58.09;1;69.69;0.0;32.27272727272727;0;2.0;22.5;60.49;5;2;32.5;30.0;23.75;17.5;4.0;59.48;1;1;4;27.5;35.0;0.0;14.0;2;45.0;2;2;27.5;2;73.83;5;12.0;2;3;3;2;3;3;3;2.0;35.0
34.411764705882355;460.6;53.95;6;58.93;35.0;36.666666666666664;1;17.0;35.0;65.16;1;2;30.0;30.0;30.0;30.0;0.0;64.21;2;0;0;35.0;40.0;0.0;17.0;1;50.0;1;1;40.0;2;69.48;6;0.0;1;3;3;2;3;3;3;2.0;34.411764705882355
35.0;469.88;58.09;5;58.93;30.0;35.0;1;15.0;40.0;69.99;0;1;0.0;30.0;35.0;30.0;0.0;59.48;2;0;0;35.0;35.0;0.0;15.0;1;40.0;0;1;40.0;2;45.98;5;0.0;1;3;3;2;3;3;3;1.0;24.0
31.764705882352942;472.66;62.54;6;54.12;35.0;33.333333333333336;1;17.0;30.0;72.55;0;1;30.0;35.0;27.5;30.0;4.0;59.48;2;1;0;30.0;40.0;0.0;17.0;1;35.0;1;1;35.0;2;83.41;6;0.0;1;3;3;2;3;3;3;2.0;33.38235294117647
31.764705882352942;466.5;51.92;6;61.41;30.0;40.833333333333336;1;17.0;30.0;75.27;0;1;30.0;35.0;45.0;30.0;0.0;59.48;2;0;0;30.0;40.0;0.0;17.0;1;40.0;1;1;40.0;2;88.67;6;0.0;1;3;3;2;3;3;3;2.0;35.55555555555556
18.88888889;507.0;58.09;0;61.41;25.0;25.378787879090908;2;0.0;10.0;67.54;3;0;0.0;25.0;26.66666667;0.0;11.0;61.76;1;4;3;21.66666667;27.5;0.0;9.0;3;23.33333333;0;3;0.0;1;83.41;3;9.0;0;3;3;2;3;3;3;1.0;11.6
33.529411764705884;451.26;58.09;6;64.0;30.0;37.5;1;17.0;35.0;67.54;1;2;30.0;30.0;40.0;35.0;0.0;59.48;2;0;0;30.0;40.0;0.0;17.0;1;40.0;1;1;40.0;2;69.48;6;0.0;1;3;3;2;3;3;3;1.0;29.166666666111112
31.058823529411764;496.04;62.54;5;64.0;30.0;35.833333333333336;1;15.0;30.0;55.71;1;1;24.0;35.0;35.0;30.0;0.0;59.48;2;0;1;30.0;40.0;0.0;17.0;1;35.0;2;1;40.0;2;71.53;6;2.0;1;3;3;2;3;3;3;1.0;28.529411764705884
30.0;484.72;60.25;5;56.51;30.0;36.81818181818182;1;14.0;35.0;78.22;0;1;30.0;30.0;35.0;25.0;0.0;66.94;2;0;1;30.0;40.0;0.0;17.0;1;45.0;1;1;30.0;2;57.13;6;3.0;1;3;3;2;3;3;3;2.0;36.666666666666664
32.64705882352941;458.0;58.09;4;64.0;22.5;33.333333333333336;2;11.0;30.0;60.49;2;1;45.0;30.0;30.0;40.0;0.0;64.21;2;0;2;27.5;35.0;0.0;17.0;1;40.0;1;2;35.0;2;61.22;6;6.0;1;3;3;2;3;3;3;2.0;32.35294117647059
15.0;474.12;60.25;0;56.51;0.0;28.636363636363637;0;0.0;0.0;62.82;0;0;0.0;25.0;20.0;0.0;7.0;66.94;1;2;1;15.0;40.0;0.0;3.0;0;40.0;0;1;0.0;1;76.45;1;3.0;0;3;3;2;3;3;3;1.0;15.0
36.3235294117647;457.32;53.95;6;66.74;30.0;32.083333333333336;1;17.0;35.0;58.13;1;2;50.0;35.0;25.0;32.5;4.0;59.48;2;1;0;30.0;40.0;0.0;17.0;1;35.0;1;1;45.0;2;73.83;6;0.0;1;3;3;2;3;3;3;2.0;31.61764705882353
33.38235294117647;469.54;60.25;5;58.93;30.0;38.75;3;14.0;27.5;69.99;2;1;40.0;30.0;40.0;30.0;0.0;57.32;2;0;1;30.0;40.0;0.0;17.0;2;45.0;1;1;45.0;2;67.6;6;3.0;1;3;3;2;3;3;3;1.0;30.0
15.0;475.1;55.99;0;58.93;0.0;17.727272727272727;0;0.0;0.0;67.54;0;0;0.0;25.0;15.0;0.0;11.0;64.21;1;4;1;15.0;15.0;0.0;3.0;0;15.0;0;1;0.0;1;79.55;1;3.0;0;3;3;2;3;3;3;1.0;15.0
15.0;476.96;65.51;0;63.43;0.0;24.09090909090909;0;0.0;0.0;53.42;1;0;0.0;15.0;15.0;0.0;7.0;74.87;1;2;1;15.0;40.0;0.0;3.0;0;40.0;0;2;0.0;1;53.56;1;3.0;0;3;3;2;3;3;3;1.0;15.0
15.0;354.43;38.26;0;54.12;0.0;15.0;0;0.0;0.0;44.48;0;0;0.0;15.0;15.0;0.0;11.0;47.14;1;4;1;15.0;15.0;0.0;3.0;0;15.0;0;1;0.0;1;40.88;1;3.0;0;3;3;2;3;3;3;1.0;15.0
31.764705882352942;451.32;55.99;5;66.74;25.0;37.916666666666664;2;14.0;30.0;65.16;1;1;45.0;40.0;35.0;30.0;0.0;53.22;2;0;1;30.0;35.0;0.0;17.0;1;40.0;1;1;35.0;2;58.45;6;3.0;1;3;3;2;3;3;3;2.0;34.44444444444444
35.88235294117647;472.69;60.25;6;66.74;30.0;37.5;1;17.0;30.0;72.55;0;1;50.0;40.0;32.5;30.0;0.0;51.21;2;0;0;40.0;40.0;0.0;17.0;1;40.0;1;1;40.0;2;40.88;6;0.0;1;3;3;2;3;3;3;2.0;31.764705882352942
34.705882352941174;476.82;62.54;6;58.93;30.0;38.75;1;17.0;30.0;72.55;0;1;40.0;35.0;35.0;35.0;0.0;61.76;2;0;0;30.0;45.0;0.0;17.0;1;45.0;1;1;45.0;2;71.53;6;0.0;1;3;3;2;3;3;3;2.0;35.833333333333336
28.088235294705882;475.78;62.54;4;66.74;22.5;35.416666666666664;2;11.0;35.0;69.99;3;3;30.0;30.0;35.0;21.66666667;0.0;55.25;1;0;2;30.0;40.0;0.0;17.0;1;40.0;2;1;30.0;2;54.57;6;6.0;1;3;3;2;3;3;3;1.0;26.555555555555557
32.94117647058823;457.21;58.09;6;56.51;30.0;29.583333333333332;1;17.0;35.0;78.22;0;1;40.0;30.0;27.5;30.0;4.0;51.21;2;1;0;30.0;35.0;0.0;17.0;1;30.0;1;1;35.0;1;69.48;6;0.0;1;3;3;2;3;3;3;2.0;31.470588235294116
33.529411764705884;468.28;48.51;5;58.17;25.0;37.916666666666664;2;14.0;35.0;75.87;1;1;45.0;45.0;27.5;30.0;4.0;65.33;2;1;1;30.0;40.0;0.0;17.0;1;40.0;1;1;40.0;2;51.96;6;3.0;1;3;3;2;3;3;3;2.0;34.26470588235294
33.529411764705884;482.79;60.25;6;56.51;30.0;42.916666666666664;1;17.0;35.0;81.5;0;1;45.0;40.0;45.0;30.0;0.0;57.32;2;0;0;30.0;40.0;0.0;17.0;1;45.0;1;1;35.0;2;73.83;6;0.0;1;3;3;2;3;3;3;2.0;36.388888888888886
30.147058823529413;389.1;43.37;4;46.84;27.5;33.333333333333336;2;11.0;35.0;62.82;2;2;35.0;35.0;30.0;25.0;0.0;49.19;2;0;2;30.0;35.0;0.0;17.0;1;35.0;1;1;30.0;2;57.13;6;6.0;1;3;3;2;3;3;3;2.0;30.58823529411765
33.6764705882353;455.29;58.09;6;61.41;32.5;41.666666666666664;2;17.0;35.0;69.99;2;1;35.0;35.0;40.0;30.0;0.0;49.19;2;0;0;35.0;40.0;0.0;17.0;1;50.0;2;1;35.0;2;65.86;6;0.0;1;3;3;2;3;3;3;2.0;33.611111111111114
39.411764705882355;473.44;60.25;6;61.41;35.0;37.916666666666664;1;17.0;40.0;67.54;0;1;50.0;40.0;35.0;35.0;0.0;59.48;2;0;0;40.0;40.0;0.0;17.0;1;40.0;1;1;40.0;2;88.67;6;0.0;1;3;3;2;3;3;3;2.0;39.411764705882355
26.166666666;438.15;49.87;2;58.93;23.33333333;32.5;3;6.0;30.0;69.99;3;4;0.0;35.0;25.0;20.0;4.0;64.21;1;1;3;30.0;35.0;0.0;15.0;1;35.0;0;1;27.5;2;55.84;5;9.0;4;3;3;2;3;3;3;1.0;17.77777777777778
32.35294117647059;470.68;53.95;4;61.41;27.5;35.833333333333336;2;11.0;40.0;62.82;2;2;35.0;40.0;27.5;27.5;4.0;57.32;2;1;2;30.0;40.0;0.0;17.0;1;40.0;1;1;35.0;2;57.13;6;6.0;1;3;3;2;3;3;3;2.0;32.970588235294116
32.64705882352941;446.87;55.99;5;58.93;30.0;34.583333333333336;1;14.0;35.0;62.82;3;2;45.0;30.0;30.0;27.5;0.0;53.22;2;0;1;30.0;40.0;0.0;17.0;1;40.0;1;2;32.5;2;55.84;6;3.0;2;3;3;2;3;3;3;2.0;31.805555555555557
