PROMEDIO_TRES;PROMEDIO_DOS;NOTA_INT;NCA_DOS;NCA_TRES;NOTA_FIS_DOS;PG_ICFES;NOTA_FIS_TRES;BIOLOGIA_ICFES;VECES_FIS_TRES;CON_MAT_ICFES;PROMEDIO_UNO;FISICA_ICFES;NOTA_EL_UNO;NOTA_DEM;NAA_TRES;VECES_INT;NAA_DOS;NOTA_CIR_DOS;VECES_CIR_DOS;NAC_TRES;NAP_TRES;NCC_TRES;EPA_TRES;CAR_TRES;VECES_EL_UNO;VECES_MULTI;NCP_TRES;NOTA_EE_UNO;VECES_DEM;VECES_ECUA;NOTA_ECUA;CAR_DOS;NOTA_MULTI;CREDITOS_MULTI;CREDITOS_FIS_TRES;CREDITOS_EL_UNO;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
32.22222222222222;34.85294117647059;25.0;14.0;9.0;35.0;469.67;27.5;74.35;2;60.48;28.75;63.43;27.5;45.0;4;3;5;25.0;2;7;3;18.0;1;3;2;1;9.0;50.0;1;1;35.0;2;30.0;3;3;3;2.0;33.0
31.0;33.088235294117645;30.0;14.0;12.0;35.0;468.77;27.5;62.54;2;62.82;35.0;58.93;27.5;45.0;5;1;5;30.0;1;7;2;18.0;2;2;2;1;6.0;39.0;1;1;30.0;1;30.0;3;3;3;2.0;38.0
30.97222222222222;33.6764705882353;35.0;17.0;15.0;35.0;486.59;30.0;62.54;1;78.22;33.18181818181818;58.93;35.0;45.0;6;1;6;22.5;2;7;1;18.0;2;1;1;1;3.0;35.0;1;1;30.0;1;30.0;3;3;3;1.0;27.708333333333332
40.0;25.88235294117647;25.0;6.0;2.0;35.0;462.85;0.0;49.87;0;81.5;35.0;51.73;0.0;0.0;1;1;2;0.0;0;1;0;2.0;2;0;0;0;0.0;40.0;0;0;0.0;0;0.0;3;3;3;1.0;26.0
37.833333333333336;37.64705882352941;40.0;17.0;18.0;40.0;469.95;35.0;62.54;1;72.55;33.75;54.12;35.0;45.0;7;1;6;30.0;1;7;0;18.0;2;1;1;1;0.0;48.0;1;2;35.0;1;45.0;3;3;3;2.0;39.0
26.59090909090909;33.088235294117645;27.5;14.0;5.0;30.0;482.95;0.0;60.25;0;67.54;32.50000000083333;61.41;0.0;0.0;2;2;5;30.0;2;4;2;11.0;1;3;0;3;6.0;30.0;0;4;22.5;4;25.0;3;3;3;2.0;31.875
38.666666666666664;17.0;0.0;0.0;3.0;12.5;422.02;0.0;51.92;0;47.67;23.136363637272726;64.0;0.0;30.0;2;0;0;0.0;0;2;0;3.0;2;0;0;0;0.0;43.0;1;0;0.0;3;0.0;3;3;3;1.0;17.5
35.588235294117645;36.1764705882353;30.0;17.0;17.0;40.0;477.39;30.0;62.54;1;60.49;36.666666666666664;64.0;40.0;0.0;6;1;6;30.0;1;6;0;17.0;2;1;1;2;0.0;40.0;0;1;40.0;0;35.0;3;3;3;2.0;39.666666666666664
32.69444444444444;32.5;22.5;14.0;12.0;30.0;463.42;27.5;65.0;2;65.16;33.75;66.74;30.0;45.0;5;2;5;25.0;2;7;2;18.0;2;2;1;1;6.0;43.0;1;1;35.0;3;35.0;3;3;3;2.0;36.0
30.5;32.50000000058824;26.66666667;11.0;11.0;27.5;472.02;35.0;59.24;1;67.77;35.833333333333336;56.34;22.0;0.0;4;3;4;27.5;2;6;2;17.0;2;2;4;1;6.0;35.0;0;1;30.0;2;35.0;3;3;3;2.0;34.46666666666667
