NOTA_STG;PROMEDIO_SEIS;NOTA_C_UNO;NOTA_FDS;PROMEDIO_OCHO;NOTA_ELECPOT;NOTA_INSIND;NOTA_SISDIN;NAP_OCHO;NOTA_INGECO;NOTA_TFM;NOTA_VARCOM;NOTA_TELEC_UNO;NAC_OCHO;NOTA_TELEMA_UNO;VECES_STG;CON_MAT_ICFES;NCA_OCHO;NCC_OCHO;PROMEDIO_SIETE;PROMEDIO_TRES;CAR_OCHO;NOTA_COMDIG;NOTAS_BDATOS;NCP_OCHO;NAA_OCHO;NOTA_BIOING_UNO;NCC_SIETE;EPA_OCHO;VECES_INSIND;VECES_BDATOS;VECES_TELEC_UNO;VECES_INGECO;VECES_C_UNO;VECES_BIOING_UNO;VECES_TELEMA_UNO;CREDITOS_STG;CREDITOS_BIOING_UNO;CREDITOS_C_UNO;CREDITOS_INGECO;CREDITOS_TELEC_UNO;CREDITOS_BDATOS;CREDITOS_TELEMA_UNO;CREDITOS_INSIND;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
42.0;39.42857142857143;29.33333333;34.0;34.94444444388889;31.0;30.0;30.0;1;35.0;43.0;25.0;33.0;8;37.0;1;60.48;15.0;18.0;32.708333333333336;32.22222222222222;1;32.5;38.0;3.0;7;45.0;12.0;2;1;1;1;1;3;1;1;1;2;3;2;3;2;2;3;2.0;39.88235294117647
45.0;27.392857142857142;25.0;35.0;32.861111111111114;33.0;19.5;30.0;2;43.0;44.0;40.0;31.0;8;35.0;1;62.82;12.0;18.0;31.0;31.0;2;21.0;40.0;6.0;6;42.0;12.0;2;2;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;42.05882352941177
40.0;34.285714285714285;29.0;30.0;41.05555555555556;40.0;42.0;40.0;1;48.0;48.0;40.0;38.0;8;41.0;1;72.55;15.0;18.0;38.333333333333336;37.833333333333336;1;40.0;50.0;3.0;7;47.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;40.8235294117647
47.0;32.857142857142854;40.0;25.0;41.44444444444444;30.0;37.0;40.0;0;43.0;49.0;30.0;38.0;8;43.0;1;60.49;18.0;18.0;35.083333333333336;35.588235294117645;1;45.0;42.0;0.0;8;49.0;12.0;2;2;1;1;1;1;1;1;1;2;3;2;3;2;2;3;4.0;47.42857142857143
44.0;34.285714285714285;30.0;46.0;39.833333333333336;35.0;42.0;30.0;0;43.0;43.0;30.0;43.0;8;35.0;1;65.16;18.0;18.0;37.833333333333336;32.69444444444444;0;41.0;43.0;0.0;8;43.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;40.11764705882353
0.0;26.681818181818183;0.0;0.0;48.0;0.0;0.0;20.0;0;0.0;0.0;22.5;0.0;1;0.0;0;67.77;2.0;2.0;22.666666665;30.5;0;0.0;0.0;0.0;1;48.0;4.0;2;0;0;0;0;0;1;0;1;2;3;2;3;2;2;3;3.0;43.0
32.0;29.392857142857142;22.75;25.5;31.59722222222222;25.5;32.5;27.5;2;30.0;40.0;22.5;27.0;8;33.0;2;72.55;12.0;18.0;30.208333333333332;32.638888888888886;4;41.0;44.0;6.0;6;38.0;12.0;2;2;1;2;1;4;1;1;1;2;3;2;3;2;2;3;2.0;39.0
45.0;41.785714285714285;37.0;34.0;44.0;40.0;48.0;40.0;0;43.0;49.0;40.0;42.0;8;42.0;1;78.22;18.0;18.0;40.92857142857143;40.88235294117647;0;45.0;50.0;0.0;8;48.0;14.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;4.0;45.214285714285715
36.0;38.142857142857146;35.0;30.0;35.94444444444444;32.0;33.0;30.0;0;43.0;42.0;35.0;31.0;8;32.0;1;75.27;18.0;18.0;28.25;35.44117647058823;0;21.0;41.0;0.0;8;41.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;2.0;39.588235294117645
48.0;32.142857142857146;40.0;35.0;40.44444444444444;48.0;41.0;30.0;0;40.0;42.0;30.0;33.0;8;39.0;1;69.99;18.0;18.0;38.583333333333336;36.470588235294116;0;43.0;43.0;0.0;8;47.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;43.705882352941174
