CON_MAT_ICFES;QUIMICA_ICFES;PG_ICFES;FISICA_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;LOCALIDAD;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIF;EPA_UNO;NOTA_PROGB;NOTA_FIS_UNO;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
60.48;47.6;469.67;63.43;49.6;74.35;0;3;59.11;28.75;22.5;1;30.0;30.0;4.0;0.0;40.0;1;32.22222222222222;2.0
62.82;52.34;468.77;58.93;61.22;62.54;0;10;64.21;35.0;32.5;2;35.0;35.0;0.0;0.0;40.0;0;31.0;2.0
78.22;50.66;486.59;58.93;59.81;62.54;0;20;59.48;33.18181818181818;30.0;2;35.0;35.0;0.0;0.0;35.0;0;30.97222222222222;2.0
81.5;57.44;462.85;51.73;58.45;49.87;0;20;53.22;35.0;30.0;2;35.0;40.0;0.0;0.0;40.0;0;40.0;2.0
72.55;55.7;469.95;54.12;54.57;62.54;0;6;59.48;33.75;30.0;2;30.0;40.0;0.0;0.0;35.0;0;37.833333333333336;2.0
67.54;57.44;482.95;61.41;62.69;60.25;0;20;57.32;32.50000000083333;35.0;2;21.66666667;35.0;3.0;0.0;35.0;1;26.59090909090909;1.0
47.67;52.34;422.02;64.0;39.54;51.92;0;2;53.22;23.136363637272726;18.0;1;28.5;20.66666667;10.0;0.0;35.0;3;38.666666666666664;2.0
60.49;61.18;477.39;64.0;62.69;62.54;1;12;59.48;36.666666666666664;40.0;2;35.0;30.0;0.0;0.0;40.0;0;35.588235294117645;2.0
65.16;59.25;463.42;66.74;76.45;65.0;0;13;66.94;33.75;32.5;2;35.0;30.0;0.0;0.0;40.0;0;32.69444444444444;2.0
67.77;65.03;472.02;56.34;53.56;59.24;0;20;57.14;35.833333333333336;40.0;2;35.0;30.0;0.0;0.0;40.0;0;30.5;2.0
72.55;57.44;475.59;54.12;44.74;58.09;0;13;61.76;31.25;25.0;2;35.0;30.0;4.0;0.0;35.0;1;32.638888888888886;2.0
78.22;63.27;488.96;64.0;64.23;62.54;0;18;61.76;39.166666666666664;40.0;2;40.0;35.0;0.0;0.0;40.0;0;40.88235294117647;3.0
67.54;57.44;495.09;61.41;97.34;65.0;1;4;55.25;33.75;32.5;2;35.0;30.0;0.0;0.0;35.0;0;31.38888888888889;2.0
