CON_MAT_ICFES;QUIMICA_ICFES;PG_ICFES;FISICA_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;LOCALIDAD;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIF;EPA_UNO;NOTA_PROGB;NOTA_FIS_UNO;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;PROMEDIO_DOS;NAA_DOS;NOTA_INT;VECES_INT;NCA_DOS;NOTA_FIS_DOS;CAR_DOS;PROMEDIO_TRES;NCA_TRES;NOTA_FIS_TRES;NOTA_EL_UNO;VECES_FIS_TRES;NOTA_DEM;PROMEDIO_CINCO;RENDIMIENTO_CINCO
60.48;47.6;469.67;63.43;49.6;74.35;0;3;59.11;28.75;22.5;1;30.0;30.0;4.0;0.0;40.0;1;34.85294117647059;5;25.0;3;14.0;35.0;2;32.22222222222222;9.0;27.5;27.5;2;45.0;38.13333333333333;2.0
62.82;52.34;468.77;58.93;61.22;62.54;0;10;64.21;35.0;32.5;2;35.0;35.0;0.0;0.0;40.0;0;33.088235294117645;5;30.0;1;14.0;35.0;1;31.0;12.0;27.5;27.5;2;45.0;32.53333333333333;2.0
81.5;57.44;462.85;51.73;58.45;49.87;0;20;53.22;35.0;30.0;2;35.0;40.0;0.0;0.0;40.0;0;25.88235294117647;2;25.0;1;6.0;35.0;0;40.0;2.0;0.0;0.0;0;0.0;40.0;2.0
72.55;55.7;469.95;54.12;54.57;62.54;0;6;59.48;33.75;30.0;2;30.0;40.0;0.0;0.0;35.0;0;37.64705882352941;6;40.0;1;17.0;40.0;1;37.833333333333336;18.0;35.0;35.0;1;45.0;37.266666666666666;2.0
67.54;57.44;482.95;61.41;62.69;60.25;0;20;57.32;32.50000000083333;35.0;2;21.66666667;35.0;3.0;0.0;35.0;1;33.088235294117645;5;27.5;2;14.0;30.0;4;26.59090909090909;5.0;0.0;0.0;0;0.0;15.0;1.0
60.49;61.18;477.39;64.0;62.69;62.54;1;12;59.48;36.666666666666664;40.0;2;35.0;30.0;0.0;0.0;40.0;0;36.1764705882353;6;30.0;1;17.0;40.0;0;35.588235294117645;17.0;30.0;40.0;1;0.0;40.46666666666667;3.0
65.16;59.25;463.42;66.74;76.45;65.0;0;13;66.94;33.75;32.5;2;35.0;30.0;0.0;0.0;40.0;0;32.5;5;22.5;2;14.0;30.0;3;32.69444444444444;12.0;27.5;30.0;2;45.0;41.0;3.0
67.77;65.03;472.02;56.34;53.56;59.24;0;20;57.14;35.833333333333336;40.0;2;35.0;30.0;0.0;0.0;40.0;0;32.50000000058824;4;26.66666667;3;11.0;27.5;2;30.5;11.0;35.0;22.0;1;0.0;21.57777777833333;1.0
72.55;57.44;475.59;54.12;44.74;58.09;0;13;61.76;31.25;25.0;2;35.0;30.0;4.0;0.0;35.0;1;32.20588235352941;3;27.5;2;9.0;35.0;3;32.638888888888886;15.0;30.0;27.5;2;45.0;29.466666666666665;1.0
78.22;63.27;488.96;64.0;64.23;62.54;0;18;61.76;39.166666666666664;40.0;2;40.0;35.0;0.0;0.0;40.0;0;41.1764705882353;6;45.0;1;17.0;40.0;0;40.88235294117647;17.0;40.0;40.0;1;0.0;42.13333333333333;3.0
67.54;57.44;495.09;61.41;97.34;65.0;1;4;55.25;33.75;32.5;2;35.0;30.0;0.0;0.0;35.0;0;30.441176470588236;4;25.0;2;11.0;30.0;2;31.38888888888889;15.0;30.0;20.0;2;45.0;21.0;1.0
75.27;52.34;471.3;61.41;57.13;47.79;0;8;64.21;37.083333333333336;40.0;2;30.0;40.0;0.0;0.0;35.0;0;32.64705882352941;6;30.0;1;17.0;35.0;0;35.44117647058823;17.0;35.0;35.0;1;0.0;40.53333333333333;3.0
69.99;55.7;474.45;61.41;58.45;62.54;0;21;66.94;33.333333333333336;30.0;2;35.0;30.0;0.0;0.0;40.0;0;33.970588235294116;5;27.5;2;14.0;35.0;2;36.470588235294116;17.0;40.0;40.0;1;0.0;42.4;3.0
81.5;48.97;463.88;51.73;57.13;51.92;0;21;59.48;33.333333333333336;30.0;2;35.0;30.0;0.0;0.0;40.0;0;35.0;6;35.0;1;17.0;40.0;0;33.05555555555556;18.0;30.0;30.0;1;45.0;27.22222222222222;1.0
72.55;59.25;489.88;72.97;44.74;58.09;0;8;57.32;40.0;45.0;2;35.0;40.0;0.0;0.0;40.0;0;38.8235294117647;6;40.0;1;17.0;40.0;0;35.588235294117645;17.0;35.0;35.0;1;0.0;41.06666666666667;3.0
78.22;57.44;487.35;64.0;55.84;74.54;0;20;53.22;33.75;30.0;2;35.0;40.0;1.0;0.0;35.0;1;32.94117647058823;5;30.0;1;15.0;35.0;1;33.05555555555556;18.0;30.0;30.0;2;45.0;28.6;1.0
89.86;75.87;513.66;72.97;97.34;58.09;0;10;55.25;34.166666666666664;40.0;2;30.0;35.0;1.0;0.0;25.0;1;30.0;4;22.5;2;11.0;30.0;2;24.70588235352941;8.0;30.0;15.0;1;0.0;30.0;1.0
75.27;71.54;493.94;64.0;50.87;58.09;1;10;59.48;44.583333333333336;50.0;2;45.0;40.0;0.0;0.0;40.0;0;40.294117647058826;6;45.0;1;17.0;40.0;0;36.470588235294116;17.0;30.0;40.0;2;0.0;39.6;2.0
70.42;54.05;509.82;74.2;69.4;59.24;0;20;61.16;34.583333333333336;30.0;2;35.0;40.0;0.0;0.0;35.0;0;32.205882352941174;5;27.5;2;14.0;35.0;1;24.944444445000002;10.0;25.0;30.0;2;45.0;18.9375;1.0
105.63;55.7;499.0;66.74;76.45;53.95;0;8;61.76;35.416666666666664;30.0;2;35.0;40.0;0.0;0.0;40.0;0;36.1764705882353;6;30.0;1;17.0;40.0;1;29.264705882941175;8.0;27.5;22.5;2;0.0;22.069444445;1.0
69.99;61.18;476.19;66.74;67.6;51.92;0;8;55.25;29.375;22.5;1;30.0;32.5;4.0;0.0;35.0;1;30.735294118235295;3;30.0;1;8.0;45.0;3;23.529411764705884;8.0;35.0;7.0;1;0.0;3.5;1.0
85.28;52.34;507.55;58.93;79.55;58.09;1;8;64.21;39.166666666666664;35.0;2;40.0;40.0;0.0;0.0;40.0;0;37.05882352941177;6;30.0;1;17.0;40.0;0;35.138888888888886;15.0;30.0;35.0;1;45.0;32.8;2.0
78.22;55.7;477.41;58.93;69.48;58.09;0;18;61.76;35.416666666666664;30.0;2;40.0;35.0;0.0;0.0;40.0;0;33.529411764705884;5;25.0;2;14.0;35.0;2;33.611111111111114;18.0;30.0;35.0;1;45.0;31.233333333333334;2.0
75.91;63.23;489.84;73.07;52.42;62.46;0;16;66.67;36.25;40.0;2;30.0;35.0;0.0;0.0;40.0;0;34.411764705882355;6;40.0;1;17.0;35.0;1;30.970588235294116;14.0;30.0;25.0;1;0.0;32.43333333333333;2.0
81.5;61.18;530.42;58.93;71.53;67.71;1;20;70.06;39.166666666666664;40.0;2;35.0;40.0;0.0;0.0;40.0;0;34.85294117647059;6;40.0;1;17.0;35.0;1;33.970588235294116;14.0;40.0;22.5;1;0.0;37.666666666666664;2.0
60.49;54.01;470.95;61.41;65.86;62.54;0;15;66.94;32.916666666666664;30.0;2;35.0;30.0;0.0;0.0;35.0;0;31.764705882352942;6;30.0;1;17.0;35.0;0;31.11111111111111;12.0;27.5;30.0;2;45.0;40.8;3.0
81.5;63.27;514.21;81.3;79.55;58.09;0;20;66.94;37.916666666666664;40.0;2;30.0;40.0;0.0;0.0;40.0;0;38.529411764705884;6;35.0;1;17.0;35.0;0;33.23529411764706;17.0;35.0;30.0;1;0.0;41.266666666666666;3.0
60.49;55.7;479.19;64.0;48.43;55.99;0;9;64.21;31.25;30.0;2;30.0;30.0;0.0;0.0;40.0;0;33.82352941235294;6;31.66666667;3;17.0;40.0;1;29.02777777777778;12.0;30.0;20.0;1;45.0;13.5;1.0
81.5;47.22;454.65;56.51;67.6;55.99;1;20;53.22;34.166666666666664;30.0;2;35.0;35.0;0.0;0.0;40.0;0;32.205882352941174;5;27.5;2;14.0;35.0;1;32.205882352941174;14.0;35.0;22.5;1;0.0;36.733333333333334;2.0
72.55;59.25;478.74;64.0;71.53;58.09;0;20;53.22;35.416666666666664;30.0;2;40.0;35.0;0.0;0.0;40.0;0;36.1764705882353;6;30.0;1;17.0;35.0;0;35.138888888888886;18.0;30.0;35.0;1;45.0;41.333333333333336;3.0
72.55;54.01;450.22;66.74;53.32;53.95;0;11;57.32;35.416666666666664;35.0;2;35.0;35.0;0.0;0.0;35.0;0;32.35294117647059;6;35.0;1;17.0;30.0;0;31.61764705882353;14.0;30.0;30.0;2;0.0;40.93333333333333;3.0
67.54;52.34;447.85;72.97;69.48;62.54;0;11;55.25;35.0;30.0;2;35.0;40.0;0.0;0.0;35.0;0;32.64705882352941;6;30.0;2;17.0;35.0;2;34.94117647058823;17.0;30.0;30.0;1;0.0;35.93333333333333;2.0
67.54;59.25;454.59;64.0;50.87;53.95;0;11;53.22;35.208333333333336;30.0;2;40.0;32.5;0.0;0.0;40.0;0;34.705882352941174;6;30.0;1;17.0;30.0;2;35.55555555555556;18.0;35.0;35.0;1;45.0;27.766666666666666;1.0
