NUMERO;PROMEDIO_CINCO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NOTA_GRAFOS;PROMEDIO_OCHO;NCC_OCHO;NOTA_LOG_UNO;NOTA_CALIDAD_DOS;NOTA_LENGUA_DOS;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_LOG_DOS;VECES_LOG_DOS;CREDITOS_LOG_DOS;NOTA_DECISION;VECES_DECISION;CREDITOS_DECISION;NOTA_PRODUCCION;VECES_PRODUCCION;CREDITOS_PRODUCCION;NOTA_FINANZAS;VECES_FINANZAS;CREDITOS_FINANZAS;NOTA_GIT;VECES_GIT;CREDITOS_GIT;NOTA_GTH;VECES_GTH;CREDITOS_GTH;NOTA_HISTORIA;VECES_HISTORIA;CREDITOS_HISTORIA;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
831;34.76470588235294;36.85294117647059;32.0;40.92307692307692;33.0;35.2;10;37.0;42.0;34.0;29.46153846153846;1;13;7;6;6;3;3;1;0.0;0;1;25.0;1;2;15.5;2;2;30.0;1;3;26.0;1;2;40.0;1;2;40.0;1;2;0.0;0;2;4;48.0
1250;38.0;39.0;46.0;38.66666666666666;30.0;38.28571428571428;14;33.0;46.0;43.0;38.5625;0;16;16;0;8;8;0;2;45.0;1;1;48.0;1;2;30.0;1;2;30.0;1;3;34.0;1;2;47.0;1;2;39.0;1;2;43.0;1;2;2;33.55555555555556
1466;37.58823529411764;35.1764705882353;35.0;37.86666666666667;34.0;34.125;12;29.0;41.0;46.0;33.6;0;10;10;0;5;5;0;2;0.0;0;1;0.0;0;2;31.0;1;2;0.0;0;3;30.0;1;2;37.0;1;2;32.0;1;2;38.0;1;2;2;35.33333333333334
2;36.33333333333334;32.4;40.0;33.88888888888889;41.0;30.0;9;28.5;29.0;0.0;34.15384615384615;1;13;13;0;6;6;0;2;0.0;0;1;31.0;1;2;32.0;2;2;32.0;1;3;30.0;1;2;40.0;1;2;41.0;1;2;0.0;0;2;3;41.625
6;41.81818181818182;38.46666666666667;40.0;39.44444444444444;50.0;40.66666666666666;9;45.0;39.0;0.0;38.92307692307692;0;13;13;0;6;6;0;2;0.0;0;1;34.0;1;2;42.0;1;2;40.0;1;3;35.0;1;2;37.0;1;2;45.0;1;2;0.0;0;2;3;40.125
9;35.38461538461539;36.26666666666667;30.0;40.11111111111111;45.0;37.72727272727273;11;40.0;38.0;40.0;40.0;2;13;11;2;6;5;1;2;0.0;0;1;34.5;2;2;42.0;1;2;44.0;1;3;27.5;2;2;45.0;1;2;45.0;1;2;0.0;0;2;2;36.8
10;33.40909090909091;34.66666666666666;30.0;39.44444444444444;40.0;38.66666666666666;9;32.0;42.0;0.0;36.15384615384615;2;13;11;2;6;5;1;2;0.0;0;1;31.0;1;2;26.0;3;2;46.0;1;3;30.0;2;2;40.0;1;2;39.0;1;2;0.0;0;2;3;40.625
11;32.2;33.16666666666667;21.66666666666667;37.66666666666666;37.0;35.11111111111111;9;38.0;41.0;0.0;35.07692307692308;1;13;11;2;6;5;1;2;0.0;0;1;31.0;1;2;28.5;2;2;37.0;1;3;31.0;1;2;40.0;1;2;42.0;1;2;0.0;0;2;2;32.5
15;43.53846153846154;42.13333333333333;40.0;43.33333333333334;40.0;45.27272727272727;11;45.0;47.0;46.0;40.30769230769231;0;13;13;0;6;6;0;2;0.0;0;1;39.0;1;2;40.0;1;2;40.0;1;3;35.0;1;2;39.0;1;2;49.0;1;2;0.0;0;2;2;39.7
20;36.61538461538461;36.66666666666666;40.0;40.44444444444444;40.0;41.55555555555556;9;39.0;42.0;0.0;39.23076923076923;0;13;13;0;6;6;0;2;0.0;0;1;38.0;1;2;32.0;1;2;40.0;1;3;35.0;1;2;45.0;1;2;45.0;1;2;0.0;0;2;3;40.5
24;27.88461538461538;27.71428571428572;35.0;31.85714285714286;0.0;15.5;4;17.0;14.0;0.0;0.0;0;2;0;2;1;0;1;1;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;0.0;1;2;0.0;0;2;0;0.0
