PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;RENDIMIENTO_UNO;PROMEDIO_UNO;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;LOCALIDAD;CAR_UNO;NCC_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS;PROMEDIO_TRES;RENDIMIENTO_TRES
472.22;65.25;63.43;57.31;62.81;2.0;39.44444444444444;20;59.24;8;0;9.0;4;35.0;0.0;45.0;40.0;0.0;40.0;0.0;1.0;15.0;0.0;0.0
478.78;62.84;58.68;65.03;53.56;2.0;31.8;0;59.24;8;1;15.0;6;22.5;30.0;40.0;35.0;30.0;40.0;36.0;2.0;31.65625;37.93333333333333;2.0
465.59;78.22;66.74;63.27;88.67;2.0;30.83333333333333;20;49.87;19;1;15.0;5;30.0;23.75;35.0;40.0;15.0;40.0;40.0;1.0;26.53846153846154;34.54545454545455;2.0
491.36;72.55;56.51;55.7;53.32;2.0;31.153846153846157;10;65.0;10;1;13.0;5;20.0;40.0;35.0;40.0;30.0;40.0;0.0;2.0;33.333333333333336;40.0;2.0
464.62;67.54;64.0;63.27;53.32;2.0;36.333333333333336;20;62.54;20;0;15.0;7;30.0;35.0;40.0;40.0;35.0;35.0;45.0;2.0;34.78125;37.0;2.0
465.73;75.27;58.93;48.97;65.86;2.0;35.333333333333336;15;55.99;16;1;15.0;7;30.0;40.0;30.0;35.0;40.0;45.0;40.0;2.0;35.0;40.73333333333333;3.0
555.13;89.86;81.3;68.28;45.98;1.0;23.846153846153847;6;58.09;5;1;13.0;4;15.0;15.0;30.0;35.0;30.0;35.0;0.0;1.0;30.0;30.0;1.0
491.66;89.86;54.12;57.44;53.32;2.0;38.07692307692308;9;65.0;9;0;13.0;6;45.0;30.0;35.0;40.0;35.0;40.0;0.0;2.0;36.25;38.333333333333336;2.0
478.1;72.55;56.51;61.18;69.48;2.0;38.66666666666666;15;53.95;5;1;15.0;7;30.0;40.0;40.0;40.0;40.0;40.0;50.0;2.0;34.3125;40.73333333333333;3.0
465.69;67.54;56.51;57.44;62.69;2.0;33.666666666666664;15;58.09;18;1;15.0;6;22.5;40.0;35.0;40.0;35.0;40.0;40.0;2.0;34.5625;37.53333333333333;2.0
473.19;53.2;64.0;52.34;49.65;2.0;32.53333333333333;16;62.54;16;1;15.0;6;23.75;30.0;35.0;40.0;35.0;40.0;39.0;2.0;30.83333333333337;30.307692307692307;2.0
494.25;65.16;66.74;59.25;62.69;2.0;34.2;20;62.54;20;0;15.0;7;30.0;30.0;35.0;40.0;35.0;40.0;39.0;2.0;33.09375;36.73333333333333;2.0
459.45;65.16;61.41;57.44;58.45;1.0;15.0;1;53.95;13;0;9.0;0;15.0;0.0;15.0;15.0;0.0;15.0;0.0;1.0;15.0;0.0;0.0
511.68;58.13;56.51;61.18;71.53;2.0;36.15384615384615;20;55.99;20;0;13.0;6;30.0;0.0;35.0;45.0;35.0;40.0;45.0;2.0;37.5;27.5;1.0
488.76;75.27;58.93;54.01;88.67;2.0;37.93333333333333;9;79.45;8;0;15.0;7;35.0;35.0;40.0;45.0;45.0;40.0;32.0;2.0;39.0625;40.333333333333336;3.0
463.75;62.82;76.74;63.27;47.21;2.0;35.4;20;58.09;20;0;15.0;7;30.0;50.0;30.0;40.0;35.0;45.0;33.0;2.0;33.3125;39.06666666666667;2.0
478.39;78.22;64.0;59.25;69.48;1.0;26.818181818181817;0;55.99;10;0;11.0;2;25.0;0.0;15.0;20.0;0.0;40.0;45.0;1.0;21.2;50.0;4.0
477.27;81.5;58.93;57.44;69.48;2.0;32.733333333333334;20;58.09;20;1;15.0;6;22.5;40.0;30.0;40.0;40.0;45.0;33.0;2.0;32.03125;33.766666666666666;2.0
476.73;65.16;64.0;57.44;48.43;2.0;31.153846153846157;10;53.95;10;1;13.0;5;20.0;30.0;35.0;40.0;40.0;40.0;0.0;1.0;28.125;26.454545454545453;1.0
488.95;69.99;58.93;52.34;54.57;2.0;37.2;18;60.25;18;0;15.0;7;35.0;40.0;30.0;40.0;45.0;40.0;39.0;2.0;36.375;42.2;3.0
