NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;IDIOMA_ICFES;VECES_CATEDRA_DEM;NOTA_EE_UNO;PG_ICFES;NAP_UNO;VECES_DIFERENCIAL;CON_MAT_ICFES;NOTA_CATEDRA_CON;VECES_EE_UNO;NOTA_CATEDRA_FJC;NCP_UNO;LOCALIDAD_COLEGIO;EPA_UNO;VECES_PROG_BASICA;BIOLOGIA_ICFES;LITERATURA_ICFES;VECES_TEXTOS;VECES_CATEDRA_CON;VECES_CATEDRA_FJC;VECES_SEMINARIO;QUIMICA_ICFES;CREDITOS_PROG_BASICA;CREDITOS_LOGICA;CREDITOS_CATEDRA_FJC;PROMEDIO_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
22.5;35.0;35.0;8;1;45.0;30.0;45.0;1;9;18.0;14.0;50.86;1;42.0;447.57;1;2;61.49;46.0;1;40.0;4.0;7;2;1;52.77;63.42;1;1;1;1;54.3;3;3;1;34.72222222222222;2.0;35.26315789473684
22.5;45.0;45.0;6;1;40.0;30.0;45.0;1;7;15.0;11.0;67.51;1;0.0;452.04;1;2;70.11;0.0;0;45.0;4.0;1;2;1;50.78;48.26;1;0;1;1;54.3;3;3;1;35.333333333333336;2.0;30.3125
22.5;45.0;22.5;4;3;30.0;22.5;40.0;2;7;15.0;5.0;41.68;1;0.0;440.44;3;2;70.26;0.0;0;35.0;10.0;20;1;2;51.06;50.37;1;0;1;1;60.27;3;3;1;27.0;1.0;17.25
19.0;20.0;21.66666667;2;6;30.0;21.25;20.0;4;8;17.0;4.0;58.06;3;50.0;460.21;6;4;58.94;0.0;1;21.66666667;13.0;8;1;3;51.06;61.03;1;0;3;3;54.59;3;3;1;25.083333334117647;2.0;33.00000000066667
21.66666667;40.0;32.5;7;3;40.0;30.0;45.0;2;8;17.0;13.0;48.4;1;45.0;392.85;1;3;43.8;0.0;1;40.0;4.0;19;2;2;47.0;54.6;1;0;1;1;51.1;3;3;1;33.48039215764705;2.0;30.29411764647059
30.0;50.0;40.0;9;1;45.0;40.0;45.0;1;9;18.0;18.0;59.64;1;30.0;497.91;0;2;56.46;37.0;1;40.0;0.0;19;2;1;52.77;50.37;1;1;1;1;70.24;3;3;1;37.888888888888886;2.0;37.36842105263158
25.0;40.0;35.0;7;2;45.0;25.0;40.0;2;9;18.0;11.0;48.65;1;37.0;461.23;2;2;63.86;43.0;1;40.0;7.0;8;2;1;54.55;57.65;1;1;1;1;57.04;3;3;1;33.72222222222222;2.0;34.51315789473684
25.0;45.0;35.0;8;2;45.0;32.5;40.0;2;9;18.0;14.0;45.94;1;42.0;438.81;1;2;64.24;42.0;1;45.0;4.0;16;2;1;55.09;54.6;1;1;1;1;54.59;3;3;1;36.02777777777778;2.0;32.55263157947368
18.75;50.0;25.0;4;3;35.0;20.25;45.0;4;8;17.0;5.0;42.76;1;0.0;372.93;4;4;49.0;0.0;1;40.0;12.0;7;1;3;44.9;56.64;1;0;1;1;45.83;3;3;1;24.455882352941178;1.0;11.46875
23.33333333;35.0;30.0;5;2;30.0;25.0;50.0;2;8;17.0;8.0;65.1;1;15.0;459.06;3;3;73.57;0.0;1;40.0;9.0;16;1;1;50.78;50.37;1;0;1;1;62.0;3;3;1;27.843137254117647;1.0;18.366666666666667
23.33333333;50.0;40.0;8;1;40.0;35.0;50.0;1;9;18.0;14.0;44.34;1;39.0;446.86;1;3;66.94;43.0;1;45.0;4.0;20;2;1;52.56;57.87;1;1;1;1;53.85;3;3;1;36.90740740666667;2.0;34.86842105263158
21.66666667;50.0;40.0;8;1;40.0;30.0;45.0;1;9;18.0;14.0;45.94;1;39.0;431.06;1;3;67.13;39.0;1;40.0;4.0;7;2;1;59.3;48.26;1;1;1;1;70.81;3;3;1;34.925925926666665;2.0;35.315789474210526
21.66666667;45.0;30.0;8;1;30.0;30.0;45.0;1;9;18.0;14.0;44.71;1;45.0;434.39;1;3;67.13;41.0;1;40.0;4.0;18;2;1;53.07;50.37;1;1;1;1;56.4;3;3;1;32.648148148888886;2.0;35.05263157842105
27.5;45.0;35.0;8;1;40.0;35.0;40.0;1;9;18.0;14.0;64.23;1;33.0;463.92;1;2;62.82;44.0;1;40.0;4.0;20;2;1;53.95;61.76;1;1;1;1;47.22;3;3;1;35.27777777777778;2.0;35.26315789473684
22.5;35.0;35.0;8;3;40.0;35.0;40.0;2;9;18.0;14.0;48.4;1;42.0;450.31;1;2;67.01;33.0;1;35.0;4.0;8;2;1;52.77;63.4;1;2;1;1;52.57;3;3;1;33.72222222222222;2.0;34.23684210526316
22.5;30.0;25.0;3;4;25.0;27.5;35.0;2;8;17.0;3.0;53.32;1;15.0;432.04;5;2;69.99;0.0;1;30.0;14.0;8;1;2;51.92;51.21;2;0;1;1;50.66;3;3;1;24.852941176470587;1.0;5.642857142857143
9.0;11.33333333;8.25;0;7;14.0;9.0;9.0;5;7;15.0;0.0;54.9;3;0.0;455.03;7;5;67.01;0.0;0;10.0;15.0;20;1;4;44.68;50.47;3;0;3;5;54.3;3;3;1;9.738888888666668;1.0;20.0
25.0;50.0;27.5;7;2;45.0;30.0;50.0;1;9;18.0;11.0;48.65;1;35.0;439.7;2;2;63.86;41.0;1;40.0;7.0;20;2;2;54.55;62.59;1;1;1;1;59.09;3;3;1;34.083333333333336;2.0;33.10526315789474
27.5;50.0;30.0;7;1;40.0;30.0;45.0;1;9;18.0;12.0;74.73;1;15.0;461.3;2;2;67.01;40.0;1;45.0;6.0;20;2;1;56.82;50.37;1;1;1;1;50.85;3;3;1;32.22222222222222;3.0;41.10526315789474
30.0;45.0;40.0;9;1;45.0;35.0;30.0;1;9;18.0;18.0;74.73;1;31.0;493.32;0;1;77.58;42.0;1;40.0;0.0;10;2;1;61.16;50.37;1;1;1;2;64.33;3;3;1;36.333333333333336;2.0;35.473684210526315
22.5;45.0;23.33333333;5;2;40.0;35.0;45.0;1;8;17.0;8.0;65.1;1;11.0;466.73;3;2;82.69;0.0;1;35.0;9.0;8;1;3;51.06;54.54;1;0;1;1;60.27;3;3;1;28.94117647;1.0;0.83333333325
30.0;40.0;35.0;8;1;35.0;30.0;35.0;2;8;16.0;16.0;53.98;1;0.0;430.63;0;1;63.08;39.0;0;40.0;0.0;10;2;1;59.93;59.31;1;1;1;1;50.5;3;3;1;33.6875;2.0;31.5
20.25;50.0;30.0;7;3;40.0;32.5;40.0;2;8;17.0;13.0;47.17;1;45.0;454.54;1;4;61.49;0.0;1;35.0;4.0;5;2;2;56.82;54.54;1;0;1;1;56.08;3;3;1;33.14705882352941;2.0;30.636363636363637
