NOTA_HISTORIA_COL;NOTA_ESTADISTICA;NOTA_CIBERNETICA_UNO;NOTA_INV_OP_DOS;NOTA_REDES_COM_UNO;NOTA_GI_UNO;VECES_HISTORIA_COL;VECES_CIBERNETICA_UNO;NOTA_CIENCIAS_COMP_DOS;VECES_REDES_COM_UNO;VECES_GI_UNO;VECES_ESTADISTICA;NOTA_MOD_PROG_DOS;VECES_CIENCIAS_COMP_DOS;VECES_INV_OP_DOS;CAR_CINCO;NOTA_METODOS_NUM;VECES_FISICA_TRES;NOTA_MOD_PROG_UNO;NOTA_PROB;NAC_CINCO;NOTA_ARQ_COMP;NOTA_CIENCIAS_COMP_UNO;NOTA_FISICA_TRES;NCA_CINCO;NCC_CINCO;NOTA_INV_OP_UNO;VECES_MOD_PROG_DOS;VECES_INV_OP_UNO;NCP_CINCO;NAA_CINCO;EPA_CINCO;NAP_CINCO;VECES_PROB;CREDITOS_ESTADISTICA;CREDITOS_HISTORIA_COL;CREDITOS_GI_UNO;CREDITOS_CIENCIAS_COMP_DOS;CREDITOS_INV_OP_DOS;CREDITOS_CIBERNETICA_UNO;CREDITOS_REDES_COM_UNO;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;RENDIMIENTO_SEIS;PROMEDIO_SEIS
32.0;38.0;30.0;46.0;36.0;50;1;1;32.0;1;1;1;41.0;1;1;0;38.0;1;44.0;38.0;7;35.0;33.0;36.0;19.0;19.0;35.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;34.72222222222222;35.26315789473684;31.111111111666666;2.0;38.55555555555556
48.0;34.0;21.5;44.0;40.0;50;1;2;41.0;1;1;1;43.0;1;1;4;40.0;3;49.0;28.0;7;31.0;29.0;24.33333333;10.0;19.0;31.5;1;2;9.0;4;1;3;2;3;2;3;3;3;2;2;37.888888888888886;37.36842105263158;31.638888888333334;3.0;40.333333333333336
33.0;41.0;32.0;49.0;40.0;50;1;1;36.0;1;1;1;43.0;1;1;1;32.0;1;35.0;31.0;7;45.0;38.0;32.0;19.0;19.0;30.0;1;1;0.0;7;2;0;2;3;2;3;3;3;2;2;33.72222222222222;34.51315789473684;37.55555555555556;3.0;41.0
37.0;36.0;46.0;48.0;44.0;50;1;1;41.0;1;1;1;39.0;1;1;0;34.0;1;45.0;32.0;7;38.0;42.0;36.0;19.0;19.0;35.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;36.02777777777778;32.55263157947368;36.666666666666664;3.0;43.27777777777778
47.0;38.0;37.0;50.0;41.0;44;1;1;41.0;1;1;1;47.0;1;1;1;39.0;1;42.0;32.0;7;37.0;45.0;30.0;19.0;19.0;42.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;36.90740740666667;34.86842105263158;35.5;3.0;42.72222222222222
43.0;36.0;32.0;48.0;41.0;44;1;1;40.0;1;1;1;47.0;1;1;3;41.0;2;40.0;30.0;7;37.5;34.5;28.5;16.0;19.0;32.0;1;1;3.0;6;2;1;1;3;2;3;3;3;2;2;34.925925926666665;35.315789474210526;33.666666666666664;3.0;40.888888888888886
30.0;36.0;50.0;45.0;30.0;43;1;1;41.0;1;1;1;45.0;1;1;0;41.0;1;49.0;32.0;7;37.0;42.0;32.0;19.0;19.0;32.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;32.648148148888886;35.05263157842105;36.52777777777778;2.0;39.72222222222222
37.0;37.0;31.0;40.0;39.0;50;1;1;32.0;1;1;1;43.0;1;1;2;35.0;3;32.0;26.0;7;39.0;31.0;24.0;13.0;19.0;35.0;1;1;6.0;5;2;2;2;3;2;3;3;3;2;2;35.27777777777778;35.26315789473684;36.30555555555556;2.0;38.388888888888886
35.0;33.0;28.33333333;38.0;39.0;43;1;3;33.0;1;1;1;46.0;1;1;1;40.0;1;50.0;31.0;7;38.0;27.5;35.0;16.0;19.0;32.0;1;1;3.0;6;2;1;1;3;2;3;3;3;2;2;33.72222222222222;34.23684210526316;36.22222222222222;2.0;35.87037037
30.0;38.0;35.0;46.0;33.0;50;1;1;40.0;1;1;1;31.0;1;1;1;42.0;1;47.0;28.0;7;38.0;30.0;33.0;16.0;19.0;34.0;1;1;3.0;6;2;1;2;3;2;3;3;3;2;2;34.083333333333336;33.10526315789474;35.22222222222222;2.0;39.888888888888886
36.0;36.0;40.0;42.0;29.0;47;1;1;40.0;2;1;1;44.0;1;1;2;35.0;3;31.0;39.0;7;27.0;34.0;25.0;14.0;19.0;40.0;1;1;5.0;5;2;2;1;3;2;3;3;3;2;2;32.22222222222222;41.10526315789474;34.638888888888886;2.0;39.166666666666664
20.0;25.5;36.0;46.0;44.0;50;2;1;39.0;1;1;2;48.0;1;1;0;40.0;1;43.0;36.0;7;42.0;35.0;35.0;19.0;19.0;38.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;36.333333333333336;35.473684210526315;37.583333333333336;2.0;37.861111111111114
32.5;32.0;28.5;36.0;30.0;44;2;2;38.0;1;1;1;47.0;1;1;2;34.0;1;44.0;35.0;7;39.0;31.0;34.0;16.0;19.0;29.5;1;2;3.0;6;2;1;1;3;2;3;3;3;2;2;36.888888888888886;33.9078947368421;35.77777777777778;2.0;35.111111111111114
36.0;32.0;32.0;43.0;41.0;0;1;1;35.0;1;0;1;31.0;1;1;2;40.0;0;34.0;28.0;5;33.0;32.5;0.0;11.0;14.0;33.0;1;1;3.0;4;2;1;2;3;2;3;3;3;2;2;34.05555555555556;33.166666666666664;30.718749999375;2.0;36.53333333333333
