NOTA_F_ING_SOF;NOTA_GT_TRES;NOTA_ECONOMIA;NOTA_EI_DOS;NOTA_REDES_COM_DOS;VECES_ECONOMIA;NOTA_CIBERNETICA_UDOS;NOTA_INV_OP_TRES;NOTA_INV_OP_DOS;NOTA_HISTORIA_COL;VECES_F_ING_SOF;VECES_REDES_COM_DOS;NOTA_METODOS_NUM;VECES_EI_DOS;VECES_CIBERNETICA_DOS;NOTA_ESTADISTICA;NCP_SEIS;NOTA_MOD_PROG_DOS;NOTA_GI_DOS;NOTA_FUND_IA;CAR_CINCO;VECES_GT_TRES;NOTA_CIENCIAS_COMP_DOS;VECES_CIENCIAS_COMP_DOS;NAP_SEIS;NAC_SEIS;NAA_SEIS;EPA_SEIS;CAR_SEIS;VECES_FUND_IA;VECES_GI_DOS;VECES_INV_OP_TRES;VECES_GI_UNO;VECES_HISTORIA_COL;VECES_INV_OP_DOS;VECES_CIBERNETICA_UNO;NOTA_GI_UNO;NOTA_CIBERNETICA_UNO;NCC_SEIS;NCA_SEIS;NOTA_REDES_COM_UNO;VECES_REDES_COM_UNO;VECES_ESTADISTICA;VECES_FISICA_TRES;CREDITOS_GI_DOS;CREDITOS_ECONOMIA;CREDITOS_INV_OP_TRES;CREDITOS_GT_TRES;CREDITOS_F_ING_SOF;CREDITOS_FUND_IA;CREDITOS_EI_DOS;CREDITOS_REDES_COM_DOS;CREDITOS_CIBERNETICA_DOS;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;PROMEDIO_CINCO;RENDIMIENTO_SIETE;PROMEDIO_SIETE
34.0;40;30.0;19.0;39;1;36.0;42;46.0;32.0;1;1;38.0;1;1;38.0;0.0;41.0;50.0;34.0;0;1;32.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;30.0;18.0;18.0;36.0;1;1;1;3;2;2;1;3;1;2;3;2;34.72222222222222;35.26315789473684;31.111111111666666;37.8421052631579;2.0;36.68421052631579
41.0;45;39.0;35.0;38;1;32.0;44;44.0;48.0;1;1;40.0;1;1;34.0;2.0;43.0;50.0;37.0;4;1;41.0;1;1;7;6;2;1;1;1;1;1;1;1;2;50;21.5;18.0;16.0;40.0;1;1;3;3;2;2;1;3;1;2;3;2;37.888888888888886;37.36842105263158;31.638888888333334;33.131578946842104;3.0;40.473684210526315
31.5;50;28.5;35.0;40;2;36.0;43;49.0;33.0;2;1;32.0;1;1;41.0;0.0;43.0;50.0;32.0;1;1;36.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;32.0;18.0;18.0;40.0;1;1;1;3;2;2;1;3;1;2;3;2;33.72222222222222;34.51315789473684;37.55555555555556;36.94736842105263;2.0;38.5
41.0;50;50.0;27.0;44;1;43.0;50;48.0;37.0;1;1;34.0;1;1;36.0;0.0;39.0;50.0;42.0;0;1;41.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;46.0;18.0;18.0;44.0;1;1;1;3;2;2;1;3;1;2;3;2;36.02777777777778;32.55263157947368;36.666666666666664;38.31578947368421;3.0;44.05263157894737
0.0;0;2.0;0.0;0;2;0.0;0;0.0;0.0;0;0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;3;2;2;1;3;1;2;3;2;27.843137254117647;18.366666666666667;10.0;0.0;1.0;2.0
37.0;50;39.0;45.0;40;1;32.0;41;50.0;47.0;1;1;39.0;1;1;38.0;0.0;47.0;50.0;42.0;1;1;41.0;1;0;7;7;2;0;1;1;1;1;1;1;1;44;37.0;18.0;18.0;41.0;1;1;1;3;2;2;1;3;1;2;3;2;36.90740740666667;34.86842105263158;35.5;40.10526315789474;3.0;41.421052631578945
37.0;50;38.0;44.0;41;1;35.0;41;48.0;43.0;1;1;41.0;1;1;36.0;0.0;47.0;50.0;42.0;3;1;40.0;1;0;7;7;2;0;1;1;1;1;1;1;1;44;32.0;18.0;18.0;41.0;1;1;2;3;2;2;1;3;1;2;3;2;34.925925926666665;35.315789474210526;33.666666666666664;35.73684210526316;3.0;41.68421052631579
38.0;50;42.0;34.0;41;1;45.0;40;45.0;30.0;1;1;41.0;1;1;36.0;0.0;45.0;50.0;40.0;0;1;41.0;1;0;7;7;2;0;1;1;1;1;1;1;1;43;50.0;18.0;18.0;30.0;1;1;1;3;2;2;1;3;1;2;3;2;32.648148148888886;35.05263157842105;36.52777777777778;37.63157894736842;3.0;42.05263157894737
32.0;45;30.0;32.0;42;1;39.0;45;40.0;37.0;1;1;35.0;1;1;37.0;0.0;43.0;50.0;34.0;2;1;32.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;31.0;18.0;18.0;39.0;1;1;3;3;2;2;1;3;1;2;3;2;35.27777777777778;35.26315789473684;36.30555555555556;33.526315789473685;2.0;39.10526315789474
35.0;45;31.0;41.0;34;1;34.0;44;38.0;35.0;1;1;40.0;1;1;33.0;2.0;46.0;50.0;41.0;1;1;33.0;1;1;7;6;2;1;1;1;1;1;1;1;3;43;28.33333333;18.0;16.0;39.0;1;1;1;3;2;2;1;3;1;2;3;2;33.72222222222222;34.23684210526316;36.22222222222222;35.60526315789474;2.0;39.10526315789474
36.0;50;47.0;32.0;45;1;35.0;43;46.0;30.0;1;1;42.0;1;1;38.0;0.0;31.0;50.0;40.0;1;1;40.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;35.0;18.0;18.0;33.0;1;1;1;3;2;2;1;3;1;2;3;2;34.083333333333336;33.10526315789474;35.22222222222222;33.578947368421055;3.0;41.94736842105263
41.0;50;32.0;20.5;44;1;37.0;42;42.0;36.0;1;1;35.0;1;1;36.0;2.0;44.0;47.0;34.0;2;1;40.0;1;1;7;6;2;1;1;1;1;1;1;1;1;47;40.0;18.0;16.0;29.0;2;1;3;3;2;2;1;3;1;2;3;2;32.22222222222222;41.10526315789474;34.638888888888886;36.10526315789474;2.0;39.10526315789474
42.0;50;38.0;34.0;33;1;41.0;44;46.0;20.0;1;1;40.0;1;1;25.5;5.0;48.0;50.0;41.0;0;1;39.0;1;2;7;5;2;2;1;1;1;1;2;1;1;50;36.0;18.0;13.0;44.0;1;2;1;3;2;2;1;3;1;2;3;2;36.333333333333336;35.473684210526315;37.583333333333336;39.473684210526315;3.0;41.05263157894737
37.0;50;33.5;32.0;43;2;36.0;42;36.0;32.5;1;1;34.0;1;1;32.0;2.0;47.0;50.0;39.0;2;1;38.0;1;1;7;6;2;2;1;1;1;1;2;1;2;44;28.5;18.0;16.0;30.0;1;1;1;3;2;2;1;3;1;2;3;2;36.888888888888886;33.9078947368421;35.77777777777778;36.71052631578947;3.0;40.31578947368421
38.0;50;0.0;0.0;0;0;0.0;25;43.0;36.0;1;0;40.0;0;0;32.0;0.0;31.0;0.0;32.0;2;1;35.0;1;0;6;6;2;0;1;0;1;0;1;1;1;0;32.0;15.0;15.0;41.0;1;1;0;3;2;2;1;3;1;2;3;2;34.05555555555556;33.166666666666664;30.718749999375;31.392857142857142;2.0;35.142857142857146
39.0;50;50.0;37.0;41;1;34.0;36;40.0;30.0;1;1;40.0;1;1;29.5;3.0;49.0;45.0;40.0;0;1;37.0;1;1;7;6;2;1;1;1;1;1;1;1;1;45;40.0;18.0;15.0;41.0;1;2;1;3;2;2;1;3;1;2;3;2;35.47222222222222;31.710526315789473;36.47222222222222;39.78947368421053;3.0;41.0
38.0;50;38.0;34.0;40;1;47.0;44;49.0;30.0;1;1;40.0;1;1;33.0;0.0;44.0;50.0;43.0;0;1;40.0;1;0;7;7;2;0;1;1;1;1;1;1;1;43;50.0;18.0;18.0;48.0;1;1;1;3;2;2;1;3;1;2;3;2;36.75;34.5;35.02777777777778;38.31578947368421;3.0;42.26315789473684
33.0;50;24.5;31.0;43;2;37.0;45;40.0;34.0;1;1;38.0;1;1;40.0;0.0;42.0;50.0;36.0;2;1;37.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;38.0;18.0;18.0;39.0;1;1;2;3;2;2;1;3;1;2;3;2;33.388888888888886;34.63157894736842;38.5;36.21052631631579;2.0;38.89473684210526
26.0;0;5.0;0.0;0;1;0.0;0;0.0;0.0;1;0;38.0;0;0;0.0;0.0;39.0;0.0;0.0;1;0;0.0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0.0;2.0;2.0;34.0;1;0;0;3;2;2;1;3;1;2;3;2;35.15625;31.25;25.818181817272727;31.5;1.0;17.6
36.0;50;38.0;34.0;30;1;38.0;43;38.0;46.0;1;1;35.0;1;1;35.0;0.0;41.0;45.0;30.0;2;1;40.0;1;0;7;7;2;0;1;1;1;1;1;1;1;45;47.0;18.0;18.0;42.0;1;1;1;3;2;2;1;3;1;2;3;2;35.72222222222222;37.10526315736842;34.083333333333336;39.0;2.0;37.8421052631579
41.0;50;33.5;28.5;42;2;29.5;40;45.0;37.0;1;1;40.0;1;2;36.0;0.0;44.0;47.0;38.0;1;1;38.0;1;0;7;7;2;0;1;1;1;1;1;1;1;47;33.0;18.0;18.0;41.0;1;1;2;3;2;2;1;3;1;2;3;2;34.166666666666664;32.86842105368421;31.916666666666668;35.078947368421055;2.0;39.0
43.0;50;47.0;40.0;41;1;45.0;47;40.0;30.0;1;1;40.0;1;1;44.0;0.0;48.0;50.0;40.0;0;1;39.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;49.0;18.0;18.0;43.0;1;1;1;3;2;2;1;3;1;2;3;2;41.611111111111114;38.526315789473685;37.27777777777778;40.1578947368421;3.0;44.73684210526316
37.0;50;35.0;39.0;46;1;36.0;48;43.0;33.0;1;1;45.0;1;1;42.0;0.0;49.0;50.0;39.0;0;1;38.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;41.0;18.0;18.0;43.0;1;1;1;3;2;2;1;3;1;2;3;2;38.5;38.31578947368421;36.77777777777778;39.8421052631579;3.0;42.31578947368421
36.0;50;32.5;39.0;41;2;33.0;45;44.0;31.0;1;1;42.0;1;1;30.0;0.0;42.0;45.0;42.0;2;1;47.0;1;0;7;7;2;0;1;1;1;1;1;1;1;45;47.0;18.0;18.0;39.0;1;1;2;3;2;2;1;3;1;2;3;2;34.72222222222222;35.63157894736842;32.583333333333336;33.39473684210526;2.0;39.8421052631579
0.0;0;26.0;0.0;22;2;0.0;0;0.0;42.0;0;2;27.0;0;0;0.0;5.0;47.0;0.0;0.0;1;0;15.0;2;2;4;2;1;2;0;0;0;0;1;0;3;0;10.33333333;9.0;4.0;42.0;1;0;0;3;2;2;1;3;1;2;3;2;28.02777777777778;36.333333333333336;27.916666666666668;37.09090909;1.0;23.6
43.0;50;31.0;45.0;45;1;50.0;48;43.0;32.0;1;1;45.0;1;1;45.0;0.0;50.0;50.0;41.0;0;1;40.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;49.0;18.0;18.0;48.0;1;1;1;3;2;2;1;3;1;2;3;2;42.166666666666664;41.21052631578947;39.05555555555556;41.26315789473684;3.0;44.89473684210526
0.0;0;34.0;0.0;0;1;0.0;0;0.0;0.0;0;0;39.0;0;0;0.0;0.0;0.0;0.0;0.0;1;0;0.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;3;2;2;1;3;1;2;3;2;31.944444444444443;32.05882353;26.0;24.875;2.0;34.0
34.0;45;34.0;44.0;32;1;29.0;50;46.0;34.0;1;1;35.0;1;2;31.5;0.0;45.0;45.0;42.0;2;1;37.0;1;0;7;7;2;3;1;1;1;1;1;1;2;50;31.0;18.0;18.0;34.0;2;2;1;3;2;2;1;3;1;2;3;2;37.833333333333336;34.86842105263158;36.138888888888886;35.078947368421055;2.0;38.63157894736842
39.0;40;35.0;30.0;40;1;38.0;36;40.0;32.0;1;1;30.0;1;1;40.0;0.0;30.0;0.0;38.0;4;1;42.0;1;0;7;7;2;0;1;0;1;1;1;1;1;45;37.0;18.0;18.0;30.0;1;1;3;3;2;2;1;3;1;2;3;2;29.0;32.39473684157895;30.555555555555557;27.000000001052634;2.0;37.0625
39.0;50;40.0;35.0;38;1;39.0;32;47.0;35.0;1;1;35.0;1;1;32.0;0.0;49.0;50.0;40.0;0;1;40.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;44.0;18.0;18.0;44.0;1;1;1;3;2;2;1;3;1;2;3;2;39.72222222222222;41.31578947368421;40.55555555555556;40.63157894736842;3.0;40.1578947368421
33.0;50;40.0;33.0;36;1;47.0;45;47.0;33.0;2;1;30.0;1;1;39.0;0.0;36.0;50.0;35.0;2;1;44.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;44.0;18.0;18.0;30.0;1;1;2;3;2;2;1;3;1;2;3;2;32.0;34.71052631578947;33.638888888888886;35.026315789473685;3.0;40.63157894736842
36.0;50;34.0;43.0;40;1;44.0;41;47.0;33.0;1;1;40.0;1;1;33.0;0.0;43.0;50.0;41.0;0;1;37.0;1;0;7;7;2;0;1;1;1;1;1;1;1;44;50.0;18.0;18.0;44.0;1;1;1;3;2;2;1;3;1;2;3;2;37.94444444444444;35.868421053157896;37.94444444444444;36.73684210526316;3.0;41.73684210526316
39.0;50;22.0;31.0;44;2;37.0;37;40.0;30.0;1;1;35.0;1;1;32.0;0.0;48.0;50.0;36.0;1;1;39.0;1;0;7;7;2;2;1;1;1;1;2;1;1;50;36.0;18.0;18.0;36.0;2;1;1;3;2;2;1;3;1;2;3;2;36.55555555555556;33.894736841052634;33.888888888888886;37.81578947368421;2.0;38.89473684210526
40.0;50;48.0;35.0;42;1;49.0;44;44.0;37.0;1;1;40.0;1;1;36.0;0.0;44.0;50.0;43.0;0;1;38.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;48.0;18.0;18.0;44.0;1;1;1;3;2;2;1;3;1;2;3;2;35.833333333333336;36.71052631578947;38.333333333333336;37.578947368421055;3.0;44.26315789473684
39.0;46;28.0;42.0;43;2;45.0;47;45.0;35.0;1;1;35.0;1;1;41.0;0.0;39.0;50.0;40.0;0;1;34.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;47.0;18.0;18.0;41.0;1;1;1;3;2;2;1;3;1;2;3;2;38.0;38.63157894736842;35.50000000055556;37.89473684210526;3.0;42.421052631578945
37.0;45;36.0;33.0;40;1;43.0;30;40.0;48.0;1;1;35.0;1;1;41.0;0.0;47.0;50.0;40.0;0;1;40.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;33.0;18.0;18.0;39.0;1;1;1;3;2;2;1;3;1;2;3;2;38.22222222222222;35.526315789473685;36.388888888888886;37.68421052631579;2.0;39.473684210526315
39.0;50;47.0;33.0;38;1;36.0;42;40.0;33.0;1;1;40.0;1;1;37.0;0.0;49.0;50.0;40.0;1;1;37.0;1;0;7;7;2;1;1;1;1;1;1;1;2;50;30.0;18.0;18.0;37.0;1;1;1;3;2;2;1;3;1;2;3;2;37.388888888888886;39.36842105263158;34.19444444444444;37.31578947368421;3.0;41.421052631578945
32.0;50;27.5;44.0;39;2;39.0;43;47.0;35.0;1;1;39.0;1;1;38.0;0.0;48.0;50.0;42.0;1;1;37.0;1;0;7;7;2;0;1;1;1;1;1;1;1;40;30.0;18.0;18.0;44.0;1;1;1;3;2;2;1;3;1;2;3;2;34.666666666666664;37.63157894736842;34.888888888888886;36.578947368421055;3.0;40.10526315789474
36.0;50;47.0;40.0;42;1;44.0;37;38.0;30.0;1;1;35.0;1;1;50.0;0.0;43.0;50.0;38.0;1;1;35.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;45.0;18.0;18.0;45.0;1;1;1;3;2;2;1;3;1;2;3;2;39.27777777777778;37.526315789473685;36.833333333333336;38.973684210526315;3.0;42.526315789473685
36.0;50;40.0;36.0;41;1;33.0;41;42.0;44.0;1;1;35.0;1;1;31.0;0.0;49.0;50.0;39.0;0;1;37.0;1;0;7;7;2;0;1;1;1;1;1;1;1;50;45.0;18.0;18.0;40.0;1;1;1;3;2;2;1;3;1;2;3;2;39.94444444444444;35.36842105263158;34.666666666666664;38.36842105263158;3.0;40.526315789473685
40.0;50;34.0;30.0;36;1;45.0;37;45.0;38.0;1;1;30.0;1;1;41.0;0.0;30.0;50.0;38.0;1;1;38.0;1;0;7;7;2;0;1;1;1;1;1;1;1;45;50.0;18.0;18.0;30.0;1;1;1;3;2;2;1;3;1;2;3;2;30.63888888888889;36.23684210526316;37.94444444444444;34.94736842105263;2.0;39.89473684210526
0.0;0;0.0;0.0;0;0;0.0;0;42.0;36.0;0;0;35.0;0;0;40.0;0.0;44.0;0.0;42.0;0;0;37.0;1;0;5;5;2;0;1;0;0;0;1;1;1;0;46.0;13.0;13.0;0.0;0;1;0;3;2;2;1;3;1;2;3;2;35.294117647058826;34.199999999333336;33.02777777777778;38.25;3.0;42.0
37.0;45;38.0;42.0;42;1;42.0;42;41.0;40.0;1;1;30.0;1;1;36.0;0.0;30.0;50.0;40.0;0;1;42.0;1;0;7;7;2;0;1;1;1;1;1;1;1;45;33.0;18.0;18.0;39.0;1;1;1;3;2;2;1;3;1;2;3;2;39.5;33.184210525789474;32.166666666666664;36.26315789473684;3.0;42.10526315789474
37.0;50;19.0;33.0;37;2;18.33333333;41;32.0;21.5;1;1;15.0;1;3;36.0;2.0;40.0;45.0;33.0;1;1;46.0;1;1;7;6;2;1;1;1;1;1;2;1;1;45;38.0;18.0;16.0;40.0;1;1;1;3;2;2;1;3;1;2;3;2;33.888888888888886;35.31578947368421;34.416666666666664;34.421052631578945;2.0;34.877192982105264
