CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;VECES_CATEDRA_DEM;NOTA_EE_UNO;NAP_UNO;VECES_DIFERENCIAL;NOTA_CATEDRA_CON;VECES_EE_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
61.49;50.86;7;52.77;54.3;447.57;63.42;34.72222222222222;22.5;35.0;35.0;8;1;45.0;30.0;45.0;1;9;18.0;14.0;1;42.0;1;2;46.0;1;31.111111111666666;2.0
70.11;67.51;1;50.78;54.3;452.04;48.26;35.333333333333336;22.5;45.0;45.0;6;1;40.0;30.0;45.0;1;7;15.0;11.0;1;0.0;1;2;0.0;0;32.0;2.0
70.26;41.68;20;51.06;60.27;440.44;50.37;27.0;22.5;45.0;22.5;4;3;30.0;22.5;40.0;2;7;15.0;5.0;1;0.0;3;2;0.0;0;4.4;1.0
58.94;58.06;8;51.06;54.59;460.21;61.03;25.083333334117647;19.0;20.0;21.66666667;2;6;30.0;21.25;20.0;4;8;17.0;4.0;3;50.0;6;4;0.0;1;32.57142857142857;2.0
43.8;48.4;19;47.0;51.1;392.85;54.6;33.48039215764705;21.66666667;40.0;32.5;7;3;40.0;30.0;45.0;2;8;17.0;13.0;1;45.0;1;3;0.0;1;27.75;1.0
56.46;59.64;19;52.77;70.24;497.91;50.37;37.888888888888886;30.0;50.0;40.0;9;1;45.0;40.0;45.0;1;9;18.0;18.0;1;30.0;0;2;37.0;1;31.638888888333334;2.0
63.86;48.65;8;54.55;57.04;461.23;57.65;33.72222222222222;25.0;40.0;35.0;7;2;45.0;25.0;40.0;2;9;18.0;11.0;1;37.0;2;2;43.0;1;37.55555555555556;2.0
64.24;45.94;16;55.09;54.59;438.81;54.6;36.02777777777778;25.0;45.0;35.0;8;2;45.0;32.5;40.0;2;9;18.0;14.0;1;42.0;1;2;42.0;1;36.666666666666664;2.0
49.0;42.76;7;44.9;45.83;372.93;56.64;24.455882352941178;18.75;50.0;25.0;4;3;35.0;20.25;45.0;4;8;17.0;5.0;1;0.0;4;4;0.0;1;15.555555556666667;1.0
73.57;65.1;16;50.78;62.0;459.06;50.37;27.843137254117647;23.33333333;35.0;30.0;5;2;30.0;25.0;50.0;2;8;17.0;8.0;1;15.0;3;3;0.0;1;10.0;1.0
