CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;VECES_CATEDRA_DEM;NOTA_EE_UNO;NAP_UNO;VECES_DIFERENCIAL;NOTA_CATEDRA_CON;VECES_EE_UNO;PROMEDIO_DOS;NOTA_TGS;NOTA_PROG_AVANZADA;NOTA_FISICA_DOS;NOTA_MULTIVARIADO;NOTA_SEGUNDA_LENGUA_DOS;VECES_FISICA_DOS;NOTA_EE_DOS;VECES_PROG_AVANZADA;NAA_DOS;VECES_TGS;NCA_DOS;VECES_MULTIVARIADO;NOTA_ECUACIONES;NAC_DOS;NOTA_METODOS_NUM;NOTA_A_SISTEMAS;NOTA_MOD_PROG_UNO;NOTA_MAT_DIS;NOTA_HOMBRE;NOTA_GT_DOS;VECES_A_SISTEMAS;VECES_HOMBRE;NCC_TRES;NAA_TRES;NOTA_FUND_BASES;NAC_TRES;PROMEDIO_TRES;NOTA_PROB;NOTA_CIENCIAS_COMP_UNO;NOTA_MOD_PROG_DOS;NOTA_ARQ_COMP;NOTA_INV_OP_UNO;NOTA_FISICA_TRES;VECES_INV_OP_UNO;VECES_PROB;VECES_MOD_PROG_DOS;VECES_FISICA_TRES;NOTA_HISTORIA_COL;NOTA_ESTADISTICA;NOTA_CIBERNETICA_UNO;NOTA_INV_OP_DOS;NOTA_REDES_COM_UNO;NOTA_GI_UNO;VECES_HISTORIA_COL;VECES_CIBERNETICA_UNO;NOTA_CIENCIAS_COMP_DOS;VECES_REDES_COM_UNO;VECES_GI_UNO;VECES_ESTADISTICA;VECES_CIENCIAS_COMP_DOS;VECES_INV_OP_DOS;CAR_CINCO;PROMEDIO_CINCO;NOTA_F_ING_SOF;NOTA_GT_TRES;NOTA_ECONOMIA;NOTA_EI_DOS;NOTA_REDES_COM_DOS;VECES_ECONOMIA;NOTA_CIBERNETICA_UDOS;NOTA_INV_OP_TRES;VECES_F_ING_SOF;VECES_REDES_COM_DOS;VECES_EI_DOS;VECES_CIBERNETICA_DOS;NCP_SEIS;NOTA_GI_DOS;PROMEDIO_SEIS;NOTA_DIS_ARQ_SOFT;NOTA_EI_OP_AI;NOTA_ING_ECONOMICA;NOTA_REDES_COM_TRES;NOTA_CIBERNETICA_TRES;VECES_EI_OP_AI;VECES_DIS_ARQ_SOFT;VECES_ING_ECONOMICA;VECES_EI_OP_BI;VECES_CIBERNETICA_TRES;PROMEDIO_NUEVE;RENDIMIENTO_NUEVE
67.13;47.17;20;53.07;62.42;429.91;54.54;24.166666666666668;15.0;40.0;20.0;4;3;30.0;22.5;35.0;2;7;15.0;5.0;1;0.0;3;2;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0;0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;45.0;3.0
61.49;50.86;7;52.77;54.3;447.57;63.42;34.72222222222222;22.5;35.0;35.0;8;1;45.0;30.0;45.0;1;9;18.0;14.0;1;42.0;1;2;46.0;1;35.26315789473684;35.0;35.0;22.66666667;23.0;41.0;3;47;1;7;1;16.0;3;24.0;8;38.0;40.0;44.0;35.0;46.0;50;1;1;18.0;4;30.0;7;31.111111111666666;38.0;33.0;41.0;35.0;35.0;36.0;1;1;1;1;32.0;38.0;30.0;46.0;36.0;50;1;1;32.0;1;1;1;1;1;0;37.8421052631579;34.0;40;30.0;19.0;39;1;36.0;42;1;1;1;1;0.0;50.0;38.55555555555556;48.0;45.0;39.0;39.0;46.0;1;1;1;1;1;39.5;2.0
43.8;48.4;19;47.0;51.1;392.85;54.6;33.48039215764705;21.66666667;40.0;32.5;7;3;40.0;30.0;45.0;2;8;17.0;13.0;1;45.0;1;3;0.0;1;30.29411764647059;41.0;16.0;31.0;28.0;34.0;1;0;1;5;1;11.0;1;23.0;7;42.0;31.0;0.0;0.0;0.0;0;1;0;16.0;3;0.0;6;27.75;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0;0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;48.0;4.0
56.46;59.64;19;52.77;70.24;497.91;50.37;37.888888888888886;30.0;50.0;40.0;9;1;45.0;40.0;45.0;1;9;18.0;18.0;1;30.0;0;2;37.0;1;37.36842105263158;30.0;35.0;26.33333333;31.0;42.0;3;39;1;7;1;17.0;3;23.5;8;40.0;37.0;49.0;40.0;43.0;50;1;1;18.0;5;36.0;7;31.638888888333334;28.0;29.0;43.0;31.0;31.5;24.33333333;2;2;1;3;48.0;34.0;21.5;44.0;40.0;50;1;2;41.0;1;1;1;1;1;4;33.131578946842104;41.0;45;39.0;35.0;38;1;32.0;44;1;1;1;1;2.0;50.0;40.333333333333336;45.0;23.5;36.0;41.0;45.0;2;1;1;1;1;41.1;3.0
63.86;48.65;8;54.55;57.04;461.23;57.65;33.72222222222222;25.0;40.0;35.0;7;2;45.0;25.0;40.0;2;9;18.0;11.0;1;37.0;2;2;43.0;1;34.51315789473684;41.0;35.0;37.0;31.0;40.0;1;41;1;5;1;10.0;2;41.0;8;32.0;33.0;35.0;34.0;40.0;50;1;1;18.0;7;32.0;7;37.55555555555556;31.0;38.0;43.0;45.0;30.0;32.0;1;2;1;1;33.0;41.0;32.0;49.0;40.0;50;1;1;36.0;1;1;1;1;1;1;36.94736842105263;31.5;50;28.5;35.0;40;2;36.0;43;2;1;1;1;0.0;50.0;41.0;46.0;45.0;39.0;46.0;41.0;1;1;1;1;1;37.5;2.0
64.24;45.94;16;55.09;54.59;438.81;54.6;36.02777777777778;25.0;45.0;35.0;8;2;45.0;32.5;40.0;2;9;18.0;14.0;1;42.0;1;2;42.0;1;32.55263157947368;34.0;40.0;40.0;30.0;37.0;1;43;1;5;1;10.0;1;34.0;8;34.0;38.0;45.0;35.0;44.0;50;1;1;18.0;7;31.0;7;36.666666666666664;32.0;42.0;39.0;38.0;35.0;36.0;1;1;1;1;37.0;36.0;46.0;48.0;44.0;50;1;1;41.0;1;1;1;1;1;0;38.31578947368421;41.0;50;50.0;27.0;44;1;43.0;50;1;1;1;1;0.0;50.0;43.27777777777778;45.0;45.0;41.0;40.0;42.0;1;1;1;1;1;43.5;3.0
66.94;44.34;20;52.56;53.85;446.86;57.87;36.90740740666667;23.33333333;50.0;40.0;8;1;40.0;35.0;50.0;1;9;18.0;14.0;1;39.0;1;3;43.0;1;34.86842105263158;27.5;41.0;30.0;40.0;38.0;2;44;1;6;2;13.0;1;29.0;8;39.0;39.0;42.0;38.0;44.0;50;1;1;18.0;5;44.0;7;35.5;32.0;45.0;47.0;37.0;42.0;30.0;1;1;1;1;47.0;38.0;37.0;50.0;41.0;44;1;1;41.0;1;1;1;1;1;1;40.10526315789474;37.0;50;39.0;45.0;40;1;32.0;41;1;1;1;1;0.0;50.0;42.72222222222222;48.0;23.0;48.0;45.0;42.0;2;1;1;1;1;44.875;3.0
67.13;45.94;7;59.3;70.81;431.06;48.26;34.925925926666665;21.66666667;50.0;40.0;8;1;40.0;30.0;45.0;1;9;18.0;14.0;1;39.0;1;3;39.0;1;35.315789474210526;27.5;43.0;28.5;34.0;36.0;2;40;1;6;2;13.0;1;27.5;8;41.0;37.0;40.0;37.0;44.0;50;1;1;18.0;4;37.0;7;33.666666666666664;30.0;34.5;47.0;37.5;32.0;28.5;1;1;1;2;43.0;36.0;32.0;48.0;41.0;44;1;1;40.0;1;1;1;1;1;3;35.73684210526316;37.0;50;38.0;44.0;41;1;35.0;41;1;1;1;1;0.0;50.0;40.888888888888886;47.0;23.0;40.0;45.0;43.0;2;1;1;1;1;45.625;4.0
67.13;44.71;18;53.07;56.4;434.39;50.37;32.648148148888886;21.66666667;45.0;30.0;8;1;30.0;30.0;45.0;1;9;18.0;14.0;1;45.0;1;3;41.0;1;35.05263157842105;30.0;40.0;31.5;36.0;33.0;2;46;1;8;1;19.0;1;39.0;8;41.0;38.0;49.0;38.0;42.0;50;1;1;18.0;7;34.0;7;36.52777777777778;32.0;42.0;45.0;37.0;32.0;32.0;1;1;1;1;30.0;36.0;50.0;45.0;30.0;43;1;1;41.0;1;1;1;1;1;0;37.63157894736842;38.0;50;42.0;34.0;41;1;45.0;40;1;1;1;1;0.0;50.0;39.72222222222222;46.0;43.0;32.0;43.0;46.0;1;1;1;1;1;42.125;3.0
67.13;56.48;15;49.05;52.83;439.03;56.64;17.0;15.0;30.0;15.0;2;0;15.0;15.0;15.0;1;7;15.0;2.0;1;0.0;5;1;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0;0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;46.0;4.0
