MUNICIPIO,PG_ICFES
BOJACA,486.1
TURBACO,462.49
BOJACA,448.91
ITSMINA,439.41
BOJACA,436.91
BOJACA,433.07
BOJACA,449.49
BOJACA,416.95
BOJACA,426.63
NO REGISTRA,412.84
BOJACA,439.82
BOJACA,485.23
BOJACA,438.87
BOJACA,414.1
BOJACA,504.6
BOJACA,461.97
BOJACA,437.72
BOJACA,447.9
BOJACA,442.24
BOJACA,436.53
NATAGAIMA,443.54
BOJACA,469.24
BOJACA,442.63
BOJACA,419.07
SOATA,478.06
BOJACA,461.7
NO REGISTRA,375.82
BOJACA,439.89
EL BANCO,440.15
NO REGISTRA,418.06
BOJACA,438.46
NO REGISTRA,439.23
SIBATE,453.13
VILLETA,436.22
BOJACA,458.93
BOJACA,471.92
BOJACA,432.43
BOJACA,442.89
SALDAÑA,467.27
VILLAVICENCIO,456.17
BOJACA,469.84
BOJACA,470.33
BOJACA,433.63
BOJACA,470.25
BOJACA,433.81
BOJACA,459.03
NO REGISTRA,454.65
CUMBAL,452.46
NO REGISTRA,459.21
BOJACA,479.27
BOJACA,420.25
VILLETA,442.31
BOJACA,457.43
VILLETA,485.61
BOJACA,481.89
SOATA,423.33
BOJACA,463.14
BOJACA,439.3
BOJACA,463.46
BOJACA,431.82
BOJACA,432.21
ZIPACON,435.27
BOJACA,442.37
BOJACA,470.26
BOJACA,446.54
BOJACA,440.35
BOJACA,483.02
TESALIA,437.78
CHIQUINQUIRA,447.34
BOJACA,439.28
BOJACA,455.19
BOJACA,435.33
BOJACA,475.05
NO REGISTRA,422.18
BOJACA,456.16
FUSAGASUGA,434.44
BOJACA,441.74
BOJACA,448.01
BOJACA,442.63
BOJACA,442.07
BOJACA,417.38
BOJACA,425.16
BOJACA,434.85
BOJACA,456.4
BOJACA,453.75
BOJACA,457.96
EL BANCO,424.02
BOJACA,444.73
NO REGISTRA,454.47
BOJACA,460.27
BOJACA,473.74
BOJACA,447.18
BOJACA,432.05
BOJACA,423.25
BOJACA,426.21
GIGANTE,420.67
BOJACA,461.5
BOJACA,469.38
SOATA,417.49
BOJACA,476.14
BOJACA,452.79
BOJACA,475.48
BOJACA,456.53
BOJACA,469.11
CAJICA,404.67
VILLAHERMOSA,446.87
BOJACA,485.33
BOJACA,427.2
BOJACA,447.8
BOJACA,443.12
BOJACA,412.91
BOJACA,445.2
BOJACA,450.65
NO REGISTRA,420.69
BOJACA,417.58
NO REGISTRA,419.88
BOJACA,416.78
BOJACA,438.79
NO REGISTRA,429.38
NO REGISTRA,410.68
BOJACA,432.88
BOJACA,426.17
BOJACA,412.56
NO REGISTRA,405.71
CUCUTA,397.55
BOJACA,403.81
BOGOTA,400.71
NO REGISTRA,404.6
BOJACA,403.12
BOJACA,399.16
NO REGISTRA,388.6
BOJACA,398.6
BOJACA,396.06
