PG_ICFES,DEPARTAMENTO
448.47,BOGOTA
450.27,BOGOTA
429.72,BOGOTA
445.15,NO REGISTRA
439.63,BOGOTA
460.0,BOGOTA
451.49,BOGOTA
539.63,BOGOTA
470.71,BOGOTA
509.82,HUILA
439.21,BOGOTA
453.44,BOGOTA
482.15,BOGOTA
453.41,BOGOTA
461.49,BOGOTA
456.99,BOGOTA
469.07,BOGOTA
504.37,BOGOTA
451.14,BOGOTA
481.47,TOLIMA
489.4,HUILA
461.74,BOGOTA
443.5,NO REGISTRA
466.97,NO REGISTRA
463.18,BOGOTA
444.44,CALDAS
460.7,CORDOBA
456.13,CUNDINAMARCA
495.3,CUNDINAMARCA
479.98,BOGOTA
500.4,BOGOTA
455.57,CUNDINAMARCA
475.3,BOGOTA
466.68,BOGOTA
467.89,BOGOTA
470.7,BOGOTA
476.06,BOGOTA
474.81,CUNDINAMARCA
460.67,NO REGISTRA
480.17,BOGOTA
474.87,TOLIMA
474.81,BOGOTA
440.53,BOGOTA
455.45,CUNDINAMARCA
459.69,BOGOTA
464.43,TOLIMA
455.72,BOGOTA
442.26,BOGOTA
471.01,NO REGISTRA
470.49,BOYACA
459.48,NO REGISTRA
490.16,BOGOTA
453.82,BOGOTA
480.37,NO REGISTRA
476.31,BOGOTA
480.39,HUILA
479.53,META
476.35,BOGOTA
439.66,CUNDINAMARCA
475.83,HUILA
499.64,BOGOTA
454.17,NARINO
441.71,TOLIMA
447.75,BOGOTA
470.31,BOGOTA
468.26,BOGOTA
461.84,BOGOTA
433.44,BOGOTA
436.3,BOYACA
445.88,BOGOTA
451.88,BOGOTA
474.75,BOGOTA
460.24,BOGOTA
460.36,NO REGISTRA
444.28,BOGOTA
458.71,BOGOTA
510.03,NO REGISTRA
477.57,NO REGISTRA
443.88,NO REGISTRA
401.84,BOYACA
439.83,BOGOTA
432.41,BOGOTA
411.79,BOYACA
412.11,NO REGISTRA
421.38,NO REGISTRA
390.99,BOGOTA
397.65,NO REGISTRA
400.71,NO REGISTRA
394.11,NO REGISTRA
419.12,NO REGISTRA
414.87,BOGOTA
409.46,CUNDINAMARCA
393.54,CALDAS
398.62,BOGOTA
417.66,BOGOTA
390.8,BOGOTA
399.27,NO REGISTRA
389.9,NO REGISTRA
391.08,BOGOTA
420.02,BOGOTA
393.24,NO REGISTRA
395.98,BOGOTA
393.03,BOGOTA
390.78,BOYACA
377.04,BOYACA
389.12,BOGOTA
388.74,BOGOTA
378.31,NO REGISTRA
385.79,NO REGISTRA
407.91,BOGOTA
396.72,NO REGISTRA
396.46,NO REGISTRA
387.97,BOGOTA
382.27,TOLIMA
381.52,BOGOTA
408.33,BOGOTA
388.6,NO REGISTRA
388.31,BOGOTA
382.86,BOGOTA
386.73,CUNDINAMARCA
376.31,BOGOTA
391.38,BOGOTA
371.28,NO REGISTRA
377.37,NO REGISTRA
375.01,BOGOTA
376.69,BOYACA
394.73,BOGOTA
377.46,NO REGISTRA
386.99,BOGOTA
385.81,BOGOTA
383.21,BOGOTA
387.96,BOGOTA
383.75,BOGOTA
382.52,BOGOTA
386.04,CUNDINAMARCA
386.16,BOGOTA
374.2,NO REGISTRA
380.81,NO REGISTRA
376.52,NO REGISTRA
372.71,BOGOTA
366.16,NO REGISTRA
372.11,NO REGISTRA
366.32,CASANARE
390.15,NO REGISTRA
452.63,NO REGISTRA
453.0,BOGOTA
439.0,BOYACA
443.0,NO REGISTRA
435.0,BOGOTA
429.0,BOGOTA
454.0,BOGOTA
442.0,BOGOTA
436.0,META
433.0,BOGOTA
437.0,BOGOTA
415.02,CUNDINAMARCA
441.0,BOGOTA
414.0,BOGOTA
438.0,BOGOTA
425.0,BOGOTA
406.0,BOGOTA
422.0,CUNDINAMARCA
414.0,BOGOTA
414.0,BOGOTA
410.0,BOGOTA
404.0,BOGOTA
399.53,NO REGISTRA
412.0,BOGOTA
410.0,BOGOTA
421.0,CUNDINAMARCA
424.0,BOGOTA
416.0,BOGOTA
421.0,BOGOTA
419.0,META
426.0,CUNDINAMARCA
414.0,BOGOTA
418.0,BOGOTA
404.0,BOGOTA
427.88,NO REGISTRA
442.0,CUNDINAMARCA
401.0,BOGOTA
432.0,BOGOTA
400.0,CUNDINAMARCA
421.87,BOGOTA
390.0,BOGOTA
416.0,BOGOTA
408.0,CUNDINAMARCA
402.11,BOGOTA
421.0,BOGOTA
404.0,BOGOTA
417.11,TOLIMA
421.0,BOGOTA
401.0,BOGOTA
421.0,BOGOTA
413.0,NO REGISTRA
395.0,BOGOTA
407.0,BOGOTA
406.0,CUNDINAMARCA
419.45,META
402.0,BOYACA
391.0,BOGOTA
416.0,BOGOTA
411.82,BOGOTA
412.0,BOGOTA
417.0,CUNDINAMARCA
393.0,BOGOTA
404.0,BOGOTA
399.0,BOGOTA
407.0,BOGOTA
408.0,BOGOTA
385.0,NO REGISTRA
391.0,BOYACA
396.0,BOGOTA
393.0,CUNDINAMARCA
404.0,BOGOTA
380.0,BOGOTA
400.0,BOGOTA
404.0,BOGOTA
380.0,BOGOTA
401.0,BOGOTA
400.0,BOGOTA
397.0,BOGOTA
398.41,NO REGISTRA
405.0,BOGOTA
407.0,BOGOTA
391.0,BOGOTA
399.0,BOGOTA
407.0,BOGOTA
403.0,BOGOTA
404.0,BOGOTA
391.0,BOGOTA
396.81,TOLIMA
388.0,BOGOTA
382.0,BOGOTA
392.0,BOGOTA
412.0,CUNDINAMARCA
396.77,BOYACA
407.0,BOGOTA
405.0,BOGOTA
401.0,CUNDINAMARCA
397.0,BOGOTA
389.0,NO REGISTRA
392.59,NO REGISTRA
382.0,BOGOTA
406.0,BOGOTA
394.0,BOGOTA
405.0,BOGOTA
391.0,NO REGISTRA
427.0,BOGOTA
393.0,BOGOTA
383.0,BOGOTA
382.0,BOGOTA
399.56,GUAVIARE
385.0,BOGOTA
398.0,BOGOTA
401.0,BOGOTA
374.0,BOGOTA
373.83,BOYACA
377.59,BOGOTA
384.14,NO REGISTRA
467.0,NO REGISTRA
453.0,NO REGISTRA
432.0,NO REGISTRA
467.0,HUILA
431.0,NO REGISTRA
434.0,BOGOTA
411.0,NO REGISTRA
419.0,NO REGISTRA
436.0,NO REGISTRA
427.0,NO REGISTRA
407.0,NO REGISTRA
415.0,NO REGISTRA
413.0,CUNDINAMARCA
417.0,BOGOTA
412.0,BOGOTA
431.0,NO REGISTRA
431.0,BOGOTA
410.0,NO REGISTRA
424.0,BOGOTA
