PG_ICFES,DEPARTAMENTO
529.18,BOGOTA
509.71,BOGOTA
480.0,SUCRE
484.84,BOGOTA
509.44,BOGOTA
488.94,BOGOTA
466.67,NO REGISTRA
478.89,BOGOTA
505.79,BOGOTA
507.21,BOGOTA
477.23,BOGOTA
535.95,META
493.92,BOGOTA
478.36,BOGOTA
516.49,BOGOTA
476.83,BOGOTA
486.13,BOGOTA
491.82,BOGOTA
490.85,CUNDINAMARCA
475.72,BOGOTA
464.76,BOGOTA
490.32,BOGOTA
468.03,BOGOTA
486.04,BOGOTA
470.26,CUNDINAMARCA
487.23,NO REGISTRA
525.8,BOGOTA
503.48,CUNDINAMARCA
483.28,BOGOTA
481.45,CUNDINAMARCA
485.76,BOGOTA
430.78,ATLANTICO
462.5,BOGOTA
467.54,BOGOTA
448.37,CUNDINAMARCA
481.3,BOGOTA
510.03,ARAUCA
478.52,BOGOTA
480.17,BOGOTA
487.89,BOGOTA
471.33,CUNDINAMARCA
492.33,BOYACA
475.58,BOGOTA
527.12,BOGOTA
476.66,BOGOTA
522.16,BOGOTA
469.5,BOGOTA
489.59,BOGOTA
469.09,BOGOTA
508.67,BOGOTA
527.58,BOGOTA
511.61,BOGOTA
533.58,NORTE SANTANDER
490.87,BOGOTA
499.32,BOYACA
480.54,BOGOTA
459.54,BOGOTA
496.12,BOGOTA
471.11,CUNDINAMARCA
518.23,BOGOTA
475.42,BOGOTA
486.35,BOGOTA
509.72,ATLANTICO
472.73,BOGOTA
468.19,BOGOTA
532.06,BOGOTA
492.59,BOGOTA
485.8,BOGOTA
500.24,BOGOTA
483.78,BOGOTA
482.98,BOGOTA
527.8,BOGOTA
441.12,BOGOTA
477.55,CUNDINAMARCA
482.44,BOYACA
489.4,CUNDINAMARCA
493.62,CUNDINAMARCA
494.49,BOGOTA
474.16,BOGOTA
483.13,BOGOTA
509.04,BOGOTA
479.27,BOGOTA
375.32,TOLIMA
453.28,NO REGISTRA
483.59,NO REGISTRA
495.3,BOGOTA
506.97,BOGOTA
475.83,BOGOTA
470.26,NO REGISTRA
480.4,BOGOTA
491.38,BOGOTA
476.62,BOGOTA
550.03,BOGOTA
506.55,BOGOTA
496.93,BOGOTA
487.98,BOGOTA
396.95,PUTUMAYO
502.71,BOGOTA
515.18,BOGOTA
472.92,CUNDINAMARCA
454.29,NO REGISTRA
483.15,BOGOTA
468.3,BOGOTA
473.85,BOGOTA
480.05,BOGOTA
474.07,BOGOTA
455.26,BOGOTA
476.88,BOGOTA
461.3,META
474.49,BOGOTA
468.59,BOGOTA
475.5,CUNDINAMARCA
440.76,NO REGISTRA
453.17,NO REGISTRA
454.14,NO REGISTRA
431.59,SANTANDER
443.78,NO REGISTRA
428.46,NO REGISTRA
432.66,BOGOTA
420.52,BOGOTA
448.45,BOGOTA
439.72,HUILA
437.47,NO REGISTRA
431.74,NO REGISTRA
421.46,NO REGISTRA
398.66,NO REGISTRA
414.98,NO REGISTRA
398.79,BOGOTA
431.71,NO REGISTRA
428.19,BOGOTA
419.0,BOGOTA
422.41,BOLIVAR
422.74,NO REGISTRA
440.39,NO REGISTRA
427.71,NO REGISTRA
420.93,NO REGISTRA
418.3,NO REGISTRA
397.93,NO REGISTRA
423.09,NO REGISTRA
416.31,NO REGISTRA
403.2,BOGOTA
404.57,CUNDINAMARCA
389.81,NO REGISTRA
414.97,NO REGISTRA
402.4,BOGOTA
419.93,BOGOTA
415.11,BOGOTA
404.5,BOGOTA
409.52,NO REGISTRA
416.19,BOGOTA
419.3,BOGOTA
400.54,CUNDINAMARCA
416.95,NO REGISTRA
405.15,CUNDINAMARCA
395.07,NO REGISTRA
411.25,CUNDINAMARCA
419.63,BOGOTA
402.71,BOGOTA
396.08,BOGOTA
405.68,NO REGISTRA
399.79,BOGOTA
390.37,BOGOTA
393.32,BOGOTA
415.39,CUNDINAMARCA
410.13,BOGOTA
415.36,BOGOTA
398.66,BOGOTA
415.44,CUNDINAMARCA
409.75,BOGOTA
402.28,BOGOTA
419.35,BOGOTA
392.65,BOGOTA
394.9,VALLE
405.78,BOGOTA
412.32,BOGOTA
397.56,BOGOTA
421.82,NO REGISTRA
396.12,NO REGISTRA
403.79,BOGOTA
405.27,NO REGISTRA
409.64,NO REGISTRA
415.58,BOGOTA
392.37,NO REGISTRA
395.23,NO REGISTRA
393.62,NO REGISTRA
407.85,BOGOTA
404.8,CUNDINAMARCA
404.82,CUNDINAMARCA
396.04,BOGOTA
394.72,BOGOTA
396.31,NO REGISTRA
402.92,BOGOTA
415.39,BOGOTA
400.09,BOGOTA
399.95,NO REGISTRA
400.66,BOGOTA
402.5,BOGOTA
412.67,SANTANDER
399.18,BOGOTA
414.14,BOGOTA
394.39,BOGOTA
395.57,BOGOTA
387.24,BOGOTA
400.66,BOGOTA
396.03,NO REGISTRA
391.47,NO REGISTRA
404.19,BOGOTA
389.44,NO REGISTRA
384.16,NO REGISTRA
404.6,BOGOTA
395.12,BOGOTA
400.57,BOGOTA
386.81,NO REGISTRA
405.14,BOGOTA
398.8,BOGOTA
398.48,CUNDINAMARCA
397.69,BOGOTA
391.31,BOGOTA
391.17,META
402.11,NO REGISTRA
371.55,BOGOTA
394.3,BOGOTA
458.6,NARINO
373.71,TOLIMA
363.86,BOGOTA
495.0,CUNDINAMARCA
472.0,BOGOTA
490.0,BOGOTA
471.99,BOGOTA
448.0,BOGOTA
455.0,BOGOTA
473.0,BOGOTA
445.0,BOGOTA
475.0,BOGOTA
470.0,BOGOTA
463.0,NO REGISTRA
478.0,BOGOTA
452.0,BOGOTA
462.0,BOGOTA
464.0,BOGOTA
424.0,BOGOTA
439.0,CUNDINAMARCA
467.0,NO REGISTRA
454.0,BOYACA
440.0,BOGOTA
444.0,CUNDINAMARCA
445.96,NO REGISTRA
461.0,BOGOTA
445.0,CUNDINAMARCA
464.0,BOGOTA
440.0,CUNDINAMARCA
453.0,CUNDINAMARCA
470.0,BOGOTA
462.0,BOGOTA
438.94,BOGOTA
454.0,BOGOTA
466.0,BOGOTA
439.0,BOGOTA
462.0,BOGOTA
458.0,BOGOTA
444.0,TOLIMA
424.0,CUNDINAMARCA
455.0,BOGOTA
436.0,BOGOTA
436.0,BOGOTA
450.0,META
417.0,BOGOTA
448.0,BOGOTA
445.0,BOGOTA
438.0,BOGOTA
433.0,BOGOTA
443.0,BOGOTA
406.0,BOGOTA
440.0,BOGOTA
421.0,BOGOTA
431.0,BOGOTA
447.0,BOGOTA
458.0,BOGOTA
436.0,CASANARE
446.0,CUNDINAMARCA
434.0,BOGOTA
444.0,BOGOTA
409.0,BOGOTA
431.0,BOGOTA
461.0,BOGOTA
433.0,CUNDINAMARCA
454.0,BOGOTA
438.0,BOGOTA
426.0,BOGOTA
424.0,BOGOTA
435.0,CUNDINAMARCA
454.0,BOGOTA
461.0,NO REGISTRA
451.0,BOYACA
449.0,CUNDINAMARCA
428.0,BOGOTA
412.0,NO REGISTRA
424.0,BOGOTA
440.0,CUNDINAMARCA
438.0,BOGOTA
431.0,CUNDINAMARCA
439.0,BOGOTA
414.0,BOGOTA
453.0,BOGOTA
464.0,BOGOTA
422.0,SANTANDER
427.0,BOGOTA
439.0,BOGOTA
422.0,BOGOTA
436.0,CUNDINAMARCA
431.0,BOGOTA
429.0,SANTANDER
423.0,CUNDINAMARCA
442.0,BOGOTA
427.0,BOGOTA
424.0,BOGOTA
458.0,BOGOTA
436.0,BOGOTA
427.0,BOGOTA
422.0,BOYACA
420.0,BOGOTA
413.37,NO REGISTRA
