PG_ICFES,DEPARTAMENTO
419.74,CUNDINAMARCA
425.0,CUNDINAMARCA
425.0,CUNDINAMARCA
454.0,CUNDINAMARCA
523.19,BOGOTA
528.52,BOGOTA
478.41,BOGOTA
505.2,BOGOTA
491.89,BOGOTA
482.97,BOGOTA
498.52,BOGOTA
447.41,BOGOTA
478.53,BOGOTA
466.12,BOGOTA
516.27,BOGOTA
442.46,BOGOTA
484.89,BOGOTA
492.05,BOGOTA
468.27,BOGOTA
525.11,BOGOTA
498.55,BOGOTA
480.62,BOGOTA
496.64,BOGOTA
358.86,BOGOTA
489.69,BOGOTA
488.88,BOGOTA
455.15,BOGOTA
478.08,BOGOTA
491.06,BOGOTA
491.13,BOGOTA
506.25,BOGOTA
477.79,BOGOTA
508.49,BOGOTA
473.34,BOGOTA
490.83,BOGOTA
468.82,BOGOTA
504.65,BOGOTA
428.63,BOGOTA
474.92,BOGOTA
496.77,BOGOTA
486.1,BOGOTA
491.47,BOGOTA
491.54,BOGOTA
518.55,BOGOTA
500.63,BOGOTA
516.22,BOGOTA
494.01,BOGOTA
427.42,BOGOTA
485.43,BOGOTA
474.97,BOGOTA
471.71,BOGOTA
523.87,BOGOTA
489.97,BOGOTA
480.47,BOGOTA
517.33,BOGOTA
480.49,BOGOTA
478.17,BOGOTA
492.04,BOGOTA
464.05,BOGOTA
466.69,BOGOTA
480.74,BOGOTA
472.12,BOGOTA
507.48,BOGOTA
474.25,BOGOTA
492.04,BOGOTA
518.21,BOGOTA
544.45,BOGOTA
475.97,BOGOTA
514.97,BOGOTA
490.0,BOGOTA
475.56,BOGOTA
492.57,BOGOTA
486.02,BOGOTA
504.92,BOGOTA
491.53,BOGOTA
462.88,BOGOTA
492.18,BOGOTA
523.09,BOGOTA
489.9,BOGOTA
475.36,BOGOTA
478.38,BOGOTA
489.54,BOGOTA
475.29,BOGOTA
481.76,BOGOTA
490.58,BOGOTA
466.01,BOGOTA
478.92,BOGOTA
447.34,BOGOTA
439.72,BOGOTA
429.61,BOGOTA
440.77,BOGOTA
429.31,BOGOTA
413.23,BOGOTA
429.98,BOGOTA
425.73,BOGOTA
438.09,BOGOTA
412.88,BOGOTA
421.17,BOGOTA
431.81,BOGOTA
413.99,BOGOTA
415.52,BOGOTA
416.75,BOGOTA
407.67,BOGOTA
410.02,BOGOTA
420.45,BOGOTA
411.47,BOGOTA
405.48,BOGOTA
414.9,BOGOTA
406.58,BOGOTA
398.67,BOGOTA
385.92,BOGOTA
418.89,BOGOTA
430.92,BOGOTA
411.45,BOGOTA
403.15,BOGOTA
384.68,BOGOTA
392.99,BOGOTA
427.29,BOGOTA
407.23,BOGOTA
403.54,BOGOTA
399.16,BOGOTA
399.06,BOGOTA
394.65,BOGOTA
401.89,BOGOTA
405.25,BOGOTA
383.54,BOGOTA
398.62,BOGOTA
422.22,BOGOTA
404.66,BOGOTA
403.99,BOGOTA
403.77,BOGOTA
401.22,BOGOTA
416.65,BOGOTA
399.89,BOGOTA
404.59,BOGOTA
401.6,BOGOTA
395.87,BOGOTA
473.0,BOGOTA
491.0,BOGOTA
469.0,BOGOTA
474.0,BOGOTA
461.0,BOGOTA
455.0,BOGOTA
435.0,BOGOTA
444.0,BOGOTA
453.0,BOGOTA
457.0,BOGOTA
447.0,BOGOTA
454.0,BOGOTA
452.0,BOGOTA
456.0,BOGOTA
450.0,BOGOTA
442.0,BOGOTA
462.0,BOGOTA
467.0,BOGOTA
458.0,BOGOTA
450.0,BOGOTA
462.0,BOGOTA
431.0,BOGOTA
446.0,BOGOTA
449.0,BOGOTA
428.0,BOGOTA
447.0,BOGOTA
442.0,BOGOTA
423.0,BOGOTA
433.0,BOGOTA
466.0,BOGOTA
439.0,BOGOTA
450.0,BOGOTA
456.0,BOGOTA
426.0,BOGOTA
432.0,BOGOTA
447.0,BOGOTA
439.0,BOGOTA
449.0,BOGOTA
427.0,BOGOTA
451.0,BOGOTA
444.0,BOGOTA
461.0,BOGOTA
455.0,BOGOTA
452.0,BOGOTA
422.0,BOGOTA
433.0,BOGOTA
438.0,BOGOTA
395.0,BOGOTA
429.0,BOGOTA
426.0,BOGOTA
417.0,BOGOTA
446.0,BOGOTA
418.0,BOGOTA
423.0,BOGOTA
458.0,BOGOTA
446.0,BOGOTA
461.0,BOGOTA
453.0,BOGOTA
441.0,BOGOTA
387.0,BOGOTA
431.0,BOGOTA
417.0,BOGOTA
431.0,BOGOTA
430.0,BOGOTA
427.0,BOGOTA
432.0,BOGOTA
401.0,BOGOTA
427.0,BOGOTA
415.0,BOGOTA
434.0,BOGOTA
431.0,BOGOTA
448.0,BOGOTA
419.0,BOGOTA
431.0,BOGOTA
446.0,BOGOTA
437.0,BOGOTA
417.0,BOGOTA
433.0,BOGOTA
428.0,BOGOTA
396.0,BOGOTA
429.0,BOGOTA
350.63,BOGOTA
427.0,BOGOTA
447.0,BOGOTA
431.0,BOGOTA
457.0,BOGOTA
430.0,BOGOTA
461.0,BOGOTA
464.0,BOGOTA
442.0,BOGOTA
436.0,BOGOTA
441.0,BOGOTA
427.0,BOGOTA
445.0,BOGOTA
432.0,BOGOTA
443.0,BOGOTA
440.0,BOGOTA
429.0,BOGOTA
450.0,BOGOTA
443.0,BOGOTA
410.0,BOGOTA
424.0,BOGOTA
421.0,BOGOTA
398.0,BOGOTA
403.0,BOGOTA
442.0,BOGOTA
425.0,BOGOTA
408.0,BOGOTA
431.0,BOGOTA
416.0,BOGOTA
419.0,BOGOTA
413.0,BOGOTA
427.19,BOGOTA
408.0,BOGOTA
407.0,BOGOTA
402.0,BOGOTA
429.0,BOGOTA
415.0,BOGOTA
413.0,BOGOTA
431.0,BOGOTA
405.0,BOGOTA
392.0,BOGOTA
410.0,BOGOTA
413.0,BOGOTA
402.0,BOGOTA
412.0,BOGOTA
454.0,BOGOTA
426.0,BOGOTA
415.0,BOGOTA
418.0,BOGOTA
405.0,BOGOTA
409.0,BOGOTA
428.0,BOGOTA
425.0,BOGOTA
442.0,BOGOTA
432.0,BOGOTA
429.0,BOGOTA
411.0,BOGOTA
424.0,BOGOTA
416.0,BOGOTA
409.0,BOGOTA
386.0,BOGOTA
424.0,BOGOTA
384.74,BOGOTA
387.41,BOGOTA
413.0,BOGOTA
422.0,BOGOTA
401.0,BOGOTA
409.0,BOGOTA
388.06,BOGOTA
377.0,BOGOTA
479.0,BOGOTA
464.0,BOGOTA
471.0,BOGOTA
460.0,BOGOTA
459.0,BOGOTA
467.0,BOGOTA
452.0,BOGOTA
441.0,BOGOTA
461.0,BOGOTA
442.0,BOGOTA
446.0,BOGOTA
449.0,BOGOTA
450.0,BOGOTA
421.0,BOGOTA
450.0,BOGOTA
419.0,BOGOTA
452.0,BOGOTA
426.0,BOGOTA
452.0,BOGOTA
451.0,BOGOTA
449.0,BOGOTA
426.0,BOGOTA
435.0,BOGOTA
435.0,BOGOTA
439.0,BOGOTA
435.0,BOGOTA
425.0,BOGOTA
447.0,BOGOTA
423.0,BOGOTA
443.0,BOGOTA
447.0,BOGOTA
432.0,BOGOTA
444.0,BOGOTA
441.0,BOGOTA
436.0,BOGOTA
435.0,BOGOTA
451.0,BOGOTA
437.0,BOGOTA
429.0,BOGOTA
429.0,BOGOTA
439.0,BOGOTA
439.0,BOGOTA
448.0,BOGOTA
442.0,BOGOTA
437.0,BOGOTA
433.0,BOGOTA
432.0,BOGOTA
442.0,BOGOTA
411.0,BOGOTA
424.0,BOGOTA
430.0,BOGOTA
419.0,BOGOTA
437.0,BOGOTA
436.0,BOGOTA
420.0,BOGOTA
448.0,BOGOTA
406.0,BOGOTA
425.0,BOGOTA
436.0,BOGOTA
424.0,BOGOTA
424.0,BOGOTA
437.0,BOGOTA
428.0,BOGOTA
444.0,BOGOTA
425.0,BOGOTA
432.0,BOGOTA
427.0,BOGOTA
430.0,BOGOTA
423.0,BOGOTA
447.0,BOGOTA
418.0,BOGOTA
422.0,BOGOTA
429.0,BOGOTA
400.0,BOGOTA
419.0,BOGOTA
416.0,BOGOTA
398.0,BOGOTA
397.0,BOGOTA
378.0,BOGOTA
352.0,BOGOTA
416.0,BOGOTA
408.0,BOGOTA
425.73,BOGOTA
444.0,BOGOTA
433.0,BOGOTA
459.0,BOGOTA
421.0,BOGOTA
447.0,BOGOTA
434.0,BOGOTA
454.0,BOGOTA
438.01,BOGOTA
421.0,BOGOTA
