PG_ICFES,TIPO_COLEGIO
469.4,OFICIAL
455.25,NO OFICIAL
460.51,NO OFICIAL
489.85,NO OFICIAL
498.77,OFICIAL
470.01,NO OFICIAL
444.51,NO REGISTRA
445.84,NO OFICIAL
477.8,NO OFICIAL
477.56,NO OFICIAL
469.47,NO OFICIAL
468.1,NO OFICIAL
486.29,NO OFICIAL
487.7,NO OFICIAL
473.77,NO OFICIAL
441.21,OFICIAL
488.14,NO OFICIAL
487.62,OFICIAL
462.99,OFICIAL
480.9,NO OFICIAL
470.74,NO OFICIAL
490.98,NO REGISTRA
491.4,OFICIAL
417.88,OFICIAL
484.3,OFICIAL
476.25,OFICIAL
464.22,OFICIAL
461.1,OFICIAL
482.89,NO OFICIAL
461.78,OFICIAL
473.17,OFICIAL
455.56,NO OFICIAL
459.89,OFICIAL
460.24,NO OFICIAL
454.82,OFICIAL
464.76,OFICIAL
463.13,NO OFICIAL
451.11,NO REGISTRA
462.77,OFICIAL
482.23,NO OFICIAL
464.51,OFICIAL
457.77,NO OFICIAL
489.55,NO REGISTRA
469.8,OFICIAL
479.21,NO OFICIAL
474.45,NO OFICIAL
436.85,NO OFICIAL
461.16,OFICIAL
456.39,OFICIAL
481.95,NO OFICIAL
466.33,OFICIAL
451.13,OFICIAL
496.88,NO OFICIAL
408.18,OFICIAL
480.84,NO OFICIAL
472.16,OFICIAL
476.47,NO OFICIAL
462.08,OFICIAL
476.15,NO OFICIAL
485.79,NO OFICIAL
454.2,NO OFICIAL
470.16,NO OFICIAL
455.67,NO OFICIAL
482.79,OFICIAL
459.4,NO OFICIAL
459.7,OFICIAL
473.85,NO REGISTRA
468.03,OFICIAL
474.36,NO OFICIAL
472.85,NO OFICIAL
464.99,NO OFICIAL
458.08,NO OFICIAL
496.86,OFICIAL
466.05,NO OFICIAL
475.56,OFICIAL
483.94,OFICIAL
484.33,OFICIAL
458.87,NO OFICIAL
493.61,OFICIAL
468.56,NO REGISTRA
461.46,NO OFICIAL
399.87,OFICIAL
474.0,OFICIAL
475.08,OFICIAL
458.61,OFICIAL
478.0,NO OFICIAL
445.0,NO OFICIAL
455.29,NO REGISTRA
439.44,NO OFICIAL
448.79,OFICIAL
441.35,OFICIAL
442.23,NO OFICIAL
449.71,NO OFICIAL
457.79,NO OFICIAL
464.19,OFICIAL
444.74,OFICIAL
453.92,OFICIAL
460.09,OFICIAL
458.29,NO OFICIAL
406.24,OFICIAL
455.53,NO OFICIAL
461.66,NO OFICIAL
462.02,NO REGISTRA
453.94,NO OFICIAL
480.41,NO REGISTRA
465.36,OFICIAL
419.71,NO REGISTRA
414.59,NO OFICIAL
427.11,NO REGISTRA
415.3,NO REGISTRA
427.46,NO REGISTRA
418.55,NO REGISTRA
427.9,NO OFICIAL
412.59,NO REGISTRA
416.15,OFICIAL
412.76,NO OFICIAL
395.97,OFICIAL
423.49,OFICIAL
424.04,OFICIAL
407.54,OFICIAL
415.93,NO OFICIAL
409.27,NO REGISTRA
423.0,OFICIAL
407.57,OFICIAL
401.92,NO REGISTRA
395.05,NO OFICIAL
411.63,NO OFICIAL
385.66,NO OFICIAL
409.43,NO REGISTRA
417.51,NO OFICIAL
418.04,NO OFICIAL
411.91,OFICIAL
407.04,NO REGISTRA
404.08,OFICIAL
405.51,NO REGISTRA
391.58,NO OFICIAL
410.57,OFICIAL
387.5,NO REGISTRA
405.41,OFICIAL
387.04,NO REGISTRA
385.76,OFICIAL
398.89,OFICIAL
385.23,NO REGISTRA
410.47,OFICIAL
390.63,NO OFICIAL
402.45,OFICIAL
403.6,NO REGISTRA
409.44,OFICIAL
407.45,OFICIAL
398.77,NO REGISTRA
401.38,OFICIAL
409.21,OFICIAL
385.38,OFICIAL
394.0,NO OFICIAL
389.06,NO REGISTRA
386.21,NO REGISTRA
409.16,OFICIAL
402.88,NO REGISTRA
394.66,OFICIAL
402.52,NO REGISTRA
391.67,NO OFICIAL
385.03,NO OFICIAL
387.71,OFICIAL
384.53,NO OFICIAL
395.91,NO OFICIAL
405.95,NO OFICIAL
394.04,NO OFICIAL
384.52,OFICIAL
404.94,OFICIAL
397.24,OFICIAL
396.42,OFICIAL
390.42,OFICIAL
378.93,OFICIAL
388.39,NO REGISTRA
402.23,NO REGISTRA
407.22,OFICIAL
396.23,NO OFICIAL
392.84,OFICIAL
396.4,OFICIAL
392.46,OFICIAL
389.39,NO OFICIAL
