CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;ANO_INGRESO;FILOSOFIA_ICFES;APT_VERB_ICFES;FISICA_ICFES;MUNICIPIO;GENERO;APT_MAT_ICFES;LOCALIDAD;DEPARTAMENTO;SOCIALES_ICFES;ESTRATO;CALENDARIO;TIPO_COLEGIO;DISTANCIA;INSCRIPCION;CORTE_INGRESO;RENDIMIENTO_UNO;PROMEDIO_UNO
88.79;73.24;10;69.65;59.52;486.1;73.83;2011;68.09;73.83;63.65;20;0;88.79;10;5;0.0;3;1;2;3;10;1;1.0;22.0
79.26;66.03;20;68.87;69.14;462.49;65.03;2011;54.95;65.03;60.76;208;1;79.26;20;7;0.0;3;1;2;6;10;1;2.0;35.2
63.5;59.67;8;68.87;66.48;448.91;59.4;2011;60.81;59.4;69.98;20;0;63.5;8;5;0.0;3;1;1;3;10;1;2.0;36.86666666666667
69.01;48.86;20;57.8;69.14;439.41;59.4;2011;69.52;59.4;63.86;93;0;69.01;20;22;0.0;1;2;1;6;10;1;2.0;31.466666666666665
68.39;66.95;10;65.98;56.56;436.91;59.27;2011;65.24;59.27;54.26;20;1;68.39;10;5;0.0;3;1;2;3;10;1;2.0;32.666666666666664
69.01;64.24;14;63.99;59.52;433.07;62.21;2011;57.9;62.21;60.57;20;1;69.01;20;5;0.0;3;1;1;6;10;1;2.0;35.666666666666664
63.5;82.38;5;68.87;61.43;449.49;62.21;2011;60.81;62.21;60.76;20;0;63.5;20;5;0.0;1;1;2;6;10;1;2.0;33.733333333333334
66.17;52.54;4;53.19;61.96;416.95;70.87;2011;45.2;70.87;57.4;20;0;66.17;4;5;0.0;2;1;1;2;10;1;2.0;32.46666666666667
69.01;45.84;10;71.9;61.43;426.63;62.21;2011;45.2;62.21;63.86;20;0;69.01;11;5;0.0;3;1;1;4;10;1;2.0;34.333333333333336
74.62;50.87;20;55.09;59.0;412.84;53.5;2011;50.93;53.5;63.86;227;1;74.62;20;15;0.0;2;1;2;6;10;1;1.0;22.666666666666668
68.39;59.21;11;61.28;59.52;439.82;62.11;2011;47.74;62.11;82.7;20;0;68.39;11;5;0.0;2;1;1;4;10;1;2.0;35.666666666666664
78.36;62.13;18;75.16;75.02;485.23;67.8;2011;62.46;67.8;63.86;20;0;78.36;18;5;0.0;2;1;1;6;10;1;2.0;30.333333333333332
63.02;44.51;8;75.95;57.08;438.87;56.41;2011;62.46;56.41;63.65;20;0;63.02;8;5;0.0;2;1;1;3;10;1;2.0;34.733333333333334
63.5;64.24;11;50.4;64.44;414.1;56.55;2011;51.89;56.55;69.72;20;0;63.5;11;5;0.0;2;1;1;4;10;1;2.0;35.06666666666667
72.05;58.01;13;75.95;72.45;504.6;77.28;2011;75.71;77.28;66.68;20;0;72.05;3;5;0.0;2;1;1;2;10;1;2.0;33.333333333333336
72.05;85.05;16;83.7;69.64;461.97;56.55;2011;69.52;56.55;50.64;20;1;72.05;16;5;0.0;3;1;2;5;10;1;2.0;38.333333333333336
55.62;56.09;12;65.98;59.0;437.72;64.91;2011;59.66;64.91;69.98;20;0;55.62;12;5;0.0;3;1;1;4;10;1;1.0;16.466666666666665
60.51;81.98;11;68.87;61.43;447.9;62.11;2011;65.24;62.11;57.57;20;1;60.51;11;5;0.0;3;1;2;4;10;1;2.0;32.0
55.89;59.21;1;68.87;59.0;442.24;59.4;2011;63.68;59.4;60.76;20;0;55.89;11;5;0.0;3;1;2;4;10;1;2.0;31.933333333333334
68.39;55.62;7;57.8;56.56;436.53;62.11;2011;65.24;62.11;63.86;20;0;68.39;7;5;0.0;2;1;1;3;10;1;2.0;30.333333333333332
69.01;41.66;20;65.98;75.02;443.54;59.4;2011;54.95;59.4;63.86;120;0;69.01;9;15;0.0;3;1;2;3;10;1;2.0;33.6
69.01;88.85;11;57.8;59.0;469.24;70.87;2011;75.71;70.87;69.98;20;0;69.01;11;5;0.0;3;1;1;4;10;1;2.0;31.066666666666666
66.17;48.42;10;65.98;69.14;442.63;59.4;2011;60.81;59.4;54.26;20;0;66.17;10;5;0.0;3;1;2;3;10;1;2.0;35.0
66.17;66.03;10;57.8;56.56;419.07;56.55;2011;51.89;56.55;60.76;20;0;66.17;10;5;0.0;2;1;2;3;10;1;1.0;22.0
72.05;71.98;20;75.16;75.02;478.06;67.92;2011;54.95;67.92;73.09;181;0;72.05;20;15;0.0;1;1;1;6;10;1;2.0;36.2
78.36;49.66;18;61.28;69.64;461.7;67.8;2011;56.82;67.8;69.72;20;0;78.36;19;5;0.0;1;1;2;6;10;1;1.0;26.333333333333332
55.89;57.29;4;52.34;56.56;375.82;50.6;2011;45.2;50.6;50.75;0;0;55.89;4;0;0.0;2;0;0;2;7;1;2.0;31.933333333333334
63.5;54.92;8;79.57;59.52;439.89;70.87;2011;41.38;70.87;60.57;20;1;63.5;20;5;0.0;2;1;1;6;10;1;2.0;32.0
68.39;49.66;20;65.98;63.93;440.15;59.27;2011;47.74;59.27;69.98;56;0;68.39;20;7;0.0;2;1;1;6;10;1;2.0;35.2
75.41;43.11;20;57.8;56.56;418.06;50.6;2011;60.81;50.6;63.86;0;0;75.41;10;0;0.0;2;0;0;3;10;1;2.0;30.733333333333334
60.91;56.82;7;57.8;51.58;438.46;67.92;2011;69.52;67.92;63.86;20;0;60.91;7;5;0.0;2;1;1;3;10;1;1.0;27.8
99.33;83.41;1;61.56;34.86;439.23;63.4;2011;48.86;63.4;60.41;0;0;99.33;11;0;0.0;2;0;0;4;10;1;2.0;37.93333333333333
72.05;65.57;20;57.8;66.48;453.13;70.87;2011;63.68;70.87;66.93;174;1;72.05;20;15;0.0;2;1;2;6;10;1;2.0;36.666666666666664
65.63;59.67;20;61.28;59.52;436.22;59.27;2011;59.66;59.27;72.78;222;1;65.63;20;21;0.0;1;1;1;6;10;1;2.0;34.0
74.62;53.27;10;61.28;72.45;458.93;62.11;2011;74.04;62.11;54.13;20;1;74.62;11;5;0.0;2;1;2;4;10;1;2.0;38.0
71.35;88.85;10;58.6;72.45;471.92;64.91;2011;59.66;64.91;72.78;20;0;71.35;8;5;0.0;2;1;2;3;10;1;2.0;31.0
74.62;60.44;11;63.99;57.08;432.43;67.8;2011;62.46;67.8;50.64;20;0;74.62;11;5;0.0;2;1;2;4;10;1;1.0;23.866666666666667
65.63;58.01;7;61.28;61.96;442.89;67.8;2011;62.46;67.8;54.13;20;0;65.63;7;5;0.0;2;1;1;3;10;1;2.0;30.533333333333335
63.02;73.24;20;58.6;64.44;467.27;67.8;2011;71.0;67.8;72.78;155;1;63.02;20;14;0.0;2;1;2;6;5;1;1.0;21.666666666666668
66.17;59.21;20;61.28;66.99;456.17;53.63;2011;72.54;53.63;63.65;221;0;66.17;20;15;0.0;3;1;1;6;10;1;2.0;34.0
79.26;64.24;15;63.2;75.02;469.84;62.21;2011;69.52;62.21;60.76;20;0;79.26;3;5;0.0;2;1;2;2;10;1;2.0;34.4
60.51;75.1;18;63.99;72.45;470.33;67.8;2011;74.04;67.8;66.68;20;0;60.51;18;5;0.0;2;1;1;6;10;1;2.0;39.733333333333334
65.63;69.93;14;52.34;71.97;433.63;62.11;2011;62.46;62.11;54.26;20;0;65.63;11;5;0.0;3;1;1;4;10;1;2.0;35.6
68.39;59.67;16;68.87;86.89;470.25;56.41;2011;62.46;56.41;66.93;20;1;68.39;16;5;0.0;3;1;1;5;10;1;2.0;37.86666666666667
65.63;64.24;18;57.8;63.93;433.81;67.8;2011;65.24;67.8;57.57;20;1;65.63;18;5;0.0;3;1;1;6;10;1;2.0;35.46666666666667
75.41;48.86;18;58.6;82.67;459.03;59.4;2011;57.9;59.4;60.57;20;1;75.41;18;5;0.0;2;1;1;6;10;1;2.0;35.0
65.63;75.52;10;63.99;66.99;454.65;64.91;2011;56.82;64.91;66.68;0;0;65.63;10;0;0.0;2;0;0;3;10;1;2.0;36.666666666666664
65.63;73.68;20;71.9;61.43;452.46;59.27;2011;53.93;59.27;73.09;52;0;65.63;20;21;0.0;2;1;1;6;10;1;2.0;31.0
68.39;69.93;20;61.28;66.99;459.21;67.8;2011;62.46;67.8;69.72;0;0;68.39;18;0;0.0;2;0;0;6;10;1;2.0;36.0
83.87;77.13;10;63.2;61.43;479.27;67.92;2011;66.58;67.92;66.93;20;0;83.87;11;5;0.0;3;1;2;4;10;1;1.0;24.0
63.02;50.1;10;52.34;59.0;420.25;64.91;2011;56.82;64.91;63.86;20;0;63.02;10;5;0.0;3;1;1;3;10;1;2.0;38.4
78.36;52.08;20;53.19;69.64;442.31;64.91;2011;65.24;64.91;57.4;222;0;78.36;20;21;0.0;3;3;2;6;10;1;2.0;31.0
66.17;54.92;7;68.87;71.97;457.43;62.21;2011;63.68;62.21;66.93;20;0;66.17;7;5;0.0;2;1;1;3;10;1;2.0;35.2
72.05;56.09;20;87.87;69.14;485.61;59.4;2011;69.52;59.4;60.76;222;0;72.05;20;21;0.0;2;1;1;6;10;1;3.0;41.0
75.41;79.4;18;83.7;57.08;481.89;65.03;2011;72.54;65.03;63.65;20;1;75.41;16;5;0.0;3;1;2;5;10;1;2.0;37.6
66.17;59.67;20;60.48;63.93;423.33;59.4;2011;51.89;59.4;63.86;181;0;66.17;20;15;0.0;2;1;2;6;10;1;1.0;15.333333333333334
65.63;73.24;11;72.69;69.64;463.14;56.41;2011;62.46;56.41;66.68;20;1;65.63;11;5;0.0;2;1;1;4;10;1;2.0;35.0
69.01;55.62;18;71.9;71.97;439.3;59.4;2011;48.66;59.4;60.76;20;0;69.01;19;5;0.0;1;1;1;6;10;1;3.0;42.333333333333336
60.91;69.93;1;66.77;69.64;463.46;59.4;2011;72.54;59.4;69.72;20;1;60.91;9;5;0.0;3;1;2;3;10;1;2.0;34.0
78.36;58.01;20;60.48;59.0;431.82;59.27;2011;44.32;59.27;60.76;20;0;78.36;1;5;0.0;3;1;2;1;10;1;2.0;30.466666666666665
53.16;68.86;11;52.34;63.93;432.21;67.8;2011;65.24;67.8;57.57;20;0;53.16;20;5;0.0;1;1;2;6;5;1;2.0;33.0
65.63;52.08;20;57.8;66.48;435.27;59.27;2011;59.66;59.27;63.86;225;0;65.63;20;10;0.0;1;1;2;6;10;1;1.0;21.0
65.63;61.66;8;68.87;63.93;442.37;62.11;2011;56.82;62.11;66.93;20;1;65.63;8;5;0.0;3;1;1;3;10;1;2.0;33.333333333333336
83.87;62.94;18;60.48;69.14;470.26;77.28;2011;66.58;77.28;50.75;20;1;83.87;16;5;0.0;3;1;2;5;10;1;2.0;37.06666666666667
66.17;64.7;16;63.99;66.99;446.54;56.55;2011;57.9;56.55;72.78;20;1;66.17;19;5;0.0;2;1;1;6;10;1;2.0;35.666666666666664
65.63;48.42;7;60.48;61.43;440.35;62.11;2011;71.0;62.11;63.86;20;1;65.63;7;5;0.0;2;1;1;3;10;1;1.0;24.333333333333332
79.26;71.98;7;65.98;69.14;483.02;65.03;2011;79.06;65.03;46.97;20;1;79.26;7;5;0.0;2;1;2;3;10;1;2.0;38.2
69.01;44.51;20;66.77;69.64;437.78;56.55;2011;60.81;56.55;57.4;200;0;69.01;20;15;0.0;2;1;1;6;10;1;2.0;34.13333333333333
63.5;44.51;20;60.48;66.48;447.34;59.4;2011;63.68;59.4;66.93;42;0;63.5;20;15;0.0;1;1;1;6;10;1;2.0;32.333333333333336
69.01;79.4;11;60.48;63.93;439.28;62.21;2011;69.52;62.21;54.26;20;0;69.01;11;5;0.0;2;1;2;4;10;1;2.0;34.86666666666667
63.5;58.47;10;66.77;66.99;455.19;56.55;2011;72.54;56.55;66.68;20;1;63.5;11;5;0.0;2;1;2;4;10;1;2.0;35.0
60.51;61.66;1;63.2;61.43;435.33;62.11;2011;62.46;62.11;60.76;20;1;60.51;11;5;0.0;3;1;2;4;10;1;2.0;33.53333333333333
71.35;61.66;10;53.19;72.45;475.05;77.1;2011;62.46;77.1;75.93;20;1;71.35;10;5;0.0;3;1;1;3;10;1;2.0;39.0
66.17;69.93;20;52.34;54.1;422.18;65.03;2011;60.81;65.03;63.86;0;0;66.17;20;0;0.0;3;0;0;6;10;1;2.0;33.46666666666667
60.91;57.29;8;60.48;63.93;456.16;65.03;2011;75.71;65.03;60.76;20;0;60.91;8;5;0.0;3;1;1;3;10;1;1.0;30.0
58.05;59.21;20;55.92;66.99;434.44;56.41;2011;53.93;56.41;75.93;72;0;58.05;20;15;0.0;2;1;2;6;10;1;1.0;28.0
75.41;68.41;14;75.16;66.48;441.74;62.21;2011;51.89;62.21;57.57;20;0;75.41;10;5;0.0;3;1;1;3;10;1;2.0;35.4
58.38;82.38;15;66.77;64.44;448.01;70.87;2011;60.81;70.87;57.4;20;1;58.38;6;5;0.0;2;1;2;3;10;1;2.0;33.53333333333333
72.05;75.52;9;53.19;52.07;442.63;67.92;2011;60.81;67.92;69.72;20;0;72.05;9;5;0.0;3;1;2;3;10;1;2.0;31.133333333333333
60.91;55.62;11;61.28;59.52;442.07;65.03;2011;69.52;65.03;63.65;20;0;60.91;11;5;0.0;2;1;1;4;10;1;2.0;33.86666666666667
69.01;47.15;11;60.48;54.1;417.38;62.21;2011;48.66;62.21;60.76;20;1;69.01;11;5;0.0;2;1;1;4;10;1;2.0;34.0
75.41;69.93;10;47.48;72.45;425.16;50.6;2011;54.95;50.6;57.4;20;0;75.41;11;5;0.0;2;1;1;4;10;1;2.0;35.86666666666667
60.51;58.47;10;53.19;57.08;434.85;73.83;2011;62.46;73.83;60.57;20;0;60.51;10;5;0.0;2;1;1;3;10;1;2.0;34.0
74.62;68.86;11;49.51;71.97;456.4;64.91;2011;62.46;64.91;60.76;20;0;74.62;11;5;0.0;3;1;2;4;10;1;2.0;34.46666666666667
60.91;67.41;10;66.77;75.48;453.75;65.03;2011;63.68;65.03;57.4;20;0;60.91;10;5;0.0;2;1;1;3;10;1;2.0;38.666666666666664
75.41;59.21;14;63.2;69.14;457.96;62.21;2011;57.9;62.21;60.76;20;0;75.41;8;5;0.0;3;1;1;3;10;1;2.0;32.666666666666664
71.35;60.44;20;63.99;59.52;424.02;53.5;2011;53.93;53.5;63.65;56;0;71.35;20;7;0.0;2;1;2;6;10;1;1.0;28.333333333333332
53.37;53.27;8;63.99;66.99;444.73;65.03;2011;60.81;65.03;79.22;20;1;53.37;8;5;0.0;2;1;1;3;10;1;2.0;32.46666666666667
71.35;62.13;6;75.16;61.43;454.47;56.41;2011;71.0;56.41;54.26;0;0;71.35;19;0;0.0;1;0;0;6;10;1;2.0;34.733333333333334
69.01;69.93;7;65.98;63.93;460.27;65.03;2011;69.52;65.03;66.93;20;1;69.01;7;5;0.0;2;1;1;3;10;1;2.0;34.333333333333336
65.63;75.1;18;71.9;69.14;473.74;67.8;2011;59.66;67.8;69.98;20;0;65.63;6;5;0.0;3;1;2;3;10;1;1.0;30.0
75.41;54.45;9;63.2;71.97;447.18;59.4;2011;54.95;59.4;66.93;20;0;75.41;9;5;0.0;3;1;2;3;10;1;2.0;35.6
60.91;65.57;14;55.92;61.96;432.05;70.87;2011;54.95;70.87;60.57;20;0;60.91;8;5;0.0;3;1;1;3;10;1;2.0;34.2
66.17;62.94;16;58.6;69.64;423.25;53.63;2011;48.66;53.63;66.68;20;1;66.17;16;5;0.0;3;1;2;5;10;1;2.0;34.666666666666664
65.63;53.27;12;63.2;59.0;426.21;53.5;2011;56.82;53.5;69.98;20;0;65.63;11;5;0.0;3;1;1;4;10;1;2.0;33.86666666666667
69.01;54.45;20;61.28;61.96;420.67;53.63;2011;45.2;53.63;69.72;78;0;69.01;20;18;0.0;2;1;1;6;10;1;2.0;33.333333333333336
72.05;81.98;8;63.99;69.64;461.5;59.4;2011;57.9;59.4;54.13;20;1;72.05;8;5;0.0;2;1;1;3;10;1;2.0;37.333333333333336
71.35;65.57;16;68.87;63.93;469.38;67.8;2011;71.0;67.8;63.86;20;1;71.35;8;5;0.0;4;1;2;3;10;1;2.0;33.0
53.16;64.24;20;58.6;69.64;417.49;64.91;2011;62.46;64.91;50.64;181;1;53.16;20;15;0.0;1;1;2;6;4;1;2.0;34.333333333333336
58.05;68.41;10;82.9;63.93;476.14;73.83;2011;71.0;73.83;63.86;20;1;58.05;10;5;0.0;2;1;1;3;10;1;2.0;39.333333333333336
60.51;71.98;7;63.99;59.52;452.79;67.8;2011;62.46;67.8;63.65;20;1;60.51;7;5;0.0;2;1;1;3;10;1;2.0;35.93333333333333
65.63;77.13;18;60.48;71.97;475.48;70.74;2011;71.0;70.74;73.09;20;1;65.63;18;5;0.0;2;1;1;6;10;1;2.0;35.86666666666667
66.17;58.47;7;66.77;64.44;456.53;56.55;2011;66.58;56.55;66.68;20;0;66.17;7;5;0.0;2;1;2;3;10;1;2.0;35.4
71.35;54.45;16;69.65;72.45;469.11;62.11;2011;59.66;62.11;66.68;20;0;71.35;16;5;0.0;3;1;1;5;10;1;2.0;37.93333333333333
45.38;50.87;21;47.48;57.08;404.67;62.21;2011;63.68;62.21;66.68;28;0;45.38;20;30;0.0;2;1;1;6;5;1;1.0;30.0
69.01;58.01;20;68.87;59.0;446.87;56.55;2011;51.89;56.55;60.76;218;0;69.01;20;7;0.0;3;1;1;6;10;1;2.0;36.06666666666667
71.35;69.93;8;75.16;69.14;485.33;64.91;2011;56.82;64.91;73.09;20;0;71.35;7;5;0.0;2;1;2;3;10;1;1.0;23.266666666666666
58.05;47.58;8;49.51;61.43;427.2;64.91;2011;65.24;64.91;69.98;20;0;58.05;8;5;0.0;2;1;2;3;10;1;2.0;36.733333333333334
65.63;81.98;16;57.8;78.39;447.8;59.27;2011;65.24;59.27;54.26;20;1;65.63;19;5;0.0;1;1;2;6;10;1;2.0;32.333333333333336
55.89;56.82;8;69.65;66.99;443.12;59.4;2011;60.81;59.4;72.78;20;0;55.89;8;5;0.0;3;1;1;3;10;1;2.0;30.8
60.51;45.84;4;60.48;59.0;412.91;59.27;2011;56.82;59.27;54.26;20;0;60.51;4;5;0.0;2;1;1;2;6;1;1.0;28.666666666666668
71.35;62.94;7;63.2;59.0;445.2;73.83;2011;53.93;73.83;54.26;20;0;71.35;7;5;0.0;2;1;1;3;10;1;2.0;38.733333333333334
55.89;73.68;10;75.95;66.99;450.65;70.87;2011;63.68;70.87;57.4;20;0;55.89;7;5;0.0;2;1;1;3;10;1;2.0;33.86666666666667
60.51;58.47;3;58.6;59.52;420.69;64.91;2011;50.93;64.91;63.65;0;0;60.51;4;0;0.0;2;0;0;2;10;1;2.0;33.333333333333336
71.35;55.62;8;53.19;54.61;417.58;67.8;2011;53.93;67.8;54.13;20;0;71.35;13;5;0.0;4;1;2;5;10;1;2.0;31.933333333333334
65.63;50.1;20;53.19;66.99;419.88;59.27;2011;53.93;59.27;60.57;0;1;65.63;19;0;0.0;2;0;0;6;10;1;1.0;27.066666666666666
78.36;58.01;6;60.48;51.58;416.78;62.11;2011;50.93;62.11;50.75;20;0;78.36;19;5;0.0;2;1;2;6;10;1;2.0;30.333333333333332
63.02;48.42;8;58.6;66.99;438.79;64.91;2011;62.46;64.91;50.64;20;1;63.02;8;5;0.0;2;1;2;3;10;1;2.0;34.266666666666666
65.63;59.67;20;68.87;66.48;429.38;56.41;2011;50.93;56.41;60.76;227;0;65.63;20;15;0.0;2;1;1;6;10;1;1.0;22.866666666666667
81.33;68.31;20;54.16;58.82;410.68;60.16;2011;32.21;60.16;60.87;0;0;81.33;20;0;0.0;1;0;0;6;10;3;2.0;36.6
67.28;69.93;15;61.52;76.27;432.88;58.33;2011;52.03;58.33;62.03;20;0;67.28;16;5;0.0;3;1;2;5;10;3;2.0;38.733333333333334
64.12;66.95;7;55.21;65.81;426.17;58.33;2011;61.84;58.33;57.16;20;1;64.12;7;5;0.0;2;1;2;3;10;3;2.0;36.4
61.16;68.41;18;47.34;61.2;412.56;64.85;2011;52.03;64.85;54.74;20;1;61.16;5;5;0.0;2;1;1;2;10;3;2.0;34.46666666666667
68.85;87.56;20;58.75;51.07;405.71;64.17;2011;48.56;64.17;57.99;0;0;68.85;20;0;0.0;2;0;0;6;10;3;2.0;36.266666666666666
74.79;73.24;20;59.32;63.39;397.55;56.32;2011;36.96;56.32;57.16;50;1;74.79;10;15;0.0;3;1;2;3;10;3;2.0;37.93333333333333
69.96;67.41;11;59.89;55.8;403.81;54.28;2011;48.75;54.28;59.37;20;0;69.96;11;5;0.0;2;1;2;4;10;3;2.0;35.6
88.88;56.48;20;56.82;54.3;400.71;50.37;2011;46.77;50.37;35.48;19;0;88.88;20;7;0.0;1;1;1;6;10;3;2.0;30.4
76.1;50.86;20;67.79;56.55;404.6;52.42;2011;46.79;52.42;48.85;0;1;76.1;20;0;0.0;1;0;0;6;10;3;2.0;35.13333333333333
67.28;61.66;6;59.89;57.63;403.12;64.85;2011;44.91;64.85;47.05;20;0;67.28;4;5;0.0;2;1;2;2;10;3;2.0;39.4
66.56;81.98;10;61.52;53.65;399.16;56.23;2011;48.75;56.23;54.74;20;1;66.56;10;5;0.0;3;1;2;3;10;3;2.0;37.2
65.46;62.69;14;47.62;56.55;388.6;59.95;2011;46.79;59.95;56.13;0;0;65.46;11;0;0.0;3;0;0;4;10;3;2.0;35.0
67.28;59.21;10;66.5;55.44;398.6;58.33;2011;39.78;58.33;49.76;20;0;67.28;20;5;0.0;2;1;1;6;10;3;2.0;33.333333333333336
55.27;56.82;10;55.21;59.17;396.06;58.25;2011;46.43;58.25;62.03;20;0;55.27;10;5;0.0;3;1;1;3;10;3;2.0;38.8
61.16;73.24;10;67.08;54.03;406.64;60.38;2011;52.03;60.38;54.57;20;0;61.16;10;5;0.0;3;1;2;3;10;3;2.0;33.2
66.56;48.86;18;49.94;52.28;381.5;43.93;2011;48.75;43.93;64.28;20;0;66.56;3;5;0.0;2;1;1;2;10;3;1.0;26.8
60.6;77.55;20;53.82;59.53;394.94;60.29;2011;46.43;60.29;54.57;227;0;60.6;20;15;0.0;3;1;1;6;10;3;1.0;18.071428571428573
61.49;56.48;8;54.77;50.85;400.67;61.03;2011;55.96;61.03;50.94;20;1;61.49;8;5;0.0;2;1;2;3;10;3;2.0;33.06666666666667
60.6;59.67;8;53.24;51.9;392.68;52.31;2011;53.3;52.31;59.57;20;1;60.6;11;5;0.0;2;1;1;4;10;3;1.0;2.7333333333333334
55.27;69.93;20;55.79;59.53;390.96;52.31;2011;44.08;52.31;64.28;227;1;55.27;20;15;0.0;3;1;2;6;10;3;2.0;39.4
62.98;46.71;20;43.22;49.45;387.97;65.42;2011;56.47;65.42;55.29;0;0;62.98;18;0;0.0;3;0;0;6;10;3;1.0;20.153846153846153
70.78;68.86;7;55.79;61.55;395.67;54.35;2011;52.03;54.35;49.63;20;1;70.78;7;5;0.0;2;1;2;3;10;3;2.0;37.0
65.93;45.94;20;54.13;56.98;394.91;58.05;2011;51.21;58.05;50.41;0;0;65.93;7;0;0.0;1;0;0;3;10;3;2.0;38.4
63.76;71.12;15;65.04;51.89;398.73;62.78;2011;47.29;62.78;50.22;0;0;63.76;14;0;0.0;3;0;0;5;10;3;2.0;37.86666666666667
60.6;94.05;16;55.21;57.27;400.35;62.45;2011;53.3;62.45;49.76;20;1;60.6;16;5;0.0;3;1;2;5;10;3;2.0;35.733333333333334
74.79;65.57;10;55.79;54.03;391.98;56.32;2011;54.39;56.32;47.05;20;1;74.79;10;5;0.0;2;1;2;3;10;3;2.0;36.93333333333333
61.16;61.66;8;49.94;55.8;392.4;54.35;2011;56.79;54.35;56.97;20;1;61.16;19;5;0.0;2;1;1;6;10;3;2.0;36.46666666666667
53.42;81.77;18;61.19;47.6;400.36;57.14;2011;58.26;57.14;61.03;20;0;53.42;18;5;0.0;3;1;2;6;10;3;1.0;16.0
61.16;75.1;8;57.23;57.27;393.94;60.38;2011;49.69;60.38;54.74;20;1;61.16;8;5;0.0;3;1;1;3;10;3;3.0;41.666666666666664
58.38;45.84;10;57.8;50.53;392.02;52.4;2011;52.03;52.4;59.37;20;0;58.38;10;5;0.0;3;1;2;3;10;3;2.0;33.93333333333333
66.56;79.81;10;55.21;57.27;389.24;58.25;2011;46.43;58.25;49.76;20;1;66.56;11;5;0.0;1;1;1;4;10;3;2.0;34.13333333333333
60.6;54.92;7;49.34;55.44;395.05;50.31;2011;65.95;50.31;59.57;20;1;60.6;7;5;0.0;2;1;2;3;10;3;2.0;36.53333333333333
69.96;60.9;10;55.79;55.8;386.31;46.16;2011;48.75;46.16;52.14;20;0;69.96;10;5;0.0;3;1;2;3;10;3;1.0;16.0
58.94;50.86;19;42.7;52.83;388.47;52.54;2011;63.91;52.54;60.41;20;1;58.94;19;5;0.0;1;1;2;6;10;3;1.0;0.4
63.47;81.98;9;55.79;59.53;391.24;52.31;2011;48.75;52.31;49.63;20;1;63.47;9;5;0.0;4;1;2;3;10;3;2.0;39.266666666666666
56.46;39.05;10;50.78;49.12;396.43;54.54;2011;64.01;54.54;53.43;20;0;56.46;11;5;0.0;3;1;1;4;10;3;2.0;35.4
61.49;50.86;9;52.77;52.57;381.88;52.54;2011;49.02;52.54;58.27;20;0;61.49;9;5;0.0;2;1;1;3;10;3;1.0;3.5384615384615383
