NOTA_TG_UNO;NOTA_L_DOS;NOTA_AVAP;NOTA_EI_CINCO;NOTA_ECONOMET;NOTA_AVAM;NOTA_FOTO;NOTA_FGEP;NOTA_EI_SEIS;NOTA_EE_DOS;NOTA_ECUA;NOTA_EI_UNO;NOTA_L_TRES;NOTA_GEOGEO;NOTA_ORD_TER;NCC_NUEVE;NOTA_POO;NCA_NUEVE;NAC_NUEVE;NAA_NUEVE;VECES_EE_DOS;NOTA_FOTOD;VECES_EI_CINCO;VECES_ORD_TER;NOTA_EI_CUATRO;VECES_TG_UNO;EPA_NUEVE;VECES_EI_SEIS;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_NUEVE;NCP_NUEVE;NAP_NUEVE;CREDITOS_EI_CINCO;CREDITOS_TG_UNO;CREDITOS_ORD_TER;CREDITOS_EI_SEIS;CREDITOS_EE_DOS;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
44;44;38;30;38;37;35;42;0;40;35;45;31;32;40;10.0;45;10.0;4;4;1;35;1;1;36;1;2;0;36.833333333333336;38.13333333333333;40.375;37.8;0.0;0;3;2;3;3;2;3.0;40.09090909090909
37;30;41;33;30;31;35;32;0;48;30;47;42;40;39;10.0;40;10.0;4;4;1;37;1;1;40;1;2;0;38.666666666666664;35.6;39.5625;38.6;0.0;0;3;2;3;3;2;3.0;43.90909090909091
46;40;38;40;32;39;35;34;0;32;35;45;42;40;41;10.0;40;10.0;4;4;1;39;1;1;36;1;2;0;38.77777777777778;41.0;40.9375;39.9;0.0;0;3;2;3;3;2;3.0;42.27272727272727
37;32;30;36;34;38;35;35;0;36;40;47;45;31;47;10.0;40;10.0;4;4;1;37;1;1;38;1;2;0;34.833333333333336;39.0;36.1875;39.5;0.0;0;3;2;3;3;2;3.0;43.36363636363637
38;36;39;35;30;45;35;44;35;40;40;41;42;37;41;13.0;35;13.0;5;5;1;31;1;1;31;1;2;1;35.05555555555556;40.4;38.5;37.61538461538461;0.0;0;3;2;3;3;2;3.0;42.27272727272727
42;41;30;32;40;38;40;33;0;50;35;42;45;35;40;10.0;35;10.0;4;4;1;42;1;1;36;1;2;0;35.888888888888886;39.266666666666666;39.0625;40.0;0.0;0;3;2;3;3;2;3.0;42.375
47;37;37;38;37;42;37;38;0;30;30;36;37;36;47;10.0;30;10.0;4;4;1;33;1;1;37;1;2;0;37.05555555555556;37.8;39.375;40.9;0.0;0;3;2;3;3;2;2.0;39.63636363636363
37;40;39;34;32;38;35;30;0;30;32;38;31;36;37;10.0;35;10.0;4;4;1;36;1;1;36;1;2;0;36.77777777777778;38.2;37.75;34.7;0.0;0;3;2;3;3;2;4.0;47.27272727272727
46;41;37;39;36;41;35;45;38;0;40;46;41;30;47;11.0;35;11.0;4;4;0;39;1;1;32;1;2;1;35.833333333333336;40.06666666666667;38.375;42.18181818181818;0.0;0;3;2;3;3;2;3.0;40.625
39;41;33;36;32;45;45;40;0;48;30;33;44;38;44;10.0;30;10.0;4;4;1;35;1;1;36;1;2;0;34.611111111111114;39.0;36.5625;41.4;0.0;0;3;2;3;3;2;4.0;46.09090909090909
39;35;34;40;30;37;31;30;0;40;34;40;37;30;36;10.0;50;10.0;4;4;1;35;1;1;38;1;2;0;36.388888888888886;37.13333333333333;35.25;38.6;0.0;0;3;2;3;3;2;3.0;43.63636363636363
35;43;40;38;31;38;35;42;0;42;45;46;41;33;43;10.0;45;10.0;4;4;1;41;1;1;41;1;2;0;37.333333333333336;39.46666666666667;36.5;39.7;0.0;0;3;2;3;3;2;3.0;40.72727272727273
36;42;32;35;38;41;45;33;0;39;30;45;40;30;36;10.0;30;10.0;4;4;1;32;1;1;34;1;2;0;39.22222222222222;39.0;35.8125;36.3;0.0;0;3;2;3;3;2;3.0;41.63636363636363
43;46;41;40;34;45;45;47;0;46;30;39;41;40;42;10.0;45;10.0;4;4;1;33;1;1;39;1;2;0;37.94444444444444;37.93333333333333;37.0625;42.4;0.0;0;3;2;3;3;2;3.0;42.27272727272727
40;46;39;41;39;37;35;36;30;50;35;48;45;38;44;13.0;40;13.0;5;5;1;37;1;1;39;1;2;1;38.55555555555556;37.8;40.3125;40.38461538461539;0.0;0;3;2;3;3;2;3.0;44.72727272727273
42;43;30;36;39;41;45;40;42;0;40;34;38;45;37;11.0;40;11.0;4;4;0;34;1;1;45;1;2;1;38.27777777777778;41.8;37.3125;39.0;0.0;0;3;2;3;3;2;3.0;42.75
50;39;39;33;30;45;35;34;0;45;40;43;39;40;43;10.0;50;10.0;4;4;1;37;1;1;48;1;2;0;36.611111111111114;40.06666666666667;38.1875;41.8;0.0;0;3;2;3;3;2;3.0;42.63636363636363
44;45;39;37;33;40;40;35;0;50;30;37;38;30;41;10.0;40;10.0;4;4;1;45;1;1;39;1;2;0;36.666666666666664;39.46666666666667;38.1875;42.2;0.0;0;3;2;3;3;2;3.0;42.18181818181818
44;44;35;38;33;37;35;38;41;49;35;44;43;31;41;13.0;45;13.0;5;5;1;40;1;1;35;1;2;1;37.666666666666664;41.2;38.9375;42.0;0.0;0;3;2;3;3;2;4.0;45.63636363636363
50;45;38;36;37;34;42;41;30;50;39;34;40;38;37;13.0;30;13.0;5;5;1;31;1;1;30;1;2;1;35.166666666666664;38.0;39.0;39.15384615384615;0.0;0;3;2;3;3;2;3.0;41.72727272727273
47;39;42;41;31;44;34;40;0;50;38;41;47;34;37;10.0;30;10.0;4;4;1;38;1;1;38;1;2;0;38.388888888888886;42.0;40.625;42.8;0.0;0;3;2;3;3;2;3.0;40.81818181818182
37;39;37;36;33;38;30;34;41;50;35;45;40;31;39;13.0;30;13.0;5;5;1;31;1;1;33;1;2;2;34.888888888888886;40.06666666666667;37.25;40.15384615384615;0.0;0;3;2;3;3;2;2.0;39.375
43;36;36;34;42;31;35;33;38;50;32;44;41;32;32;13.0;35;13.0;5;5;1;30;1;1;38;1;2;1;35.94444444444444;35.733333333333334;40.1875;38.30769230769231;0.0;0;3;2;3;3;2;2.0;36.0
39;35;39;39;39;41;40;42;0;44;31;36;37;37;44;10.0;50;10.0;4;4;1;34;1;1;40;1;2;0;36.94444444444444;39.13333333333333;38.8125;41.5;0.0;0;3;2;3;3;2;3.0;43.27272727272727
43;43;36;37;42;44;38;38;40;50;40;37;45;50;37;13.0;50;13.0;5;5;1;40;1;1;45;1;2;1;40.5;40.06666666666667;39.875;40.61538461538461;0.0;0;3;2;3;3;2;3.0;44.625
36;33;37;41;34;38;45;35;38;48;30;42;49;36;39;13.0;50;13.0;5;5;1;39;1;1;47;1;2;1;35.166666666666664;35.2;35.0625;40.15384615384615;0.0;0;3;2;3;3;2;3.0;42.45454545454545
40;43;38;40;35;34;35;38;0;50;34;35;41;36;43;10.0;30;10.0;4;4;1;40;1;1;38;1;2;0;35.27777777777778;38.93333333333333;39.0625;42.9;0.0;0;3;2;3;3;2;2.0;39.0
35;32;34;33;33;38;30;33;0;33;35;48;43;34;40;10.0;50;10.0;4;4;1;39;1;1;38;1;2;0;34.833333333333336;37.2;37.6875;35.5;0.0;0;3;2;3;3;2;3.0;43.54545454545455
50;44;36;38;31;38;35;34;42;39;30;42;44;30;37;13.0;40;13.0;5;5;1;31;1;1;36;2;2;1;35.22222222222222;38.93333333333333;37.75;40.69230769230769;0.0;0;3;2;3;3;2;3.0;41.54545454545455
35;43;34;31;30;40;41;40;0;34;34;42;42;30;30;10.0;30;10.0;4;4;1;32;1;1;34;1;2;0;33.55555555555556;38.2;39.9375;32.1;0.0;0;3;2;3;3;2;2.0;38.45454545454545
0;34;34;30;37;40;32;33;0;42;37;36;38;32;44;8.0;39;8.0;3;3;1;35;1;1;35;0;2;0;33.833333333333336;35.46666666666667;35.875;38.25;0.0;0;3;2;3;3;2;2.0;36.75
46;44;43;39;40;37;30;43;37;47;37;50;46;32;41;13.0;50;13.0;5;5;1;38;1;1;50;1;2;1;40.5;38.2;43.0625;41.30769230769231;0.0;0;3;2;3;3;2;3.0;43.81818181818182
32;39;30;37;31;35;30;32;0;49;30;48;38;40;39;10.0;30;10.0;4;4;1;30;1;1;35;1;2;0;37.0;36.53333333333333;36.125;39.0;0.0;0;3;2;3;3;2;4.0;46.09090909090909
