NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;BIOLOGIA_ICFES;NOTA_HIST;QUIMICA_ICFES;NOTA_SEM;FILOSOFIA_ICFES;IDIOMA_ICFES;LITERATURA_ICFES;NOTA_DIF;CON_MAT_ICFES;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;GENERO;EPA_UNO;VECES_DIF;VECES_DITO;VECES_SEM;VECES_CD&C;VECES_TEXTOS;CAR_UNO;LOCALIDAD;NAC_UNO;CREDITOS_DIF;NCC_UNO;CREDITOS_TEXTOS;CREDITOS_SEM;CREDITOS_ALGEBRA;PROMEDIO_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
35;35;40;35;15.0;7;56.75;45;48.33;40;62.84;49.51;62.59;30;74.32;0;1;1;0.0;1;2;2;1;1;1;1;1;20;7;4;15.0;2;1;3;36.0;2.0;36.1764705882353
30;35;45;35;15.0;7;63.27;45;59.03;45;70.86;47.66;63.33;30;53.42;0;1;2;0.0;1;2;2;1;1;1;1;2;10;7;4;15.0;2;1;3;36.0;2.0;35.1764705882353
30;33;30;39;15.0;7;35.42;45;52.59;45;44.33;31.96;48.95;30;49.77;0;1;3;0.0;0;2;3;3;1;3;1;4;4;7;4;15.0;2;1;3;34.0;1.0;29.642857142857142
40;35;45;30;15.0;7;55.53;45;47.6;45;51.78;74.16;53.3;30;53.42;0;1;1;0.0;1;2;1;1;1;1;1;0;1;7;4;15.0;2;1;3;37.666666666666664;2.0;32.94117647058823
30;30;45;30;15.0;7;48.23;45;43.3;40;56.81;42.2;57.65;30;55.7;0;1;2;0.0;1;2;1;1;1;1;1;1;11;7;4;15.0;2;1;3;34.666666666666664;2.0;32.35294117647059
15;15;35;45;6.0;4;51.89;35;42.03;50;58.26;45.71;51.38;15;60.48;3;1;4;9.0;1;1;4;4;1;2;1;4;20;7;4;15.0;2;1;3;24.666666666666668;1.0;15.0
30;35;45;30;15.0;7;65.0;45;50.66;45;48.41;49.65;49.19;30;53.2;0;1;1;0.0;0;2;1;1;1;1;1;0;10;7;4;15.0;2;1;3;35.666666666666664;2.0;33.529411764705884
30;35;40;30;15.0;7;50.31;40;48.33;50;54.45;46.06;57.65;30;55.7;0;1;3;0.0;0;2;2;1;1;1;1;2;10;7;4;15.0;2;1;3;34.666666666666664;2.0;34.94117647058823
45;40;40;30;15.0;7;54.55;40;53.36;45;54.45;41.6;53.24;30;58.3;0;1;1;0.0;0;2;1;1;1;1;1;0;18;7;4;15.0;2;1;3;38.0;2.0;32.35294117647059
40;35;40;30;15.0;7;60.0;40;57.92;40;44.33;65.86;58.52;30;47.41;0;1;1;0.0;1;2;1;1;1;1;1;0;16;7;4;15.0;2;1;3;36.0;2.0;31.176470588235293
