EPA_DOS;NOTA_TOP;NOTA_PROGB;NOTA_FIS_UNO;NOTA_HIST;LITERATURA_ICFES;NOTA_INT;VECES_TOP;NCA_UNO;IDIOMA_ICFES;NAP_UNO;VECES_HIST;NOTA_EYB;NOTA_DIF;BIOLOGIA_ICFES;NCP_UNO;NOTA_DITO;NAA_DOS;NCA_DOS;CAR_DOS;NOTA_SEM;VECES_PROGB;VECES_INT;CON_MAT_ICFES;VECES_ALGEBRA;NAC_DOS;NAA_UNO;NAP_DOS;NOTA_ALGEBRA;NOTA_CD&C;NCP_DOS;NOTA_ASES;NCC_DOS;VECES_FIS_UNO;NOTA_TEXTOS;QUIMICA_ICFES;FILOSOFIA_ICFES;VECES_ASES;GENERO;VECES_EYB;CREDITOS_ASES;CREDITOS_EYB;CREDITOS_FIS_UNO;CREDITOS_PROGB;CREDITOS_TOP;PROMEDIO_DOS;PROMEDIO_UNO;CREDITOS_INT;RENDIMIENTO_TRES;PROMEDIO_TRES
2;30;50;35;45;62.59;30;1;15.0;49.51;0;1;45;30;56.75;0.0;35;6;17.0;2;40;1;2;74.32;1;6;7;0;35;35;0.0;30;17.0;1;40;48.33;62.84;2;1;1;3;2;3;3;3;36.1764705882353;36.0;3;2.0;34.72222222222222
2;35;30;35;45;63.33;36;1;15.0;47.66;0;1;50;30;63.27;0.0;35;6;17.0;2;45;1;3;53.42;2;6;7;0;30;35;0.0;30;17.0;2;45;59.03;70.86;1;1;1;3;2;3;3;3;35.1764705882353;36.0;3;2.0;35.55555555555556
1;36;0;30;45;48.95;31;1;15.0;31.96;0;1;35;30;35.42;0.0;33;4;11.0;1;45;0;1;49.77;3;5;7;1;30;39;3.0;18;14.0;1;30;52.59;44.33;2;0;1;3;2;3;3;3;29.642857142857142;34.0;3;1.0;3.1666666666666665
2;40;30;30;45;53.3;30;1;15.0;74.16;0;1;40;30;55.53;0.0;35;6;17.0;1;45;1;2;53.42;1;6;7;0;40;30;0.0;30;17.0;1;45;47.6;51.78;1;1;1;3;2;3;3;3;32.94117647058823;37.666666666666664;3;2.0;33.888888888888886
2;35;30;35;45;57.65;30;1;15.0;42.2;0;1;35;30;48.23;0.0;30;6;17.0;2;40;1;2;55.7;2;6;7;0;30;30;0.0;30;17.0;2;45;43.3;56.81;1;1;1;3;2;3;3;3;32.35294117647059;34.666666666666664;3;2.0;36.55555555555556
2;30;50;30;45;49.19;30;2;15.0;49.65;0;1;30;30;65.0;0.0;35;6;17.0;2;45;1;2;53.2;1;6;7;0;30;30;0.0;30;17.0;1;45;50.66;48.41;1;0;1;3;2;3;3;3;33.529411764705884;35.666666666666664;3;2.0;34.44444444444444
1;0;0;0;15;51.08;0;0;0.0;54.57;7;2;0;15;53.84;15.0;15;0;0.0;0;15;0;0;52.15;2;0;0;0;15;15;0.0;0;0.0;0;15;37.18;49.38;0;0;0;3;2;3;3;3;0.0;15.0;3;1.0;15.0
2;30;50;30;40;57.65;31;2;15.0;46.06;0;1;30;30;50.31;0.0;35;6;17.0;3;50;1;3;55.7;3;6;7;0;30;30;0.0;37;17.0;1;40;48.33;54.45;2;0;1;3;2;3;3;3;34.94117647058823;34.666666666666664;3;1.0;25.4
2;35;30;30;40;53.24;35;1;15.0;41.6;0;1;35;30;54.55;0.0;40;6;17.0;1;45;1;2;58.3;1;6;7;0;45;30;0.0;30;17.0;1;40;53.36;54.45;1;0;1;3;2;3;3;3;32.35294117647059;38.0;3;2.0;36.388888888888886
2;40;35;30;40;58.52;15;1;15.0;65.86;0;1;40;30;60.0;0.0;35;5;14.0;2;40;2;3;47.41;1;6;7;1;40;30;3.0;30;17.0;1;40;57.92;44.33;1;1;1;3;2;3;3;3;31.176470588235293;36.0;3;2.0;33.333333333333336
