NOTA_GEOGEO;NOTA_TOP;NCA_CUATRO;NOTA_SUELOS;NOTA_POO;NOTA_PRII;NOTA_FOTO;EPA_CUATRO;LITERATURA_ICFES;NOTA_PROGB;NOTA_PROB;NOTA_ECUA;NOTA_CFJC;NOTA_FIS_UNO;NCC_CUATRO;NOTA_L_UNO;NAA_CUATRO;NAC_CUATRO;NCP_CUATRO;NOTA_CCON;IDIOMA_ICFES;VECES_FIS_TRES;VECES_GEOGEO;VECES_PROB;NOTA_HIST;VECES_GH&F;VECES_L_UNO;VECES_PRII;NOTA_FIS_DOS;VECES_SUELOS;NOTA_GH&F;NOTA_FIS_TRES;NOTA_EYB;NOTA_DIF;NCA_TRES;NAP_CUATRO;VECES_CCON;CAR_CUATRO;CREDITOS_L_UNO;CREDITOS_CCON;CREDITOS_PROB;CREDITOS_PRII;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_TRES;PROMEDIO_CUATRO;CREDITOS_GH&F;CREDITOS_GEOGEO;CREDITOS_FIS_TRES;RENDIMIENTO_CINCO;PROMEDIO_CINCO
32;30;17.0;30;45;38;35;2;62.59;50;40;35;45;35;17.0;30;7;7;0.0;40;49.51;1;1;1;45;1;1;1;30;1;40;39;45;30;18.0;0;1;0;2;1;2;3;36.1764705882353;36.0;34.72222222222222;36.88235294117647;3;3;3;2.0;36.833333333333336
40;35;17.0;35;40;37;35;2;63.33;30;38;30;45;35;17.0;40;7;7;0.0;36;47.66;2;2;1;45;1;1;1;39;1;40;30;50;30;18.0;0;1;2;2;1;2;3;35.1764705882353;36.0;35.55555555555556;37.23529411764706;3;3;3;2.0;38.666666666666664
40;40;17.0;30;40;38;35;2;53.3;30;35;35;45;30;17.0;45;7;7;0.0;40;74.16;1;1;1;45;1;1;1;30;1;45;30;40;30;18.0;0;1;0;2;1;2;3;32.94117647058823;37.666666666666664;33.888888888888886;38.76470588235294;3;3;3;2.0;38.77777777777778
31;35;17.0;35;40;41;35;2;57.65;30;43;40;45;35;17.0;40;7;7;0.0;40;42.2;1;1;1;45;1;1;1;36;1;40;32;35;30;18.0;0;1;0;2;1;2;3;32.35294117647059;34.666666666666664;36.55555555555556;37.529411764705884;3;3;3;2.0;34.833333333333336
37;30;17.0;30;35;35;35;2;49.19;50;30;40;40;30;17.0;39;7;7;0.0;39;49.65;1;1;1;45;1;1;1;35;1;35;32;30;30;18.0;0;1;0;2;1;2;3;33.529411764705884;35.666666666666664;34.44444444444444;34.94117647058823;3;3;3;2.0;35.05555555555556
0;30;12.0;30;31;35;30;2;57.65;50;30;0;39;30;12.0;0;5;5;0.0;36;46.06;2;0;1;40;1;0;1;30;1;35;30;30;30;12.0;0;1;1;2;1;2;3;34.94117647058823;34.666666666666664;25.4;33.0;3;3;3;1.0;28.75
35;35;17.0;35;35;30;40;2;53.24;30;35;35;50;30;17.0;35;7;7;0.0;40;41.6;1;2;1;40;1;1;1;35;1;40;33;35;30;18.0;0;1;1;2;1;2;3;32.35294117647059;38.0;36.388888888888886;34.94117647058823;3;3;3;2.0;35.888888888888886
36;30;17.0;35;30;38;37;2;62.71;43;30;30;30;30;17.0;40;7;7;0.0;38;54.57;1;1;1;40;1;1;1;32;2;31;32;35;35;18.0;0;1;0;2;1;2;3;34.11764705882353;36.333333333333336;32.111111111111114;34.64705882352941;3;3;3;2.0;37.05555555555556
36;30;17.0;30;35;41;35;2;50.87;50;30;32;45;30;17.0;45;7;7;0.0;40;47.21;1;1;1;45;1;1;1;30;1;45;30;35;35;18.0;0;1;0;2;1;2;3;34.11764705882353;36.333333333333336;32.55555555555556;38.0;3;3;3;2.0;36.77777777777778
30;40;17.0;35;35;40;35;2;55.21;30;40;40;45;30;17.0;45;7;7;0.0;43;51.56;1;1;1;50;1;1;1;30;1;45;34;45;30;18.0;0;1;0;2;1;2;3;33.529411764705884;37.333333333333336;34.72222222222222;38.8235294117647;3;3;3;2.0;35.833333333333336
38;35;17.0;35;30;44;45;2;53.24;45;37;30;40;30;17.0;43;7;7;0.0;30;52.09;1;2;1;40;2;1;1;30;1;40;30;40;35;18.0;0;1;2;2;1;2;3;34.705882352941174;35.0;33.05555555555556;38.0;3;3;3;2.0;34.611111111111114
0;40;7.0;40;45;38;45;2;60.02;35;0;40;45;35;7.0;0;3;3;0.0;40;75.34;1;0;0;45;0;0;1;30;1;0;35;40;30;15.0;0;1;0;2;1;2;3;36.470588235294116;39.0;40.0;37.0;3;3;3;1.0;30.0
30;35;17.0;30;50;41;31;2;52.77;45;38;34;45;35;17.0;40;7;7;0.0;34;57.13;1;1;1;40;1;1;1;36;1;35;39;40;30;18.0;0;1;0;2;1;2;3;35.588235294117645;35.0;35.94444444444444;36.76470588235294;3;3;3;2.0;36.388888888888886
33;35;17.0;30;45;40;35;2;48.95;30;40;45;45;35;17.0;45;7;7;0.0;45;49.65;1;1;1;40;1;1;1;30;1;45;39;40;30;18.0;0;1;0;2;1;2;3;32.94117647058823;37.333333333333336;37.22222222222222;40.35294117647059;3;3;3;2.0;37.333333333333336
30;35;17.0;35;30;30;45;2;55.65;30;30;30;45;40;17.0;41;7;7;0.0;35;45.2;1;1;1;45;1;1;1;30;1;32;41;40;30;18.0;0;1;0;2;1;2;3;34.705882352941174;35.333333333333336;33.333333333333336;33.88235294117647;3;3;3;2.0;39.22222222222222
40;35;17.0;35;45;39;45;2;60.56;30;30;30;45;35;17.0;48;7;7;0.0;40;57.13;2;1;1;50;1;1;1;35;1;40;36;45;30;18.0;0;1;1;2;1;2;3;34.411764705882355;39.333333333333336;37.5;38.88235294117647;3;3;3;2.0;37.94444444444444
38;35;17.0;35;40;39;35;2;60.56;30;37;35;45;35;17.0;46;7;7;0.0;35;67.6;2;1;1;45;1;1;1;38;1;35;36;35;30;18.0;0;1;1;2;1;2;3;34.11764705882353;38.333333333333336;36.05555555555556;37.94117647058823;3;3;3;2.0;38.55555555555556
45;40;17.0;40;40;35;45;2;57.32;30;30;40;45;40;17.0;47;7;7;0.0;35;61.22;1;1;1;45;1;1;1;35;1;40;44;45;40;18.0;0;1;0;2;1;2;3;36.1764705882353;42.666666666666664;38.333333333333336;40.05882352941177;3;3;3;2.0;38.27777777777778
40;40;17.0;35;50;40;35;2;62.71;30;30;40;40;35;17.0;45;7;7;0.0;45;48.43;1;1;1;45;1;1;1;30;1;45;30;40;30;18.0;0;1;0;2;1;2;3;35.588235294117645;35.333333333333336;36.94444444444444;38.8235294117647;3;3;3;2.0;36.611111111111114
30;30;17.0;35;40;38;40;2;62.71;30;30;30;45;30;17.0;38;7;7;0.0;35;37.51;1;1;1;45;1;1;1;30;1;35;40;40;30;18.0;0;1;0;2;1;2;3;31.176470588235293;36.666666666666664;34.94444444444444;35.294117647058826;3;3;3;2.0;36.666666666666664
31;35;17.0;35;45;40;35;2;54.66;30;35;35;45;30;17.0;45;7;7;0.0;44;43.48;1;1;1;45;1;1;1;35;1;45;40;40;35;18.0;0;1;0;2;1;2;3;32.94117647058823;37.0;36.888888888888886;39.529411764705884;3;3;3;2.0;37.666666666666664
38;30;17.0;30;30;39;42;2;53.57;30;46;39;45;30;17.0;45;7;7;0.0;41;47.79;2;1;1;45;1;1;1;32;1;32;37;35;30;18.0;0;1;1;2;1;2;3;30.58823529411765;34.666666666666664;34.5;38.88235294117647;3;3;3;2.0;35.166666666666664
34;40;17.0;30;30;46;34;2;45.12;35;39;38;50;30;17.0;40;7;7;0.0;40;37.51;1;1;1;45;1;1;1;41;1;35;31;40;35;18.0;0;1;0;2;1;2;3;33.8235294117647;38.333333333333336;35.05555555555556;37.411764705882355;3;3;3;2.0;38.388888888888886
31;35;17.0;30;30;35;30;2;62.59;30;43;35;45;35;17.0;34;7;7;0.0;44;46.06;1;1;1;40;1;1;1;30;1;35;38;35;35;18.0;0;1;0;2;1;2;3;32.35294117647059;36.0;31.666666666666668;36.1764705882353;3;3;3;2.0;34.888888888888886
30;35;17.0;35;40;40;40;2;60.02;30;35;30;45;35;17.0;45;7;7;0.0;45;48.65;1;1;1;45;1;1;1;30;1;45;35;45;35;18.0;0;1;0;2;1;2;3;36.1764705882353;40.0;34.44444444444444;38.529411764705884;3;3;3;2.0;39.05555555555556
0;32;0.0;31;30;0;36;1;52.77;30;0;0;3;35;0.0;0;0;0;0.0;0;55.84;0;0;0;45;0;0;0;0;1;0;0;37;30;8.0;0;0;0;2;1;2;3;30.470588235294116;33.0;28.666666666666668;0.0;3;3;3;1.0;24.0
32;35;17.0;30;35;39;35;2;55.65;50;44;32;45;30;17.0;34;7;7;0.0;38;50.37;1;1;1;35;1;1;2;34;1;32;32;30;30;18.0;0;1;1;2;1;2;3;34.94117647058823;32.0;33.888888888888886;35.23529411764706;3;3;3;2.0;35.94444444444444
37;40;17.0;30;50;33;40;2;49.34;30;40;31;45;35;17.0;45;7;7;0.0;40;87.56;1;2;1;45;1;1;1;30;1;30;40;40;40;18.0;0;1;1;2;1;2;3;33.8235294117647;39.0;35.77777777777778;37.05882352941177;3;3;3;2.0;36.94444444444444
0;30;11.0;35;30;40;30;2;53.24;50;45;25;45;30;11.0;42;5;5;0.0;30;52.09;0;0;2;40;1;1;1;32;1;30;0;45;30;12.0;0;1;1;2;1;2;3;35.294117647058826;33.666666666666664;30.333333333333332;37.63636363636363;3;3;3;2.0;34.25
50;35;17.0;40;50;40;38;2;54.87;45;40;40;42;35;17.0;44;7;7;0.0;44;81.05;1;1;1;45;1;1;1;40;1;40;44;40;35;18.0;0;1;0;2;1;2;3;37.35294117647059;37.666666666666664;43.05555555555556;43.1764705882353;3;3;3;3.0;40.5
36;35;17.0;30;50;36;45;2;54.87;30;30;30;45;30;17.0;40;7;7;0.0;40;57.13;1;2;1;45;1;1;1;35;1;32;38;45;30;18.0;0;1;1;2;1;2;3;34.411764705882355;35.0;36.833333333333336;35.64705882352941;3;3;3;2.0;35.166666666666664
36;30;17.0;40;30;44;35;2;57.88;45;32;34;40;30;17.0;43;7;7;0.0;40;53.32;1;1;1;40;1;1;1;30;1;38;33;35;30;18.0;0;1;0;2;1;2;3;33.23529411764706;32.666666666666664;33.611111111111114;37.8235294117647;3;3;3;2.0;35.27777777777778
34;35;17.0;30;50;34;30;2;51.41;30;40;35;45;35;17.0;45;7;7;0.0;46;47.79;1;2;1;40;1;1;1;30;1;35;30;35;40;18.0;0;1;1;2;1;2;3;32.35294117647059;38.0;35.0;36.1764705882353;3;3;3;2.0;34.833333333333336
30;35;17.0;35;40;30;35;2;57.32;45;30;30;45;30;17.0;44;7;7;0.0;44;67.6;1;1;1;40;2;1;1;30;1;32;35;40;30;18.0;0;1;1;2;1;2;3;34.705882352941174;34.333333333333336;34.55555555555556;33.705882352941174;3;3;3;2.0;35.22222222222222
31;35;14.0;30;44;35;30;2;46.97;30;35;34;45;30;14.0;40;6;6;0.0;36;45.98;0;1;1;40;1;1;2;30;1;30;0;35;35;15.0;0;1;1;2;1;2;3;31.470588235294116;35.333333333333336;33.0;33.857142857142854;3;3;3;2.0;36.53846153846154
30;30;17.0;34;30;39;41;2;53.24;30;33;34;44;30;17.0;40;7;7;0.0;35;48.65;1;1;1;35;1;1;1;39;1;31;30;35;30;18.0;0;1;0;2;1;2;3;31.294117647058822;32.0;36.0;33.588235294117645;3;3;3;2.0;33.55555555555556
32;30;17.0;34;39;32;32;2;51.14;30;42;37;37;30;17.0;43;7;7;0.0;42;44.34;1;1;1;40;2;1;1;31;1;40;31;35;30;18.0;0;1;1;2;1;2;3;30.58823529411765;33.0;34.27777777777778;36.294117647058826;3;3;3;2.0;33.833333333333336
32;30;17.0;30;50;35;30;2;53.24;50;30;37;35;30;17.0;40;7;7;0.0;41;46.92;1;1;1;40;1;1;1;30;1;35;41;35;30;18.0;0;1;0;2;1;2;3;35.0;33.333333333333336;34.77777777777778;35.88235294117647;3;3;3;3.0;40.5
40;35;17.0;30;30;37;30;2;44.9;30;46;30;40;30;17.0;45;7;7;0.0;35;50.37;1;1;1;40;1;1;1;30;1;35;30;40;30;18.0;0;1;0;2;1;2;3;32.05882352941177;33.333333333333336;30.555555555555557;37.8235294117647;3;3;3;2.0;37.0
