NOTA_L_DOS;NOTA_ECONOMET;NOTA_AVAP;CAR_CINCO;NOTA_POO;NOTA_ECUA;NOTA_FOTO;NOTA_GEOGEO;NOTA_EI_UNO;VECES_ECONOMET;NOTA_PDI;NOTA_INGECO;NOTA_CFJC;NOTA_CARTO;NOTA_SUELOS;NOTA_EI_DOS;NAC_SIETE;NCA_SIETE;NAP_SIETE;NAA_SIETE;VECES_PDI;VECES_EI_UNO;NOTA_LEGIC;NCC_SIETE;VECES_EI_DOS;VECES_GEO_SAL;CAR_SIETE;VECES_AVAP;VECES_L_DOS;NOTA_PROCC;NCP_SIETE;NOTA_GEO_SAL;EPA_SIETE;NOTA_GEO_FIS;PROMEDIO_DOS;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;VECES_PROCC;CREDITOS_AVAP;CREDITOS_EI_DOS;CREDITOS_ECONOMET;CREDITOS_EI_UNO;CREDITOS_PDI;CREDITOS_PROCC;CREDITOS_GEO_SAL;RENDIMIENTO_OCHO;PROMEDIO_OCHO
44;38;38;1;45;35;35;32;45;1;44;34;45;43;30;38;7;16.0;0;7;1;1;42;16.0;1;1;0;1;1;44;0.0;36;2;37;36.1764705882353;36.833333333333336;38.13333333333333;40.375;1;2;2;2;2;3;2;3;2.0;36.785714285714285
30;30;41;1;40;30;35;40;47;1;33;30;45;39;35;38;7;16.0;0;7;1;1;43;16.0;1;1;0;1;1;45;0.0;44;2;30;35.1764705882353;38.666666666666664;35.6;39.5625;1;2;2;2;2;3;2;3;2.0;36.785714285714285
40;32;38;2;40;35;35;40;45;1;44;42;45;44;30;41;7;16.0;0;7;1;1;44;16.0;1;1;0;1;1;38;0.0;45;2;37;32.94117647058823;38.77777777777778;41.0;40.9375;1;2;2;2;2;3;2;3;2.0;38.07142857142857
32;34;30;2;40;40;35;31;47;2;33;42;45;41;35;43;7;16.0;0;7;1;1;38;16.0;1;1;1;1;1;41;0.0;30;2;36;32.35294117647059;34.833333333333336;39.0;36.1875;1;2;2;2;2;3;2;3;2.0;38.42857142857143
36;30;39;1;35;40;35;37;41;1;30;42;40;40;30;38;7;16.0;0;7;1;1;37;16.0;1;1;0;1;1;43;0.0;48;2;42;33.529411764705884;35.05555555555556;40.4;38.5;1;2;2;2;2;3;2;3;2.0;37.07142857142857
41;40;30;1;35;35;40;35;42;2;33;31;50;33;35;38;7;16.0;0;7;1;1;37;16.0;1;1;1;1;1;41;0.0;48;2;45;32.35294117647059;35.888888888888886;39.266666666666666;39.0625;1;2;2;2;2;3;2;3;2.0;38.214285714285715
37;37;37;2;30;30;37;36;36;1;36;38;30;39;35;42;7;16.0;0;7;1;1;39;16.0;1;1;0;1;1;46;0.0;42;2;38;34.11764705882353;37.05555555555556;37.8;39.375;1;2;2;2;2;3;2;3;2.0;37.285714285714285
40;32;39;0;35;32;35;36;38;1;35;36;45;41;30;35;7;16.0;0;7;1;1;37;16.0;1;1;0;1;1;35;0.0;47;2;36;34.11764705882353;36.77777777777778;38.2;37.75;1;2;2;2;2;3;2;3;2.0;34.92857142857143
41;36;37;1;35;40;35;30;46;1;36;42;45;35;35;46;7;16.0;0;7;1;1;43;16.0;1;1;0;1;1;40;0.0;32;2;30;33.529411764705884;35.833333333333336;40.06666666666667;38.375;1;2;2;2;2;3;2;3;2.0;37.642857142857146
41;32;33;3;30;30;45;38;33;1;43;35;40;32;35;42;7;16.0;0;7;1;1;38;16.0;1;1;0;1;1;34;0.0;36;2;40;34.705882352941174;34.611111111111114;39.0;36.5625;1;2;2;2;2;3;2;3;2.0;37.57142857142857
