CON_MAT_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;FILOSOFIA_ICFES;LOCALIDAD;LITERATURA_ICFES;QUIMICA_ICFES;PG_ICFES;PROMEDIO_UNO;NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;NOTA_HIST;NOTA_SEM;NOTA_DIF;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
74.32;49.51;56.75;1;62.84;20;62.59;48.33;465.98;36.0;35;35;40;35;15.0;7;45;40;30;0;1;1;0.0;34.72222222222222;2.0
53.42;47.66;63.27;1;70.86;10;63.33;59.03;479.0;36.0;30;35;45;35;15.0;7;45;45;30;0;1;2;0.0;35.55555555555556;2.0
49.77;31.96;35.42;0;44.33;4;48.95;52.59;391.71;34.0;30;33;30;39;15.0;7;45;45;30;0;1;3;0.0;3.1666666666666665;1.0
53.42;74.16;55.53;1;51.78;1;53.3;47.6;425.79;37.666666666666664;40;35;45;30;15.0;7;45;45;30;0;1;1;0.0;33.888888888888886;2.0
55.7;42.2;48.23;1;56.81;11;57.65;43.3;412.68;34.666666666666664;30;30;45;30;15.0;7;45;40;30;0;1;2;0.0;36.55555555555556;2.0
53.2;49.65;65.0;0;48.41;10;49.19;50.66;400.39;35.666666666666664;30;35;45;30;15.0;7;45;45;30;0;1;1;0.0;34.44444444444444;2.0
52.15;54.57;53.84;0;49.38;11;51.08;37.18;403.19;15.0;15;15;15;15;0.0;0;15;15;15;7;2;2;15.0;15.0;1.0
55.7;46.06;50.31;0;54.45;10;57.65;48.33;430.43;34.666666666666664;30;35;40;30;15.0;7;40;50;30;0;1;3;0.0;25.4;1.0
58.3;41.6;54.55;0;54.45;18;53.24;53.36;409.96;38.0;45;40;40;30;15.0;7;40;45;30;0;1;1;0.0;36.388888888888886;2.0
47.41;65.86;60.0;1;44.33;16;58.52;57.92;426.3;36.0;40;35;40;30;15.0;7;40;40;30;0;1;1;0.0;33.333333333333336;2.0
61.26;54.57;50.09;0;53.92;5;62.71;54.29;466.06;36.333333333333336;35;40;30;45;15.0;7;40;35;35;0;1;3;0.0;32.111111111111114;2.0
50.18;43.48;51.64;0;40.89;10;57.57;49.0;384.31;32.46666666666667;30;39;40;40;11.0;6;36;35;23;1;3;5;4.0;38.0;2.0
56.59;47.21;53.85;0;42.25;6;50.87;52.59;405.55;36.333333333333336;30;35;40;30;15.0;7;45;45;35;0;1;1;0.0;32.55555555555556;2.0
50.97;51.56;55.53;1;65.26;11;55.21;49.26;418.38;37.333333333333336;35;30;50;30;15.0;7;50;45;30;0;1;1;0.0;34.72222222222222;2.0
58.18;52.09;49.7;0;49.11;20;53.24;50.66;425.33;35.0;30;35;30;40;15.0;7;40;45;35;0;1;1;0.0;33.05555555555556;2.0
53.35;75.34;50.31;1;52.13;15;60.02;55.14;442.45;39.0;40;45;45;30;15.0;7;45;45;30;0;1;1;0.0;40.0;2.0
54.33;57.13;48.23;1;47.08;10;52.77;54.29;392.06;35.0;30;40;40;30;15.0;7;40;45;30;0;1;1;0.0;35.94444444444444;2.0
56.59;49.65;57.84;1;36.44;7;48.95;54.29;412.32;37.333333333333336;45;35;40;30;15.0;7;40;45;30;0;1;1;0.0;37.22222222222222;2.0
60.92;45.2;68.14;0;52.48;8;55.65;53.59;423.94;35.333333333333336;30;40;35;35;15.0;7;45;45;30;0;1;1;0.0;33.333333333333336;2.0
52.06;57.13;62.35;1;55.82;10;60.56;57.92;445.69;39.333333333333336;40;40;45;35;15.0;7;50;45;30;0;1;1;0.0;37.5;2.0
58.89;67.6;53.85;1;42.25;11;60.56;64.78;457.07;38.333333333333336;40;40;45;35;15.0;7;45;40;30;0;1;1;0.0;36.05555555555556;2.0
55.71;61.22;62.54;0;32.22;4;57.32;52.34;422.35;42.666666666666664;50;40;40;35;15.0;7;45;45;40;0;1;1;0.0;38.333333333333336;2.0
54.33;48.43;51.96;1;44.72;19;62.71;54.29;443.63;35.333333333333336;30;35;40;35;15.0;7;45;45;30;0;1;1;0.0;36.94444444444444;2.0
61.26;37.51;50.09;1;48.98;11;62.71;54.29;402.11;36.666666666666664;40;35;40;30;15.0;7;45;40;30;0;1;1;0.0;34.94444444444444;2.0
47.41;43.48;42.4;0;48.98;7;54.66;47.67;395.31;37.0;30;40;40;30;15.0;7;45;45;35;0;1;1;0.0;36.888888888888886;2.0
52.61;47.79;48.64;0;51.72;9;53.57;49.01;415.6;34.666666666666664;30;35;35;35;15.0;7;45;45;30;0;1;3;0.0;34.5;2.0
49.84;37.51;46.32;0;39.64;8;45.12;48.83;386.12;38.333333333333336;40;35;40;30;15.0;7;45;45;35;0;1;1;0.0;35.05555555555556;2.0
47.48;42.2;44.38;0;41.86;11;49.15;50.5;390.92;33.666666666666664;30;30;45;30;15.0;7;35;45;30;0;1;1;0.0;27.375;1.0
55.9;46.06;52.41;0;56.81;7;62.59;45.02;403.79;36.0;30;35;45;30;15.0;7;40;40;35;0;1;1;0.0;31.666666666666668;2.0
