CON_MAT_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;FILOSOFIA_ICFES;LOCALIDAD;LITERATURA_ICFES;QUIMICA_ICFES;PG_ICFES;PROMEDIO_UNO;NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;NOTA_HIST;NOTA_SEM;NOTA_DIF;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;PROMEDIO_DOS;EPA_DOS;NOTA_TOP;NOTA_PROGB;NOTA_FIS_UNO;NOTA_INT;VECES_TOP;NOTA_EYB;PROMEDIO_TRES;NOTA_SUELOS;NOTA_POO;NOTA_FIS_DOS;NOTA_ECUA;NCA_TRES;NOTA_FOTO;NOTA_CFJC;VECES_SUELOS;PROMEDIO_CINCO;RENDIMIENTO_CINCO
74.32;49.51;56.75;1;62.84;20;62.59;48.33;465.98;36.0;35;35;40;35;15.0;7;45;40;30;0;1;1;0.0;36.1764705882353;2;30;50;35;30;1;45;34.72222222222222;30;45;30;35;18.0;35;45;1;36.833333333333336;2.0
53.42;47.66;63.27;1;70.86;10;63.33;59.03;479.0;36.0;30;35;45;35;15.0;7;45;45;30;0;1;2;0.0;35.1764705882353;2;35;30;35;36;1;50;35.55555555555556;35;40;39;30;18.0;35;45;1;38.666666666666664;2.0
53.42;74.16;55.53;1;51.78;1;53.3;47.6;425.79;37.666666666666664;40;35;45;30;15.0;7;45;45;30;0;1;1;0.0;32.94117647058823;2;40;30;30;30;1;40;33.888888888888886;30;40;30;35;18.0;35;45;1;38.77777777777778;2.0
55.7;42.2;48.23;1;56.81;11;57.65;43.3;412.68;34.666666666666664;30;30;45;30;15.0;7;45;40;30;0;1;2;0.0;32.35294117647059;2;35;30;35;30;1;35;36.55555555555556;35;40;36;40;18.0;35;45;1;34.833333333333336;2.0
53.2;49.65;65.0;0;48.41;10;49.19;50.66;400.39;35.666666666666664;30;35;45;30;15.0;7;45;45;30;0;1;1;0.0;33.529411764705884;2;30;50;30;30;2;30;34.44444444444444;30;35;35;40;18.0;35;40;1;35.05555555555556;2.0
55.7;46.06;50.31;0;54.45;10;57.65;48.33;430.43;34.666666666666664;30;35;40;30;15.0;7;40;50;30;0;1;3;0.0;34.94117647058823;2;30;50;30;31;2;30;25.4;30;31;30;0;12.0;30;39;1;28.75;1.0
58.3;41.6;54.55;0;54.45;18;53.24;53.36;409.96;38.0;45;40;40;30;15.0;7;40;45;30;0;1;1;0.0;32.35294117647059;2;35;30;30;35;1;35;36.388888888888886;35;35;35;35;18.0;40;50;1;35.888888888888886;2.0
61.26;54.57;50.09;0;53.92;5;62.71;54.29;466.06;36.333333333333336;35;40;30;45;15.0;7;40;35;35;0;1;3;0.0;34.11764705882353;2;30;43;30;32;1;35;32.111111111111114;35;30;32;30;18.0;37;30;2;37.05555555555556;2.0
56.59;47.21;53.85;0;42.25;6;50.87;52.59;405.55;36.333333333333336;30;35;40;30;15.0;7;45;45;35;0;1;1;0.0;34.11764705882353;2;30;50;30;30;2;35;32.55555555555556;30;35;30;32;18.0;35;45;1;36.77777777777778;2.0
50.97;51.56;55.53;1;65.26;11;55.21;49.26;418.38;37.333333333333336;35;30;50;30;15.0;7;50;45;30;0;1;1;0.0;33.529411764705884;2;40;30;30;30;1;45;34.72222222222222;35;35;30;40;18.0;35;45;1;35.833333333333336;2.0
58.18;52.09;49.7;0;49.11;20;53.24;50.66;425.33;35.0;30;35;30;40;15.0;7;40;45;35;0;1;1;0.0;34.705882352941174;2;35;45;30;30;1;40;33.05555555555556;35;30;30;30;18.0;45;40;1;34.611111111111114;2.0
53.35;75.34;50.31;1;52.13;15;60.02;55.14;442.45;39.0;40;45;45;30;15.0;7;45;45;30;0;1;1;0.0;36.470588235294116;2;40;35;35;40;1;40;40.0;40;45;30;40;15.0;45;45;1;30.0;1.0
54.33;57.13;48.23;1;47.08;10;52.77;54.29;392.06;35.0;30;40;40;30;15.0;7;40;45;30;0;1;1;0.0;35.588235294117645;2;35;45;35;30;1;40;35.94444444444444;30;50;36;34;18.0;31;45;1;36.388888888888886;2.0
56.59;49.65;57.84;1;36.44;7;48.95;54.29;412.32;37.333333333333336;45;35;40;30;15.0;7;40;45;30;0;1;1;0.0;32.94117647058823;2;35;30;35;30;1;40;37.22222222222222;30;45;30;45;18.0;35;45;1;37.333333333333336;2.0
60.92;45.2;68.14;0;52.48;8;55.65;53.59;423.94;35.333333333333336;30;40;35;35;15.0;7;45;45;30;0;1;1;0.0;34.705882352941174;2;35;30;40;35;1;40;33.333333333333336;35;30;30;30;18.0;45;45;1;39.22222222222222;2.0
52.06;57.13;62.35;1;55.82;10;60.56;57.92;445.69;39.333333333333336;40;40;45;35;15.0;7;50;45;30;0;1;1;0.0;34.411764705882355;2;35;30;35;35;1;45;37.5;35;45;35;30;18.0;45;45;1;37.94444444444444;2.0
58.89;67.6;53.85;1;42.25;11;60.56;64.78;457.07;38.333333333333336;40;40;45;35;15.0;7;45;40;30;0;1;1;0.0;34.11764705882353;2;35;30;35;30;1;35;36.05555555555556;35;40;38;35;18.0;35;45;1;38.55555555555556;2.0
55.71;61.22;62.54;0;32.22;4;57.32;52.34;422.35;42.666666666666664;50;40;40;35;15.0;7;45;45;40;0;1;1;0.0;36.1764705882353;2;40;30;40;30;1;45;38.333333333333336;40;40;35;40;18.0;45;45;1;38.27777777777778;2.0
54.33;48.43;51.96;1;44.72;19;62.71;54.29;443.63;35.333333333333336;30;35;40;35;15.0;7;45;45;30;0;1;1;0.0;35.588235294117645;2;40;30;35;40;1;40;36.94444444444444;35;50;30;40;18.0;35;40;1;36.611111111111114;2.0
61.26;37.51;50.09;1;48.98;11;62.71;54.29;402.11;36.666666666666664;40;35;40;30;15.0;7;45;40;30;0;1;1;0.0;31.176470588235293;2;30;30;30;30;1;40;34.94444444444444;35;40;30;30;18.0;40;45;1;36.666666666666664;2.0
47.41;43.48;42.4;0;48.98;7;54.66;47.67;395.31;37.0;30;40;40;30;15.0;7;45;45;35;0;1;1;0.0;32.94117647058823;2;35;30;30;35;1;40;36.888888888888886;35;45;35;35;18.0;35;45;1;37.666666666666664;2.0
52.61;47.79;48.64;0;51.72;9;53.57;49.01;415.6;34.666666666666664;30;35;35;35;15.0;7;45;45;30;0;1;3;0.0;30.58823529411765;2;30;30;30;30;1;35;34.5;30;30;32;39;18.0;42;45;1;35.166666666666664;2.0
49.84;37.51;46.32;0;39.64;8;45.12;48.83;386.12;38.333333333333336;40;35;40;30;15.0;7;45;45;35;0;1;1;0.0;33.8235294117647;2;40;35;30;30;1;40;35.05555555555556;30;30;41;38;18.0;34;50;1;38.388888888888886;2.0
55.9;46.06;52.41;0;56.81;7;62.59;45.02;403.79;36.0;30;35;45;30;15.0;7;40;40;35;0;1;1;0.0;32.35294117647059;2;35;30;35;30;1;35;31.666666666666668;30;30;30;35;18.0;30;45;1;34.888888888888886;2.0
58.5;48.65;56.75;0;47.61;20;60.02;49.97;440.35;40.0;45;35;45;30;15.0;7;45;45;35;0;1;1;0.0;36.1764705882353;2;35;30;35;45;1;45;34.44444444444444;35;40;30;30;18.0;40;45;1;39.05555555555556;2.0
56.59;55.84;40.27;0;44.33;10;52.77;46.0;394.84;33.0;30;30;30;30;15.0;7;45;45;30;0;1;4;0.0;30.470588235294116;2;32;30;35;21;1;37;28.666666666666668;31;30;0;0;8.0;36;3;1;24.0;1.0
63.76;50.37;57.49;0;39.54;11;55.65;43.56;394.48;32.0;30;35;30;30;15.0;7;35;40;30;0;1;2;0.0;34.94117647058823;2;35;50;30;33;1;30;33.888888888888886;30;35;34;32;18.0;35;45;1;35.94444444444444;2.0
58.22;87.56;50.99;0;42.4;12;49.34;53.59;417.66;39.0;35;40;30;45;15.0;7;45;45;40;0;1;1;0.0;33.8235294117647;2;40;30;35;30;1;40;35.77777777777778;30;50;30;31;18.0;40;45;1;36.94444444444444;2.0
53.16;52.09;44.0;1;47.29;20;53.24;48.33;402.93;33.666666666666664;30;30;35;40;15.0;7;40;45;30;0;1;1;0.0;35.294117647058826;2;30;50;30;30;1;45;30.333333333333332;35;30;32;25;12.0;30;45;1;34.25;2.0
45.01;81.05;53.84;0;42.25;20;54.87;57.36;410.32;37.666666666666664;40;40;30;35;15.0;7;45;40;35;0;1;2;0.0;37.35294117647059;2;35;45;35;40;1;40;43.05555555555556;40;50;40;40;18.0;38;42;1;40.5;3.0
