NOTA_EL_DOS;NOTA_MPI;NOTA_ME;NOTA_PYE;NOTA_ELD;VECES_ME;VECES_EL_DOS;NOTA_GEE;NOTA_CIR_TRES;VECES_PYE;PROMEDIO_DOS;VECES_ECUA;NCP_TRES;NOTA_ECUA;VECES_MPI;PROMEDIO_TRES;VECES_CIR_TRES;VECES_ELD;NOTA_CIR_DOS;NAP_TRES;NAC_TRES;NAA_TRES;NOTA_TERMO;NOTA_EL_UNO;NOTA_MULTI;VECES_GEE;NCA_TRES;CAR_TRES;NCP_DOS;NCC_TRES;NCA_DOS;EPA_TRES;VECES_TERMO;NOTA_FIS_TRES;NOTA_FIS_DOS;CREDITOS_CIR_TRES;CREDITOS_EL_DOS;CREDITOS_ELD;CREDITOS_PYE;CREDITOS_MPI;CREDITOS_ME;CREDITOS_GEE;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
35;40;45;35;40;1;1;35;35;1;39.375;1;0.0;40;1;35.833333333333336;1;1;35;0;6;6;35;35;35;1;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;38.23529411764706
35;45;45;40;40;1;1;35;35;1;39.0625;1;0.0;50;1;38.333333333333336;1;1;35;0;6;6;40;30;40;1;18.0;2;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;39.411764705882355
0;30;0;0;0;0;0;0;0;0;32.1875;0;3.0;0;1;15.5;0;0;0;1;2;1;0;0;1;0;3.0;1;3.0;6.0;13.0;1;0;30;30;2;3;3;2;2;3;2;1.0;30.0
33;30;33;30;42;2;1;32;44;1;35.3125;3;0.0;30;1;32.5;1;2;30;0;6;6;30;35;35;2;18.0;2;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;35.05882352941177
34;35;5;30;32;1;1;0;0;1;32.8125;1;3.0;39;1;36.166666666666664;0;1;29;1;6;5;50;38;31;0;15.0;3;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;1.0;26.384615384615383
30;40;35;35;40;1;1;31;37;1;38.4375;1;0.0;35;1;32.5;2;1;35;0;6;6;30;35;30;1;18.0;2;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;35.35294117647059
35;30;36;30;37;1;2;37;32;1;37.1875;1;0.0;33;1;37.5;1;1;35;0;6;6;50;40;37;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;34.23529411764706
35;45;35;40;45;1;1;30;35;1;40.0;1;0.0;45;1;36.666666666666664;1;1;35;0;6;6;40;35;35;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;37.94117647058823
30;40;35;30;40;1;1;30;35;1;40.3125;1;0.0;35;1;35.0;1;1;30;0;6;6;35;35;45;1;18.0;0;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;34.411764705882355
30;40;41;35;40;1;1;35;35;1;40.9375;1;0.0;35;1;35.0;1;1;35;0;6;6;35;30;40;1;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;36.64705882352941
36;33;39;31;40;2;1;30;35;3;35.75;1;0.0;31;1;33.666666666666664;1;1;38;0;6;6;30;33;35;1;18.0;3;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;35.470588235294116
