GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;CORTE_INGRESO;ESTADO_FINAL;NOTA_DIF;VECES_DIF;CREDITOS_DIF;NOTA_FIS_UNO;VECES_FIS_UNO;CREDITOS_FIS_UNO;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEM;VECES_SEM;CREDITOS_SEM;NOTA_PROGB;VECES_PROGB;CREDITOS_PROGB;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INT;VECES_INT;CREDITOS_INT;NOTA_HIST;VECES_HIST;CREDITOS_HIST;NOTA_POO;VECES_POO;CREDITOS_POO;NOTA_FIS_DOS;VECES_FIS_DOS;CREDITOS_FIS_DOS;NOTA_CIR_UNO;VECES_CIR_UNO;CREDITOS_CIR_UNO;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;NOTA_DEM;VECES_DEM;CREDITOS_DEM;NOTA_MULTI;VECES_MULTI;CREDITOS_MULTI;NOTA_CIR_DOS;VECES_CIR_DOS;CREDITOS_CIR_DOS;NOTA_FIS_TRES;VECES_FIS_TRES;CREDITOS_FIS_TRES;NOTA_ECUA;VECES_ECUA;CREDITOS_ECUA;NOTA_EL_UNO;VECES_EL_UNO;CREDITOS_EL_UNO;NOTA_L_UNO;VECES_L_UNO;CREDITOS_L_UNO;NOTA_PYE_UNO;VECES_PYE_UNO;CREDITOS_PYE_UNO;NOTA_VARCOM;VECES_VARCOM;CREDITOS_VARCOM;NOTA_EL_DOS;VECES_EL_DOS;CREDITOS_EL_DOS;NOTA_PROGAPL;VECES_PROGAPL;CREDITOS_PROGAPL;NOTA_CAMPOS;VECES_CAMPOS;CREDITOS_CAMPOS;NOTA_FCD;VECES_FCD;CREDITOS_FCD;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;NOTA_ONDAS;VECES_ONDAS;CREDITOS_ONDAS;NOTA_FOU;VECES_FOU;CREDITOS_FOU;NOTA_TFM;VECES_TFM;CREDITOS_TFM;NOTA_EL_TRES;VECES_EL_TRES;CREDITOS_EL_TRES;NOTA_ADMICRO;VECES_ADMICRO;CREDITOS_ADMICRO;NOTA_L_DOS;VECES_L_DOS;CREDITOS_L_DOS;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;NOTA_COMANA;VECES_COMANA;CREDITOS_COMANA;NOTA_MOYGE;VECES_COYGE;CREDITOS_COYGE;NOTA_DDM;VECES_DDM;CREDITOS_DDM;NOTAS_SYS;VECES_SYS;CREDITOS_SYS;NOTA_CCON;VECES_CCON;CREDITOS_CCON;NOTA_L_TRES;VECES_L_TRES;CREDITOS_L_TRES;NOTA_COMDIG;VECES_COMDIG;CREDITOS_COMDIG;NOTA_FDS;VECES_FDS;CREDITOS_FDS;NOTA_HSE;VECES_HSE;CREDITOS_HSE;NOTA_SISDIN;VECES_SISDIN;CREDITOS_SISDIN;NOTA_ELECPOT;VECES_ELECPOT;CREDITOS_ELECPOT;NOTA_ECO;VECES_ECO;CREDITOS_ECO;NOTA_TELEC_UNO;VECES_TELEC_UNO;CREDITOS_TELEC_UNO;NOTA_TELEMA_UNO;VECES_TELEMA_UNO;CREDITOS_TELEMA_UNO;NOTA_C_UNO;VECES_C_UNO;CREDITOS_C_UNO;NOTA_INSIND;VECES_INSIND;CREDITOS_INSIND;NOTA_BIOING_UNO;VECES_BIOING_UNO;CREDITOS_BIOING_UNO;NOTA_INGECO;VECES_INGECO;CREDITOS_INGECO;NOTA_STG;VECES_STG;CREDITOS_STG;NOTAS_BDATOS;VECES_BDATOS;CREDITOS_BDATOS;NOTA_EI_IA;VECES_EI_IA;CREDITOS_EI_IA;NOTA_EI_IIA;VECES_EI_IIA;CREDITOS_EI_IIA;NOTA_EI_IIIA;VECES_EI_IIIA;CREDITOS_EI_IIIA;NOTA_TRABGRAD;VECES_TRABGRAD;CREDITOS_TRABGRAD;NOTA_TV;VECES_TV;CREDITOS_TV;NOTA_FGEP;VECES_FGEP;CREDITOS_FGEP;NOTA_EI_IB;VECES_EI_IB;CREDITOS_EI_IB;NOTA_EI_IIB;VECES_EI_IIB;CREDITOS_EI_IIB;NOTA_EI_IIIB;VECES_EI_IIIB;CREDITOS_EI_IIIB;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;NOTA_EYB;VECES_EYB;CREDITOS_EYB;NOTA_ELEC_IND;VECES_ELEC_IND;CREDITOS_ELEC_IND;NOTA_TGDOS;VECES_TGDOS;CREDITOS_TGDOS;PROMEDIO_UNO;CAR_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;NCC_UNO;NCA_UNO;NCP_UNO;RENDIMIENTO_UNO;PROMEDIO_DOS;CAR_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NCC_DOS;NCA_DOS;NCP_DOS;RENDIMIENTO_DOS;PROMEDIO_TRES;CAR_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;NCC_TRES;NCA_TRES;NCP_TRES;RENDIMIENTO_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;RENDIMIENTO_CUATRO;PROMEDIO_CINCO;CAR_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;RENDIMIENTO_CINCO;PROMEDIO_SEIS;CAR_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;RENDIMIENTO_SEIS;PROMEDIO_SIETE;CAR_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;RENDIMIENTO_SIETE;PROMEDIO_OCHO;CAR_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;RENDIMIENTO_OCHO;PROMEDIO_NUEVE;CAR_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;RENDIMIENTO_NUEVE;PROMEDIO_DIEZ;CAR_DIEZ;NAC_DIEZ;NAA_DIEZ;NAP_DIEZ;EPA_DIEZ;NCC_DIEZ;NCA_DIEZ;NCP_DIEZ;RENDIMIENTO_DIEZ
0;2;11;1;20;5;469.67;60.48;60.48;63.43;47.6;59.11;59.11;74.35;0;49.58;49.6;3;5;10;2;2008;1;5;22.5;2;4;30.0;1;3;40.0;1;1;0.0;0;2;35.0;1;1;30.0;1;3;32.5;2;3;25.0;3;3;45.0;1;2;45.0;1;3;35.0;1;3;30.0;1;3;50.0;1;2;45.0;1;1;30.0;1;3;25.0;2;3;27.5;2;3;35.0;1;3;27.5;2;3;0.0;0;2;30.0;1;2;25.0;2;2;30.0;1;3;45.0;1;3;27.5;2;2;35.0;1;3;50.0;1;2;33.0;1;2;27.5;2;2;43.0;1;3;39.0;1;3;35.0;1;3;0.0;0;2;45.0;1;2;37.0;1;3;30.0;1;3;45.0;1;3;43.0;1;2;40.0;1;1;0.0;0;2;32.5;2;3;34.0;1;2;0.0;0;1;30.0;1;2;31.0;1;3;37.0;1;2;33.0;1;3;37.0;1;2;29.33333333;3;3;30.0;1;3;45.0;1;2;35.0;1;2;42.0;1;1;38.0;1;2;42.0;2;3;43.0;1;3;41.0;2;3;35.0;3;3;45.0;2;3;30.0;1;2;30.0;2;3;45.0;1;3;38.0;1;3;0;1;1;32.5;2;2;45.0;1;3;0.0;0;3;28.75;1;5;4;1;1;12.0;8.0;4.0;1.0;34.85294117647059;2;6;5;1;2;17.0;14.0;3.0;2.0;32.22222222222222;3;7;4;3;1;18.0;9.0;9.0;2.0;33.0;2;6;4;2;2;15.0;11.0;4.0;2.0;38.13333333333333;1;6;5;1;2;15.0;13.0;2.0;2.0;39.42857142857143;0;6;6;0;2;14.0;14.0;0.0;2.0;32.708333333333336;1;5;5;0;2;12.0;12.0;0.0;2.0;34.94444444388889;1;8;7;1;2;18.0;15.0;3.0;2.0;39.88235294117647;4;6;6;0;2;17.0;17.0;0.0;2.0;35.93333333333333;2;6;5;1;2;15.0;14.0;1.0;2.0
0;2;1;1;20;5;468.77;62.82;62.82;58.93;52.34;64.21;64.21;62.54;0;48.41;61.22;10;5;10;2;2008;1;5;32.5;2;4;35.0;1;3;40.0;1;1;0.0;0;2;40.0;1;1;35.0;1;3;35.0;1;3;30.0;1;3;30.0;1;2;40.0;1;3;35.0;1;3;27.5;2;3;39.0;1;2;45.0;1;1;30.0;1;3;30.0;1;3;27.5;2;3;30.0;1;3;27.5;2;3;0.0;0;2;30.0;1;2;40.0;1;2;45.0;1;3;40.0;1;3;35.0;1;2;35.0;1;3;0.0;1;2;35.0;1;2;35.0;1;2;44.0;1;3;42.0;1;3;30.0;1;3;0.0;0;2;0.0;1;2;29.5;2;3;30.0;1;3;35.0;1;3;35.0;1;2;30.0;1;1;0.0;0;2;21.0;2;3;35.0;1;2;0.0;0;1;30.0;1;2;33.0;1;3;40.0;1;2;31.0;1;3;35.0;1;2;25.0;2;3;19.5;2;3;42.0;1;2;43.0;1;2;45.0;1;1;40.0;1;2;37.0;2;3;44.0;1;3;49.0;2;3;45.0;3;3;34.0;1;3;44.0;2;2;35.0;2;3;43.0;1;3;36.0;1;3;0;1;1;42.0;1;2;45.0;1;3;0.0;0;3;35.0;1;5;5;0;2;12.0;12.0;0.0;2.0;33.088235294117645;1;6;5;1;2;17.0;14.0;3.0;2.0;31.0;2;7;5;2;2;18.0;12.0;6.0;2.0;38.0;0;6;6;0;2;15.0;15.0;0.0;2.0;32.53333333333333;0;6;5;1;2;15.0;13.0;2.0;2.0;27.392857142857142;1;6;4;2;1;14.0;9.0;5.0;1.0;31.0;1;5;4;1;2;12.0;9.0;3.0;2.0;32.861111111111114;2;8;6;2;2;18.0;12.0;6.0;2.0;42.05882352941177;4;6;6;0;2;17.0;17.0;0.0;3.0;37.4;1;6;5;1;2;15.0;14.0;1.0;2.0
0;1;14;1;20;5;486.59;78.22;78.22;58.93;50.66;59.48;59.48;62.54;0;53.1;59.81;20;5;10;3;2008;1;10;30.0;1;4;35.0;1;3;35.0;1;1;0.0;0;2;0.0;0;1;35.0;1;3;30.0;1;3;35.0;1;3;35.0;1;2;32.5;2;3;35.0;1;3;35.0;1;3;35.0;1;2;45.0;1;1;30.0;1;3;22.5;2;3;30.0;1;3;30.0;1;3;35.0;1;3;0.0;0;2;35.0;1;2;25.0;1;2;0.0;0;3;32.5;2;3;20.0;1;2;25.0;1;3;0.0;1;2;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0;1;1;0.0;0;2;0.0;0;3;0.0;0;3;33.18181818181818;0;4;4;0;2;11.0;11.0;0.0;2.0;33.6764705882353;1;6;6;0;2;17.0;17.0;0.0;2.0;30.97222222222222;1;7;6;1;2;18.0;15.0;3.0;2.0;27.708333333333332;1;5;2;3;1;12.0;5.0;7.0;1.0;0.0;0;1;0;1;1;2.0;0.0;2.0;0.0;0.0;0;1;0;1;1;2.0;0.0;2.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;1;0;1;1;1.0;0.0;1.0;0.0
0;2;15;1;20;5;462.85;81.5;81.5;51.73;57.44;53.22;53.22;49.87;0;41.05;58.45;20;2;10;3;2008;1;10;30.0;1;4;40.0;1;3;40.0;1;1;0.0;0;2;0.0;0;1;35.0;1;3;30.0;1;3;25.0;1;3;25.0;1;2;20.0;1;3;35.0;1;3;20.0;1;3;40.0;1;2;0.0;0;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;35.0;1;2;0.0;0;2;0.0;0;3;20.0;1;3;0.0;0;2;0.0;0;3;40.0;1;2;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;1;3;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0;1;1;0.0;0;2;0.0;0;3;0.0;0;3;35.0;0;4;4;0;2;11.0;11.0;0.0;2.0;25.88235294117647;0;6;2;4;1;17.0;6.0;11.0;1.0;40.0;0;1;1;0;2;2.0;2.0;0.0;2.0;26.0;0;2;1;1;1;5.0;2.0;3.0;1.0;40.0;0;1;1;0;2;2.0;2.0;0.0;2.0;0.0;0;1;0;1;1;2.0;0.0;2.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;1;0;1;1;3.0;0.0;3.0;0.0;0.0;0;1;0;1;1;1.0;0.0;1.0;0.0
0;1;8;1;20;5;469.95;72.55;72.55;54.12;55.7;59.48;59.48;62.54;0;46.04;54.57;6;3;10;2;2008;1;5;30.0;1;4;40.0;1;3;35.0;1;1;0.0;0;2;40.0;1;1;30.0;1;3;35.0;1;3;40.0;1;3;35.0;2;2;40.0;1;3;40.0;1;3;35.0;1;3;48.0;1;2;45.0;1;1;45.0;1;3;30.0;1;3;35.0;1;3;35.0;2;3;35.0;1;3;0.0;0;2;30.0;1;2;40.0;1;2;40.0;1;3;40.0;1;3;35.0;1;2;45.0;1;3;0.0;1;2;30.0;1;2;35.0;1;2;48.0;1;3;45.0;1;3;50.0;1;3;0.0;0;2;0.0;1;2;35.0;1;3;35.0;1;3;50.0;1;3;40.0;1;2;40.0;1;1;0.0;0;2;40.0;1;3;30.0;1;2;0.0;0;1;40.0;1;2;40.0;1;3;40.0;1;2;38.0;1;3;41.0;1;2;29.0;2;3;42.0;1;3;47.0;1;2;48.0;1;2;40.0;1;1;50.0;1;2;48.0;1;3;37.0;1;3;39.0;3;3;40.0;2;3;38.0;1;3;44.0;1;2;36.0;1;3;38.0;1;3;41.0;2;3;0;1;1;41.0;1;2;44.0;1;3;0.0;0;3;33.75;0;5;5;0;2;12.0;12.0;0.0;2.0;37.64705882352941;1;6;6;0;2;17.0;17.0;0.0;2.0;37.833333333333336;1;7;7;0;2;18.0;18.0;0.0;2.0;39.0;0;6;6;0;2;15.0;15.0;0.0;2.0;37.266666666666666;0;6;5;1;2;15.0;13.0;2.0;2.0;34.285714285714285;0;6;5;1;2;14.0;12.0;2.0;2.0;38.333333333333336;0;5;5;0;2;12.0;12.0;0.0;2.0;41.05555555555556;1;8;7;1;2;18.0;15.0;3.0;3.0;40.8235294117647;2;6;6;0;2;17.0;17.0;0.0;3.0;37.266666666666666;1;6;5;1;2;15.0;14.0;1.0;2.0
0;1;10;1;20;5;482.95;67.54;67.54;61.41;57.44;57.32;57.32;60.25;0;41.05;62.69;20;3;10;3;2008;1;10;35.0;1;4;35.0;1;3;35.0;1;1;0.0;0;2;45.0;1;1;21.66666667;3;3;30.0;2;3;27.5;2;3;45.0;1;2;40.0;1;3;30.0;2;3;30.0;2;3;30.0;1;2;0.0;0;1;25.0;3;3;30.0;2;3;0.0;0;3;22.5;4;3;0.0;0;3;0.0;0;2;30.0;1;2;0.0;0;2;0.0;0;3;40.0;1;3;0.0;0;2;25.0;1;3;15.0;1;2;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;40.0;1;1;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0;1;1;0.0;0;2;0.0;0;3;0.0;0;3;32.50000000083333;1;5;4;1;2;12.0;9.0;3.0;2.0;33.088235294117645;4;6;5;1;2;17.0;14.0;3.0;2.0;26.59090909090909;3;4;2;2;1;11.0;5.0;6.0;1.0;31.875;0;3;2;1;2;8.0;5.0;3.0;2.0;15.0;0;1;0;1;1;2.0;0.0;2.0;1.0;13.333333333333334;0;2;1;1;1;3.0;1.0;2.0;1.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;1;0;1;1;1.0;0.0;1.0;0.0
0;1;0;1;214;12;422.02;47.67;47.67;64.0;52.34;53.22;53.22;51.92;0;48.41;39.54;2;2;5;1;2008;1;1;18.0;5;4;20.66666667;6;3;35.0;1;1;0.0;0;2;0.0;0;1;28.5;2;3;20.5;6;3;0.0;0;3;0.0;0;2;0.0;0;3;12.5;2;3;18.0;2;3;43.0;1;2;30.0;1;1;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;17.5;2;2;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0.0;1;2;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0;1;1;0.0;0;2;0.0;0;3;0.0;0;3;23.136363637272726;3;4;1;3;1;11.0;1.0;10.0;1.0;17.0;3;3;0;3;1;9.0;0.0;9.0;1.0;38.666666666666664;0;2;2;0;2;3.0;3.0;0.0;2.0;17.5;1;1;0;1;1;2.0;0.0;2.0;1.0;0.0;0;1;0;1;1;2.0;0.0;2.0;0.0;0.0;0;1;0;1;1;2.0;0.0;2.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;1;0;1;1;1.0;0.0;1.0;0.0
1;1;20;1;169;21;477.39;60.49;60.49;64.0;61.18;59.48;59.48;62.54;0;46.04;62.69;12;6;10;2;2008;1;5;40.0;1;4;30.0;1;3;40.0;1;1;0.0;0;2;45.0;1;1;35.0;1;3;35.0;1;3;30.0;1;3;30.0;1;2;50.0;1;3;40.0;1;3;30.0;1;3;40.0;1;2;0.0;0;1;35.0;2;3;30.0;1;3;30.0;1;3;40.0;1;3;40.0;1;3;0.0;0;2;35.0;1;2;30.0;1;2;45.0;1;3;50.0;1;3;30.0;1;2;40.0;1;3;50.0;1;2;35.0;1;2;40.0;1;2;49.0;1;3;30.0;1;3;40.0;1;3;0.0;0;2;0.0;1;2;35.0;1;3;35.0;1;3;50.0;1;3;35.0;1;2;30.0;1;1;0.0;0;2;45.0;1;3;25.0;2;2;0.0;0;1;40.0;1;2;30.0;1;3;33.0;1;2;38.0;1;3;43.0;1;2;40.0;1;3;37.0;2;3;49.0;1;2;43.0;1;2;47.0;1;1;42.0;1;2;49.0;3;3;40.0;0;3;49.0;2;3;47.0;2;3;43.0;1;3;50.0;2;2;40.0;3;3;43.0;0;3;41.0;1;3;0;1;1;45.0;1;2;44.0;1;3;0.0;0;3;36.666666666666664;0;5;5;0;2;12.0;12.0;0.0;2.0;36.1764705882353;0;6;6;0;2;17.0;17.0;0.0;2.0;35.588235294117645;1;6;6;0;2;17.0;17.0;0.0;2.0;39.666666666666664;0;6;6;0;2;15.0;15.0;0.0;2.0;40.46666666666667;0;6;6;0;2;15.0;15.0;0.0;3.0;32.857142857142854;0;6;5;1;2;14.0;12.0;2.0;2.0;35.083333333333336;1;5;4;1;2;12.0;10.0;2.0;2.0;41.44444444444444;1;8;8;0;2;18.0;18.0;0.0;3.0;47.42857142857143;4;5;6;1;2;14.0;17.0;3.0;4.0;38.75;1;5;5;0;2;12.0;14.0;2.0;2.0
0;2;13;1;20;5;463.42;65.16;65.16;66.74;59.25;66.94;66.94;65.0;0;28.53;76.45;13;3;10;3;2008;1;5;32.5;2;4;30.0;1;3;40.0;1;1;0.0;0;2;40.0;1;1;35.0;1;3;35.0;2;3;22.5;2;3;32.5;2;2;40.0;1;3;30.0;1;3;35.0;1;3;43.0;1;2;45.0;1;1;35.0;1;3;25.0;2;3;27.5;2;3;35.0;1;3;30.0;1;3;0.0;0;2;30.0;1;2;30.0;1;2;35.0;1;3;40.0;1;3;30.0;1;2;45.0;1;3;50.0;1;2;28.0;2;2;45.0;1;2;43.0;1;3;40.0;1;3;40.0;1;3;0.0;0;2;35.0;1;2;35.0;1;3;30.0;1;3;35.0;1;3;35.0;1;2;40.0;1;1;0.0;0;2;41.0;1;3;46.0;1;2;0.0;0;1;30.0;1;2;35.0;1;3;37.0;1;2;43.0;1;3;35.0;1;2;30.0;1;3;42.0;1;3;43.0;1;2;43.0;1;2;44.0;1;1;43.0;1;2;46.0;2;3;43.0;1;3;35.0;2;3;44.0;2;3;30.0;1;3;44.0;1;2;46.0;1;3;33.0;1;3;33.0;1;3;0;1;1;44.0;1;2;33.0;1;3;0.0;0;3;33.75;1;5;5;0;2;12.0;12.0;0.0;2.0;32.5;3;6;5;1;2;17.0;14.0;3.0;2.0;32.69444444444444;2;7;5;2;2;18.0;12.0;6.0;2.0;36.0;0;6;6;0;2;15.0;15.0;0.0;2.0;41.0;1;6;5;1;2;15.0;13.0;2.0;3.0;34.285714285714285;0;6;6;0;2;14.0;14.0;0.0;2.0;37.833333333333336;0;5;5;0;2;12.0;12.0;0.0;2.0;39.833333333333336;0;8;8;0;2;18.0;18.0;0.0;2.0;40.11764705882353;3;6;6;0;2;17.0;17.0;0.0;3.0;34.86666666666667;0;6;5;1;2;15.0;14.0;1.0;2.0
0;2;20;1;51;23;472.02;67.77;67.77;56.34;65.03;57.14;57.14;59.24;0;47.3;53.56;20;6;10;4;2008;1;9;40.0;1;4;30.0;2;3;40.0;1;1;0.0;0;2;35.0;1;1;35.0;1;3;30.0;1;3;26.66666667;3;3;45.0;1;2;40.0;1;3;27.5;2;3;30.0;1;3;35.0;1;2;0.0;0;1;35.0;1;3;27.5;2;3;35.0;1;3;30.0;1;3;22.0;4;3;0.0;0;2;35.0;1;2;22.5;2;2;44.0;1;3;40.0;1;3;30.0;1;2;30.0;1;3;27.5;1;2;14.0;3;2;24.66666667;3;2;0.0;0;3;32.0;1;3;10.2;5;3;0.0;0;2;30.0;1;2;14.5;2;3;35.0;1;3;0.0;0;3;22.5;2;2;40.0;1;1;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;1;20.0;3;2;0.0;0;3;25.33333333;3;2;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;3;48.0;1;2;0.0;0;2;0.0;0;1;0.0;0;2;43.0;1;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0;1;1;28.0;1;2;0.0;0;3;0.0;0;3;35.833333333333336;1;5;5;0;2;12.0;12.0;0.0;2.0;32.50000000058824;2;6;4;2;2;17.0;11.0;6.0;2.0;30.5;2;6;4;2;2;17.0;11.0;6.0;2.0;34.46666666666667;1;6;5;1;2;15.0;13.0;2.0;2.0;21.57777777833333;3;5;1;4;1;12.0;3.0;9.0;1.0;26.681818181818183;2;5;3;2;1;11.0;6.0;5.0;1.0;22.666666665;2;2;0;2;1;4.0;0.0;4.0;1.0;48.0;0;1;1;0;2;2.0;2.0;0.0;4.0;43.0;0;1;1;0;2;3.0;3.0;0.0;3.0;18.666666666666668;0;2;0;2;1;3.0;0.0;3.0;1.0
