PROMEDIO_UNO;NOTA_DIF;CON_MAT_ICFES;EPA_UNO;FISICA_ICFES;PG_ICFES;NOTA_PROGB;NOTA_FIS_UNO;BIOLOGIA_ICFES;IDIOMA_ICFES;LITERATURA_ICFES;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;NOTA_SEM;NCC_UNO;GENERO;LOCALIDAD;VECES_TEXTOS;NAA_UNO;NCA_UNO;VECES_DIF;VECES_SEM;NAC_UNO;CAR_UNO;QUIMICA_ICFES;VECES_CFJC;VECES_FIS_UNO;VECES_PROGB;RENDIMIENTO_DOS;PROMEDIO_DOS
28.75;22.5;60.48;1;63.43;469.67;30.0;30.0;74.35;49.6;59.11;4.0;0.0;40.0;1;35.0;12.0;0;3;0;4;8.0;2;1;5;1;47.6;1;1;1;2.0;34.85294117647059
35.0;32.5;62.82;2;58.93;468.77;35.0;35.0;62.54;61.22;64.21;0.0;0.0;40.0;0;40.0;12.0;0;10;0;5;12.0;2;1;5;1;52.34;1;1;1;2.0;33.088235294117645
33.18181818181818;30.0;78.22;2;58.93;486.59;35.0;35.0;62.54;59.81;59.48;0.0;0.0;35.0;0;0.0;11.0;0;20;0;4;11.0;1;0;4;0;50.66;1;1;1;2.0;33.6764705882353
35.0;30.0;81.5;2;51.73;462.85;35.0;40.0;49.87;58.45;53.22;0.0;0.0;40.0;0;0.0;11.0;0;20;0;4;11.0;1;0;4;0;57.44;1;1;1;1.0;25.88235294117647
33.75;30.0;72.55;2;54.12;469.95;30.0;40.0;62.54;54.57;59.48;0.0;0.0;35.0;0;40.0;12.0;0;6;0;5;12.0;1;1;5;0;55.7;1;1;1;2.0;37.64705882352941
32.50000000083333;35.0;67.54;2;61.41;482.95;21.66666667;35.0;60.25;62.69;57.32;3.0;0.0;35.0;1;45.0;12.0;0;20;0;4;9.0;1;1;5;1;57.44;1;1;3;2.0;33.088235294117645
23.136363637272726;18.0;47.67;1;64.0;422.02;28.5;20.66666667;51.92;39.54;53.22;10.0;0.0;35.0;3;0.0;11.0;0;2;0;1;1.0;5;0;4;3;52.34;1;6;2;1.0;17.0
36.666666666666664;40.0;60.49;2;64.0;477.39;35.0;30.0;62.54;62.69;59.48;0.0;0.0;40.0;0;45.0;12.0;1;12;0;5;12.0;1;1;5;0;61.18;1;1;1;2.0;36.1764705882353
33.75;32.5;65.16;2;66.74;463.42;35.0;30.0;65.0;76.45;66.94;0.0;0.0;40.0;0;40.0;12.0;0;13;0;5;12.0;2;1;5;1;59.25;1;1;1;2.0;32.5
35.833333333333336;40.0;67.77;2;56.34;472.02;35.0;30.0;59.24;53.56;57.14;0.0;0.0;40.0;0;35.0;12.0;0;20;0;5;12.0;1;1;5;1;65.03;1;2;1;2.0;32.50000000058824
31.25;25.0;72.55;2;54.12;475.59;35.0;30.0;58.09;44.74;61.76;4.0;0.0;35.0;1;45.0;12.0;0;13;0;4;8.0;2;1;5;1;57.44;1;1;1;2.0;32.20588235352941
39.166666666666664;40.0;78.22;2;64.0;488.96;40.0;35.0;62.54;64.23;61.76;0.0;0.0;40.0;0;45.0;12.0;0;18;0;5;12.0;1;1;5;0;63.27;1;1;1;3.0;41.1764705882353
33.75;32.5;67.54;2;61.41;495.09;35.0;30.0;65.0;97.34;55.25;0.0;0.0;35.0;0;45.0;12.0;1;4;0;5;12.0;2;1;5;1;57.44;1;1;1;2.0;30.441176470588236
37.083333333333336;40.0;75.27;2;61.41;471.3;30.0;40.0;47.79;57.13;64.21;0.0;0.0;35.0;0;40.0;12.0;0;8;0;5;12.0;1;1;5;0;52.34;1;1;1;2.0;32.64705882352941
15.0;15.0;72.55;1;58.93;460.37;15.0;15.0;55.99;47.21;55.25;11.0;0.0;15.0;4;0.0;11.0;0;16;0;0;0.0;1;0;4;0;57.44;1;1;1;1.0;15.0
33.333333333333336;30.0;69.99;2;61.41;474.45;35.0;30.0;62.54;58.45;66.94;0.0;0.0;40.0;0;45.0;12.0;0;21;0;5;12.0;2;1;5;1;55.7;1;1;1;2.0;33.970588235294116
18.181818181818183;20.0;78.22;1;72.97;465.56;20.0;15.0;53.95;88.67;61.76;11.0;0.0;15.0;4;0.0;11.0;0;14;0;0;0.0;1;0;4;0;50.66;1;1;1;1.0;20.0
26.363636363636363;30.0;67.54;1;61.41;460.6;15.0;30.0;55.99;58.45;55.25;3.0;0.0;35.0;1;0.0;11.0;0;14;0;3;8.0;1;0;4;0;55.7;1;1;1;1.0;23.636363636363637
33.333333333333336;30.0;81.5;2;51.73;463.88;35.0;30.0;51.92;57.13;59.48;0.0;0.0;40.0;0;45.0;12.0;0;21;0;5;12.0;1;1;5;0;48.97;1;1;1;2.0;35.0
40.0;45.0;72.55;2;72.97;489.88;35.0;40.0;58.09;44.74;57.32;0.0;0.0;40.0;0;35.0;12.0;0;8;0;5;12.0;1;1;5;0;59.25;1;1;1;2.0;38.8235294117647
33.75;30.0;78.22;2;64.0;487.35;35.0;40.0;74.54;55.84;53.22;1.0;0.0;35.0;1;25.0;12.0;0;20;0;4;11.0;1;2;5;1;57.44;1;1;1;2.0;32.94117647058823
34.166666666666664;40.0;89.86;2;72.97;513.66;30.0;35.0;58.09;97.34;55.25;1.0;0.0;25.0;1;30.0;12.0;0;10;0;4;11.0;1;1;5;1;75.87;3;1;1;1.0;30.0
26.319444444166667;23.33333333;50.54;1;46.84;391.91;31.66666667;22.5;47.79;43.48;55.25;8.0;0.0;35.0;3;25.0;12.0;0;8;0;2;4.0;3;1;5;3;50.66;1;2;3;1.0;24.852941176470587
44.583333333333336;50.0;75.27;2;64.0;493.94;45.0;40.0;58.09;50.87;59.48;0.0;0.0;40.0;0;40.0;12.0;1;10;0;5;12.0;1;1;5;0;71.54;1;1;1;3.0;40.294117647058826
34.583333333333336;30.0;70.42;2;74.2;509.82;35.0;40.0;59.24;69.4;61.16;0.0;0.0;35.0;0;35.0;12.0;0;20;0;5;12.0;1;1;5;0;54.05;1;1;1;2.0;32.205882352941174
35.416666666666664;30.0;105.63;2;66.74;499.0;35.0;40.0;53.95;76.45;61.76;0.0;0.0;40.0;0;40.0;12.0;0;8;0;5;12.0;1;1;5;0;55.7;1;1;1;2.0;36.1764705882353
25.454545454545453;20.0;62.82;1;66.74;461.1;30.0;25.0;60.25;67.6;49.19;7.0;0.0;35.0;2;0.0;11.0;0;11;0;2;4.0;1;0;4;0;65.59;1;1;1;1.0;15.0
29.375;22.5;69.99;1;66.74;476.19;30.0;32.5;51.92;67.6;55.25;4.0;0.0;35.0;1;40.0;12.0;0;8;0;4;8.0;2;1;5;2;61.18;1;2;1;2.0;30.735294118235295
39.166666666666664;35.0;85.28;2;58.93;507.55;40.0;40.0;58.09;79.55;64.21;0.0;0.0;40.0;0;50.0;12.0;1;8;0;5;12.0;1;1;5;0;52.34;1;1;1;2.0;37.05882352941177
15.909090909090908;15.0;65.16;1;64.0;473.52;15.0;15.0;58.09;49.65;57.32;11.0;0.0;25.0;4;0.0;11.0;0;3;0;0;0.0;1;0;4;0;59.25;1;1;1;1.0;15.0
35.416666666666664;30.0;78.22;2;58.93;477.41;40.0;35.0;58.09;69.48;61.76;0.0;0.0;40.0;0;40.0;12.0;0;18;0;5;12.0;1;1;5;0;55.7;1;1;1;2.0;33.529411764705884
36.25;40.0;75.91;2;73.07;489.84;30.0;35.0;62.46;52.42;66.67;0.0;0.0;40.0;0;40.0;12.0;0;16;0;5;12.0;1;1;5;0;63.23;1;1;1;2.0;34.411764705882355
28.636363636363637;20.0;75.27;1;61.41;461.67;35.0;30.0;55.99;61.22;57.32;4.0;0.0;40.0;1;0.0;11.0;1;8;0;3;7.0;1;0;4;0;61.18;1;1;1;1.0;30.0
39.166666666666664;40.0;81.5;2;58.93;530.42;35.0;40.0;67.71;71.53;70.06;0.0;0.0;40.0;0;45.0;12.0;1;20;0;5;12.0;1;1;5;0;61.18;1;1;1;2.0;34.85294117647059
