NOTA_SISDIN;NOTA_ELECPOT;PROMEDIO_SIETE;PROMEDIO_TRES;NOTA_COMDIG;NOTA_FDS;NOTA_VARCOM;CON_MAT_ICFES;NOTA_TFM;PROMEDIO_SEIS;NCC_SIETE;NOTA_COMANA;NAA_SIETE;NOTA_ECO;NCA_SIETE;VECES_COMANA;PG_ICFES;VECES_ELECPOT;NOTA_CCON;VECES_COMDIG;VECES_ADMICRO;NOTA_L_TRES;NCP_SIETE;PROMEDIO_CINCO;NAC_SIETE;CAR_SIETE;NOTA_HSE;NAP_SIETE;VECES_ECO;VECES_FDS;VECES_SISDIN;EPA_SIETE;VECES_DDM;VECES_L_TRES;CREDITOS_ELECPOT;VECES_HSE;RENDIMIENTO_OCHO;PROMEDIO_OCHO
30.0;31.0;32.708333333333336;32.22222222222222;32.5;34.0;25.0;60.48;43.0;39.42857142857143;12.0;37.0;5;37.0;12.0;1;469.67;1;40.0;2;1;0.0;0.0;38.13333333333333;5;1;0.0;0;1;1;1;2;1;0;3;0;2.0;34.94444444388889
30.0;33.0;31.0;31.0;21.0;35.0;40.0;62.82;44.0;27.392857142857142;12.0;29.5;4;40.0;9.0;2;468.77;1;30.0;2;1;0.0;3.0;32.53333333333333;5;1;0.0;1;1;1;1;2;1;0;3;0;2.0;32.861111111111114
40.0;40.0;38.333333333333336;37.833333333333336;40.0;30.0;40.0;72.55;48.0;34.285714285714285;12.0;35.0;5;40.0;12.0;1;469.95;1;40.0;1;1;0.0;0.0;37.266666666666666;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;41.05555555555556
40.0;30.0;35.083333333333336;35.588235294117645;45.0;25.0;30.0;60.49;49.0;32.857142857142854;12.0;35.0;4;33.0;10.0;1;477.39;1;30.0;1;1;0.0;2.0;40.46666666666667;5;1;0.0;1;1;2;1;2;1;0;3;0;3.0;41.44444444444444
30.0;35.0;37.833333333333336;32.69444444444444;41.0;46.0;30.0;65.16;43.0;34.285714285714285;12.0;35.0;5;37.0;12.0;1;463.42;1;40.0;1;1;0.0;0.0;41.0;5;0;0.0;0;1;1;1;2;1;0;3;0;2.0;39.833333333333336
20.0;0.0;22.666666665;30.5;0.0;0.0;22.5;67.77;0.0;26.681818181818183;4.0;14.5;0;25.33333333;0.0;2;472.02;0;40.0;0;5;0.0;4.0;21.57777777833333;2;2;0.0;2;3;0;3;1;0;0;3;0;4.0;48.0
27.5;25.5;30.208333333333332;32.638888888888886;41.0;25.5;22.5;72.55;40.0;29.392857142857142;12.0;21.0;1;28.5;3.0;2;475.59;2;32.5;1;1;0.0;9.0;29.466666666666665;5;4;0.0;4;2;2;2;1;1;0;3;0;2.0;31.59722222222222
40.0;40.0;40.92857142857143;40.88235294117647;45.0;34.0;40.0;78.22;49.0;41.785714285714285;14.0;35.0;6;45.0;14.0;1;488.96;1;30.0;1;1;40.0;0.0;42.13333333333333;6;0;0.0;0;1;1;1;2;1;1;3;0;3.0;44.0
30.0;32.0;28.25;35.44117647058823;21.0;30.0;35.0;75.27;42.0;38.142857142857146;12.0;30.0;4;30.0;9.0;1;471.3;1;40.0;2;1;0.0;3.0;40.53333333333333;5;3;0.0;1;2;2;1;1;1;0;3;0;2.0;35.94444444444444
30.0;48.0;38.583333333333336;36.470588235294116;43.0;35.0;30.0;69.99;42.0;32.142857142857146;12.0;30.0;5;30.0;12.0;1;474.45;1;35.0;1;1;0.0;0.0;42.4;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;40.44444444444444
