CON_MAT_ICFES;QUIMICA_ICFES;PG_ICFES;FISICA_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;LOCALIDAD;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIF;EPA_UNO;NOTA_PROGB;NOTA_FIS_UNO;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;PROMEDIO_DOS;NAA_DOS;NOTA_INT;VECES_INT;NCA_DOS;NOTA_FIS_DOS;CAR_DOS;PROMEDIO_TRES;NCA_TRES;NOTA_FIS_TRES;NOTA_EL_UNO;VECES_FIS_TRES;NOTA_DEM;PROMEDIO_CUATRO;NOTA_EL_DOS;NOTA_CAMPOS;NOTA_FCD;VECES_FCD;NOTA_PROGAPL;NOTA_VARCOM;NCP_CUATRO;PROMEDIO_CINCO;NOTA_EE_DOS;NCC_CINCO;NOTA_ADMICRO;NAP_CINCO;NOTA_TFM;VECES_ADMICRO;NAC_CINCO;PROMEDIO_SEIS;NOTA_COMANA;NOTA_MOYGE;NOTA_CCON;VECES_COMANA;VECES_DDM;NOTAS_SYS;PROMEDIO_SIETE;NOTA_SISDIN;NOTA_ELECPOT;NOTA_COMDIG;NOTA_FDS;NCC_SIETE;PROMEDIO_OCHO;NOTA_STG;NOTA_C_UNO;NOTA_INSIND;NAP_OCHO;NOTA_INGECO;PROMEDIO_NUEVE;RENDIMIENTO_NUEVE
60.48;47.6;469.67;63.43;49.6;74.35;0;3;59.11;28.75;22.5;1;30.0;30.0;4.0;0.0;40.0;1;34.85294117647059;5;25.0;3;14.0;35.0;2;32.22222222222222;9.0;27.5;27.5;2;45.0;33.0;30.0;27.5;35.0;1;45.0;25.0;4.0;38.13333333333333;50.0;15.0;35.0;1;43.0;1;6;39.42857142857143;37.0;30.0;40.0;1;1;43.0;32.708333333333336;30.0;31.0;32.5;34.0;12.0;34.94444444388889;42.0;29.33333333;30.0;1;35.0;39.88235294117647;2.0
62.82;52.34;468.77;58.93;61.22;62.54;0;10;64.21;35.0;32.5;2;35.0;35.0;0.0;0.0;40.0;0;33.088235294117645;5;30.0;1;14.0;35.0;1;31.0;12.0;27.5;27.5;2;45.0;38.0;45.0;35.0;35.0;1;40.0;40.0;0.0;32.53333333333333;0.0;15.0;30.0;1;44.0;1;6;27.392857142857142;29.5;30.0;30.0;2;1;35.0;31.0;30.0;33.0;21.0;35.0;12.0;32.861111111111114;45.0;25.0;19.5;2;43.0;42.05882352941177;3.0
72.55;55.7;469.95;54.12;54.57;62.54;0;6;59.48;33.75;30.0;2;30.0;40.0;0.0;0.0;35.0;0;37.64705882352941;6;40.0;1;17.0;40.0;1;37.833333333333336;18.0;35.0;35.0;1;45.0;39.0;40.0;35.0;45.0;1;40.0;40.0;0.0;37.266666666666666;0.0;15.0;50.0;1;48.0;1;6;34.285714285714285;35.0;35.0;40.0;1;1;40.0;38.333333333333336;40.0;40.0;40.0;30.0;12.0;41.05555555555556;40.0;29.0;42.0;1;48.0;40.8235294117647;3.0
60.49;61.18;477.39;64.0;62.69;62.54;1;12;59.48;36.666666666666664;40.0;2;35.0;30.0;0.0;0.0;40.0;0;36.1764705882353;6;30.0;1;17.0;40.0;0;35.588235294117645;17.0;30.0;40.0;1;0.0;39.666666666666664;45.0;30.0;40.0;1;50.0;30.0;0.0;40.46666666666667;50.0;15.0;40.0;0;49.0;1;6;32.857142857142854;35.0;35.0;30.0;1;1;35.0;35.083333333333336;40.0;30.0;45.0;25.0;12.0;41.44444444444444;47.0;40.0;37.0;0;43.0;47.42857142857143;4.0
65.16;59.25;463.42;66.74;76.45;65.0;0;13;66.94;33.75;32.5;2;35.0;30.0;0.0;0.0;40.0;0;32.5;5;22.5;2;14.0;30.0;3;32.69444444444444;12.0;27.5;30.0;2;45.0;36.0;35.0;30.0;45.0;1;40.0;30.0;0.0;41.0;50.0;15.0;40.0;1;43.0;1;6;34.285714285714285;35.0;30.0;40.0;1;1;35.0;37.833333333333336;30.0;35.0;41.0;46.0;12.0;39.833333333333336;44.0;30.0;42.0;0;43.0;40.11764705882353;3.0
67.77;65.03;472.02;56.34;53.56;59.24;0;20;57.14;35.833333333333336;40.0;2;35.0;30.0;0.0;0.0;40.0;0;32.50000000058824;4;26.66666667;3;11.0;27.5;2;30.5;11.0;35.0;22.0;1;0.0;34.46666666666667;44.0;30.0;30.0;1;40.0;22.5;2.0;21.57777777833333;27.5;12.0;10.2;4;0.0;5;5;26.681818181818183;14.5;35.0;40.0;2;0;22.5;22.666666665;20.0;0.0;0.0;0.0;4.0;48.0;0.0;0.0;0.0;0;0.0;43.0;3.0
72.55;57.44;475.59;54.12;44.74;58.09;0;13;61.76;31.25;25.0;2;35.0;30.0;4.0;0.0;35.0;1;32.20588235352941;3;27.5;2;9.0;35.0;3;32.638888888888886;15.0;30.0;27.5;2;45.0;36.6;38.0;30.0;45.0;1;45.0;22.5;2.0;29.466666666666665;0.0;15.0;40.0;2;40.0;1;6;29.392857142857142;21.0;38.0;32.5;2;1;47.0;30.208333333333332;27.5;25.5;41.0;25.5;12.0;31.59722222222222;32.0;22.75;32.5;2;30.0;39.0;2.0
78.22;63.27;488.96;64.0;64.23;62.54;0;18;61.76;39.166666666666664;40.0;2;40.0;35.0;0.0;0.0;40.0;0;41.1764705882353;6;45.0;1;17.0;40.0;0;40.88235294117647;17.0;40.0;40.0;1;0.0;41.333333333333336;40.0;35.0;45.0;1;45.0;40.0;0.0;42.13333333333333;50.0;15.0;45.0;0;49.0;1;6;41.785714285714285;35.0;40.0;30.0;1;1;40.0;40.92857142857143;40.0;40.0;45.0;34.0;14.0;44.0;45.0;37.0;48.0;0;43.0;45.214285714285715;4.0
75.27;52.34;471.3;61.41;57.13;47.79;0;8;64.21;37.083333333333336;40.0;2;30.0;40.0;0.0;0.0;35.0;0;32.64705882352941;6;30.0;1;17.0;35.0;0;35.44117647058823;17.0;35.0;35.0;1;0.0;38.666666666666664;40.0;35.0;45.0;1;40.0;35.0;0.0;40.53333333333333;40.0;15.0;45.0;0;42.0;1;6;38.142857142857146;30.0;30.0;40.0;1;1;35.0;28.25;30.0;32.0;21.0;30.0;12.0;35.94444444444444;36.0;35.0;33.0;0;43.0;39.588235294117645;2.0
69.99;55.7;474.45;61.41;58.45;62.54;0;21;66.94;33.333333333333336;30.0;2;35.0;30.0;0.0;0.0;40.0;0;33.970588235294116;5;27.5;2;14.0;35.0;2;36.470588235294116;17.0;40.0;40.0;1;0.0;35.8235294117647;30.0;27.5;35.0;1;45.0;30.0;2.0;42.4;50.0;15.0;50.0;0;42.0;1;6;32.142857142857146;30.0;35.0;35.0;1;1;35.0;38.583333333333336;30.0;48.0;43.0;35.0;12.0;40.44444444444444;48.0;40.0;41.0;0;40.0;43.705882352941174;3.0
