GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO
1;2;20;2;49;15;419.74;65.67;65.67;60.6;66.74;62.12;62.12;61.35;0.0;51.08;75.8;20;6;9;2;2011
0;2;20;1;49;15;425.0;72.0;72.0;65.0;55.0;60.0;60.0;57.0;0.0;56.0;65.0;15;3;9;3;2013
0;1;20;1;49;15;425.0;76.0;76.0;60.0;59.0;54.0;54.0;62.0;0.0;47.0;50.0;9;4;9;2;2013
0;2;20;1;49;15;454.0;79.0;79.0;62.0;65.0;62.0;62.0;64.0;0.0;59.0;83.0;10;3;9;2;2014
1;2;2;1;19;5;523.19;99.48;99.48;69.72;78.83;80.86;80.86;61.28;0.0;63.68;60.44;1;5;9;3;2011
0;1;19;1;19;5;528.52;88.79;88.79;69.98;78.39;73.83;73.83;82.9;0.0;62.46;75.1;19;5;9;2;2011
0;2;8;1;19;5;478.41;78.36;78.36;69.98;66.48;70.74;70.74;65.98;0.0;59.66;69.93;8;3;9;3;2011
0;1;11;1;19;5;505.2;74.62;74.62;75.93;72.45;64.91;64.91;79.57;0.0;68.09;75.1;11;5;9;3;2011
1;2;9;1;19;5;491.89;74.62;74.62;66.93;66.48;73.83;73.83;75.16;0.0;65.24;73.24;9;4;9;3;2011
0;2;11;1;19;5;482.97;75.41;75.41;66.68;75.48;65.03;65.03;72.69;0.0;60.81;66.95;11;5;9;2;2011
0;2;10;1;19;5;498.52;63.02;63.02;66.68;93.36;67.8;67.8;63.99;0.0;74.04;77.55;8;3;9;2;2011
0;2;10;1;19;5;447.41;78.36;78.36;60.76;75.02;56.41;56.41;52.34;0.0;59.66;61.66;7;5;7;2;2011
0;1;10;1;19;5;478.53;78.36;78.36;69.98;59.0;64.91;64.91;68.87;0.0;65.24;58.01;10;3;9;3;2011
0;1;8;1;19;5;466.12;71.35;71.35;79.22;61.96;62.11;62.11;72.69;0.0;53.93;60.9;8;3;9;2;2011
1;2;4;1;19;5;516.27;75.41;75.41;66.68;93.36;70.87;70.87;75.95;0.0;69.52;60.44;4;4;9;2;2011
0;1;19;1;19;5;442.46;63.02;63.02;66.93;54.1;56.41;56.41;71.9;0.0;65.24;50.87;19;5;4;1;2011
1;2;9;1;19;5;484.89;83.87;83.87;57.4;75.48;67.92;67.92;66.77;0.0;66.58;75.1;8;3;9;2;2011
0;1;8;1;19;5;492.05;78.36;78.36;69.72;69.64;73.83;73.83;72.69;0.0;65.24;68.86;8;3;9;3;2011
0;2;19;1;19;5;468.27;72.05;72.05;82.7;59.52;53.63;53.63;72.69;0.0;60.81;67.41;19;5;9;3;2011
0;2;11;1;19;5;525.11;79.26;79.26;69.72;93.36;65.03;65.03;72.69;0.0;75.71;68.41;11;5;9;2;2011
0;2;13;1;19;5;498.55;66.17;66.17;86.86;75.02;62.21;62.21;71.9;0.0;69.52;79.81;13;1;9;4;2011
0;2;10;1;19;5;480.62;66.17;66.17;73.09;69.14;67.92;67.92;65.98;0.0;63.68;55.62;10;3;9;2;2011
1;2;9;1;19;5;496.64;71.35;71.35;63.65;72.45;80.64;80.64;69.65;0.0;74.04;77.13;9;4;9;3;2011
1;1;8;1;19;5;358.86;58.94;58.94;53.43;54.3;43.85;43.85;52.77;0.0;42.19;48.4;8;3;6;3;2011
1;2;11;1;19;5;489.69;72.05;72.05;63.86;69.14;77.28;77.28;68.87;0.0;66.58;75.1;11;5;9;3;2011
1;2;19;1;19;5;488.88;72.05;72.05;69.98;78.39;73.98;73.98;60.48;0.0;69.52;77.55;19;5;9;1;2011
1;2;1;1;19;5;455.15;71.35;71.35;76.27;69.14;64.91;64.91;52.34;0.0;53.93;94.05;11;5;9;3;2011
0;2;15;1;19;5;478.08;68.39;68.39;82.7;59.52;73.83;73.83;55.92;0.0;68.09;68.86;4;4;9;2;2011
0;2;18;1;19;5;491.06;71.35;71.35;73.09;82.24;73.83;73.83;68.87;0.0;56.82;73.24;16;2;9;3;2011
1;1;8;1;19;5;491.13;78.36;78.36;63.86;82.24;70.74;70.74;71.9;0.0;56.82;79.4;8;3;9;2;2011
0;2;2;1;19;5;506.25;78.36;78.36;75.93;93.36;67.8;67.8;66.77;0.0;56.82;85.05;15;3;9;3;2011
0;2;10;1;19;5;477.79;78.36;78.36;69.72;78.83;67.8;67.8;72.69;0.0;56.82;66.03;10;3;9;2;2011
0;1;14;1;19;5;508.49;74.62;74.62;66.93;69.14;70.74;70.74;68.87;0.0;77.27;68.86;4;4;9;2;2011
1;2;8;1;19;5;473.34;83.87;83.87;69.72;66.99;65.03;65.03;61.28;0.0;66.58;59.21;8;3;9;2;2011
1;1;19;1;19;5;490.83;74.62;74.62;66.93;66.48;73.83;73.83;68.87;0.0;65.24;58.47;19;5;9;2;2011
