LOCALIDAD_COLEGIO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;BIOLOGIA_ICFES;IDIOMA_ICFES;LOCALIDAD;PROMEDIO_UNO;CAR_UNO;NCC_UNO;NCA_UNO;NCP_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;CREDITOS_DIFERENCIAL;ESTADO_FINAL;NOTA_DIFERENCIAL;VECES_DIFERENCIAL;NOTA_DIBUJO;VECES_DIBUJO;CREDITOS_DIBUJO;NOTA_QUIMICA;VECES_QUIMICA;CREDITOS_QUIMICA;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEMINARIO;VECES_SEMINARIO;CREDITOS_SEMINARIO;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
20;472.22;65.25;63.43;59.24;62.81;8;39.44444444444444;0;9;9;0;4;4;0;2;4;1;35.0;1;0.0;0;2;45.0;1;3;40.0;1;1;0.0;0;2;40.0;1;1;0.0;0;2;1;15.0
20;373.96;37.99;42.13;49.05;37.51;20;26.66666666666667;2;13;4;9;6;3;3;1;4;1;26.66666666666667;3;35.0;1;2;25.0;2;3;40.0;1;1;10.0;1;2;35.0;1;1;0.0;0;2;1;11.45
20;419.74;65.67;60.6;61.35;75.8;20;39.6;0;15;15;0;7;7;0;2;4;10;36.0;1;41.0;1;2;34.0;1;3;36.0;1;1;46.0;1;2;50.0;1;1;44.0;1;2;2;33.29411764705883
20;425.0;72.0;65.0;57.0;65.0;15;35.5;1;15;12;3;7;6;1;2;4;2;35.0;1;40.0;1;2;29.5;2;3;38.0;1;1;39.0;1;2;30.0;1;1;39.0;1;2;2;34.8235294117647
20;425.0;76.0;60.0;62.0;50.0;9;30.15384615384615;2;13;6;7;6;4;2;2;4;9;22.0;3;36.0;1;2;25.33333333333333;3;3;38.0;1;1;37.0;1;2;44.0;1;1;0.0;0;2;2;31.4
20;454.0;79.0;62.0;64.0;83.0;10;38.6;0;15;15;0;7;7;0;2;4;2;41.0;1;39.0;1;2;31.0;1;3;38.0;1;1;36.0;1;2;46.0;1;1;44.0;1;2;2;33.61764705882353
0;478.78;62.84;58.68;59.24;53.56;8;31.8;1;15;11;4;7;6;1;2;4;5;22.5;2;30.0;1;2;40.0;1;3;35.0;1;1;30.0;1;2;40.0;1;1;36.0;1;2;2;31.65625
10;491.36;72.55;56.51;65.0;53.32;10;31.15384615384615;1;13;9;4;6;5;1;2;4;10;20.0;3;40.0;1;2;35.0;1;3;40.0;1;1;30.0;1;2;40.0;1;1;0.0;0;2;2;33.33333333333334
15;465.73;75.27;58.93;55.99;65.86;16;35.33333333333334;1;15;15;0;7;7;0;2;4;5;30.0;1;40.0;1;2;30.0;2;3;35.0;1;1;40.0;1;2;45.0;1;1;40.0;1;2;2;35.0
9;491.66;89.86;54.12;65.0;53.32;9;38.07692307692308;0;13;13;0;6;6;0;2;4;1;45.0;1;30.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;0.0;0;2;2;36.25
15;478.1;72.55;56.51;53.95;69.48;5;38.66666666666666;1;15;15;0;7;7;0;2;4;5;30.0;2;40.0;1;2;40.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;50.0;1;2;2;34.3125
15;465.69;67.54;56.51;58.09;62.69;18;33.66666666666666;1;15;11;4;7;6;1;2;4;5;22.5;2;40.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;40.0;1;2;2;34.5625
16;473.19;53.2;64.0;62.54;49.65;16;32.53333333333333;1;15;11;4;7;6;1;2;4;5;23.75;4;30.0;1;2;35.0;1;3;40.0;1;1;35.0;1;2;40.0;1;1;39.0;1;2;2;30.83333333333333
1;459.45;65.16;61.41;53.95;58.45;13;15.0;0;9;0;9;4;0;4;1;4;1;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;15.0
9;488.76;75.27;58.93;79.45;88.67;8;37.93333333333333;0;15;15;0;7;7;0;2;4;5;35.0;1;35.0;1;2;40.0;1;3;45.0;1;1;45.0;1;2;40.0;1;1;32.0;1;2;2;39.0625
0;478.39;78.22;64.0;55.99;69.48;10;26.81818181818182;0;11;3;8;5;2;3;1;4;1;25.0;1;0.0;0;2;15.0;1;3;20.0;1;1;0.0;0;2;40.0;1;1;45.0;1;2;1;21.2
10;476.73;65.16;64.0;53.95;48.43;10;31.15384615384615;1;13;9;4;6;5;1;2;4;1;20.0;4;30.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;0.0;0;2;1;28.125
18;488.95;69.99;58.93;60.25;54.57;18;37.2;0;15;15;0;7;7;0;2;4;5;35.0;1;40.0;1;2;30.0;1;3;40.0;1;1;45.0;1;2;40.0;1;1;39.0;1;2;2;36.375
14;498.96;85.28;54.12;62.54;57.13;7;41.66666666666666;0;15;15;0;7;7;0;2;4;1;45.0;1;45.0;1;2;40.0;1;3;35.0;1;1;35.0;1;2;40.0;1;1;45.0;1;2;3;40.89285714285715
9;476.9;62.82;58.93;55.99;83.41;9;35.33333333333334;0;15;15;0;7;7;0;2;4;1;35.0;1;35.0;1;2;35.0;1;3;35.0;1;1;35.0;1;2;40.0;1;1;35.0;1;2;2;32.3125
16;469.39;60.49;64.0;62.54;48.43;19;15.0;0;9;0;9;4;0;4;1;4;1;15.0;1;0.0;0;2;15.0;1;3;15.0;1;1;0.0;0;2;15.0;1;1;0.0;0;2;1;15.0
10;486.46;72.55;51.73;62.54;71.53;10;38.33333333333334;0;15;15;0;7;7;0;2;4;5;40.0;1;40.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;35.0;1;2;2;36.625
2;465.84;75.27;64.0;55.99;76.45;11;37.0;0;15;15;0;7;7;0;2;4;5;35.0;1;30.0;1;2;35.0;1;3;40.0;1;1;40.0;1;2;40.0;1;1;45.0;1;2;2;38.0
6;481.74;78.22;56.51;58.09;59.81;6;38.33333333333334;0;9;9;0;4;4;0;2;4;1;35.0;1;0.0;0;2;40.0;1;3;45.0;1;1;0.0;0;2;40.0;1;1;0.0;0;2;2;40.0
