NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_TERMODINAMICA;NOTA_ECONOMIA_UNO;NOTA_ECUACIONES;NOTA_ESTADISTICA_DOS;NOTA_FISICA_DOS;NOTA_MECANICA;NOTA_PROCESOSQ;NOTA_EE_CUATRO;PROMEDIO_CINCO;CAR_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;NOTA_METODOLOGIA;VECES_METODOLOGIA;CREDITOS_METODOLOGIA;NOTA_FISICA_TRES;VECES_FISICA_TRES;CREDITOS_FISICA_TRES;NOTA_CONTABILIDAD;VECES_CONTABILIDAD;CREDITOS_CONTABILIDAD;NOTA_PROCESOSM;VECES_PROCESOSM;CREDITOS_PROCESOSM;NOTA_ADMINISTRACION;VECES_ADMINISTRACION;CREDITOS_ADMINISTRACION;NOTA_LENGUA_UNO;VECES_LENGUA_UNO;CREDITOS_LENGUA_UNO;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;RENDIMIENTO_SEIS;PROMEDIO_SEIS
831;39.6;44.0;33.29411764705883;34.0;29.0;30.0;32.0;33.1574074074074;5;34.0;29.5;34.0;35.0;45.0;32.0;26.0;33.0;50;34.76470588235294;0;17;17;0;8;8;0;2;34.0;1;1;31.0;1;3;30.0;1;2;30.0;1;3;38.0;1;2;45.0;1;2;42.0;1;2;32.0;1;2;2;36.85294117647059
1250;35.5;39.0;34.8235294117647;32.0;33.0;38.0;30.0;37.22222222222222;7;40.0;30.0;41.0;30.0;32.0;38.0;26.5;43.0;45;38.0;0;17;17;0;8;8;0;2;38.0;1;1;30.0;1;3;33.0;1;2;36.0;1;3;43.0;1;2;46.0;1;2;45.0;1;2;38.0;1;2;2;39.0
1265;30.15384615384615;0.0;31.4;30.0;21.0;34.0;0.0;32.28571428571428;2;0.0;0.0;32.0;0.0;0.0;0.0;23.0;0.0;0;25.45;2;10;2;8;5;1;4;1;27.5;2;1;20.0;1;3;28.5;2;2;0.0;0;3;30.0;1;2;25.0;1;2;0.0;0;2;0.0;0;2;3;41.0
1466;38.6;44.0;33.61764705882353;32.0;36.0;34.0;40.0;35.34375;6;31.0;41.0;41.0;31.5;33.0;37.0;36.0;45.0;0;37.58823529411764;0;17;17;0;8;8;0;2;43.0;1;1;31.0;1;3;30.0;1;2;35.0;1;3;40.0;1;2;47.0;1;2;41.0;1;2;41.0;1;2;2;35.1764705882353
2;31.8;36.0;31.65625;22.5;30.0;30.0;32.0;37.93333333333333;6;35.0;0.0;22.5;35.0;30.0;30.0;35.0;27.5;30;36.33333333333334;3;15;13;2;7;6;1;2;35.0;1;1;30.0;3;3;35.0;1;2;40.0;1;3;27.5;2;2;42.5;2;2;45.0;1;2;0.0;0;2;2;32.4
6;35.33333333333334;40.0;35.0;30.0;30.0;35.0;35.0;40.73333333333333;6;35.0;0.0;35.0;40.0;35.0;30.0;40.0;35.0;44;41.81818181818182;0;11;11;0;5;5;0;2;35.0;1;1;40.0;1;3;45.0;1;2;45.0;1;3;40.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;2;38.46666666666667
8;38.07692307692308;0.0;36.25;30.0;35.0;0.0;0.0;38.33333333333334;3;30.0;0.0;35.0;0.0;0.0;0.0;0.0;0.0;0;35.0;0;3;3;0;1;1;0;2;0.0;0;1;35.0;1;3;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;0;0.0
9;38.66666666666666;50.0;34.3125;35.0;30.0;35.0;37.0;40.73333333333333;6;35.0;0.0;35.0;35.0;35.0;35.0;35.0;40.0;40;35.38461538461539;1;13;13;0;6;6;0;2;40.0;1;1;35.0;1;3;40.0;1;2;30.0;1;3;30.0;1;2;42.5;2;2;0.0;0;2;0.0;0;2;2;36.26666666666667
10;33.66666666666666;40.0;34.5625;35.0;30.0;28.5;38.0;37.53333333333333;6;35.0;0.0;40.0;30.0;45.0;35.0;30.0;30.0;43;33.40909090909091;1;11;8;3;5;4;1;2;35.0;1;1;27.5;2;3;30.0;1;2;40.0;1;3;35.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;2;34.66666666666666
11;32.53333333333333;39.0;30.83333333333333;22.5;27.5;28.66666666666667;38.0;30.30769230769231;4;25.0;0.0;30.0;28.5;35.0;30.0;30.0;35.0;32;32.2;1;15;15;0;7;7;0;2;35.0;1;1;30.0;1;3;32.5;2;2;31.0;1;3;35.0;1;2;0.0;0;2;35.0;1;2;30.0;1;2;2;33.16666666666667
15;37.93333333333333;32.0;39.0625;40.0;30.0;45.0;50.0;40.33333333333334;6;40.0;0.0;35.0;50.0;50.0;40.0;35.0;45.0;45;43.53846153846154;1;13;13;0;6;6;0;2;40.0;1;1;40.0;1;3;45.0;1;2;45.0;1;3;45.0;1;2;45.5;2;2;0.0;0;2;0.0;0;2;3;42.13333333333333
19;31.15384615384615;0.0;28.125;30.0;27.5;0.0;0.0;26.45454545454545;3;7.0;0.0;40.0;1.666666666666667;30.0;0.0;0.0;30.0;0;8.0;4;9;0;9;4;0;4;1;19.0;4;1;10.0;6;3;0.0;0;2;0.0;2;3;11.5;2;2;0.0;0;2;0.0;0;2;0.0;0;2;1;26.875
20;37.2;39.0;36.375;30.0;30.0;35.0;46.0;42.2;6;35.0;0.0;40.0;40.0;50.0;40.0;35.0;40.0;45;36.61538461538461;0;13;13;0;6;6;0;2;35.0;1;1;30.0;1;3;40.0;1;2;35.0;1;3;35.0;1;2;0.0;0;2;48.0;1;2;0.0;0;2;2;36.66666666666666
