NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;NOTA_ECONOMIA_DOS;VECES_ECONOMIA_DOS;CREDITOS_ECONOMIA_DOS;NOTA_PLINEAL;VECES_PLINEAL;CREDITOS_PLINEAL;NOTA_DERECHO;VECES_DERECHO;CREDITOS_DERECHO;NOTA_IECONOMICA;VECES_IECONOMICA;CREDITOS_IECONOMICA;NOTA_DISENO;VECES_DISENO;CREDITOS_DISENO;NOTA_METODOS;VECES_METODOS;CREDITOS_METODOS;NOTA_SEGURIDAD;VECES_SEGURIDAD;CREDITOS_SEGURIDAD;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;RENDIMIENTO_SIETE;PROMEDIO_SIETE
831;39.6;33.29411764705883;30.0;32.0;33.1574074074074;34.0;32.0;50;34.76470588235294;30.0;38.0;45.0;42.0;32.0;36.85294117647059;1;17;14;3;8;7;1;2;43.0;1;2;29.5;2;3;43.0;1;1;32.0;1;2;41.0;1;2;37.0;1;3;39.0;1;2;37;1;2;3;40.92307692307692
1250;35.5;34.8235294117647;38.0;30.0;37.22222222222222;40.0;38.0;45;38.0;36.0;43.0;46.0;45.0;38.0;39.0;0;17;17;0;8;8;0;2;46.0;1;2;38.0;1;3;38.0;1;1;46.0;1;2;31.0;1;2;35.0;1;3;42.0;1;2;38;1;2;2;38.66666666666666
1265;30.15384615384615;31.4;34.0;0.0;32.28571428571428;0.0;0.0;0;25.45;0.0;30.0;25.0;0.0;0.0;41.0;0;1;1;0;1;1;0;2;0.0;0;2;0.0;0;3;41.0;1;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0;0;2;2;37.0
1466;38.6;33.61764705882353;34.0;40.0;35.34375;31.0;37.0;0;37.58823529411764;35.0;40.0;47.0;41.0;41.0;35.1764705882353;1;17;14;3;8;7;1;2;41.0;1;2;27.33333333333333;3;3;39.0;1;1;35.0;1;2;39.0;1;2;37.0;1;3;31.0;1;2;37;1;2;2;37.86666666666667
2;31.8;31.65625;30.0;32.0;37.93333333333333;35.0;30.0;30;36.33333333333334;40.0;27.5;42.5;45.0;0.0;32.4;1;15;15;0;7;7;0;2;30.0;1;2;30.0;1;3;42.0;1;1;40.0;1;2;30.0;1;2;30.0;1;3;32.0;2;2;0;0;2;2;33.88888888888889
6;35.33333333333334;35.0;35.0;35.0;40.73333333333333;35.0;30.0;44;41.81818181818182;45.0;40.0;0.0;0.0;0.0;38.46666666666667;0;15;15;0;7;7;0;2;35.0;1;2;30.0;1;3;47.0;1;1;40.0;1;2;40.0;1;2;40.0;1;3;45.0;1;2;0;0;2;2;39.44444444444444
9;38.66666666666666;34.3125;35.0;37.0;40.73333333333333;35.0;35.0;40;35.38461538461539;30.0;30.0;42.5;0.0;0.0;36.26666666666667;1;15;15;0;7;7;0;2;40.0;1;2;35.0;1;3;35.0;1;1;30.0;2;2;35.0;1;2;40.0;1;3;37.0;1;2;0;0;2;3;40.11111111111111
10;33.66666666666666;34.5625;28.5;38.0;37.53333333333333;35.0;35.0;43;33.40909090909091;40.0;35.0;0.0;0.0;0.0;34.66666666666666;0;15;15;0;7;7;0;2;35.0;1;2;30.0;1;3;46.0;1;1;30.0;1;2;35.0;1;2;40.0;1;3;32.0;1;2;0;0;2;2;39.44444444444444
11;32.53333333333333;30.83333333333333;28.66666666666667;38.0;30.30769230769231;25.0;30.0;32;32.2;31.0;35.0;0.0;35.0;30.0;33.16666666666667;3;17;10;7;8;5;3;1;27.5;2;2;29.5;2;3;37.0;1;1;21.66666666666667;3;2;40.0;1;2;36.0;1;3;36.0;1;2;40;1;2;2;37.66666666666666
15;37.93333333333333;39.0625;45.0;50.0;40.33333333333334;40.0;40.0;45;43.53846153846154;45.0;45.0;45.5;0.0;0.0;42.13333333333333;0;15;15;0;7;7;0;2;50.0;1;2;35.0;1;3;45.0;1;1;40.0;1;2;35.0;1;2;50.0;1;3;41.0;1;2;0;0;2;3;43.33333333333334
20;37.2;36.375;35.0;46.0;42.2;35.0;40.0;45;36.61538461538461;35.0;35.0;0.0;48.0;0.0;36.66666666666666;0;15;15;0;7;7;0;2;35.0;1;2;30.0;1;3;49.0;1;1;40.0;1;2;35.0;1;2;35.0;1;3;43.0;1;2;0;0;2;3;40.44444444444444
22;41.66666666666666;40.89285714285715;0.0;50.0;43.125;40.0;0.0;0;36.66666666666666;0.0;0.0;0.0;0.0;0.0;35.0;0;5;5;0;2;2;0;2;0.0;0;2;0.0;0;3;0.0;0;1;0.0;0;2;35.0;1;2;35.0;1;3;0.0;0;2;0;0;2;1;15.0
24;35.33333333333334;32.3125;38.0;33.0;33.15384615384615;25.0;30.0;0;27.88461538461538;35.0;40.0;0.0;0.0;0.0;27.71428571428572;2;14;11;3;6;5;1;1;30.0;1;2;8.333333333333334;3;3;0.0;0;1;35.0;1;2;30.0;2;2;35.0;1;3;34.0;1;2;0;0;2;2;31.85714285714286
27;38.33333333333334;36.625;30.0;38.0;38.06666666666667;30.0;35.0;40;35.45454545454545;30.0;40.0;0.0;0.0;0.0;33.06666666666667;2;15;12;3;7;6;1;2;35.0;1;2;25.0;2;3;47.0;1;1;35.0;1;2;40.0;1;2;30.0;2;3;32.0;1;2;0;0;2;2;32.88888888888889
28;37.0;38.0;40.0;39.0;37.53333333333333;30.0;45.0;44;36.23076923076923;35.0;40.0;0.0;38.0;0.0;36.66666666666666;0;15;15;0;7;7;0;2;35.0;1;2;30.0;1;3;40.0;1;1;45.0;1;2;40.0;1;2;30.0;1;3;45.0;1;2;0;0;2;2;39.77777777777778
31;33.13333333333333;30.46875;30.0;45.0;37.73333333333333;40.0;30.0;41;40.61538461538461;40.0;40.0;46.5;0.0;0.0;35.96666666666667;1;15;12;3;7;6;1;2;40.0;1;2;22.5;2;3;49.0;1;1;35.0;1;2;30.0;1;2;45.0;1;3;39.0;1;2;0;0;2;3;40.88888888888889
32;37.66666666666666;34.25;42.0;37.0;37.66666666666666;30.0;30.0;43;34.15384615384615;35.0;35.0;44.5;0.0;0.0;34.46666666666667;1;15;13;2;7;6;1;2;35.0;1;2;35.0;1;3;45.0;1;1;27.5;2;2;40.0;1;2;30.0;1;3;36.0;1;2;0;0;2;2;34.77777777777778
40;33.6;33.125;35.0;35.0;41.13333333333333;40.0;35.0;45;37.13333333333333;35.0;40.0;43.5;40.0;0.0;35.83333333333334;1;15;12;3;7;6;1;2;35.0;1;2;27.5;2;3;37.0;1;1;40.0;1;2;40.0;1;2;38.0;1;3;37.0;1;2;0;0;2;2;38.44444444444444
41;36.33333333333334;30.25;30.0;32.0;34.66666666666666;30.0;35.0;32;32.8;30.0;35.0;0.0;45.0;31.0;32.16666666666666;1;15;12;3;7;6;1;2;30.0;1;2;22.5;2;3;40.0;1;1;35.0;1;2;35.0;1;2;35.0;1;3;35.0;1;2;0;0;2;2;31.55555555555556
44;33.46666666666667;30.15625;35.0;30.0;32.0;21.66666666666667;30.0;38;36.16666666666666;35.0;45.0;0.0;45.0;40.0;33.26666666666667;1;15;12;3;7;6;1;2;35.0;1;2;19.0;2;3;38.0;1;1;30.0;1;2;35.0;1;2;40.0;1;3;42.0;1;2;0;0;2;2;37.88888888888889
45;38.0;32.90625;35.0;37.0;40.4;35.0;35.0;45;33.46153846153846;30.0;30.0;40.0;0.0;0.0;37.26666666666667;1;15;15;0;7;7;0;2;35.0;1;2;35.0;1;3;40.0;1;1;35.0;2;2;40.0;1;2;40.0;1;3;37.0;1;2;0;0;2;2;40.0
46;36.33333333333334;40.625;45.0;40.0;41.46666666666667;35.0;40.0;45;38.23076923076923;30.0;40.0;0.0;41.0;0.0;35.73333333333333;1;15;15;0;7;7;0;2;35.0;1;2;35.0;1;3;45.0;1;1;40.0;1;2;35.0;1;2;30.0;2;3;38.0;1;2;0;0;2;2;37.77777777777778
52;34.66666666666666;32.40625;35.0;43.0;35.2;30.0;35.0;44;34.76666666666667;32.0;35.0;44.0;40.0;0.0;33.4;0;15;15;0;7;7;0;2;30.0;1;2;31.0;1;3;37.0;1;1;30.0;1;2;35.0;1;2;33.0;1;3;41.0;1;2;0;0;2;3;40.66666666666666
53;38.0;35.40625;35.0;42.0;39.4;40.0;40.0;45;35.45454545454545;35.0;35.0;0.0;0.0;0.0;38.66666666666666;0;15;15;0;7;7;0;2;45.0;1;2;30.0;1;3;40.0;1;1;45.0;1;2;40.0;1;2;30.0;1;3;50.0;1;2;0;0;2;3;42.11111111111111
60;37.66666666666666;35.75;40.0;36.0;39.2;35.0;30.0;40;38.15384615384615;35.0;40.0;45.5;0.0;0.0;34.2;0;15;15;0;7;7;0;2;35.0;1;2;35.0;1;3;40.0;1;1;30.0;1;2;40.0;1;2;30.0;1;3;34.0;1;2;0;0;2;2;35.55555555555556
