NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;NAC_SEIS;NOTA_PLINEAL;NOTA_IECONOMICA;NOTA_DISENO;NOTA_METODOS;NOTA_EI_TRES;PROMEDIO_SIETE;CAR_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;NOTA_EMPRENDIMIENTO;VECES_EMPRENDIMIENTO;CREDITOS_EMPRENDIMIENTO;NOTA_GRAFOS;VECES_GRAFOS;CREDITOS_GRAFOS;NOTA_CALIDAD_UNO;VECES_CALIDAD_UNO;CREDITOS_CALIDAD_UNO;NOTA_MERCADOTECNIA;VECES_MERCADOTECNIA;CREDITOS_MERCADOTECNIA;NOTA_ERGONOMIA;VECES_ERGONOMIA;CREDITOS_ERGONOMIA;NOTA_HOMBRE;VECES_HOMBRE;CREDITOS_HOMBRE;NOTA_EI_CUATRO;VECES_EI_CUATRO;CREDITOS_EI_CUATRO;NOTA_EI_CINCO;VECES_EI_CINCO;CREDITOS_EI_CINCO;RENDIMIENTO_OCHO;PROMEDIO_OCHO
831;39.6;33.29411764705883;32.0;33.1574074074074;34.0;32.0;50;34.76470588235294;30.0;38.0;45.0;42.0;32.0;36.85294117647059;8;29.5;32.0;41.0;37.0;37;40.92307692307692;0;13;13;0;7;7;0;2;43.0;1;2;33.0;1;2;40.0;1;2;42.0;1;2;44.0;1;2;38.0;1;1;45.0;1;2;0.0;0;2;2;35.2
1250;35.5;34.8235294117647;30.0;37.22222222222222;40.0;38.0;45;38.0;36.0;43.0;46.0;45.0;38.0;39.0;8;38.0;46.0;31.0;35.0;38;38.66666666666666;0;15;15;0;8;8;0;2;30.0;1;2;30.0;1;2;43.0;1;2;42.0;1;2;44.0;1;2;38.0;1;1;41.0;1;2;41.0;1;2;2;38.28571428571428
1466;38.6;33.61764705882353;40.0;35.34375;31.0;37.0;0;37.58823529411764;35.0;40.0;47.0;41.0;41.0;35.1764705882353;8;27.33333333333333;35.0;39.0;37.0;37;37.86666666666667;1;15;13;2;8;7;1;2;26.5;2;2;34.0;1;2;41.0;1;2;42.0;1;2;38.0;1;2;41.0;1;1;38.0;1;2;44.0;1;2;2;34.125
2;31.8;31.65625;32.0;37.93333333333333;35.0;30.0;30;36.33333333333334;40.0;27.5;42.5;45.0;0.0;32.4;7;30.0;40.0;30.0;30.0;0;33.88888888888889;0;9;9;0;5;5;0;2;0.0;0;2;41.0;1;2;31.0;1;2;33.0;1;2;30.0;1;2;35.0;1;1;0.0;0;2;0.0;0;2;1;30.0
6;35.33333333333334;35.0;35.0;40.73333333333333;35.0;30.0;44;41.81818181818182;45.0;40.0;0.0;0.0;0.0;38.46666666666667;7;30.0;40.0;40.0;40.0;0;39.44444444444444;0;9;9;0;5;5;0;2;0.0;0;2;50.0;1;2;35.0;1;2;35.0;1;2;40.0;1;2;35.0;1;1;0.0;0;2;0.0;0;2;3;40.66666666666666
9;38.66666666666666;34.3125;37.0;40.73333333333333;35.0;35.0;40;35.38461538461539;30.0;30.0;42.5;0.0;0.0;36.26666666666667;7;35.0;30.0;35.0;40.0;0;40.11111111111111;0;9;9;0;5;5;0;2;0.0;0;2;45.0;1;2;45.0;1;2;33.0;1;2;35.0;1;2;45.0;1;1;0.0;0;2;0.0;0;2;2;37.72727272727273
10;33.66666666666666;34.5625;38.0;37.53333333333333;35.0;35.0;43;33.40909090909091;40.0;35.0;0.0;0.0;0.0;34.66666666666666;7;30.0;30.0;35.0;40.0;0;39.44444444444444;0;9;9;0;5;5;0;2;0.0;0;2;40.0;1;2;45.0;1;2;30.0;1;2;40.0;1;2;45.0;1;1;0.0;0;2;0.0;0;2;2;38.66666666666666
11;32.53333333333333;30.83333333333333;38.0;30.30769230769231;25.0;30.0;32;32.2;31.0;35.0;0.0;35.0;30.0;33.16666666666667;8;29.5;21.66666666666667;40.0;36.0;40;37.66666666666666;0;9;9;0;5;5;0;2;0.0;0;2;37.0;1;2;41.0;1;2;33.0;1;2;41.0;1;2;35.0;1;1;0.0;0;2;0.0;0;2;2;35.11111111111111
15;37.93333333333333;39.0625;50.0;40.33333333333334;40.0;40.0;45;43.53846153846154;45.0;45.0;45.5;0.0;0.0;42.13333333333333;7;35.0;40.0;35.0;50.0;0;43.33333333333334;0;9;9;0;5;5;0;2;0.0;0;2;40.0;1;2;45.0;1;2;45.0;1;2;45.0;1;2;40.0;1;1;0.0;0;2;0.0;0;2;4;45.27272727272727
20;37.2;36.375;46.0;42.2;35.0;40.0;45;36.61538461538461;35.0;35.0;0.0;48.0;0.0;36.66666666666666;7;30.0;40.0;35.0;35.0;0;40.44444444444444;0;9;9;0;5;5;0;2;0.0;0;2;40.0;1;2;40.0;1;2;42.0;1;2;40.0;1;2;40.0;1;1;0.0;0;2;0.0;0;2;3;41.55555555555556
22;41.66666666666666;40.89285714285715;50.0;43.125;40.0;0.0;0;36.66666666666666;0.0;0.0;0.0;0.0;0.0;35.0;2;0.0;0.0;35.0;35.0;0;15.0;0;1;0;1;1;0;1;1;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;0.0;0;2;15.0;1;1;0.0;0;2;0.0;0;2;0;0.0
24;35.33333333333334;32.3125;33.0;33.15384615384615;25.0;30.0;0;27.88461538461538;35.0;40.0;0.0;0.0;0.0;27.71428571428572;6;8.333333333333334;35.0;30.0;35.0;0;31.85714285714286;1;7;5;2;4;3;1;2;0.0;0;2;0.0;0;2;45.0;1;2;9.0;2;2;40.0;1;2;35.0;1;1;0.0;0;2;0.0;0;2;1;15.5
27;38.33333333333334;36.625;38.0;38.06666666666667;30.0;35.0;40;35.45454545454545;30.0;40.0;0.0;0.0;0.0;33.06666666666667;7;25.0;35.0;40.0;30.0;0;32.88888888888889;0;9;9;0;5;5;0;2;0.0;0;2;33.0;1;2;30.0;1;2;30.0;1;2;35.0;1;2;40.0;1;1;0.0;0;2;0.0;0;2;2;35.0
28;37.0;38.0;39.0;37.53333333333333;30.0;45.0;44;36.23076923076923;35.0;40.0;0.0;38.0;0.0;36.66666666666666;7;30.0;45.0;40.0;30.0;0;39.77777777777778;0;9;9;0;5;5;0;2;0.0;0;2;45.0;1;2;40.0;1;2;34.0;1;2;40.0;1;2;40.0;1;1;0.0;0;2;0.0;0;2;3;42.45454545454545
31;33.13333333333333;30.46875;45.0;37.73333333333333;40.0;30.0;41;40.61538461538461;40.0;40.0;46.5;0.0;0.0;35.96666666666667;7;22.5;35.0;30.0;45.0;0;40.88888888888889;0;9;9;0;5;5;0;2;0.0;0;2;38.0;1;2;41.0;1;2;40.0;1;2;45.0;1;2;40.0;1;1;0.0;0;2;0.0;0;2;2;37.63636363636363
32;37.66666666666666;34.25;37.0;37.66666666666666;30.0;30.0;43;34.15384615384615;35.0;35.0;44.5;0.0;0.0;34.46666666666667;7;35.0;27.5;40.0;30.0;0;34.77777777777778;0;9;9;0;5;5;0;2;0.0;0;2;31.0;1;2;37.0;1;2;31.0;1;2;40.0;1;2;35.0;1;1;0.0;0;2;0.0;0;2;2;35.63636363636363
40;33.6;33.125;35.0;41.13333333333333;40.0;35.0;45;37.13333333333333;35.0;40.0;43.5;40.0;0.0;35.83333333333334;7;27.5;40.0;40.0;38.0;0;38.44444444444444;0;9;9;0;5;5;0;2;0.0;0;2;36.0;1;2;40.0;1;2;37.0;1;2;40.0;1;2;40.0;1;1;0.0;0;2;0.0;0;2;2;31.88888888888889
41;36.33333333333334;30.25;32.0;34.66666666666666;30.0;35.0;32;32.8;30.0;35.0;0.0;45.0;31.0;32.16666666666666;7;22.5;35.0;35.0;35.0;0;31.55555555555556;1;9;9;0;5;5;0;2;0.0;0;2;32.5;2;2;30.0;1;2;32.0;1;2;30.0;1;2;35.0;1;1;0.0;0;2;0.0;0;2;2;36.77777777777778
44;33.46666666666667;30.15625;30.0;32.0;21.66666666666667;30.0;38;36.16666666666666;35.0;45.0;0.0;45.0;40.0;33.26666666666667;7;19.0;30.0;35.0;40.0;0;37.88888888888889;0;9;9;0;5;5;0;2;0.0;0;2;41.0;1;2;33.0;1;2;34.0;1;2;45.0;1;2;35.0;1;1;0.0;0;2;0.0;0;2;2;36.22222222222222
