NOTA_PROB;NOTA_CIENCIAS_COMP_UNO;NOTA_MOD_PROG_DOS;NOTA_ARQ_COMP;NOTA_INV_OP_UNO;NOTA_FISICA_TRES;VECES_INV_OP_UNO;VECES_PROB;NOTA_METODOS_NUM;NOTA_MOD_PROG_UNO;VECES_MOD_PROG_DOS;VECES_FISICA_TRES;NOTA_EE_TRES;VECES_CIENCIAS_COMP_UNO;VECES_ARQ_COMP;VECES_EE_TRES;NCC_CUATRO;NCA_CUATRO;NAP_CUATRO;NOTA_MAT_DIS;NOTA_A_SISTEMAS;NAC_TRES;NAA_DOS;VECES_A_SISTEMAS;NOTA_GT_DOS;CAR_CUATRO;NAA_CUATRO;NOTA_FUND_BASES;NCC_TRES;NOTA_HOMBRE;NCP_CUATRO;NAA_TRES;VECES_HOMBRE;NAC_CUATRO;EPA_CUATRO;CREDITOS_PROB;CREDITOS_INV_OP_UNO;PROMEDIO_CINCO;CREDITOS_EE_TRES;CREDITOS_MOD_PROG_DOS;CREDITOS_CIENCIAS_COMP_UNO;CREDITOS_FISICA_TRES;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;CREDITOS_ARQ_COMP;RENDIMIENTO_CINCO
38.0;33.0;41.0;35.0;35.0;36.0;1;1;38.0;44.0;1;1;50;1;1;1;18.0;18.0;0;35.0;40.0;7;7;1;50;0;9;30.0;18.0;46.0;0.0;4;1;9;2;3;3;37.8421052631579;2;3;3;3;34.72222222222222;35.26315789473684;31.111111111666666;2;2.0
0.0;34.0;45.0;38.0;0.0;0.0;0;0;36.0;40.0;1;0;0;1;1;0;11.0;11.0;0;34.0;37.0;2;4;1;0;0;5;37.0;5.0;0.0;0.0;1;0;5;2;3;3;39.125;2;3;3;3;35.333333333333336;30.3125;32.0;2;2.0
28.0;29.0;43.0;31.0;31.5;24.33333333;2;2;40.0;49.0;1;3;50;2;1;1;18.0;18.0;0;40.0;37.0;7;7;1;50;0;9;36.0;18.0;43.0;0.0;5;1;9;2;3;3;33.131578946842104;2;3;3;3;37.888888888888886;37.36842105263158;31.638888888333334;2;2.0
31.0;38.0;43.0;45.0;30.0;32.0;1;2;32.0;35.0;1;1;45;1;1;1;18.0;18.0;0;34.0;33.0;7;5;1;50;0;9;32.0;18.0;40.0;0.0;7;1;9;2;3;3;36.94736842105263;2;3;3;3;33.72222222222222;34.51315789473684;37.55555555555556;2;2.0
32.0;42.0;39.0;38.0;35.0;36.0;1;1;34.0;45.0;1;1;50;1;1;1;18.0;18.0;0;35.0;38.0;7;5;1;50;0;9;31.0;18.0;44.0;0.0;7;1;9;2;3;3;38.31578947368421;2;3;3;3;36.02777777777778;32.55263157947368;36.666666666666664;2;2.0
32.0;45.0;47.0;37.0;42.0;30.0;1;1;39.0;42.0;1;1;50;1;2;1;18.0;18.0;0;38.0;39.0;7;6;1;50;0;9;44.0;18.0;44.0;0.0;5;1;9;2;3;3;40.10526315789474;2;3;3;3;36.90740740666667;34.86842105263158;35.5;2;3.0
30.0;34.5;47.0;37.5;32.0;28.5;1;1;41.0;40.0;1;2;44;2;2;1;18.0;18.0;0;37.0;37.0;7;6;1;50;0;9;37.0;18.0;44.0;0.0;4;1;9;2;3;3;35.73684210526316;2;3;3;3;34.925925926666665;35.315789474210526;33.666666666666664;2;2.0
32.0;42.0;45.0;37.0;32.0;32.0;1;1;41.0;49.0;1;1;46;1;1;1;18.0;18.0;0;38.0;38.0;7;8;1;50;0;9;34.0;18.0;42.0;0.0;7;1;9;2;3;3;37.63157894736842;2;3;3;3;32.648148148888886;35.05263157842105;36.52777777777778;2;2.0
26.0;31.0;43.0;39.0;35.0;24.0;1;2;35.0;32.0;1;3;41;1;1;1;18.0;15.0;1;36.0;41.0;7;7;1;50;1;8;44.0;18.0;47.0;3.0;6;1;9;2;3;3;33.526315789473685;2;3;3;3;35.27777777777778;35.26315789473684;36.30555555555556;2;2.0
31.0;27.5;46.0;38.0;32.0;35.0;1;1;40.0;50.0;1;1;43;2;1;1;18.0;18.0;0;37.0;32.0;7;7;2;50;1;9;38.0;18.0;33.0;0.0;7;1;9;2;3;3;35.60526315789474;2;3;3;3;33.72222222222222;34.23684210526316;36.22222222222222;2;2.0
