NOTA_DIS_ARQ_SOFT;NOTA_EI_OP_AI;NOTA_ING_ECONOMICA;NOTA_REDES_COM_TRES;NOTA_CIBERNETICA_TRES;VECES_EI_OP_AI;VECES_DIS_ARQ_SOFT;VECES_ING_ECONOMICA;VECES_EI_OP_BI;VECES_CIBERNETICA_TRES;NOTA_INV_OP_DOS;NOTA_F_ING_SOF;VECES_REDES_COM_TRES;NAP_SIETE;NOTA_GI_DOS;NOTA_EI_OP_BI;NOTA_INV_OP_TRES;NCA_SIETE;NOTA_REDES_COM_DOS;VECES_CIBERNETICA_DOS;NOTA_MOD_PROG_DOS;CAR_SIETE;NOTA_EI_DOS;NOTA_CIBERNETICA_UDOS;NAA_SIETE;NCC_SIETE;NOTA_ESTADISTICA;NOTA_GT_TRES;NOTA_HISTORIA_COL;VECES_REDES_COM_DOS;NCP_SEIS;NOTA_ECONOMIA;VECES_EI_DOS;NAC_SIETE;VECES_ECONOMIA;EPA_SIETE;NOTA_METODOS_NUM;NCP_SIETE;CREDITOS_CIBERNETICA_TRES;CREDITOS_EE_CUATRO;VECES_F_ING_SOF;NOTA_EE_CUATRO;CREDITOS_ING_ECONOMICA;CREDITOS_EI_OP_BI;CREDITOS_EI_OP_AI;CREDITOS_DIS_ARQ_SOFT;CREDITOS_REDES_COM_TRES;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;RENDIMIENTO_OCHO;PROMEDIO_OCHO
48.0;45.0;39.0;39.0;46.0;1;1;1;1;1;46.0;34.0;1;1;50.0;41.0;42;17.0;39;1;41.0;0;19.0;36.0;8;19.0;38.0;40;32.0;1;0.0;30.0;1;9;1;2;38.0;2.0;2;2;1;0;2;3;3;4;2;34.72222222222222;35.26315789473684;31.111111111666666;37.8421052631579;38.55555555555556;3.0;43.625
45.0;23.5;36.0;41.0;45.0;2;1;1;1;1;44.0;41.0;1;0;50.0;39.0;44;19.0;38;1;43.0;0;35.0;32.0;9;19.0;34.0;45;48.0;1;2.0;39.0;1;9;1;2;40.0;0.0;2;2;1;0;2;3;3;4;2;37.888888888888886;37.36842105263158;31.638888888333334;33.131578946842104;40.333333333333336;2.0;38.21875
46.0;45.0;39.0;46.0;41.0;1;1;1;1;1;49.0;31.5;1;1;50.0;34.0;43;17.0;40;1;43.0;2;35.0;36.0;8;19.0;41.0;50;33.0;1;0.0;28.5;1;9;2;2;32.0;2.0;2;2;2;47;2;3;3;4;2;33.72222222222222;34.51315789473684;37.55555555555556;36.94736842105263;41.0;3.0;42.611111111111114
45.0;45.0;41.0;40.0;42.0;1;1;1;1;1;48.0;41.0;1;1;50.0;39.0;50;17.0;44;1;39.0;0;27.0;43.0;8;19.0;36.0;50;37.0;1;0.0;50.0;1;9;1;2;34.0;2.0;2;2;1;0;2;3;3;4;2;36.02777777777778;32.55263157947368;36.666666666666664;38.31578947368421;43.27777777777778;3.0;42.375
48.0;23.0;48.0;45.0;42.0;2;1;1;1;1;50.0;37.0;1;0;50.0;38.0;41;19.0;40;1;47.0;0;45.0;32.0;9;19.0;38.0;50;47.0;1;0.0;39.0;1;9;1;2;39.0;0.0;2;2;1;0;2;3;3;4;2;36.90740740666667;34.86842105263158;35.5;40.10526315789474;42.72222222222222;3.0;40.3125
47.0;23.0;40.0;45.0;43.0;2;1;1;1;1;48.0;37.0;1;0;50.0;38.0;41;19.0;41;1;47.0;0;44.0;35.0;9;19.0;36.0;50;43.0;1;0.0;38.0;1;9;1;2;41.0;0.0;2;2;1;0;2;3;3;4;2;34.925925926666665;35.315789474210526;33.666666666666664;35.73684210526316;40.888888888888886;2.0;39.1875
46.0;43.0;32.0;43.0;46.0;1;1;1;1;1;45.0;38.0;1;0;50.0;32.0;40;19.0;41;1;45.0;0;34.0;45.0;9;19.0;36.0;50;30.0;1;0.0;42.0;1;9;1;2;41.0;0.0;2;2;1;47;2;3;3;4;2;32.648148148888886;35.05263157842105;36.52777777777778;37.63157894736842;39.72222222222222;3.0;41.388888888888886
42.0;44.0;37.0;44.0;44.0;1;1;1;1;1;40.0;32.0;1;0;50.0;38.0;45;19.0;42;1;43.0;0;32.0;39.0;9;19.0;37.0;45;37.0;1;0.0;30.0;1;9;1;2;35.0;0.0;2;2;1;0;2;3;3;4;2;35.27777777777778;35.26315789473684;36.30555555555556;33.526315789473685;38.388888888888886;3.0;41.5
47.0;43.0;39.0;36.0;48.0;1;1;1;1;1;38.0;35.0;1;0;50.0;34.0;44;19.0;34;1;46.0;0;41.0;34.0;9;19.0;33.0;45;35.0;1;2.0;31.0;1;9;1;2;40.0;0.0;2;2;1;0;2;3;3;4;2;33.72222222222222;34.23684210526316;36.22222222222222;35.60526315789474;35.87037037;3.0;41.5625
50.0;45.0;36.0;43.0;44.0;1;1;1;1;1;46.0;36.0;1;0;50.0;41.0;43;19.0;45;1;31.0;0;32.0;35.0;9;19.0;38.0;50;30.0;1;0.0;47.0;1;9;1;2;42.0;0.0;2;2;1;50;2;3;3;4;2;34.083333333333336;33.10526315789474;35.22222222222222;33.578947368421055;39.888888888888886;3.0;44.666666666666664
