CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;VECES_CATEDRA_DEM;NOTA_EE_UNO;NAP_UNO;VECES_DIFERENCIAL;NOTA_CATEDRA_CON;VECES_EE_UNO;PROMEDIO_DOS;NOTA_TGS;NOTA_PROG_AVANZADA;NOTA_FISICA_DOS;NOTA_MULTIVARIADO;NOTA_SEGUNDA_LENGUA_DOS;VECES_FISICA_DOS;NOTA_EE_DOS;VECES_PROG_AVANZADA;NAA_DOS;VECES_TGS;NCA_DOS;VECES_MULTIVARIADO;NOTA_ECUACIONES;NAC_DOS;NOTA_METODOS_NUM;NOTA_A_SISTEMAS;NOTA_MOD_PROG_UNO;NOTA_MAT_DIS;NOTA_HOMBRE;NOTA_GT_DOS;VECES_A_SISTEMAS;VECES_HOMBRE;NCC_TRES;NAA_TRES;NOTA_FUND_BASES;NAC_TRES;PROMEDIO_CINCO;RENDIMIENTO_CINCO
61.49;50.86;7;52.77;54.3;447.57;63.42;34.72222222222222;22.5;35.0;35.0;8;1;45.0;30.0;45.0;1;9;18.0;14.0;1;42.0;1;2;46.0;1;35.26315789473684;35.0;35.0;22.66666667;23.0;41.0;3;47;1;7;1;16.0;3;24.0;8;38.0;40.0;44.0;35.0;46.0;50;1;1;18.0;4;30.0;7;37.8421052631579;2.0
70.11;67.51;1;50.78;54.3;452.04;48.26;35.333333333333336;22.5;45.0;45.0;6;1;40.0;30.0;45.0;1;7;15.0;11.0;1;0.0;1;2;0.0;0;30.3125;27.5;35.0;0.0;0.0;0.0;0;0;1;4;2;10.0;0;0.0;6;36.0;37.0;40.0;34.0;0.0;0;1;0;5.0;1;37.0;2;39.125;2.0
56.46;59.64;19;52.77;70.24;497.91;50.37;37.888888888888886;30.0;50.0;40.0;9;1;45.0;40.0;45.0;1;9;18.0;18.0;1;30.0;0;2;37.0;1;37.36842105263158;30.0;35.0;26.33333333;31.0;42.0;3;39;1;7;1;17.0;3;23.5;8;40.0;37.0;49.0;40.0;43.0;50;1;1;18.0;5;36.0;7;33.131578946842104;2.0
63.86;48.65;8;54.55;57.04;461.23;57.65;33.72222222222222;25.0;40.0;35.0;7;2;45.0;25.0;40.0;2;9;18.0;11.0;1;37.0;2;2;43.0;1;34.51315789473684;41.0;35.0;37.0;31.0;40.0;1;41;1;5;1;10.0;2;41.0;8;32.0;33.0;35.0;34.0;40.0;50;1;1;18.0;7;32.0;7;36.94736842105263;2.0
64.24;45.94;16;55.09;54.59;438.81;54.6;36.02777777777778;25.0;45.0;35.0;8;2;45.0;32.5;40.0;2;9;18.0;14.0;1;42.0;1;2;42.0;1;32.55263157947368;34.0;40.0;40.0;30.0;37.0;1;43;1;5;1;10.0;1;34.0;8;34.0;38.0;45.0;35.0;44.0;50;1;1;18.0;7;31.0;7;38.31578947368421;2.0
66.94;44.34;20;52.56;53.85;446.86;57.87;36.90740740666667;23.33333333;50.0;40.0;8;1;40.0;35.0;50.0;1;9;18.0;14.0;1;39.0;1;3;43.0;1;34.86842105263158;27.5;41.0;30.0;40.0;38.0;2;44;1;6;2;13.0;1;29.0;8;39.0;39.0;42.0;38.0;44.0;50;1;1;18.0;5;44.0;7;40.10526315789474;3.0
67.13;45.94;7;59.3;70.81;431.06;48.26;34.925925926666665;21.66666667;50.0;40.0;8;1;40.0;30.0;45.0;1;9;18.0;14.0;1;39.0;1;3;39.0;1;35.315789474210526;27.5;43.0;28.5;34.0;36.0;2;40;1;6;2;13.0;1;27.5;8;41.0;37.0;40.0;37.0;44.0;50;1;1;18.0;4;37.0;7;35.73684210526316;2.0
67.13;44.71;18;53.07;56.4;434.39;50.37;32.648148148888886;21.66666667;45.0;30.0;8;1;30.0;30.0;45.0;1;9;18.0;14.0;1;45.0;1;3;41.0;1;35.05263157842105;30.0;40.0;31.5;36.0;33.0;2;46;1;8;1;19.0;1;39.0;8;41.0;38.0;49.0;38.0;42.0;50;1;1;18.0;7;34.0;7;37.63157894736842;2.0
62.82;64.23;20;53.95;47.22;463.92;61.76;35.27777777777778;27.5;45.0;35.0;8;1;40.0;35.0;40.0;1;9;18.0;14.0;1;33.0;1;2;44.0;1;35.26315789473684;35.0;39.0;29.5;40.0;44.0;2;40;1;7;1;16.0;1;30.0;8;35.0;41.0;32.0;36.0;47.0;50;1;1;18.0;6;44.0;7;33.526315789473685;2.0
67.01;48.4;8;52.77;52.57;450.31;63.4;33.72222222222222;22.5;35.0;35.0;8;3;40.0;35.0;40.0;2;9;18.0;14.0;1;42.0;1;2;33.0;1;34.23684210526316;38.0;39.0;34.0;30.0;41.0;1;43;1;7;1;16.0;1;33.0;8;40.0;32.0;50.0;37.0;33.0;50;2;1;18.0;7;38.0;7;35.60526315789474;2.0
63.86;48.65;20;54.55;59.09;439.7;62.59;34.083333333333336;25.0;50.0;27.5;7;2;45.0;30.0;50.0;1;9;18.0;11.0;1;35.0;2;2;41.0;1;33.10526315789474;39.0;47.0;29.0;25.0;42.0;2;38;1;5;1;11.0;2;31.0;8;42.0;43.0;47.0;31.0;43.0;45;1;1;18.0;5;35.0;7;33.578947368421055;2.0
67.01;74.73;20;56.82;50.85;461.3;50.37;32.22222222222222;27.5;50.0;30.0;7;1;40.0;30.0;45.0;1;9;18.0;12.0;1;15.0;2;2;40.0;1;41.10526315789474;30.0;30.0;30.0;32.5;40.0;1;40;1;8;1;19.0;2;42.0;8;35.0;40.0;31.0;39.0;21.0;50;1;2;18.0;7;37.0;7;36.10526315789474;2.0
77.58;74.73;10;61.16;64.33;493.32;50.37;36.333333333333336;30.0;45.0;40.0;9;1;45.0;35.0;30.0;1;9;18.0;18.0;1;31.0;0;1;42.0;1;35.473684210526315;40.0;40.0;38.0;25.5;43.0;1;40;1;8;1;19.0;2;40.0;8;40.0;36.0;43.0;38.0;44.0;50;1;1;18.0;6;37.0;7;39.473684210526315;2.0
63.08;53.98;10;59.93;50.5;430.63;59.31;33.6875;30.0;40.0;35.0;8;1;35.0;30.0;35.0;2;8;16.0;16.0;1;0.0;0;1;39.0;0;31.5;32.0;40.0;0.0;22.66666667;0.0;0;0;1;4;1;11.0;3;30.0;7;30.0;25.0;42.0;45.0;0.0;0;2;0;11.0;3;17.0;4;18.416666664999997;1.0
66.83;46.92;20;57.49;51.89;454.2;62.78;36.888888888888886;30.0;45.0;40.0;9;1;35.0;30.0;50.0;1;9;18.0;18.0;1;40.0;0;2;44.0;1;33.9078947368421;43.0;40.0;36.0;31.0;40.0;1;44;1;5;1;10.0;1;23.0;8;34.0;42.0;44.0;25.0;39.0;50;1;1;18.0;6;36.0;7;36.71052631578947;2.0
70.11;77.14;5;58.93;56.08;472.6;54.54;34.05555555555556;30.0;45.0;35.0;9;0;35.0;35.0;40.0;1;9;18.0;18.0;1;30.0;0;1;33.0;1;33.166666666666664;40.0;35.0;30.0;26.33333333;0.0;1;35;1;4;1;11.0;3;22.5;6;40.0;41.0;34.0;41.0;0.0;50;1;0;16.0;4;31.0;6;31.392857142857142;2.0
53.95;72.32;6;61.56;62.42;477.24;65.96;35.47222222222222;30.0;45.0;35.0;8;2;40.0;27.5;40.0;2;9;18.0;15.0;1;39.0;1;2;43.0;1;31.710526315789473;35.0;40.0;32.5;29.0;39.0;2;45;1;5;1;10.0;2;38.0;8;40.0;44.0;47.0;35.0;48.0;50;1;1;18.0;6;46.0;7;39.78947368421053;2.0
67.01;45.94;6;44.68;47.38;426.06;54.54;36.75;30.0;45.0;40.0;9;1;40.0;32.5;40.0;2;9;18.0;18.0;1;40.0;0;1;39.0;1;34.5;30.0;39.0;41.0;26.0;44.0;1;41;1;6;1;13.0;2;27.5;8;40.0;40.0;40.0;39.0;44.0;50;1;1;18.0;5;33.0;7;38.31578947368421;2.0
