iter	MultiClass
0	1.60207531
1	1.59455871
2	1.586359079
3	1.576420815
4	1.567950428
5	1.558886059
6	1.550017876
7	1.541760249
8	1.534287283
9	1.526188819
10	1.517527359
11	1.510151431
12	1.502403844
13	1.493488195
14	1.48666525
15	1.479417588
16	1.472897084
17	1.46655494
18	1.460242178
19	1.45345263
20	1.448174041
21	1.442447296
22	1.435051021
23	1.428742578
24	1.420148781
25	1.413284579
26	1.407334211
27	1.401290863
28	1.394034927
29	1.388765044
30	1.383677433
31	1.377474275
32	1.372993704
33	1.368074637
34	1.361353672
35	1.35473033
36	1.349984414
37	1.344275555
38	1.33938148
39	1.333912269
40	1.328751294
41	1.324010488
42	1.318542133
43	1.314707736
44	1.310570558
45	1.306590016
46	1.300998632
47	1.29721587
48	1.291863377
49	1.286761969
50	1.282170416
51	1.278844756
52	1.27450141
53	1.270851207
54	1.267039043
55	1.262684314
56	1.259442375
57	1.255883289
58	1.25353197
59	1.249853928
60	1.246228464
61	1.242813793
62	1.239326394
63	1.235736654
64	1.233282306
65	1.230491529
66	1.225963925
67	1.222747927
68	1.219433565
69	1.215712888
70	1.21328352
71	1.210005874
72	1.206439076
73	1.203108734
74	1.2000592
75	1.196895985
76	1.19329326
77	1.189844777
78	1.186892835
79	1.183436601
80	1.180497526
81	1.1775577
82	1.174102775
83	1.171053954
84	1.168349801
85	1.166113979
86	1.163258043
87	1.160662157
88	1.15820953
89	1.155014556
90	1.152200656
91	1.149335026
92	1.146560264
93	1.143907898
94	1.140874551
95	1.138048453
96	1.135592903
97	1.133334518
98	1.130933814
99	1.128193987
100	1.126103035
101	1.123908037
102	1.121604575
103	1.119795504
104	1.11757916
105	1.115189271
106	1.11243578
107	1.110549524
108	1.108277698
109	1.105668166
110	1.103762041
111	1.100951202
112	1.098126894
113	1.095802292
114	1.093608154
115	1.091909142
116	1.089589145
117	1.087649477
118	1.086113381
119	1.08413353
120	1.082155355
121	1.079907767
122	1.078216689
123	1.076353753
124	1.074412254
125	1.072404477
126	1.070428439
127	1.068379526
128	1.066051429
129	1.064444765
130	1.062733027
131	1.06099784
132	1.059322921
133	1.057275106
134	1.055735703
135	1.054003024
136	1.052114769
137	1.050242926
138	1.048417025
139	1.046791562
140	1.045255979
141	1.043788646
142	1.042281297
143	1.041005425
144	1.039909579
145	1.038350669
146	1.037206321
147	1.035772563
148	1.034142468
149	1.032669588
150	1.031311447
151	1.030144949
152	1.028727889
153	1.027525926
154	1.025874967
155	1.024399395
156	1.02347907
157	1.022308592
158	1.020969359
159	1.019222929
160	1.017765216
161	1.016343294
162	1.015243596
163	1.014185272
164	1.012797188
165	1.011342395
166	1.010342425
167	1.009375953
168	1.008191119
169	1.006886348
170	1.005896065
171	1.004568187
172	1.003141188
173	1.002076681
174	1.000706376
175	0.999444565
176	0.9982473708
177	0.9969312648
178	0.9961835554
179	0.995291478
180	0.9939849294
181	0.9929002296
182	0.9917344094
183	0.9906728549
184	0.9897542068
185	0.9889778745
186	0.9873913737
187	0.9863322484
188	0.985439869
189	0.9847009571
190	0.9837216596
191	0.9822826744
192	0.9815520105
193	0.980631997
194	0.9797215266
195	0.9789240469
196	0.9778630475
197	0.976703584
198	0.975899377
199	0.9745342786
200	0.9736284456
201	0.9728409277
202	0.9718193995
203	0.9709206467
204	0.9698796243
205	0.968960022
206	0.9677474265
207	0.9668015944
208	0.9658223459
209	0.96505678
210	0.9638094126
211	0.9628425505
212	0.9618906241
213	0.9608529896
214	0.9601030803
215	0.9594162031
216	0.9586644653
217	0.9578893745
218	0.9570265487
219	0.9562370139
220	0.9552461453
221	0.9543961802
222	0.9536342257
223	0.952827269
224	0.9522258156
225	0.9515426161
226	0.9508150002
227	0.949978731
228	0.9493657878
229	0.9486485574
230	0.9479367962
231	0.9473152851
232	0.9465052802
233	0.945869636
234	0.9452215108
235	0.9443643054
236	0.9437178483
237	0.9429536504
238	0.9420781718
239	0.9413567186
240	0.9406962291
241	0.9399841867
242	0.9393826177
243	0.9387458359
244	0.9381376328
245	0.9374528785
246	0.9367250207
247	0.9361567001
248	0.9355009972
249	0.9349543854
250	0.933944674
251	0.9331018545
