iter	Passed	Remaining
0	2	2572
1	8	4208
2	10	3593
3	13	3240
4	14	2920
5	16	2713
6	23	3332
7	25	3191
8	28	3086
9	30	2994
10	32	2920
11	34	2816
12	36	2743
13	38	2689
14	40	2662
15	42	2624
16	44	2598
17	47	2582
18	49	2537
19	51	2529
20	53	2515
21	56	2516
22	58	2499
23	61	2486
24	65	2555
25	73	2741
26	75	2716
27	91	3182
28	93	3116
29	96	3118
30	99	3108
31	102	3107
32	105	3106
33	108	3074
34	109	3017
35	111	2994
36	114	2982
37	116	2958
38	119	2946
39	122	2933
40	124	2907
41	129	2945
42	135	3019
43	138	3005
44	140	2990
45	144	2992
46	146	2971
47	148	2945
48	151	2933
49	152	2906
50	155	2886
51	157	2871
52	159	2853
53	161	2831
54	163	2816
55	166	2806
56	169	2808
57	173	2813
58	175	2805
59	178	2801
60	181	2796
61	186	2820
62	188	2807
63	193	2832
64	196	2828
65	199	2817
66	201	2805
67	203	2794
68	206	2782
69	208	2770
70	210	2758
71	213	2748
72	216	2751
73	219	2742
74	277	3424
75	284	3460
76	288	3453
77	291	3444
78	294	3429
79	296	3406
80	298	3384
81	300	3363
82	302	3336
83	304	3317
84	306	3299
85	308	3280
86	310	3260
87	334	3463
88	336	3449
89	339	3429
90	341	3411
91	343	3391
92	345	3374
93	348	3356
94	350	3337
95	353	3330
96	356	3319
97	359	3307
98	361	3290
99	365	3286
100	367	3272
101	370	3264
102	373	3255
103	376	3247
104	379	3234
105	381	3218
106	383	3203
107	386	3189
108	388	3178
109	391	3166
110	393	3152
111	395	3137
112	397	3116
113	401	3123
114	405	3118
115	407	3106
116	409	3094
117	412	3081
118	415	3072
119	418	3070
120	421	3064
121	424	3053
122	426	3041
123	428	3030
124	431	3022
125	434	3015
126	437	3008
127	440	2999
128	442	2987
129	444	2975
130	446	2964
131	449	2954
132	451	2943
133	454	2939
134	457	2932
135	460	2924
136	462	2915
137	465	2907
138	467	2896
139	470	2893
140	473	2885
141	476	2877
142	478	2867
143	483	2873
144	486	2868
145	489	2861
146	491	2854
147	494	2848
148	497	2841
149	500	2834
150	503	2828
151	505	2819
152	507	2810
153	510	2803
154	512	2793
155	514	2783
156	525	2823
157	528	2815
158	537	2843
159	540	2835
160	542	2825
161	544	2817
162	547	2809
163	549	2801
164	552	2794
165	554	2785
166	556	2775
167	558	2767
168	560	2758
169	563	2750
170	566	2744
171	569	2741
172	572	2736
173	577	2743
174	589	2777
175	591	2770
176	594	2763
177	596	2754
178	599	2751
179	601	2741
180	603	2730
181	605	2721
182	607	2711
183	609	2700
184	610	2690
185	613	2682
186	615	2674
187	616	2663
188	619	2657
189	621	2647
190	623	2640
191	628	2644
192	632	2642
193	634	2637
194	636	2627
195	638	2619
196	641	2614
197	643	2607
198	646	2603
199	648	2594
200	651	2589
201	653	2581
202	655	2574
203	657	2567
204	659	2558
205	662	2554
206	665	2547
207	667	2541
208	669	2531
209	670	2522
210	671	2512
211	673	2503
212	676	2498
213	678	2491
214	680	2483
215	682	2475
216	684	2468
217	688	2469
218	690	2462
219	693	2457
220	695	2451
221	698	2446
222	700	2439
223	701	2431
224	703	2424
225	706	2418
226	707	2410
227	709	2402
228	711	2394
229	712	2385
230	714	2377
231	715	2368
232	716	2359
233	717	2349
234	718	2340
235	719	2330
236	721	2321
237	722	2313
238	724	2305
239	725	2298
240	727	2290
241	728	2282
242	730	2274
243	731	2266
244	733	2259
245	734	2252
246	736	2244
247	737	2237
248	740	2232
249	742	2226
250	743	2217
251	744	2210
252	746	2202
253	747	2194
254	748	2185
255	749	2177
256	750	2168
257	751	2160
258	752	2151
259	753	2143
260	754	2135
261	755	2128
262	756	2120
263	757	2112
264	758	2104
265	759	2096
266	760	2088
267	761	2080
268	762	2073
269	764	2066
270	765	2059
271	766	2051
272	767	2044
273	768	2036
274	769	2029
275	771	2023
276	773	2018
277	774	2012
278	776	2006
279	777	2000
280	779	1994
281	781	1989
282	783	1983
283	784	1978
284	787	1975
285	789	1971
286	791	1966
287	793	1960
288	797	1961
289	800	1959
290	803	1956
291	805	1952
292	806	1946
293	808	1941
294	811	1940
295	814	1936
296	817	1933
297	818	1928
298	820	1922
299	823	1920
300	824	1915
301	834	1928
302	844	1942
303	845	1936
304	847	1931
305	849	1925
306	850	1920
307	853	1916
308	854	1911
309	856	1905
310	857	1900
311	859	1895
312	861	1889
313	862	1884
314	864	1878
315	865	1873
316	867	1869
317	869	1864
318	870	1859
319	872	1854
320	874	1849
321	875	1844
322	877	1838
323	878	1833
324	881	1830
325	884	1829
326	888	1828
327	906	1857
328	909	1854
329	911	1850
330	913	1847
331	915	1842
332	917	1838
333	919	1833
334	921	1829
335	924	1826
336	926	1821
337	929	1819
338	931	1815
339	934	1813
340	936	1809
341	937	1804
342	940	1800
343	941	1796
344	949	1802
345	951	1798
346	954	1795
347	956	1791
348	958	1787
349	960	1783
350	963	1781
351	965	1776
352	966	1772
353	968	1767
354	970	1763
355	972	1758
356	973	1754
357	975	1749
358	977	1744
359	979	1741
360	981	1737
361	983	1733
362	986	1731
363	988	1727
364	990	1722
365	991	1717
366	993	1713
367	995	1709
368	997	1705
369	999	1702
370	1001	1697
371	1003	1694
372	1005	1690
373	1007	1686
374	1009	1682
375	1011	1679
376	1013	1675
377	1015	1670
378	1017	1666
379	1018	1662
380	1021	1658
381	1023	1655
382	1025	1651
383	1026	1647
384	1028	1642
385	1030	1639
386	1032	1635
387	1034	1631
388	1036	1627
389	1038	1624
390	1040	1620
391	1043	1618
392	1045	1614
393	1047	1611
394	1048	1606
395	1050	1602
396	1052	1598
397	1053	1594
398	1055	1590
399	1057	1586
400	1061	1585
401	1063	1582
402	1066	1579
403	1068	1575
404	1070	1572
405	1072	1568
406	1074	1564
407	1076	1562
408	1078	1558
409	1080	1555
410	1082	1550
411	1084	1547
412	1086	1544
413	1088	1540
414	1090	1536
415	1092	1533
416	1093	1528
417	1095	1525
418	1097	1521
419	1098	1517
420	1100	1512
421	1101	1508
422	1103	1505
423	1105	1502
424	1107	1498
425	1108	1493
426	1110	1489
427	1111	1485
428	1112	1480
429	1113	1475
430	1114	1470
431	1115	1466
432	1116	1461
433	1117	1456
434	1118	1452
435	1119	1447
436	1120	1442
437	1121	1438
438	1122	1433
439	1123	1429
440	1124	1424
441	1125	1420
442	1126	1416
443	1127	1411
444	1128	1407
445	1129	1402
446	1130	1398
447	1131	1394
448	1132	1389
449	1133	1385
450	1134	1381
451	1136	1377
452	1138	1374
453	1140	1371
454	1142	1368
455	1143	1364
456	1145	1361
457	1146	1357
458	1148	1353
459	1149	1349
460	1151	1346
461	1153	1343
462	1155	1339
463	1156	1336
464	1158	1333
465	1163	1332
466	1164	1329
467	1167	1326
468	1169	1324
469	1171	1321
470	1173	1317
471	1180	1320
472	1183	1318
473	1186	1316
474	1188	1313
475	1190	1310
476	1192	1307
477	1194	1304
478	1214	1320
479	1217	1318
480	1219	1316
481	1222	1313
482	1224	1310
483	1227	1308
484	1229	1305
485	1232	1303
486	1235	1301
487	1237	1298
488	1239	1295
489	1241	1291
490	1243	1288
491	1245	1285
492	1247	1283
493	1249	1279
494	1250	1276
495	1254	1274
496	1256	1271
497	1258	1268
498	1260	1265
499	1262	1262
500	1263	1258
501	1265	1255
502	1266	1251
503	1268	1248
504	1269	1244
505	1271	1241
506	1272	1237
507	1274	1234
508	1275	1230
509	1277	1227
510	1278	1223
511	1280	1220
512	1281	1216
513	1283	1213
514	1284	1209
515	1285	1205
516	1286	1201
517	1287	1198
518	1288	1194
519	1290	1190
520	1291	1187
521	1292	1183
522	1294	1180
523	1295	1176
524	1296	1172
525	1297	1169
526	1298	1165
527	1299	1161
528	1301	1158
529	1302	1154
530	1303	1151
531	1304	1147
532	1305	1144
533	1306	1140
534	1307	1136
535	1308	1133
536	1309	1129
537	1310	1125
538	1311	1122
539	1312	1118
540	1313	1114
541	1314	1111
542	1315	1107
543	1316	1103
544	1317	1100
545	1318	1096
546	1319	1093
547	1321	1089
548	1322	1086
549	1323	1082
550	1324	1079
