NOTA_DIF;NOTA_SUELOS;NOTA_POO;NOTA_FIS_DOS;NOTA_TOP;NOTA_EYB;IDIOMA_ICFES;NOTA_HIST;NOTA_ECUA;NOTA_PROGB;LITERATURA_ICFES;NCA_TRES;NOTA_FOTO;NOTA_FIS_UNO;NOTA_CFJC;VECES_SUELOS;EPA_TRES;NOTA_MULTI;NAP_TRES;VECES_POO;NOTA_INT;NAC_TRES;NAP_UNO;CAR_TRES;VECES_FOTO;NCC_TRES;NCA_UNO;NAA_TRES;VECES_MULTI;NCP_TRES;VECES_HIST;VECES_CFJC;VECES_ECUA;VECES_FIS_DOS;VECES_TOP;EPA_DOS;CREDITOS_ECUA;CREDITOS_FIS_DOS;CREDITOS_CFJC;CREDITOS_FOTO;CREDITOS_MULTI;CREDITOS_POO;CREDITOS_SUELOS;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
30;30;45;30;30;45;49.51;45;35;50;62.59;18.0;35;35;45;1;2;30;0;1;30;7;0;1;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;36.1764705882353;36.0;34.72222222222222;2.0;36.88235294117647
30;35;40;39;35;50;47.66;45;30;30;63.33;18.0;35;35;45;1;2;31;0;1;36;7;0;1;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;35.1764705882353;36.0;35.55555555555556;2.0;37.23529411764706
30;0;0;0;36;35;31.96;45;0;0;48.95;1.0;0;30;38;0;1;0;4;0;31;5;0;1;1;12.0;15.0;1;1;11.0;1;2;1;1;1;1;3;3;1;2;3;3;3;29.642857142857142;34.0;3.1666666666666665;0.0;0.0
30;30;40;30;40;40;74.16;45;35;30;53.3;18.0;35;30;45;1;2;30;0;1;30;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;32.94117647058823;37.666666666666664;33.888888888888886;2.0;38.76470588235294
30;35;40;36;35;35;42.2;45;40;30;57.65;18.0;35;35;45;1;2;30;0;1;30;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;32.35294117647059;34.666666666666664;36.55555555555556;2.0;37.529411764705884
30;30;35;35;30;30;49.65;45;40;50;49.19;18.0;35;30;40;1;2;30;0;1;30;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;2;2;3;3;1;2;3;3;3;33.529411764705884;35.666666666666664;34.44444444444444;2.0;34.94117647058823
30;30;31;30;30;30;46.06;40;0;50;57.65;12.0;30;30;39;1;1;3;1;1;31;6;0;0;1;15.0;15.0;5;1;3.0;1;1;0;1;2;2;3;3;1;2;3;3;3;34.94117647058823;34.666666666666664;25.4;2.0;33.0
30;35;35;35;35;35;41.6;40;35;30;53.24;18.0;40;30;50;1;2;35;0;1;35;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;32.35294117647059;38.0;36.388888888888886;2.0;34.94117647058823
30;30;0;0;40;40;65.86;40;35;35;58.52;9.0;30;30;45;1;2;0;0;0;15;4;0;0;1;9.0;15.0;4;0;0.0;1;1;1;0;1;2;3;3;1;2;3;3;3;31.176470588235293;36.0;33.333333333333336;2.0;30.625
35;35;30;32;30;35;54.57;40;30;43;62.71;18.0;37;30;30;2;2;31;0;1;32;7;0;1;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;34.11764705882353;36.333333333333336;32.111111111111114;2.0;34.64705882352941
