NOTA_GEO_FIS;NOTA_L_DOS;NOTA_ECUA;CAR_CINCO;NOTA_CARTO;NOTA_LEGIC;NOTA_GEOGEO;NOTA_POO;NOTA_CFJC;NOTA_INGECO;VECES_L_DOS;NOTA_SUELOS;NOTA_FOTO;NAA_SEIS;NCA_SEIS;NOTA_HSE;NOTA_SIG;NOTA_ME;NOTA_EE_UNO;NOTA_PROGB;CAR_SEIS;VECES_CARTO;NOTA_TOP;LITERATURA_ICFES;VECES_EE_UNO;NOTAS_SISC;NCP_SEIS;VECES_BD;NCC_SEIS;NAP_SEIS;VECES_GEO_FIS;VECES_SIG;NAC_SEIS;EPA_SEIS;VECES_INGECO;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_CINCO;PROMEDIO_CUATRO;PROMEDIO_SEIS;VECES_LEGIC;CREDITOS_GEO_FIS;CREDITOS_L_DOS;CREDITOS_EE_UNO;CREDITOS_INGECO;CREDITOS_LEGIC;VECES_HSE;CREDITOS_SIG;RENDIMIENTO_SIETE;PROMEDIO_SIETE
37;44;35;1;43;42;32;45;45;34;1;30;35;7;15.0;36;33;34;43;50;1;1;30;62.59;1.0;38;0.0;1;15.0;0;2;1;7;2;1;36.1764705882353;36.0;36.833333333333336;36.88235294117647;38.13333333333333;1;3;2;2;2;2;1;3;3.0;40.375
30;30;30;1;39;43;40;40;45;30;1;35;35;7;15.0;38;40;30;40;30;1;1;35;63.33;1.0;46;0.0;1;15.0;0;2;1;7;2;1;35.1764705882353;36.0;38.666666666666664;37.23529411764706;35.6;1;3;2;2;2;2;1;3;2.0;39.5625
0;0;0;0;0;0;0;0;38;0;0;0;0;1;2.0;0;0;0;50;0;0;0;36;48.95;1.0;0;0.0;0;2.0;0;0;0;1;2;0;29.642857142857142;34.0;0.0;0.0;50.0;0;3;2;2;2;2;0;3;0.0;0.0
37;40;35;2;44;44;40;40;45;42;1;30;35;7;15.0;48;40;31;42;30;1;1;40;53.3;1.0;39;0.0;1;15.0;0;2;1;7;2;1;32.94117647058823;37.666666666666664;38.77777777777778;38.76470588235294;41.0;1;3;2;2;2;2;1;3;3.0;40.9375
36;32;40;2;41;38;31;40;45;42;1;35;35;7;15.0;47;38;30;46;30;1;1;35;57.65;1.0;40;0.0;1;15.0;0;1;2;7;2;1;32.35294117647059;34.666666666666664;34.833333333333336;37.529411764705884;39.0;1;3;2;2;2;2;1;3;2.0;36.1875
42;36;40;1;40;37;37;35;40;42;1;30;35;7;15.0;46;38;38;45;50;0;1;30;49.19;1.0;35;0.0;1;15.0;0;1;1;7;2;1;33.529411764705884;35.666666666666664;35.05555555555556;34.94117647058823;40.4;1;3;2;2;2;2;1;3;2.0;38.5
0;0;0;1;30;0;0;31;39;0;0;30;30;0;0.0;0;0;0;0;50;0;1;30;57.65;0.0;0;0.0;1;0.0;0;0;0;0;1;0;34.94117647058823;34.666666666666664;28.75;33.0;0.0;0;3;2;2;2;2;0;3;0.0;0.0
45;41;35;1;33;37;35;35;50;31;1;35;40;7;15.0;39;33;32;49;30;0;1;35;53.24;1.0;35;0.0;1;15.0;0;1;1;7;2;1;32.35294117647059;38.0;35.888888888888886;34.94117647058823;39.266666666666666;1;3;2;2;2;2;1;3;2.0;39.0625
0;0;35;0;0;0;0;0;45;0;0;30;30;0;0.0;0;0;0;0;35;0;0;40;58.52;0.0;0;0.0;0;0.0;0;0;0;0;1;0;31.176470588235293;36.0;0.0;30.625;0.0;0;3;2;2;2;2;0;3;0.0;0.0
38;37;30;2;39;39;36;30;30;38;1;35;37;7;15.0;43;34;32;40;43;1;1;30;62.71;1.0;33;0.0;1;15.0;0;2;1;7;2;1;34.11764705882353;36.333333333333336;37.05555555555556;34.64705882352941;37.8;1;3;2;2;2;2;1;3;2.0;39.375
