NOTA_FOTO;NOTA_POO;NOTA_L_DOS;NOTA_FOTOD;NOTA_AVAM;NOTA_AVAP;NOTA_EI_CUATRO;NOTA_L_TRES;NOTA_EI_UNO;NOTA_ECONOMET;NOTA_FGEP;NOTA_ECUA;NOTA_GEOGEO;NOTA_EI_TRES;NCC_OCHO;VECES_FGEP;NAC_OCHO;VECES_FOTOD;NAA_OCHO;CAR_CINCO;CAR_OCHO;VECES_EI_CUATRO;VECES_L_TRES;NCP_OCHO;NCA_OCHO;EPA_OCHO;VECES_AVAM;VECES_EI_TRES;NAP_OCHO;CREDITOS_L_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_OCHO;CREDITOS_FOTOD;CREDITOS_FGEP;CREDITOS_EI_CUATRO;CREDITOS_AVAM;CREDITOS_EI_TRES;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
35;45;44;35;37;38;36;31;45;38;42;35;32;39;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;36.833333333333336;38.13333333333333;40.375;36.785714285714285;2;2;3;2;3;2.0;37.8
35;40;30;37;31;41;40;42;47;30;32;30;40;37;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;38.666666666666664;35.6;39.5625;36.785714285714285;2;2;3;2;3;2.0;38.6
35;40;40;39;39;38;36;42;45;32;34;35;40;39;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;38.77777777777778;41.0;40.9375;38.07142857142857;2;2;3;2;3;2.0;39.9
35;40;32;37;38;30;38;45;47;34;35;40;31;38;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;34.833333333333336;39.0;36.1875;38.42857142857143;2;2;3;2;3;2.0;39.5
35;35;36;31;45;39;31;42;41;30;44;40;37;34;14.0;1;6;1;6;1;1;1;2;0.0;14.0;2;1;1;0;2;35.05555555555556;40.4;38.5;37.07142857142857;2;2;3;2;3;2.0;37.61538461538461
40;35;41;42;38;30;36;45;42;40;33;35;35;37;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;35.888888888888886;39.266666666666666;39.0625;38.214285714285715;2;2;3;2;3;2.0;40.0
37;30;37;33;42;37;37;37;36;37;38;30;36;37;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;37.05555555555556;37.8;39.375;37.285714285714285;2;2;3;2;3;3.0;40.9
35;35;40;36;38;39;36;31;38;32;30;32;36;37;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;36.77777777777778;38.2;37.75;34.92857142857143;2;2;3;2;3;2.0;34.7
35;35;41;39;41;37;32;41;46;36;45;40;30;33;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;35.833333333333336;40.06666666666667;38.375;37.642857142857146;2;2;3;2;3;3.0;42.18181818181818
45;30;41;35;45;33;36;44;33;32;40;30;38;30;14.0;1;6;1;6;3;0;1;1;0.0;14.0;2;1;1;0;2;34.611111111111114;39.0;36.5625;37.57142857142857;2;2;3;2;3;3.0;41.4
45;45;0;0;0;0;0;0;0;0;0;40;0;0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;1;0;0;0;2;30.0;0.0;0.0;0.0;2;2;3;2;3;0.0;0.0
31;50;35;35;37;34;38;37;40;30;30;34;30;38;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;36.388888888888886;37.13333333333333;35.25;36.142857142857146;2;2;3;2;3;2.0;38.6
35;45;43;41;38;40;41;41;46;31;42;45;33;38;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;37.333333333333336;39.46666666666667;36.5;40.07142857142857;2;2;3;2;3;2.0;39.7
45;30;42;32;41;32;34;40;45;38;33;30;30;36;14.0;1;6;2;6;3;1;1;1;0.0;14.0;2;1;1;0;2;39.22222222222222;39.0;35.8125;35.857142857142854;2;2;3;2;3;2.0;36.3
45;45;46;33;45;41;39;41;39;34;47;30;40;33;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;37.94444444444444;37.93333333333333;37.0625;39.142857142857146;2;2;3;2;3;3.0;42.4
35;40;46;37;37;39;39;45;48;39;36;35;38;36;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;38.55555555555556;37.8;40.3125;38.214285714285715;2;2;3;2;3;3.0;40.38461538461539
45;40;43;34;41;30;45;38;34;39;40;40;45;33;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;38.27777777777778;41.8;37.3125;38.57142857142857;2;2;3;2;3;2.0;39.0
35;50;39;37;45;39;48;39;43;30;34;40;40;37;14.0;1;6;1;6;1;0;1;1;0.0;14.0;2;1;1;0;2;36.611111111111114;40.06666666666667;38.1875;40.357142857142854;2;2;3;2;3;3.0;41.8
40;40;45;45;40;39;39;38;37;33;35;30;30;42;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;36.666666666666664;39.46666666666667;38.1875;39.92857142857143;2;2;3;2;3;3.0;42.2
35;45;44;40;37;35;35;43;44;33;38;35;31;42;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;37.666666666666664;41.2;38.9375;39.07142857142857;2;2;3;2;3;3.0;42.0
42;30;45;31;34;38;30;40;34;37;41;39;38;40;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;35.166666666666664;38.0;39.0;35.857142857142854;2;2;3;2;3;2.0;39.15384615384615
34;30;39;38;44;42;38;47;41;31;40;38;34;37;14.0;1;6;1;6;0;0;1;1;0.0;14.0;2;1;1;0;2;38.388888888888886;42.0;40.625;40.214285714285715;2;2;3;2;3;3.0;42.8
30;30;39;31;38;37;33;40;45;33;34;35;31;39;14.0;1;6;1;6;2;1;1;2;0.0;14.0;2;1;1;0;2;34.888888888888886;40.06666666666667;37.25;35.857142857142854;2;2;3;2;3;3.0;40.15384615384615
40;40;42;39;0;31;0;0;0;20;0;30;30;0;4.0;0;2;1;1;0;0;0;1;2.0;2.0;1;0;0;1;2;39.05555555555556;39.93333333333333;21.1875;19.5;2;2;3;2;3;4.0;50.0
35;35;36;30;31;36;38;41;44;42;33;32;32;42;14.0;2;6;2;6;2;2;1;1;0.0;14.0;2;1;1;0;2;35.94444444444444;35.733333333333334;40.1875;36.42857142857143;2;2;3;2;3;2.0;38.30769230769231
40;50;35;34;41;39;40;37;36;39;42;31;37;39;14.0;1;6;1;6;2;0;1;1;0.0;14.0;2;1;1;0;2;36.94444444444444;39.13333333333333;38.8125;38.92857142857143;2;2;3;2;3;3.0;41.5
