GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;CORTE_INGRESO;ESTADO_FINAL;NOTA_DIF;VECES_DIF;CREDITOS_DIF;NOTA_FIS_UNO;VECES_FIS_UNO;CREDITOS_FIS_UNO;NOTA_CFJC;VECES_CFJC;CREDITOS_CFJC;NOTA_TEXTOS;VECES_TEXTOS;CREDITOS_TEXTOS;NOTA_SEM;VECES_SEM;CREDITOS_SEM;NOTA_PROGB;VECES_PROGB;CREDITOS_PROGB;NOTA_ALGEBRA;VECES_ALGEBRA;CREDITOS_ALGEBRA;NOTA_INT;VECES_INT;CREDITOS_INT;NOTA_DEM;VECES_DEM;CREDITOS_DEM;NOTA_POO;VECES_POO;CREDITOS_POO;NOTA_FIS_DOS;VECES_FIS_DOS;CREDITOS_FIS_DOS;NOTA_CIR_UNO;VECES_CIR_UNO;CREDITOS_CIR_UNO;NOTA_EYB;VECES_EYB;CREDITOS_EYB;NOTA_HCI;VECES_HCI;CREDITOS_HCI;NOTA_MULTI;VECES_MULTI;CREDITOS_MULTI;NOTA_CIR_DOS;VECES_CIR_DOS;CREDITOS_CIR_DOS;NOTA_FIS_TRES;VECES_FIS_TRES;CREDITOS_FIS_TRES;NOTA_ECUA;VECES_ECUA;CREDITOS_ECUA;NOTA_EL_UNO;VECES_EL_UNO;CREDITOS_EL_UNO;NOTA_TERMO;VECES_TERMO;CREDITOS_TERMO;NOTA_MPI;VECES_MPI;CREDITOS_MPI;NOTA_PYE;VECES_PYE;CREDITOS_PYE;NOTA_ELD;VECES_ELD;CREDITOS_ELD;NOTA_EL_DOS;VECES_EL_DOS;CREDITOS_EL_DOS;NOTA_CIR_TRES;VECES_CIR_TRES;CREDITOS_CIR_TRES;NOTA_GEE;VECES_GEE;CREDITOS_GEE;NOTA_ME;VECES_ME;CREDITOS_ME;NOTA_EE_UNO;VECES_EE_UNO;CREDITOS_EE_UNO;NOTA_IYM;VECES_IYM;CREDITOS_IYM;NOTA_ASD;VECES_ASD;CREDITOS_ASD;NOTA_CEM;VECES_CEM;CREDITOS_CEM;NOTA_INSE;VECES_INSE;CREDITOS_INSE;NOTA_GENH;VECES_GENH;CREDITOS_GENH;NOTA_IO_UNO;VECES_IO_UNO;CREDITOS_IO_UNO;NOTA_INGECO;VECES_INGECO;CREDITOS_INGECO;NOTA_DDP;VECES_DDP;CREDITOS_DDP;NOTA_IO_DOS;VECES_IO_DOS;CREDITOS_IO_DOS;NOTA_CONEM;VECES_CONEM;CREDITOS_CONEM;NOTA_TDE;VECES_TDE;CREDITOS_TDE;NOTAS_RDC;VECES_RDC;CREDITOS_RDC;NOTA_CTRL;VECES_CTRL;CREDITOS_CTRL;NOTA_L_UNO;VECES_L_UNO;CREDITOS_L_UNO;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_ECO;VECES_ECO;CREDITOS_ECO;NOTA_AUTO;VECES_AUTO;CREDITOS_AUTO;NOTA_MAQEL;VECES_MAQEL;CREDITOS_MAQEL;NOTA_ELECPOT;VECES_ELECPOT;CREDITOS_ELECPOT;NOTA_ASP;VECES_ASP;CREDITOS_ASP;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;NOTA_L_DOS;VECES_L_DOS;CREDITOS_L_DOS;NOTA_HIST;VECES_HIST;CREDITOS_HIST;NOTA_CCON;VECES_CCON;CREDITOS_CCON;NOTA_FGEP;VECES_FGEP;CREDITOS_FGEP;NOTA_SUBEL;VECES_SUBEL;CREDITOS_SUBEL;NOTA_AIELEC;VECES_AIELEC;CREDITOS_AIELEC;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;NOTA_L_TRES;VECES_L_TRES;CREDITOS_L_TRES;NOTA_EE_DOS;VECES_EE_DOS;CREDITOS_EE_DOS;NOTA_EI_CUATRO;VECES_EI_CUATRO;CREDITOS_EI_CUATRO;NOTA_HSE;VECES_HSE;CREDITOS_HSE;NOTA_ADMIN;VECES_ADMIN;CREDITOS_ADMIN;NOTA_PROTELEC;VECES_PROTELEC;CREDITOS_PROTELEC;NOTA_TGUNO;VECES_TGUNO;CREDITOS_TGUNO;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;NOTA_EI_CINCO;VECES_EI_CINCO;CREDITOS_EI_CINCO;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_TGDOS;VECES_TGDOS;CREDITOS_TGDOS;PROMEDIO_UNO;CAR_UNO;NAC_UNO;NAA_UNO;NAP_UNO;EPA_UNO;NCC_UNO;NCA_UNO;NCP_UNO;RENDIMIENTO_UNO;PROMEDIO_DOS;CAR_DOS;NAC_DOS;NAA_DOS;NAP_DOS;EPA_DOS;NCC_DOS;NCA_DOS;NCP_DOS;RENDIMIENTO_DOS;PROMEDIO_TRES;CAR_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;NCC_TRES;NCA_TRES;NCP_TRES;RENDIMIENTO_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;RENDIMIENTO_CUATRO;PROMEDIO_CINCO;CAR_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;RENDIMIENTO_CINCO;PROMEDIO_SEIS;CAR_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;RENDIMIENTO_SEIS;PROMEDIO_SIETE;CAR_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;RENDIMIENTO_SIETE;PROMEDIO_OCHO;CAR_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;RENDIMIENTO_OCHO;PROMEDIO_NUEVE;CAR_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;RENDIMIENTO_NUEVE;PROMEDIO_DIEZ;CAR_DIEZ;NAC_DIEZ;NAA_DIEZ;NAP_DIEZ;EPA_DIEZ;NCC_DIEZ;NCA_DIEZ;NCP_DIEZ;RENDIMIENTO_DIEZ
0;2;10;1;20;5;441.97;59.02;59.02;50.98;52.16;56.79;56.79;57.84;0;48.98;76.45;10;3;10;3;2009;1;8;40;1;4;40;1;3;45;1;1;45;1;2;50;1;1;35;1;3;50;1;3;35;1;3;50;1;1;50;1;3;35;1;3;35;1;3;35;1;2;45;1;1;35;1;3;35;2;3;35;1;3;40;1;3;35;1;3;35;1;3;40;1;2;35;1;2;40;1;3;35;1;3;35;1;2;35;1;2;45;1;3;46;1;3;40;1;3;42;1;2;35;1;3;35;1;2;50;1;2;35;1;2;38;1;2;41;1;3;41;1;2;35;1;3;44;1;3;36;1;2;35;2;2;44;1;2;30;1;3;31;1;2;33;1;2;31;1;3;30;2;3;41;2;3;31;1;3;47;1;2;43;1;2;45;1;1;42;1;2;31;1;3;34;1;2;34;1;3;46;1;2;47;1;2;42;1;3;41;1;1;47;1;2;36;1;2;50;1;2;44;1;2;43;1;3;44;1;3;40;1;2;42.35294117647059;0;7;7;0;2;17.0;17.0;0.0;3.0;39.375;0;7;7;0;2;16.0;16.0;0.0;2.0;35.833333333333336;1;6;6;0;2;18.0;18.0;0.0;2.0;38.23529411764706;0;7;7;0;2;17.0;17.0;0.0;2.0;40.411764705882355;0;7;7;0;2;17.0;17.0;0.0;3.0;38.8235294117647;1;7;7;0;2;17.0;17.0;0.0;2.0;34.0;2;7;7;0;2;18.0;18.0;0.0;2.0;37.53333333333333;0;7;7;0;2;15.0;15.0;0.0;2.0;42.411764705882355;0;8;8;0;2;17.0;17.0;0.0;3.0;42.9;0;4;4;0;2;10.0;10.0;0.0;3.0
0;2;20;1;36;6;447.84;66.35;66.35;52.53;52.59;60.56;60.56;53.85;0;49.38;80.55;20;6;10;3;2009;1;8;40;1;4;40;1;3;40;1;1;40;1;2;50;1;1;35;1;3;50;1;3;30;1;3;50;1;1;50;1;3;35;2;3;35;1;3;40;1;2;45;1;1;40;1;3;35;2;3;35;2;3;50;1;3;30;1;3;40;1;3;45;1;2;40;1;2;40;1;3;35;1;3;35;1;2;35;1;2;45;1;3;50;1;3;40;1;3;43;1;2;35;1;3;40;1;2;50;1;2;45;1;2;38;1;2;43;1;3;37;1;2;33;1;3;41;1;3;38;1;2;36;1;2;46;1;2;43;1;3;31;2;2;36;1;2;31;1;3;30;1;3;37;1;3;40;1;3;46;1;2;45;1;2;45;1;1;45;1;2;36;1;3;35;1;2;45;1;3;46;1;2;40;1;2;40;1;3;33;1;1;43;1;2;38;1;2;49;1;2;39;1;2;47;1;3;41;1;3;45;1;2;41.470588235294116;0;7;7;0;2;17.0;17.0;0.0;3.0;39.0625;1;7;7;0;2;16.0;16.0;0.0;2.0;38.333333333333336;2;6;6;0;2;18.0;18.0;0.0;2.0;39.411764705882355;0;7;7;0;2;17.0;17.0;0.0;2.0;43.0;0;7;7;0;2;17.0;17.0;0.0;3.0;38.1764705882353;0;7;7;0;2;17.0;17.0;0.0;2.0;36.05555555555556;1;7;7;0;2;18.0;18.0;0.0;2.0;41.0;0;7;7;0;2;15.0;15.0;0.0;3.0;42.35294117647059;0;8;8;0;2;17.0;17.0;0.0;3.0;43.2;0;4;4;0;2;10.0;10.0;0.0;3.0
0;1;20;1;196;18;426.22;58.89;58.89;54.91;49.3;54.66;54.66;48.23;0;51.65;37.51;20;6;10;2;2009;1;5;35;3;4;30;1;3;40;1;1;0;0;2;50;1;1;45;2;3;40;1;3;30;2;3;40;1;1;35;1;3;30;2;3;25;4;3;35;1;2;45;2;1;1;1;3;0;0;3;30;2;3;0;0;3;0;0;3;0;0;3;30;1;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;3;35;1;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;38.333333333333336;2;6;6;0;2;15.0;15.0;0.0;2.0;32.1875;4;7;6;1;2;16.0;13.0;3.0;2.0;15.5;1;2;1;1;1;6.0;3.0;3.0;1.0;30.0;0;1;1;0;2;2.0;2.0;0.0;1.0;35.0;0;1;1;0;2;3.0;3.0;0.0;2.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0
0;1;8;1;20;5;433.27;52.06;52.06;52.53;56.05;65.04;65.04;62.35;0;44.72;55.84;8;3;10;3;2009;1;5;30;1;4;35;1;3;45;1;1;0;0;2;50;1;1;30;1;3;35;1;3;15;1;3;15;1;1;40;1;3;25;1;3;15;1;3;20;1;2;20;1;1;0;0;3;0;0;3;25;1;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;34.333333333333336;0;6;6;0;2;15.0;15.0;0.0;2.0;22.5;0;7;1;6;1;16.0;3.0;13.0;1.0;25.0;0;1;0;1;1;3.0;0.0;3.0;1.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0
0;1;8;1;20;5;477.09;54.33;54.33;50.09;59.94;60.56;60.56;76.52;0;46.69;69.48;8;3;10;3;2009;1;8;30;2;4;35;1;3;45;1;1;35;1;2;50;1;1;30;1;3;30;1;3;35;1;3;50;1;1;30;1;3;35;2;3;35;2;3;40;1;2;30;1;1;35;1;3;30;1;3;35;2;3;30;3;3;35;1;3;30;1;3;30;1;2;30;1;2;42;2;3;33;1;3;44;1;2;32;2;2;33;2;3;41;1;3;45;1;3;36;1;2;32;4;3;30;1;2;30;1;2;40;1;2;32;1;2;43;1;3;40;1;2;36;1;3;31;1;3;32;2;2;30;3;2;46;1;2;40;1;3;42;1;2;33;3;2;42;2;3;33;1;3;38;4;3;35;1;3;44;1;2;48;2;2;43;1;1;41;1;2;32;2;3;42;1;2;34;1;3;44;1;2;42;1;2;39;1;3;38;1;1;32;1;2;33;1;2;37;1;2;0;0;2;37;1;3;30;1;3;44;1;2;33.529411764705884;1;7;7;0;2;17.0;17.0;0.0;2.0;35.3125;2;7;7;0;2;16.0;16.0;0.0;2.0;32.5;2;6;6;0;2;18.0;18.0;0.0;2.0;35.05882352941177;3;7;7;0;2;17.0;17.0;0.0;2.0;36.8235294117647;1;7;7;0;2;17.0;17.0;0.0;2.0;35.1764705882353;2;7;7;0;2;17.0;17.0;0.0;2.0;38.94444444444444;3;7;7;0;2;18.0;18.0;0.0;2.0;39.6;2;7;7;0;2;15.0;15.0;0.0;2.0;37.23529411764706;0;8;8;0;2;17.0;17.0;0.0;2.0;36.125;0;3;3;0;2;8.0;8.0;0.0;2.0
0;1;20;1;222;21;394.21;40.15;40.15;60.98;48.36;46.83;46.83;56.94;0;46.43;39.16;7;5;5;2;2009;1;5;35;3;4;40;1;3;45;1;1;40;1;2;50;1;1;30;1;3;30;2;3;30;3;3;50;1;1;30;1;3;30;2;3;30;1;3;40;1;2;35;1;1;31;2;3;29;4;3;30;2;3;39;1;3;38;1;3;50;1;3;35;1;2;30;1;2;32;1;3;34;1;3;0;0;2;0;0;2;5;1;3;0;0;3;30;1;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;42;1;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;34;1;2;0;0;1;0;0;2;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;36.1764705882353;2;7;7;0;2;17.0;17.0;0.0;2.0;32.8125;2;7;7;0;2;16.0;16.0;0.0;2.0;36.166666666666664;3;6;5;1;2;18.0;15.0;3.0;2.0;26.384615384615383;0;5;4;1;1;13.0;10.0;3.0;1.0;30.0;0;1;1;0;2;3.0;3.0;0.0;1.0;42.0;0;1;1;0;2;3.0;3.0;0.0;3.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;34.0;0;1;1;0;2;2.0;2.0;0.0;2.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0
1;1;8;1;20;5;450.91;61.26;61.26;50.09;57.92;67.62;67.62;55.8;0;58.18;54.57;8;3;10;3;2009;1;8;35;2;4;30;1;3;40;1;1;45;1;2;50;1;1;30;1;3;45;1;3;35;1;3;50;1;1;50;1;3;30;2;3;35;1;3;35;1;2;45;1;1;30;1;3;35;2;3;30;2;3;35;1;3;35;1;3;30;1;3;40;1;2;35;1;2;40;1;3;30;1;3;37;2;2;31;1;2;35;1;3;41;1;3;42;1;3;40;1;2;31;1;3;39;1;2;32;1;2;30;1;2;34;1;2;42;1;3;38;1;2;38;1;3;33;1;3;39;1;2;50;1;2;46;1;2;31;1;3;42;1;2;31;1;2;42;2;3;35;3;3;41;2;3;41;1;3;44;1;2;42;1;2;47;1;1;32;1;2;32;1;3;38;1;2;43;1;3;36;1;2;45;1;2;38;1;3;39;1;1;41;1;2;39;1;2;43;1;2;47;1;2;42;1;3;40;1;3;50;2;2;37.35294117647059;1;7;7;0;2;17.0;17.0;0.0;2.0;38.4375;1;7;7;0;2;16.0;16.0;0.0;2.0;32.5;2;6;6;0;2;18.0;18.0;0.0;2.0;35.35294117647059;1;7;7;0;2;17.0;17.0;0.0;2.0;36.705882352941174;0;7;7;0;2;17.0;17.0;0.0;2.0;38.88235294117647;0;7;7;0;2;17.0;17.0;0.0;2.0;38.05555555555556;3;7;7;0;2;18.0;18.0;0.0;2.0;38.53333333333333;0;7;7;0;2;15.0;15.0;0.0;2.0;40.588235294117645;0;8;8;0;2;17.0;17.0;0.0;3.0;44.0;1;4;4;0;2;10.0;10.0;0.0;3.0
0;0;5;0;0;0;441.38;61.26;61.26;50.09;52.59;48.95;48.95;51.96;0;51.65;43.48;5;6;10;2;2009;1;5;35;3;4;35;1;3;45;1;1;30;1;2;50;1;1;30;1;3;30;3;3;35;2;3;45;1;1;45;1;3;30;1;3;35;1;3;40;1;2;35;1;1;37;1;3;35;2;3;30;1;3;33;1;3;40;1;3;50;1;3;30;1;2;30;1;2;37;1;3;35;2;3;32;1;2;37;1;2;36;1;3;0;0;3;50;1;3;36;1;2;20;3;3;43;1;2;33;1;2;35;1;2;31;1;2;42;1;3;30;1;2;0;0;3;0;0;3;33;1;2;6;2;2;34;1;2;0;0;3;0;1;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;1;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;34.11764705882353;2;7;7;0;2;17.0;17.0;0.0;2.0;37.1875;1;7;7;0;2;16.0;16.0;0.0;2.0;37.5;1;6;6;0;2;18.0;18.0;0.0;2.0;34.23529411764706;1;7;7;0;2;17.0;17.0;0.0;2.0;36.0;1;6;5;1;2;14.0;11.0;3.0;2.0;29.636363636363637;1;5;4;1;1;11.0;9.0;2.0;1.0;17.0;0;2;1;1;1;4.0;2.0;2.0;1.0;0.0;0;1;0;1;1;2.0;0.0;2.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0
1;0;9;0;0;0;467.51;70.42;70.42;54.33;60.21;53.57;53.57;48.64;0;56.96;57.27;2;1;10;3;2009;1;8;35;1;4;40;1;3;40;1;1;45;1;2;50;1;1;35;1;3;50;1;3;35;1;3;50;1;1;50;1;3;30;1;3;40;1;3;40;1;2;45;1;1;35;1;3;35;2;3;30;1;3;45;1;3;35;1;3;40;1;3;45;1;2;40;1;2;45;1;3;35;1;3;35;1;2;30;1;2;35;1;3;50;1;3;45;1;3;44;1;2;35;1;3;45;1;2;50;1;2;45;1;2;39;1;2;50;1;3;43;1;2;39;1;3;36;1;3;40;1;2;32;1;2;42;1;2;43;1;3;33;1;2;30;1;2;33;1;3;33;2;3;30;1;3;39;1;3;45;1;2;44;1;2;48;1;1;43;1;2;36;1;3;32;1;2;47;1;3;42;1;2;42;1;2;30;1;3;44;1;1;44;1;2;37;1;2;47;2;2;45;1;2;38;1;3;34;1;3;43;1;2;40.88235294117647;0;7;7;0;2;17.0;17.0;0.0;3.0;40.0;0;7;7;0;2;16.0;16.0;0.0;2.0;36.666666666666664;1;6;6;0;2;18.0;18.0;0.0;2.0;37.94117647058823;0;7;7;0;2;17.0;17.0;0.0;2.0;44.588235294117645;0;7;7;0;2;17.0;17.0;0.0;3.0;40.1764705882353;0;7;7;0;2;17.0;17.0;0.0;3.0;34.833333333333336;1;7;7;0;2;18.0;18.0;0.0;2.0;40.06666666666667;0;7;7;0;2;15.0;15.0;0.0;3.0;41.11764705882353;1;8;8;0;2;17.0;17.0;0.0;3.0;39.2;0;4;4;0;2;10.0;10.0;0.0;2.0
0;2;18;1;20;5;444.35;54.33;54.33;54.91;57.92;48.95;48.95;51.96;0;47.08;58.45;18;3;10;3;2009;1;5;32;2;4;30;1;3;45;1;1;0;0;2;50;1;1;30;1;3;30;2;3;15;1;3;40;1;1;15;1;3;15;2;3;15;1;3;0;0;2;15;1;1;0;0;3;0;0;3;15;2;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;3;0;0;3;0;0;2;0;0;2;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;3;0;0;3;0;0;3;0;0;2;0;0;2;0;0;1;0;0;2;0;0;3;0;0;2;0;0;3;0;0;2;0;0;2;0;0;3;0;0;1;0;0;2;0;0;2;0;0;2;0;0;2;0;0;3;0;0;3;0;0;2;32.86666666666667;2;6;6;0;2;15.0;15.0;0.0;2.0;16.785714285714285;1;6;1;5;1;14.0;1.0;13.0;1.0;15.0;1;1;0;1;1;3.0;0.0;3.0;1.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;0.0;0.0;0.0;0.0
