NOTA_ECUA;NOTA_TERMO;NOTA_CIR_DOS;NOTA_FIS_DOS;NOTA_EL_UNO;VECES_ECUA;NOTA_FIS_TRES;NOTA_MULTI;NCP_DOS;PROMEDIO_DOS;NCA_DOS;VECES_TERMO;VECES_EL_UNO;VECES_MULTI;VECES_CIR_DOS;NAA_DOS;NAP_DOS;EPA_DOS;VECES_CIR_UNO;VECES_FIS_TRES;NOTA_INT;NOTA_POO;NOTA_EYB;NOTA_HCI;NOTA_CIR_UNO;NCC_DOS;NAC_DOS;NOTA_DEM;VECES_FIS_DOS;VECES_INT;VECES_POO;CAR_DOS;CREDITOS_MULTI;CREDITOS_FIS_TRES;CREDITOS_CIR_DOS;CREDITOS_TERMO;CREDITOS_EL_UNO;CREDITOS_ECUA;RENDIMIENTO_TRES;PROMEDIO_TRES
40;35;35;35;35;1;35;35;0.0;39.375;16.0;1;1;1;2;7;0;2;1;1;35;50;35;45;35;16.0;7;50;1;1;1;0;3;3;3;3;3;3;2.0;35.833333333333336
50;40;35;35;30;1;35;40;0.0;39.0625;16.0;1;1;1;2;7;0;2;1;2;30;50;40;45;35;16.0;7;50;2;1;1;1;3;3;3;3;3;3;2.0;38.333333333333336
0;0;0;30;0;0;30;1;3.0;32.1875;13.0;0;0;1;0;6;1;2;4;2;30;35;35;45;25;16.0;7;40;2;2;1;4;3;3;3;3;3;3;1.0;15.5
0;0;0;25;0;0;25;0;13.0;22.5;3.0;0;0;0;0;1;6;1;1;1;15;40;20;20;15;16.0;7;15;1;1;1;0;3;3;3;3;3;3;1.0;25.0
30;30;30;35;35;3;35;35;0.0;35.3125;16.0;1;1;1;1;7;0;2;2;2;35;30;40;30;35;16.0;7;50;2;1;1;2;3;3;3;3;3;3;2.0;32.5
39;50;29;30;38;1;30;31;0.0;32.8125;16.0;1;1;2;4;7;0;2;1;2;30;30;40;35;30;16.0;7;50;2;3;1;2;3;3;3;3;3;3;2.0;36.166666666666664
35;30;35;30;35;1;30;30;0.0;38.4375;16.0;1;1;1;2;7;0;2;1;2;35;50;35;45;35;16.0;7;50;2;1;1;1;3;3;3;3;3;3;2.0;32.5
33;50;35;30;40;1;30;37;0.0;37.1875;16.0;1;1;1;2;7;0;2;1;1;35;45;40;35;35;16.0;7;45;1;2;1;1;3;3;3;3;3;3;2.0;37.5
45;40;35;30;35;1;30;35;0.0;40.0;16.0;1;1;1;2;7;0;2;1;1;35;50;40;45;40;16.0;7;50;1;1;1;0;3;3;3;3;3;3;2.0;36.666666666666664
0;0;0;15;0;0;15;0;13.0;16.785714285714285;1.0;0;0;0;0;1;5;1;1;2;15;15;0;15;15;14.0;6;40;2;1;1;1;3;3;3;3;3;3;1.0;15.0
