NOTA_INGECO;NOTA_DDP;NOTA_CTRL;NOTA_CONEM;NOTA_TDE;VECES_INGECO;PROMEDIO_CUATRO;VECES_IO_DOS;VECES_DDP;NAC_CINCO;NOTAS_RDC;VECES_CTRL;VECES_RDC;NOTA_IO_DOS;VECES_CONEM;NOTA_EL_DOS;VECES_CEM;VECES_TDE;NCP_CINCO;NCC_CINCO;NOTA_GENH;EPA_CINCO;VECES_INSE;NOTA_ASD;NCA_CINCO;NAA_CINCO;NOTA_INSE;NOTA_IO_UNO;NOTA_IYM;PROMEDIO_CINCO;VECES_IYM;CAR_CINCO;NOTA_CEM;NAP_CINCO;CREDITOS_TDE;CREDITOS_IO_DOS;CREDITOS_INGECO;NOTA_EE_UNO;CREDITOS_CONEM;CREDITOS_RDC;CREDITOS_DDP;CREDITOS_CTRL;RENDIMIENTO_SEIS;PROMEDIO_SEIS
38;41;35;35;44;1;38.23529411764706;1;1;7;36;2;1;41;1;35;1;1;0.0;17.0;50;2;1;42;17.0;7;35;35;40;40.411764705882355;1;0;35;0;3;2;2;46;3;2;3;2;2.0;38.8235294117647
38;43;36;33;41;1;39.411764705882355;1;1;7;38;1;1;37;1;35;1;1;0.0;17.0;50;2;1;43;17.0;7;40;45;40;43.0;1;0;35;0;3;2;2;50;3;2;3;2;2.0;38.1764705882353
32;43;30;36;31;1;35.05882352941177;1;1;7;32;3;2;40;1;33;4;1;0.0;17.0;30;2;1;36;17.0;7;30;40;45;36.8235294117647;1;1;32;0;3;2;2;41;3;2;3;2;2.0;35.1764705882353
0;42;0;0;0;0;26.384615384615383;0;1;1;0;0;0;0;0;34;0;0;0.0;3.0;0;2;0;0;3.0;1;0;0;30;30.0;1;0;0;0;3;2;2;0;3;2;3;2;3.0;42.0
34;42;50;38;33;1;35.35294117647059;1;1;7;39;1;1;38;1;30;1;1;0.0;17.0;32;2;1;40;17.0;7;39;30;42;36.705882352941174;1;0;31;0;3;2;2;41;3;2;3;2;2.0;38.88235294117647
31;42;6;0;0;1;34.23529411764706;1;1;6;33;2;1;30;0;35;3;0;3.0;14.0;33;2;1;36;11.0;5;43;35;50;36.0;1;1;20;1;3;2;2;0;3;2;3;2;1.0;29.636363636363637
39;50;32;39;36;1;37.94117647058823;1;1;7;40;1;1;43;1;35;1;1;0.0;17.0;50;2;1;44;17.0;7;45;45;45;44.588235294117645;1;0;35;0;3;2;2;50;3;2;3;2;3.0;40.1764705882353
42;44;37;34;41;1;34.411764705882355;1;1;7;42;1;1;43;1;30;1;1;0.0;17.0;50;2;1;45;17.0;7;44;31;43;40.8235294117647;1;0;30;0;3;2;2;45;3;2;3;2;3.0;40.294117647058826
33;43;32;45;37;1;36.64705882352941;1;1;7;38;1;1;44;1;30;1;1;0.0;17.0;50;2;1;43;17.0;7;40;45;45;45.470588235294116;1;0;45;0;3;2;2;49;3;2;3;2;2.0;39.35294117647059
31;44;31;37;36;1;35.470588235294116;1;1;7;39;1;1;30;3;36;2;1;0.0;17.0;30;2;1;34;17.0;7;33;32;32;34.588235294117645;1;1;33;0;3;2;2;45;3;2;3;2;2.0;36.05882352941177
