VECES_ECO;NOTA_L_UNO;NOTA_ASP;NOTA_ELECPOT;NOTA_ECO;NOTA_MAQEL;VECES_ASP;NAC_CINCO;NOTA_AUTO;NOTA_DDP;NOTAS_RDC;VECES_ELECPOT;VECES_AUTO;VECES_MAQEL;NCC_SEIS;NCA_SEIS;VECES_IO_DOS;NAC_SEIS;NOTA_CONEM;NOTA_CTRL;NAA_SEIS;NOTA_EI_UNO;NOTA_INGECO;NCP_SEIS;PROMEDIO_SEIS;PROMEDIO_CUATRO;NOTA_TDE;EPA_SEIS;VECES_DDP;VECES_EI_UNO;NAP_SEIS;VECES_L_UNO;CAR_SEIS;CREDITOS_MAQEL;CREDITOS_EI_UNO;CREDITOS_AUTO;VECES_INGECO;CREDITOS_L_UNO;CREDITOS_ASP;CREDITOS_ELECPOT;CREDITOS_ECO;RENDIMIENTO_SIETE;PROMEDIO_SIETE
1;44;41;30;31;31;2;7;33;41;36;2;1;1;17.0;17.0;1;7;35;35;7;30;38;0.0;38.8235294117647;38.23529411764706;44;2;1;1;0;1;1;3;3;2;1;2;3;3;2;2.0;34.0
2;46;37;30;31;31;1;7;36;43;38;1;1;1;17.0;17.0;1;7;33;36;7;43;38;0.0;38.1764705882353;39.411764705882355;41;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;36.05555555555556
1;46;38;33;42;42;4;7;33;43;32;1;3;2;17.0;17.0;1;7;36;30;7;40;32;0.0;35.1764705882353;35.05882352941177;31;2;1;1;0;1;2;3;3;2;1;2;3;3;2;2.0;38.94444444444444
1;46;41;35;42;42;2;7;31;42;39;3;1;2;17.0;17.0;1;7;38;50;7;31;34;0.0;38.88235294117647;35.35294117647059;33;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;38.05555555555556
1;34;0;0;0;0;0;6;0;42;33;0;0;0;11.0;9.0;1;5;0;6;4;0;31;2.0;29.636363636363637;34.23529411764706;0;1;1;0;1;1;1;3;3;2;1;2;3;3;2;1.0;17.0
1;42;30;33;33;33;1;7;30;50;40;2;1;1;17.0;17.0;1;7;39;32;7;43;39;0.0;40.1764705882353;37.94117647058823;36;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;34.833333333333336
1;42;30;36;30;30;1;7;31;44;42;2;1;1;17.0;17.0;1;7;34;37;7;31;42;0.0;40.294117647058826;34.411764705882355;41;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;32.611111111111114
1;35;30;32;31;31;1;7;37;43;38;1;1;1;17.0;17.0;1;7;45;32;7;43;33;0.0;39.35294117647059;36.64705882352941;37;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;34.111111111111114
1;43;34;35;40;40;1;7;32;44;39;1;2;1;17.0;17.0;1;7;37;31;7;38;31;0.0;36.05882352941177;35.470588235294116;36;2;1;1;0;1;1;3;3;2;1;2;3;3;2;2.0;37.27777777777778
1;46;34;31;33;33;4;7;33;47;43;2;2;1;17.0;17.0;1;7;44;32;7;35;49;0.0;39.8235294117647;35.470588235294116;32;2;1;1;0;1;1;3;3;2;1;2;3;3;2;2.0;34.611111111111114
1;41;35;30;42;42;1;7;30;50;38;1;1;1;17.0;17.0;1;7;36;41;7;44;39;0.0;40.05882352941177;40.88235294117647;35;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;37.72222222222222
1;49;33;30;36;36;3;7;38;43;43;2;1;1;17.0;17.0;1;7;37;31;7;32;30;0.0;36.529411764705884;35.8235294117647;37;2;1;1;0;1;1;3;3;2;1;2;3;3;2;2.0;35.5
1;34;43;34;30;30;1;7;42;44;37;2;3;3;17.0;17.0;1;7;32;30;7;39;31;0.0;34.88235294117647;33.88235294117647;33;2;1;1;0;1;3;3;3;2;2;2;3;3;2;2.0;36.111111111111114
1;43;32;30;42;42;1;7;33;41;38;1;1;2;17.0;17.0;1;7;39;46;7;40;40;0.0;41.64705882352941;40.529411764705884;46;2;1;1;0;1;0;3;3;2;1;2;3;3;2;2.0;37.111111111111114
0;0;0;0;0;0;0;7;0;37;0;0;0;0;9.0;7.0;1;4;0;30;3;0;31;2.0;28.333333333333332;36.35294117647059;0;1;1;0;1;0;0;3;3;2;1;2;3;3;2;0.0;0.0
1;44;32;32;45;45;1;7;33;40;33;1;2;2;17.0;17.0;1;7;37;31;7;38;30;0.0;35.529411764705884;35.64705882352941;33;2;1;1;0;1;2;3;3;2;1;2;3;3;2;2.0;38.05555555555556
