PROMEDIO_TRES;PG_ICFES;NOTA_FIS_DOS;NOTA_EL_DOS;NOTA_CAMPOS;NOTA_FCD;FISICA_ICFES;VECES_FCD;BIOLOGIA_ICFES;CON_MAT_ICFES;NOTA_PROGAPL;PROMEDIO_CUATRO;NOTA_VARCOM;NCA_TRES;NOTA_INT;NCP_CUATRO;NCA_CUATRO;NAP_CUATRO;NOTA_PYE_UNO;NCC_CUATRO;NOTA_FIS_TRES;NAC_CUATRO;NCA_DOS;VECES_PYE_UNO;VECES_PROGAPL;NAA_CUATRO;VECES_FIS_TRES;VECES_EL_DOS;VECES_VARCOM;NOTA_L_UNO;CAR_CUATRO;PROMEDIO_DOS;VECES_L_UNO;EPA_CUATRO;PROMEDIO_UNO;VECES_CAMPOS;CREDITOS_FCD;CREDITOS_VARCOM;CREDITOS_CAMPOS;CREDITOS_L_UNO;CREDITOS_PROGAPL;CREDITOS_PYE_UNO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
32.22222222222222;469.67;35.0;30.0;27.5;35.0;63.43;1;74.35;60.48;45.0;33.0;25.0;9.0;25.0;4.0;11.0;2;30.0;15.0;27.5;6;14.0;1;1;4;2;1;2;0.0;2;34.85294117647059;0;2;28.75;2;3;2;2;2;3;2;2.0;38.13333333333333
31.0;468.77;35.0;45.0;35.0;35.0;58.93;1;62.54;62.82;40.0;38.0;40.0;12.0;30.0;0.0;15.0;0;30.0;15.0;27.5;6;14.0;1;1;6;2;1;1;0.0;0;33.088235294117645;0;2;35.0;1;3;2;2;2;3;2;2.0;32.53333333333333
30.97222222222222;486.59;35.0;0.0;20.0;25.0;58.93;1;62.54;78.22;32.5;27.708333333333332;25.0;15.0;35.0;7.0;5.0;3;35.0;12.0;30.0;5;17.0;1;2;2;1;0;1;0.0;1;33.6764705882353;0;1;33.18181818181818;1;3;2;2;2;3;2;0.0;0.0
40.0;462.85;35.0;0.0;0.0;0.0;51.73;0;49.87;81.5;20.0;26.0;0.0;2.0;25.0;3.0;2.0;1;35.0;5.0;0.0;2;6.0;1;1;1;0;0;0;0.0;0;25.88235294117647;0;1;35.0;0;3;2;2;2;3;2;2.0;40.0
37.833333333333336;469.95;40.0;40.0;35.0;45.0;54.12;1;62.54;72.55;40.0;39.0;40.0;18.0;40.0;0.0;15.0;0;30.0;15.0;35.0;6;17.0;1;1;6;1;1;1;0.0;0;37.64705882352941;0;2;33.75;1;3;2;2;2;3;2;2.0;37.266666666666666
26.59090909090909;482.95;30.0;0.0;0.0;25.0;61.41;1;60.25;67.54;40.0;31.875;0.0;5.0;27.5;3.0;5.0;1;30.0;8.0;0.0;3;14.0;1;1;2;0;0;0;0.0;0;33.088235294117645;0;2;32.50000000083333;0;3;2;2;2;3;2;1.0;15.0
35.588235294117645;477.39;40.0;45.0;30.0;40.0;64.0;1;62.54;60.49;50.0;39.666666666666664;30.0;17.0;30.0;0.0;15.0;0;35.0;15.0;30.0;6;17.0;1;1;6;1;1;1;0.0;0;36.1764705882353;0;2;36.666666666666664;1;3;2;2;2;3;2;3.0;40.46666666666667
32.69444444444444;463.42;30.0;35.0;30.0;45.0;66.74;1;65.0;65.16;40.0;36.0;30.0;12.0;22.5;0.0;15.0;0;30.0;15.0;27.5;6;14.0;1;1;6;2;1;1;0.0;0;32.5;0;2;33.75;1;3;2;2;2;3;2;3.0;41.0
30.5;472.02;27.5;44.0;30.0;30.0;56.34;1;59.24;67.77;40.0;34.46666666666667;22.5;11.0;26.66666667;2.0;13.0;1;35.0;15.0;35.0;6;11.0;1;1;5;1;1;2;0.0;1;32.50000000058824;0;2;35.833333333333336;1;3;2;2;2;3;2;1.0;21.57777777833333
32.638888888888886;475.59;35.0;38.0;30.0;45.0;54.12;1;58.09;72.55;45.0;36.6;22.5;15.0;27.5;2.0;13.0;1;30.0;15.0;30.0;6;9.0;1;1;5;2;1;2;0.0;1;32.20588235352941;0;2;31.25;1;3;2;2;2;3;2;1.0;29.466666666666665
40.88235294117647;488.96;40.0;40.0;35.0;45.0;64.0;1;62.54;78.22;45.0;41.333333333333336;40.0;17.0;45.0;0.0;15.0;0;40.0;15.0;40.0;6;17.0;1;1;6;1;1;1;0.0;0;41.1764705882353;0;2;39.166666666666664;1;3;2;2;2;3;2;3.0;42.13333333333333
31.38888888888889;495.09;30.0;0.0;35.0;40.0;61.41;1;65.0;67.54;35.0;36.25;30.0;15.0;25.0;0.0;12.0;0;40.0;12.0;30.0;5;11.0;1;1;5;2;0;1;0.0;0;30.441176470588236;0;2;33.75;1;3;2;2;2;3;2;1.0;21.0
35.44117647058823;471.3;35.0;40.0;35.0;45.0;61.41;1;47.79;75.27;40.0;38.666666666666664;35.0;17.0;30.0;0.0;15.0;0;32.5;15.0;35.0;6;17.0;2;1;6;1;1;1;0.0;1;32.64705882352941;0;2;37.083333333333336;1;3;2;2;2;3;2;3.0;40.53333333333333
36.470588235294116;474.45;35.0;30.0;27.5;35.0;61.41;1;62.54;69.99;45.0;35.8235294117647;30.0;17.0;27.5;2.0;15.0;1;35.0;17.0;40.0;7;14.0;1;1;6;1;1;1;47.0;1;33.970588235294116;1;2;33.333333333333336;2;3;2;2;2;3;2;3.0;42.4
30.0;460.6;15.0;0.0;0.0;0.0;61.41;0;55.99;67.54;0.0;20.0;0.0;2.0;15.0;2.0;0.0;1;20.0;2.0;0.0;1;5.0;1;0;0;0;0;0;0.0;0;23.636363636363637;0;1;26.363636363636363;0;3;2;2;2;3;2;0.0;0.0
33.05555555555556;463.88;40.0;30.0;30.0;50.0;51.73;1;51.92;81.5;35.0;37.0;35.0;18.0;35.0;0.0;15.0;0;40.0;15.0;30.0;6;17.0;1;1;6;1;1;1;0.0;0;35.0;0;2;33.333333333333336;1;3;2;2;2;3;2;1.0;27.22222222222222
35.588235294117645;489.88;40.0;30.0;25.0;50.0;72.97;1;58.09;72.55;45.0;38.588235294117645;27.5;17.0;40.0;4.0;13.0;2;40.0;17.0;35.0;7;17.0;1;1;5;1;1;2;48.0;2;38.8235294117647;1;2;40.0;2;3;2;2;2;3;2;3.0;41.06666666666667
33.05555555555556;487.35;35.0;30.0;30.0;40.0;64.0;1;74.54;78.22;45.0;34.0;22.5;18.0;30.0;2.0;13.0;1;30.0;15.0;30.0;6;15.0;1;1;5;2;1;2;0.0;2;32.94117647058823;0;2;33.75;2;3;2;2;2;3;2;1.0;28.6
24.70588235352941;513.66;30.0;0.0;0.0;0.0;72.97;0;58.09;89.86;35.0;33.0;0.0;8.0;22.5;0.0;5.0;0;30.0;5.0;30.0;2;11.0;1;1;2;1;0;0;0.0;0;30.0;0;2;34.166666666666664;0;3;2;2;2;3;2;1.0;30.0
15.0;391.91;30.0;0.0;0.0;0.0;46.84;0;47.79;50.54;30.0;29.0;0.0;1.0;17.5;2.0;3.0;1;27.5;5.0;0.0;2;8.0;2;1;1;0;0;0;0.0;1;24.852941176470587;0;1;26.319444444166667;0;3;2;2;2;3;2;0.0;0.0
36.470588235294116;493.94;40.0;35.0;35.0;40.0;64.0;1;58.09;75.27;50.0;41.0;45.0;17.0;45.0;0.0;15.0;0;40.0;15.0;30.0;6;17.0;1;1;6;2;1;1;0.0;0;40.294117647058826;0;2;44.583333333333336;1;3;2;2;2;3;2;2.0;39.6
24.944444445000002;509.82;35.0;23.0;0.0;27.5;74.2;2;59.24;70.42;35.0;28.423076923076923;21.5;10.0;27.5;8.0;5.0;3;35.0;13.0;25.0;5;14.0;1;1;2;2;2;4;0.0;3;32.205882352941174;0;1;34.583333333333336;0;3;2;2;2;3;2;1.0;18.9375
29.264705882941175;499.0;40.0;22.5;27.5;40.0;66.74;1;53.95;105.63;45.0;34.55882352941177;35.0;8.0;30.0;5.0;12.0;2;35.0;17.0;27.5;7;17.0;1;1;5;2;2;1;35.0;2;36.1764705882353;1;2;35.416666666666664;2;3;2;2;2;3;2;1.0;22.069444445
23.529411764705884;476.19;45.0;0.0;22.5;19.33333333;66.74;3;51.92;69.99;26.66666667;23.166666666666668;25.0;8.0;30.0;12.0;0.0;5;22.5;12.0;35.0;5;8.0;2;3;0;1;0;2;0.0;5;30.735294118235295;0;1;29.375;2;3;2;2;2;3;2;1.0;3.5
35.138888888888886;507.55;40.0;35.0;30.0;40.0;58.93;1;58.09;85.28;40.0;37.0;35.0;15.0;30.0;0.0;15.0;0;40.0;15.0;30.0;6;17.0;1;1;6;1;1;1;0.0;0;37.05882352941177;0;2;39.166666666666664;1;3;2;2;2;3;2;2.0;32.8
33.611111111111114;477.41;35.0;27.66666667;35.0;40.0;58.93;1;58.09;78.22;45.0;35.533333334;27.5;18.0;25.0;5.0;10.0;2;35.0;15.0;30.0;6;14.0;1;1;4;1;3;2;0.0;2;33.529411764705884;0;2;35.416666666666664;1;3;2;2;2;3;2;2.0;31.233333333333334
