NOTA_EE_DOS;NCC_CINCO;NOTA_ADMICRO;PROMEDIO_TRES;NOTA_FCD;NAP_CINCO;NOTA_VARCOM;NOTA_TFM;PROMEDIO_CINCO;VECES_ADMICRO;PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;NAC_CINCO;NCA_CINCO;NOTA_EL_DOS;PROMEDIO_CUATRO;NOTA_ONDAS;EPA_CINCO;NOTA_CAMPOS;BIOLOGIA_ICFES;VECES_FOU;VECES_ONDAS;NOTA_EL_TRES;CAR_CINCO;NCP_CINCO;NAA_CINCO;NOTA_FOU;VECES_EL_TRES;VECES_TFM;NOTA_PROGAPL;NOTA_FIS_DOS;VECES_EE_DOS;VECES_FCD;CREDITOS_FOU;CREDITOS_EL_TRES;CREDITOS_EE_DOS;CREDITOS_ADMICRO;RENDIMIENTO_SEIS;PROMEDIO_SEIS
50.0;15.0;35.0;32.22222222222222;35.0;1;25.0;43.0;38.13333333333333;1;469.67;60.48;63.43;6;13.0;30.0;33.0;33.0;2;27.5;74.35;2;1;39.0;1;2.0;5;27.5;1;1;45.0;35.0;1;1;2;3;2;3;2.0;39.42857142857143
0.0;15.0;30.0;31.0;35.0;1;40.0;44.0;32.53333333333333;1;468.77;62.82;58.93;6;13.0;45.0;38.0;35.0;2;35.0;62.54;1;1;42.0;0;2.0;5;35.0;1;1;40.0;35.0;1;1;2;3;2;3;1.0;27.392857142857142
0.0;2.0;0.0;30.97222222222222;25.0;1;25.0;0.0;0.0;0;486.59;78.22;58.93;1;0.0;0.0;27.708333333333332;0.0;1;20.0;62.54;0;0;0.0;0;2.0;0;0.0;0;0;32.5;35.0;1;1;2;3;2;3;0.0;0.0
40.0;2.0;0.0;40.0;0.0;0;0.0;0.0;40.0;0;462.85;81.5;51.73;1;2.0;0.0;26.0;0.0;2;0.0;49.87;0;0;0.0;0;0.0;1;0.0;0;0;20.0;35.0;1;0;2;3;2;3;0.0;0.0
0.0;15.0;50.0;37.833333333333336;45.0;1;40.0;48.0;37.266666666666666;1;469.95;72.55;54.12;6;13.0;40.0;39.0;30.0;2;35.0;62.54;1;1;45.0;0;2.0;5;35.0;1;1;40.0;40.0;1;1;2;3;2;3;2.0;34.285714285714285
15.0;2.0;0.0;26.59090909090909;25.0;1;0.0;0.0;15.0;0;482.95;67.54;61.41;1;0.0;0.0;31.875;0.0;1;0.0;60.25;0;0;0.0;0;2.0;0;0.0;0;0;40.0;30.0;1;1;2;3;2;3;1.0;13.333333333333334
50.0;15.0;40.0;35.588235294117645;40.0;0;30.0;49.0;40.46666666666667;1;477.39;60.49;64.0;6;15.0;45.0;39.666666666666664;35.0;2;30.0;62.54;1;1;30.0;0;0.0;6;40.0;1;1;50.0;40.0;1;1;2;3;2;3;2.0;32.857142857142854
50.0;15.0;40.0;32.69444444444444;45.0;1;30.0;43.0;41.0;1;463.42;65.16;66.74;6;13.0;35.0;36.0;28.0;2;30.0;65.0;1;2;40.0;1;2.0;5;45.0;1;1;40.0;30.0;1;1;2;3;2;3;2.0;34.285714285714285
27.5;12.0;10.2;30.5;30.0;4;22.5;0.0;21.57777777833333;5;472.02;67.77;56.34;5;3.0;44.0;34.46666666666667;14.0;1;30.0;59.24;3;3;32.0;3;9.0;1;24.66666667;1;0;40.0;27.5;1;1;2;3;2;3;1.0;26.681818181818183
0.0;15.0;40.0;32.638888888888886;45.0;2;22.5;40.0;29.466666666666665;1;475.59;72.55;54.12;6;11.0;38.0;36.6;31.0;1;30.0;58.09;2;1;30.0;1;4.0;4;25.0;1;1;45.0;35.0;1;1;2;3;2;3;1.0;29.392857142857142
50.0;15.0;45.0;40.88235294117647;45.0;0;40.0;49.0;42.13333333333333;1;488.96;78.22;64.0;6;15.0;40.0;41.333333333333336;30.0;2;35.0;62.54;1;1;40.0;0;0.0;6;35.0;1;1;45.0;40.0;1;1;2;3;2;3;3.0;41.785714285714285
0.0;5.0;35.0;31.38888888888889;40.0;1;30.0;0.0;21.0;1;495.09;67.54;61.41;2;3.0;0.0;36.25;0.0;1;35.0;65.0;0;0;0.0;0;2.0;1;0.0;0;0;35.0;30.0;1;1;2;3;2;3;1.0;13.333333333333334
40.0;15.0;45.0;35.44117647058823;45.0;0;35.0;42.0;40.53333333333333;1;471.3;75.27;61.41;6;15.0;40.0;38.666666666666664;34.5;2;35.0;47.79;1;2;46.0;1;0.0;6;30.0;1;1;40.0;35.0;1;1;2;3;2;3;2.0;38.142857142857146
50.0;15.0;50.0;36.470588235294116;35.0;0;30.0;42.0;42.4;1;474.45;69.99;61.41;6;15.0;30.0;35.8235294117647;30.0;2;27.5;62.54;1;1;40.0;0;0.0;6;40.0;1;1;45.0;35.0;1;1;2;3;2;3;2.0;32.142857142857146
0.0;9.0;25.0;33.05555555555556;50.0;2;35.0;0.0;27.22222222222222;1;463.88;81.5;51.73;4;4.0;30.0;37.0;45.0;1;30.0;51.92;1;1;0.0;0;5.0;2;40.0;0;0;35.0;40.0;1;1;2;3;2;3;1.0;16.666666666666668
50.0;15.0;40.0;35.588235294117645;50.0;0;27.5;46.0;41.06666666666667;1;489.88;72.55;72.97;6;15.0;30.0;38.588235294117645;31.5;2;25.0;58.09;1;2;45.0;1;0.0;6;30.0;1;1;45.0;40.0;1;1;2;3;2;3;2.0;31.071428571428573
0.0;15.0;30.0;33.05555555555556;40.0;2;22.5;41.0;28.6;2;487.35;78.22;64.0;6;11.0;30.0;34.0;28.0;1;30.0;74.54;1;2;30.0;3;4.0;4;35.0;2;1;45.0;35.0;1;1;2;3;2;3;2.0;30.142857142857142
30.0;2.0;0.0;24.70588235352941;0.0;0;0.0;0.0;30.0;0;513.66;89.86;72.97;1;2.0;0.0;33.0;0.0;2;0.0;58.09;0;0;0.0;0;0.0;1;0.0;0;0;35.0;30.0;1;0;2;3;2;3;0.0;0.0
0.0;2.0;0.0;15.0;0.0;1;0.0;0.0;0.0;0;391.91;50.54;46.84;1;0.0;0.0;29.0;0.0;1;0.0;47.79;0;0;0.0;0;2.0;0;0.0;0;0;30.0;30.0;1;0;2;3;2;3;0.0;0.0
45.0;15.0;35.0;36.470588235294116;40.0;0;45.0;48.0;39.6;1;493.94;75.27;64.0;6;15.0;35.0;41.0;40.0;2;35.0;58.09;1;1;35.0;1;0.0;6;35.0;2;1;50.0;40.0;1;1;2;3;2;3;3.0;40.714285714285715
0.0;8.0;32.0;24.944444445000002;27.5;2;21.5;0.0;18.9375;2;509.82;70.42;74.2;3;3.0;23.0;28.423076923076923;0.0;1;0.0;59.24;0;0;18.5;2;5.0;1;0.0;2;0;35.0;35.0;1;2;2;3;2;3;1.0;10.0
0.0;12.0;19.5;29.264705882941175;40.0;4;35.0;0.0;22.069444445;2;499.0;105.63;66.74;5;3.0;22.5;34.55882352941177;17.66666667;1;27.5;53.95;2;3;42.0;3;9.0;1;22.5;1;0;45.0;40.0;1;1;2;3;2;3;1.0;26.357142857142858
0.0;4.0;0.0;23.529411764705884;19.33333333;2;25.0;0.0;3.5;0;476.19;69.99;66.74;2;0.0;0.0;23.166666666666668;7.0;1;22.5;51.92;0;1;0.0;0;4.0;0;0.0;0;0;26.66666667;45.0;1;3;2;3;2;3;1.0;11.666666666666666
0.0;15.0;35.0;35.138888888888886;40.0;1;35.0;49.0;32.8;1;507.55;85.28;58.93;6;13.0;35.0;37.0;40.0;2;30.0;58.09;1;1;30.0;0;2.0;5;35.0;1;1;40.0;40.0;1;1;2;3;2;3;2.0;33.214285714285715
0.0;15.0;35.0;33.611111111111114;40.0;2;27.5;45.0;31.233333333333334;1;477.41;78.22;58.93;6;10.0;27.66666667;35.533333334;40.0;2;35.0;58.09;1;1;29.5;1;5.0;4;30.0;2;1;45.0;35.0;1;1;2;3;2;3;1.0;28.928571428571427
35.0;15.0;30.0;30.970588235294116;40.0;1;30.0;42.0;32.43333333333333;1;489.84;75.91;73.07;6;12.0;45.0;36.666666666666664;30.0;2;27.5;62.46;1;1;23.5;1;3.0;5;35.0;2;1;40.0;35.0;1;1;2;3;2;3;2.0;34.857142857142854
