NUMERO;PROMEDIO_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_TEXTOS;NOTA_EE_UNO;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;NOTA_MULTIVARIADO;VECES_MULTIVARIADO;CREDITOS_MULTIVARIADO;NOTA_ESTADISTICA_UNO;VECES_ESTADISTICA_UNO;CREDITOS_ESTADISTICA_UNO;NOTA_TERMODINAMICA;VECES_TERMODINAMICA;CREDITOS_TERMODINAMICA;NOTA_TGS;VECES_TGS;CREDITOS_TGS;NOTA_ETICA;VECES_ETICA;CREDITOS_ETICA;NOTA_PORIENTADA;VECES_PORIENTADA;CREDITOS_PORIENTADA;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
491;26.66666666666667;3;26.66666666666667;35.0;10.0;0.0;11.45;10;1;1;4.0;0.0;0.0;10.0;0.0;0;2;2;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;35.0;1;2;0.0;0;3;0.0;0;2;0;0.0
831;39.6;7;36.0;41.0;46.0;44.0;33.29411764705883;17;14;6;34.0;29.0;30.0;34.0;32.0;2;18;13;5;7;5;2;2;34.0;1;3;34.0;1;3;29.5;2;3;25.66666666666667;3;2;41.0;1;2;31.0;1;3;39.0;1;2;2;36.38888888888889
1250;35.5;6;35.0;40.0;39.0;39.0;34.8235294117647;17;17;7;32.0;33.0;38.0;42.0;30.0;1;18;18;0;7;7;0;2;40.0;1;3;32.0;1;3;30.0;1;3;31.5;2;2;42.0;1;2;41.0;1;3;47.0;1;2;2;36.33333333333334
1265;30.15384615384615;4;22.0;36.0;37.0;0.0;31.4;15;12;5;30.0;21.0;34.0;34.0;0.0;1;7;5;2;3;2;1;2;0.0;0;3;0.0;0;3;0.0;0;3;33.0;1;2;29.0;3;2;34.0;1;3;0.0;0;2;1;27.5
1466;38.6;7;41.0;39.0;36.0;44.0;33.61764705882353;17;17;7;32.0;36.0;34.0;30.5;40.0;2;16;16;0;6;6;0;2;31.0;1;3;39.0;1;3;41.0;1;3;32.5;2;2;38.0;1;2;30.5;2;3;0.0;0;2;2;37.09375
2;31.8;6;22.5;30.0;30.0;36.0;31.65625;16;13;5;22.5;30.0;30.0;40.0;32.0;0;15;15;0;6;6;0;2;35.0;1;3;40.0;1;3;0.0;0;3;35.0;1;2;38.0;1;2;40.0;1;3;39.0;1;2;2;30.13888888888889
4;31.15384615384615;5;20.0;40.0;30.0;0.0;33.33333333333334;9;9;3;30.0;0.0;0.0;40.0;0.0;0;3;3;0;1;1;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;2;40.0;1;3;0.0;0;2;0;0.0
6;35.33333333333334;7;30.0;40.0;40.0;40.0;35.0;16;16;6;30.0;30.0;35.0;40.0;35.0;0;15;15;0;6;6;0;2;35.0;1;3;40.0;1;3;0.0;0;3;40.0;1;2;43.0;1;2;40.0;1;3;50.0;1;2;2;36.55555555555556
8;38.07692307692308;6;45.0;30.0;35.0;0.0;36.25;12;12;4;30.0;35.0;0.0;45.0;0.0;0;9;9;0;3;3;0;2;30.0;1;3;40.0;1;3;0.0;0;3;0.0;0;2;0.0;0;2;45.0;1;3;0.0;0;2;2;35.0
9;38.66666666666666;7;30.0;40.0;40.0;50.0;34.3125;16;16;6;35.0;30.0;35.0;35.0;37.0;0;15;15;0;6;6;0;2;35.0;1;3;45.0;1;3;0.0;0;3;45.0;1;2;43.0;1;2;35.0;1;3;45.0;1;2;2;36.38888888888889
