NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;NOTA_ECONOMIA_UNO;VECES_ECONOMIA_UNO;CREDITOS_ECONOMIA_UNO;NOTA_ECUACIONES;VECES_ECUACIONES;CREDITOS_ECUACIONES;NOTA_ESTADISTICA_DOS;VECES_ESTADISTICA_DOS;CREDITOS_ESTADISTICA_DOS;NOTA_FISICA_DOS;VECES_FISICA_DOS;CREDITOS_FISICA_DOS;NOTA_MECANICA;VECES_MECANICA;CREDITOS_MECANICA;NOTA_PROCESOSQ;VECES_PROCESOSQ;CREDITOS_PROCESOSQ;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
831;39.6;44.0;33.29411764705883;34.0;29.0;30.0;32.0;33.1574074074074;5;34.0;34.0;29.5;25.66666666666667;39.0;36.38888888888889;2;18;16;2;7;6;1;2;34.0;1;2;35.0;1;3;45.0;1;3;32.0;2;3;26.0;2;2;33.0;1;3;50;1;2;2;34.76470588235294
1250;35.5;39.0;34.8235294117647;32.0;33.0;38.0;30.0;37.22222222222222;7;40.0;32.0;30.0;31.5;47.0;36.33333333333334;1;18;16;2;7;6;1;2;41.0;1;2;30.0;1;3;32.0;1;3;38.0;1;3;26.5;2;2;43.0;1;3;45;1;2;2;38.0
1265;30.15384615384615;0.0;31.4;30.0;21.0;34.0;0.0;32.28571428571428;2;0.0;0.0;0.0;33.0;0.0;27.5;1;4;2;2;2;1;1;1;32.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;23.0;2;2;0.0;0;3;0;0;2;1;25.45
1466;38.6;44.0;33.61764705882353;32.0;36.0;34.0;40.0;35.34375;6;31.0;39.0;41.0;32.5;0.0;37.09375;1;16;16;0;6;6;0;2;41.0;1;2;31.5;2;3;33.0;1;3;37.0;1;3;36.0;1;2;45.0;1;3;0;0;2;2;37.58823529411764
2;31.8;36.0;31.65625;22.5;30.0;30.0;32.0;37.93333333333333;6;35.0;40.0;0.0;35.0;39.0;30.13888888888889;2;18;13;5;7;5;2;2;22.5;2;2;35.0;1;3;30.0;1;3;30.0;1;3;35.0;1;2;27.5;2;3;30;1;2;2;36.33333333333334
6;35.33333333333334;40.0;35.0;30.0;30.0;35.0;35.0;40.73333333333333;6;35.0;40.0;0.0;40.0;50.0;36.55555555555556;0;18;18;0;7;7;0;2;35.0;1;2;40.0;1;3;35.0;1;3;30.0;1;3;40.0;1;2;35.0;1;3;44;1;2;3;41.81818181818182
8;38.07692307692308;0.0;36.25;30.0;35.0;0.0;0.0;38.33333333333334;3;30.0;40.0;0.0;0.0;0.0;35.0;0;2;2;0;1;1;0;2;35.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;2;35.0
9;38.66666666666666;50.0;34.3125;35.0;30.0;35.0;37.0;40.73333333333333;6;35.0;45.0;0.0;45.0;45.0;36.38888888888889;0;18;18;0;7;7;0;2;35.0;1;2;35.0;1;3;35.0;1;3;35.0;1;3;35.0;1;2;40.0;1;3;40;1;2;2;35.38461538461539
10;33.66666666666666;40.0;34.5625;35.0;30.0;28.5;38.0;37.53333333333333;6;35.0;30.0;0.0;40.0;40.0;35.88888888888889;1;18;18;0;7;7;0;2;40.0;1;2;30.0;1;3;45.0;1;3;35.0;1;3;30.0;1;2;30.0;2;3;43;1;2;2;33.40909090909091
11;32.53333333333333;39.0;30.83333333333333;22.5;27.5;28.66666666666667;38.0;30.30769230769231;4;25.0;30.0;0.0;30.0;0.0;31.63888888888889;1;18;15;3;7;6;1;2;30.0;1;2;28.5;2;3;35.0;1;3;30.0;1;3;30.0;1;2;35.0;1;3;32;1;2;2;32.2
15;37.93333333333333;32.0;39.0625;40.0;30.0;45.0;50.0;40.33333333333334;6;40.0;40.0;0.0;45.0;42.0;43.61111111111111;0;18;18;0;7;7;0;2;35.0;1;2;50.0;1;3;50.0;1;3;40.0;1;3;35.0;1;2;45.0;1;3;45;1;2;3;43.53846153846154
17;26.81818181818182;45.0;21.2;0.0;0.0;0.0;30.5;50.0;1;0.0;0.0;0.0;0.0;50.0;0.0;0;0;0;0;0;0;0;1;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;0;0.0
19;31.15384615384615;0.0;28.125;30.0;27.5;0.0;0.0;26.45454545454545;3;7.0;40.0;0.0;30.0;0.0;24.09090909090909;1;11;8;3;4;3;1;1;40.0;1;2;1.666666666666667;3;3;30.0;1;3;0.0;0;3;0.0;0;2;30.0;1;3;0;0;2;1;8.0
20;37.2;39.0;36.375;30.0;30.0;35.0;46.0;42.2;6;35.0;45.0;0.0;45.0;42.0;41.66666666666666;0;18;18;0;7;7;0;2;40.0;1;2;40.0;1;3;50.0;1;3;40.0;1;3;35.0;1;2;40.0;1;3;45;1;2;2;36.61538461538461
22;41.66666666666666;45.0;40.89285714285715;45.0;40.0;0.0;50.0;43.125;3;40.0;45.0;0.0;45.0;0.0;38.07692307692308;0;13;13;0;5;5;0;2;35.0;1;2;35.0;1;3;40.0;1;3;0.0;0;3;40.0;1;2;40.0;1;3;0;0;2;2;36.66666666666666
24;35.33333333333334;35.0;32.3125;30.0;22.5;38.0;33.0;33.15384615384615;3;25.0;35.0;0.0;30.0;28.0;28.875;1;16;13;3;6;5;1;1;30.0;1;2;20.66666666666667;3;3;30.0;1;3;30.0;1;3;35.0;1;2;30.0;1;3;0;0;2;1;27.88461538461538
27;38.33333333333334;35.0;36.625;40.0;30.0;30.0;38.0;38.06666666666667;6;30.0;45.0;0.0;35.0;50.0;35.27777777777778;0;18;18;0;7;7;0;2;30.0;1;2;40.0;1;3;35.0;1;3;35.0;1;3;30.0;1;2;35.0;1;3;40;1;2;2;35.45454545454545
28;37.0;45.0;38.0;40.0;35.0;40.0;39.0;37.53333333333333;6;30.0;35.0;0.0;40.0;46.0;38.77777777777778;1;18;18;0;7;7;0;2;35.0;2;2;40.0;1;3;35.0;1;3;45.0;1;3;30.0;1;2;40.0;1;3;44;1;2;2;36.23076923076923
31;33.13333333333333;41.0;30.46875;30.0;27.5;30.0;45.0;37.73333333333333;6;40.0;40.0;0.0;35.0;43.0;40.38888888888889;0;18;18;0;7;7;0;2;40.0;1;2;45.0;1;3;45.0;1;3;30.0;1;3;35.0;1;2;45.0;1;3;41;1;2;3;40.61538461538461
