NUMERO;PROMEDIO_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_LENGUA_UNO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;NOTA_LOG_UNO;VECES_LOG_UNO;CREDITOS_LOG_UNO;NOTA_GOPERACIONES;VECES_GOPERACIONES;CREDITOS_GOPERACIONES;NOTA_CALIDAD_DOS;VECES_CALIDAD_DOS;CREDITOS_CALIDAD_DOS;NOTA_GAMBIENTAL;VECES_GAMBIENTAL;CREDITOS_GAMBIENTAL;NOTA_LENGUA_DOS;VECES_LENGUA_DOS;CREDITOS_LENGUA_DOS;NOTA_CONTEXTO;VECES_CONTEXTO;CREDITOS_CONTEXTO;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_EI_SIETE;VECES_EI_SIETE;CREDITOS_EI_SIETE;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
831;33.29411764705883;50;34.76470588235294;45.0;36.85294117647059;32.0;40.92307692307692;7;33.0;40.0;44.0;0.0;35.2;2;10;7;3;5;4;1;2;37.0;1;2;29.0;2;3;42.0;1;2;0;0;2;34.0;2;2;39.0;1;1;0.0;0;2;0.0;0;2;1;29.46153846153846
1250;34.8235294117647;45;38.0;46.0;39.0;46.0;38.66666666666666;8;30.0;43.0;44.0;41.0;38.28571428571428;1;14;14;0;7;7;0;2;33.0;1;2;33.0;2;3;46.0;1;2;0;0;2;43.0;1;2;37.0;1;1;45.0;1;2;33.0;1;2;2;38.5625
1466;33.61764705882353;0;37.58823529411764;47.0;35.1764705882353;35.0;37.86666666666667;7;34.0;41.0;38.0;44.0;34.125;2;12;7;5;6;4;2;2;29.0;2;2;25.5;2;3;41.0;1;2;0;0;2;46.0;1;2;37.0;1;1;32.0;1;2;0.0;0;2;2;33.6
2;31.65625;30;36.33333333333334;42.5;32.4;40.0;33.88888888888889;5;41.0;31.0;30.0;0.0;30.0;3;9;2;7;4;1;3;1;28.5;2;2;25.66666666666667;3;3;29.0;2;2;39;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;34.15384615384615
6;35.0;44;41.81818181818182;0.0;38.46666666666667;40.0;39.44444444444444;5;50.0;35.0;40.0;0.0;40.66666666666666;0;9;9;0;4;4;0;2;45.0;1;2;36.0;1;3;39.0;1;2;45;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;38.92307692307692
9;34.3125;40;35.38461538461539;42.5;36.26666666666667;30.0;40.11111111111111;5;45.0;45.0;35.0;0.0;37.72727272727273;0;11;11;0;5;5;0;2;40.0;1;2;33.0;1;3;38.0;1;2;40;1;2;40.0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;2;40.0
10;34.5625;43;33.40909090909091;0.0;34.66666666666666;30.0;39.44444444444444;5;40.0;45.0;40.0;0.0;38.66666666666666;0;9;9;0;4;4;0;2;32.0;1;2;38.0;1;3;42.0;1;2;43;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;36.15384615384615
11;30.83333333333333;32;32.2;0.0;33.16666666666667;21.66666666666667;37.66666666666666;5;37.0;41.0;41.0;0.0;35.11111111111111;0;9;9;0;4;4;0;2;38.0;1;2;30.0;1;3;41.0;1;2;34;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;35.07692307692308
15;39.0625;45;43.53846153846154;45.5;42.13333333333333;40.0;43.33333333333334;5;40.0;45.0;45.0;0.0;45.27272727272727;0;11;11;0;5;5;0;2;45.0;1;2;44.0;1;3;47.0;1;2;45;1;2;46.0;1;2;0.0;0;1;0.0;0;2;0.0;0;2;3;40.30769230769231
20;36.375;45;36.61538461538461;0.0;36.66666666666666;40.0;40.44444444444444;5;40.0;40.0;40.0;0.0;41.55555555555556;0;9;9;0;4;4;0;2;39.0;1;2;40.0;1;3;42.0;1;2;46;1;2;0.0;0;2;0.0;0;1;0.0;0;2;0.0;0;2;2;39.23076923076923
