PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;LOCALIDAD;RENDIMIENTO_UNO;PROMEDIO_UNO;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;CAR_UNO;NCC_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;RENDIMIENTO_TRES;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO;NOTA_ECUACIONES;NOTA_ESTADISTICA_DOS;NOTA_FISICA_DOS;NOTA_MECANICA;NOTA_PROCESOSQ;RENDIMIENTO_CINCO;PROMEDIO_CINCO;NOTA_EE_CUATRO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;RENDIMIENTO_SEIS;PROMEDIO_SEIS;NCA_SEIS;NOTA_PLINEAL;NOTA_DISENO;NOTA_EI_TRES;RENDIMIENTO_SIETE;PROMEDIO_SIETE;NOTA_IECONOMICA;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;RENDIMIENTO_OCHO;PROMEDIO_OCHO;PROMEDIO_NUEVE;RENDIMIENTO_NUEVE
472.22;65.25;63.43;57.31;62.81;8;2.0;39.44444444444444;20;59.24;0;9.0;4;35.0;0.0;45.0;40.0;0.0;40.0;0.0;1.0;15.0;3.0;0.0;0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
478.78;62.84;58.68;65.03;53.56;8;2.0;31.8;0;59.24;1;15.0;6;22.5;30.0;40.0;35.0;30.0;40.0;36.0;2.0;31.65625;16.0;13.0;5;22.5;30.0;30.0;40.0;32.0;2.0;37.93333333333333;6;35.0;40.0;0.0;35.0;39.0;2.0;30.13888888888889;35.0;30.0;30.0;35.0;27.5;2.0;36.333333333333336;30;40.0;27.5;42.5;45.0;0.0;2.0;32.4;15.0;30.0;30.0;0;2.0;33.888888888888886;40.0;5;41.0;31.0;30.0;0.0;2.0;30.000000000000117;34.15384615384615;2.0
465.59;78.22;66.74;63.27;88.67;19;2.0;30.83333333333333;20;49.87;1;15.0;5;30.0;23.75;35.0;40.0;15.0;40.0;40.0;1.0;26.53846153846154;13.0;4.0;2;25.0;20.0;0.0;35.0;0.0;2.0;34.54545454545455;4;35.0;35.0;0.0;40.0;0.0;1.0;16.431818181818183;15.0;4.0;0.0;0.0;21.25;2.0;33.5;0;0.0;30.0;0.0;40.0;0.0;1.0;9.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
491.36;72.55;56.51;55.7;53.32;10;2.0;31.153846153846157;10;65.0;1;13.0;5;20.0;40.0;35.0;40.0;30.0;40.0;0.0;2.0;33.333333333333336;9.0;9.0;3;30.0;0.0;0.0;40.0;0.0;2.0;40.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;20.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
464.62;67.54;64.0;63.27;53.32;20;2.0;36.333333333333336;20;62.54;0;15.0;7;30.0;35.0;40.0;40.0;35.0;35.0;45.0;2.0;34.78125;16.0;16.0;6;35.0;32.5;35.0;35.0;37.0;2.0;37.0;5;35.0;45.0;0.0;40.0;25.0;2.0;38.05555555555556;40.0;35.0;40.0;35.0;40.0;2.0;33.18181818181818;45;30.0;35.0;0.0;0.0;0.0;2.0;35.46666666666667;12.0;25.0;45.0;0;2.0;36.888888888888886;40.0;5;46.0;35.0;35.0;0.0;2.0;38.0;35.53846153846154;2.0
465.73;75.27;58.93;48.97;65.86;16;2.0;35.333333333333336;15;55.99;1;15.0;7;30.0;40.0;30.0;35.0;40.0;45.0;40.0;2.0;35.0;16.0;16.0;6;30.0;30.0;35.0;40.0;35.0;3.0;40.73333333333333;6;35.0;40.0;0.0;40.0;50.0;2.0;36.55555555555556;40.0;35.0;30.0;40.0;35.0;3.0;41.81818181818182;44;45.0;40.0;0.0;0.0;0.0;2.0;38.46666666666667;15.0;30.0;40.0;0;2.0;39.44444444444444;40.0;5;50.0;35.0;40.0;0.0;3.0;40.66666666666666;38.92307692307692;2.0
555.13;89.86;81.3;68.28;45.98;5;1.0;23.846153846153847;6;58.09;1;13.0;4;15.0;15.0;30.0;35.0;30.0;35.0;0.0;1.0;30.0;6.0;6.0;2;0.0;0.0;0.0;30.0;0.0;1.0;30.0;1;0.0;0.0;0.0;0.0;0.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
491.66;89.86;54.12;57.44;53.32;9;2.0;38.07692307692308;9;65.0;0;13.0;6;45.0;30.0;35.0;40.0;35.0;40.0;0.0;2.0;36.25;12.0;12.0;4;30.0;35.0;0.0;45.0;0.0;2.0;38.333333333333336;3;30.0;40.0;0.0;0.0;0.0;2.0;35.0;0.0;0.0;0.0;0.0;0.0;2.0;35.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
478.1;72.55;56.51;61.18;69.48;5;2.0;38.66666666666666;15;53.95;1;15.0;7;30.0;40.0;40.0;40.0;40.0;40.0;50.0;2.0;34.3125;16.0;16.0;6;35.0;30.0;35.0;35.0;37.0;3.0;40.73333333333333;6;35.0;45.0;0.0;45.0;45.0;2.0;36.388888888888886;35.0;35.0;35.0;35.0;40.0;2.0;35.38461538461539;40;30.0;30.0;42.5;0.0;0.0;2.0;36.266666666666666;15.0;35.0;35.0;0;3.0;40.11111111111112;30.0;5;45.0;45.0;35.0;0.0;2.0;37.72727272727273;40.0;2.0
465.69;67.54;56.51;57.44;62.69;18;2.0;33.666666666666664;15;58.09;1;15.0;6;22.5;40.0;35.0;40.0;35.0;40.0;40.0;2.0;34.5625;16.0;14.0;5;35.0;30.0;28.5;40.0;38.0;2.0;37.53333333333333;6;35.0;30.0;0.0;40.0;40.0;2.0;35.888888888888886;30.0;45.0;35.0;30.0;30.0;2.0;33.40909090909091;43;40.0;35.0;0.0;0.0;0.0;2.0;34.666666666666664;15.0;30.0;35.0;0;2.0;39.44444444444444;30.0;5;40.0;45.0;40.0;0.0;2.0;38.66666666666666;36.15384615384615;2.0
