CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;ANO_INGRESO;FILOSOFIA_ICFES;APT_VERB_ICFES;FISICA_ICFES;MUNICIPIO;GENERO;APT_MAT_ICFES;LOCALIDAD;DEPARTAMENTO;SOCIALES_ICFES;ESTRATO;CALENDARIO;TIPO_COLEGIO;DISTANCIA;INSCRIPCION;CORTE_INGRESO;RENDIMIENTO_UNO;PROMEDIO_UNO
72.05;61.66;18;75.95;72.45;469.4;62.21;2011;57.9;62.21;66.68;19;0;72.05;19;5;0;2;1;1;5;10;1;1.0;13.766666666666667
72.05;65.57;11;66.77;64.44;455.25;62.21;2011;57.9;62.21;69.72;19;0;72.05;11;5;0;2;1;2;5;10;1;2.0;30.533333333333335
72.05;55.62;11;75.16;54.1;460.51;65.03;2011;57.9;65.03;66.93;19;0;72.05;11;5;0;2;1;2;5;10;1;1.0;20.7291666675
79.26;58.01;22;83.7;78.83;489.85;62.21;2011;60.81;62.21;69.72;237;0;79.26;22;15;0;2;1;2;6;10;1;2.0;37.666666666666664
79.26;66.95;20;75.95;69.64;498.77;70.87;2011;69.52;70.87;75.93;239;0;79.26;17;15;0;1;1;1;2;10;1;1.0;21.4
83.87;81.98;11;49.51;75.02;470.01;65.03;2011;60.81;65.03;63.86;19;0;83.87;11;5;0;3;1;2;5;10;1;2.0;38.333333333333336
74.62;81.98;8;72.69;59.52;444.51;67.8;2011;44.32;67.8;69.72;0;0;74.62;8;0;0;2;0;0;3;10;1;3.0;42.44444444444444
78.36;59.21;19;58.6;57.08;445.84;73.83;2011;53.93;73.83;72.78;19;0;78.36;19;5;0;1;1;2;5;10;1;1.0;27.733333333333334
60.51;68.41;11;72.69;72.45;477.8;73.83;2011;65.24;73.83;72.78;19;0;60.51;11;5;0;2;1;2;5;10;1;2.0;35.833333333333336
60.91;62.94;15;55.09;78.39;477.56;56.55;2011;75.71;56.55;76.27;19;0;60.91;18;5;0;2;1;2;3;10;1;3.0;42.27777777777778
63.5;62.94;10;72.69;66.99;469.47;70.87;2011;66.58;70.87;66.68;19;0;63.5;10;5;0;3;1;2;3;10;1;1.0;29.240740740000003
89.86;67.6;20;65.0;63.27;468.1;66.94;2011;46.04;66.94;72.97;224;0;89.86;20;7;0;3;1;2;6;10;1;2.0;38.90625
72.05;77.13;3;83.7;82.67;486.29;70.87;2011;66.58;70.87;57.4;19;0;72.05;8;5;0;3;1;2;3;10;1;2.0;36.44444444444444
71.35;71.53;6;63.2;86.89;487.7;77.1;2011;59.66;77.1;66.93;19;0;71.35;5;5;0;2;1;2;6;10;1;1.0;22.666666666666668
78.36;65.57;18;60.48;86.89;473.77;59.27;2011;53.93;59.27;69.98;19;0;78.36;19;5;0;2;1;2;5;10;1;1.0;22.5
69.01;48.86;10;63.2;69.14;441.21;53.63;2011;48.66;53.63;73.09;19;0;69.01;9;5;0;3;1;1;4;10;1;2.0;39.611111111111114
68.39;75.52;2;61.28;59.52;488.14;77.1;2011;77.27;77.1;69.72;19;0;68.39;2;5;0;4;3;2;1;10;1;1.0;26.59375
78.36;61.66;11;68.87;66.48;487.62;73.83;2011;65.24;73.83;69.98;19;0;78.36;11;5;0;3;1;1;5;10;1;2.0;38.666666666666664
74.62;73.68;1;66.77;64.44;462.99;59.27;2011;62.46;59.27;60.57;19;0;74.62;1;5;0;3;1;1;5;10;1;1.0;14.638888889533336
71.35;77.13;22;72.69;66.99;480.9;70.74;2011;65.24;70.74;66.68;237;0;71.35;22;15;0;2;1;2;6;10;1;2.0;36.411764705882355
72.05;79.4;10;61.28;75.48;470.74;73.98;2011;63.68;73.98;57.4;19;0;72.05;10;5;0;3;1;2;3;10;1;2.0;39.111111111111114
78.36;81.98;11;71.9;82.24;490.98;56.41;2011;62.46;56.41;69.98;0;0;78.36;18;0;0;3;0;0;3;10;1;2.0;39.5
74.62;77.13;10;78.77;71.97;491.4;73.83;2011;59.66;73.83;69.98;19;0;74.62;10;5;0;3;1;1;3;10;1;2.0;32.388888888888886
66.17;48.42;7;53.19;61.96;417.88;47.41;2011;57.9;47.41;75.93;19;0;66.17;7;5;0;1;1;1;5;4;1;2.0;30.805555555555557
74.62;70.37;18;69.65;72.45;484.3;64.91;2011;68.09;64.91;69.72;19;0;74.62;18;5;0;2;1;1;3;10;1;2.0;31.41176470588235
69.01;59.21;20;69.65;59.52;476.25;73.98;2011;63.68;73.98;75.93;240;0;69.01;20;12;0;1;1;1;6;10;1;2.0;35.388888888888886
69.01;53.27;9;72.69;78.83;464.22;62.21;2011;51.89;62.21;69.72;19;0;69.01;9;5;0;3;1;1;4;10;1;3.0;41.0
78.36;53.73;20;63.2;59.0;461.1;67.8;2011;62.46;67.8;69.98;228;0;78.36;20;15;0;2;1;1;6;10;1;2.0;36.666666666666664
69.01;102.61;10;75.16;69.14;482.89;67.92;2011;69.52;67.92;69.98;19;0;69.01;6;5;0;3;1;2;5;10;1;2.0;36.333333333333336
66.17;60.44;10;68.87;59.0;461.78;67.92;2011;63.68;67.92;76.27;19;0;66.17;10;5;0;3;1;1;3;10;1;1.0;22.166666666
68.39;67.41;9;69.65;57.08;473.17;70.74;2011;71.0;70.74;66.68;19;0;68.39;9;5;0;2;1;1;4;10;1;2.0;39.22222222222222
66.17;71.98;10;53.19;61.96;455.56;77.28;2011;57.9;77.28;69.72;19;0;66.17;10;5;0;3;1;2;3;10;1;2.0;38.111111111111114
79.26;62.94;11;63.2;61.43;459.89;56.55;2011;63.68;56.55;63.86;19;0;79.26;11;5;0;3;1;1;5;10;1;2.0;35.088235294117645
63.5;77.55;6;72.69;54.61;460.24;67.92;2011;66.58;67.92;72.78;19;0;63.5;6;5;0;3;1;2;5;10;1;1.0;19.533333333333335
68.39;61.66;16;63.99;66.99;454.82;62.11;2011;50.93;62.11;72.78;19;0;68.39;8;5;0;4;1;1;3;10;1;2.0;30.38888888888889
78.36;58.01;20;58.6;64.44;464.76;59.27;2011;65.24;59.27;66.68;233;0;78.36;20;15;0;2;1;1;6;10;1;2.0;30.666666666666668
89.92;59.21;10;63.2;75.02;463.13;62.21;2011;45.2;62.21;69.98;19;0;89.92;8;5;0;3;1;2;3;10;1;1.0;29.333333333333332
63.5;71.98;8;58.6;57.08;451.11;65.03;2011;60.81;65.03;79.22;0;0;63.5;8;0;0;2;0;0;3;10;1;1.0;18.2
66.17;85.05;1;63.2;75.02;462.77;56.55;2011;66.58;56.55;73.09;19;0;66.17;1;5;0;5;1;1;5;10;1;2.0;36.13333333333333
63.5;82.38;12;72.69;66.99;482.23;67.92;2011;72.54;67.92;66.68;19;0;63.5;11;5;0;2;1;2;5;10;1;2.0;32.44444444444444
72.05;73.24;20;79.57;72.45;464.51;65.03;2011;51.89;65.03;63.65;241;0;72.05;20;7;0;2;1;1;6;10;1;2.0;32.0
78.36;85.05;21;58.6;64.44;457.77;64.91;2011;65.24;64.91;63.65;19;0;78.36;11;5;0;2;1;2;5;10;1;1.0;15.333333333333334
68.39;62.94;20;66.77;72.45;489.55;67.8;2011;71.0;67.8;75.93;0;0;68.39;8;0;0;2;0;0;3;10;1;1.0;22.533333333333335
71.35;60.44;8;58.6;82.67;469.8;62.11;2011;68.09;62.11;66.68;19;0;71.35;8;5;0;2;1;1;3;10;1;1.0;8.7555555564
69.01;59.21;16;69.65;75.48;479.21;65.03;2011;69.52;65.03;63.65;19;0;69.01;16;5;0;3;1;2;2;10;1;2.0;34.166666666666664
75.41;73.24;10;66.77;69.64;474.45;67.92;2011;66.58;67.92;63.65;19;0;75.41;10;5;0;3;1;2;3;10;1;1.0;27.333333333333332
71.35;53.27;10;57.8;61.43;436.85;53.5;2011;53.93;53.5;76.27;19;0;71.35;10;5;0;2;1;2;3;10;1;2.0;30.647058823529413
71.35;65.57;1;66.77;66.99;461.16;70.74;2011;68.09;70.74;63.65;19;0;71.35;10;5;0;3;1;1;3;10;1;1.0;19.0
72.05;66.95;20;69.65;57.08;456.39;70.87;2011;57.9;70.87;66.68;251;0;72.05;20;9;0;1;1;1;6;10;1;2.0;34.833333333333336
74.62;55.62;6;65.98;69.14;481.95;62.11;2011;71.0;62.11;66.93;19;0;74.62;8;5;0;2;1;2;3;10;1;2.0;34.76470588235294
78.36;50.87;16;63.2;71.97;466.33;64.91;2011;56.82;64.91;63.86;19;0;78.36;16;5;0;3;1;1;2;10;1;3.0;40.333333333333336
71.35;71.53;6;69.65;61.96;451.13;73.83;2011;44.32;73.83;69.72;19;0;71.35;22;5;0;3;1;1;6;10;1;1.0;14.911764705941176
78.36;73.24;11;61.28;78.83;496.88;77.1;2011;62.46;77.1;66.68;19;1;78.36;11;5;0;2;1;2;5;10;1;2.0;32.666666666666664
58.05;63.4;8;60.48;54.1;408.18;53.5;2011;71.0;53.5;50.75;19;0;58.05;8;5;0;3;1;1;3;7;1;2.0;33.937500000625
69.01;81.98;7;61.28;61.96;480.84;89.5;2011;72.54;89.5;66.68;19;1;69.01;19;5;0;2;1;2;5;10;1;3.0;40.27777777777778
69.01;52.08;8;82.9;69.14;472.16;53.63;2011;63.68;53.63;66.93;19;0;69.01;8;5;0;2;1;1;3;10;1;2.0;36.22222222222222
63.02;69.93;20;68.87;75.02;476.47;64.91;2011;68.09;64.91;66.93;237;1;63.02;7;15;0;2;1;2;5;10;1;2.0;38.611111111111114
79.26;64.24;8;71.9;69.14;462.08;53.63;2011;54.95;53.63;63.86;19;0;79.26;8;5;0;2;1;1;3;10;1;2.0;33.76470588235294
68.39;85.05;8;65.98;75.02;476.15;62.11;2011;68.09;62.11;66.93;19;0;68.39;8;5;0;3;1;2;3;10;1;2.0;31.0
58.05;75.1;15;63.2;92.99;485.79;67.8;2011;65.24;67.8;60.76;19;1;58.05;8;5;0;2;1;2;3;10;1;2.0;36.55555555555556
69.01;79.81;7;63.2;66.48;454.2;65.03;2011;63.68;65.03;66.93;19;0;69.01;8;5;0;3;1;2;3;10;1;1.0;20.0
63.02;66.95;11;75.95;72.45;470.16;84.56;2011;53.93;84.56;66.68;19;0;63.02;11;5;0;2;1;2;5;10;1;2.0;36.27777777777778
68.39;52.08;11;66.77;69.64;455.67;56.41;2011;56.82;56.41;72.78;19;0;68.39;11;5;0;3;1;2;5;10;1;2.0;32.916666666666664
78.36;69.93;10;69.65;64.44;482.79;67.8;2011;71.0;67.8;66.68;19;0;78.36;10;5;0;2;1;1;3;10;1;1.0;15.177777777333334
71.35;77.13;8;52.34;75.02;459.4;73.83;2011;59.66;73.83;57.57;19;1;71.35;8;5;0;2;1;2;3;10;1;2.0;35.333333333333336
72.05;75.1;6;61.28;69.64;459.7;70.87;2011;60.81;70.87;60.57;19;0;72.05;19;5;0;2;1;1;5;10;1;2.0;38.44444444444444
82.87;64.24;14;72.69;61.96;473.85;67.8;2011;65.24;67.8;69.72;0;0;82.87;19;0;0;1;0;0;5;10;1;2.0;37.05555555555556
83.87;53.73;10;63.99;64.44;468.03;59.4;2011;63.68;59.4;72.78;19;0;83.87;10;5;0;3;1;1;3;10;1;2.0;30.25
74.62;75.1;19;79.57;61.96;474.36;62.11;2011;65.24;62.11;63.65;19;0;74.62;19;5;0;2;1;2;5;10;1;2.0;30.333333333333332
68.39;61.66;10;82.9;69.14;472.85;62.11;2011;56.82;62.11;63.86;19;0;68.39;10;5;0;3;1;2;3;10;1;2.0;31.444444444444443
83.87;70.37;17;61.28;69.64;464.99;70.87;2011;51.89;70.87;60.57;19;0;83.87;17;5;0;2;1;2;2;10;1;2.0;35.27777777777778
69.01;64.24;8;65.98;71.97;458.08;67.92;2011;57.9;67.92;69.98;19;0;69.01;7;5;0;2;1;2;5;10;1;3.0;42.27777777777778
78.36;71.53;6;88.69;75.48;496.86;62.11;2011;65.24;62.11;66.68;19;0;78.36;6;5;0;3;1;1;5;10;1;3.0;40.77777777777778
79.26;73.24;10;68.87;75.02;466.05;65.03;2011;54.95;65.03;60.76;19;0;79.26;10;5;0;3;1;2;3;10;1;2.0;33.0
68.39;61.66;16;71.9;59.0;475.56;80.64;2011;65.24;80.64;60.76;19;0;68.39;16;5;0;3;1;1;2;10;1;2.0;34.611111111111114
75.41;68.86;14;68.87;82.24;483.94;67.92;2011;66.58;67.92;60.76;19;0;75.41;10;5;0;3;1;1;3;10;1;2.0;37.22222222222222
69.01;60.9;10;69.65;72.45;484.33;65.03;2011;75.71;65.03;60.57;19;0;69.01;10;5;0;3;1;1;3;10;1;2.0;35.72222222222222
79.26;77.13;10;65.98;71.97;458.87;62.21;2011;63.68;62.21;69.98;19;0;79.26;10;5;0;3;1;2;3;10;1;2.0;36.666666666666664
71.35;60.44;20;78.77;69.14;493.61;56.41;2011;80.75;56.41;69.98;242;0;71.35;16;7;0;3;1;1;2;10;1;2.0;35.77777777777778
83.87;66.95;10;57.8;61.43;468.56;70.87;2011;72.54;70.87;57.57;0;1;83.87;19;0;0;1;0;0;5;10;1;2.0;37.388888888888886
74.62;64.24;15;63.2;61.43;461.46;64.91;2011;62.46;64.91;69.98;19;0;74.62;5;5;0;1;1;2;6;10;1;2.0;31.944444444444443
